"ESRD -- 2010 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) ",,,,,,,,,,,,,,
FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE,,,,,,,,,,,,,,
BENEFICIARIES ENROLLED IN PARTS A AND/OR B  ,,,,,,,,,,,,,,
REIMBURSEMENTS FOR HOSPICE AND COST CONTRATCS EXCLUDED,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA,
1370,ALABAMA                  ,LAMAR                  ,29,"664,977","1,910.85","581,380",1670.64,"18,046","57,773","7,777",29,"926,517","2,662.41",
1380,ALABAMA                  ,LAUDERDALE             ,112,"2,390,799","1,778.87","2,143,916",1595.18,"61,789","170,113","14,979",110,"3,620,376","2,742.71",
1390,ALABAMA                  ,LAWRENCE               ,39,"693,649","1,482.16","633,975",1354.65,"12,461","42,232","4,980",38,"1,336,511","2,930.95",
1400,ALABAMA                  ,LEE                    ,168,"1,977,755",981.03,"1,708,170",847.31,"49,697","206,063","13,823",165,"5,635,680","2,846.30",
1410,ALABAMA                  ,LIMESTONE              ,106,"1,717,051","1,349.88","1,544,020",1213.85,"13,020","154,655","5,354",104,"3,629,797","2,908.49",
1420,ALABAMA                  ,LOWNDES                ,32,"1,073,277","2,794.99","907,128",2362.32,"16,388","144,477","5,283",30,"1,202,316","3,339.77",
1430,ALABAMA                  ,MACON                  ,68,"720,897",883.45,"639,444",783.63,"10,878","68,689","1,885",64,"2,216,131","2,885.59",
1440,ALABAMA                  ,MADISON                ,427,"8,702,342","1,698.35","7,800,848",1522.41,"189,154","663,868","48,471",399,"14,086,744","2,942.09",
1450,ALABAMA                  ,MARENGO                ,45,"1,115,826","2,066.34","931,945",1725.83,"47,354","120,057","16,468",45,"1,703,035","3,153.77",
1460,ALABAMA                  ,MARION                 ,24,"311,524","1,081.68","266,477",925.27,"11,416","29,666","3,963",24,"803,646","2,790.44",
1470,ALABAMA                  ,MARSHALL               ,109,"2,174,229","1,662.25","1,937,533",1481.30,"52,270","168,519","15,906",103,"3,540,563","2,864.53",
1480,ALABAMA                  ,MOBILE                 ,750,"14,662,478","1,629.16","12,046,623",1338.51,"920,360","1,300,710","394,784",721,"27,115,750","3,134.04",
1490,ALABAMA                  ,MONROE                 ,34,"493,831","1,210.37","450,561",1104.32,"6,360","35,081","1,828",33,"1,316,637","3,324.84",
1500,ALABAMA                  ,MONTGOMERY             ,433,"8,414,082","1,619.34","7,001,908",1347.56,"198,932","1,151,411","61,830",409,"14,890,177","3,033.86",
1510,ALABAMA                  ,MORGAN                 ,136,"2,408,183","1,475.60","2,134,522",1307.92,"61,742","200,171","11,746",131,"4,556,508","2,898.54",
1520,ALABAMA                  ,PERRY                  ,37,"707,504","1,593.48","573,311",1291.25,"16,749","110,850","6,592",36,"1,346,302","3,116.44",
1530,ALABAMA                  ,PICKENS                ,50,"1,069,276","1,782.13","907,786",1512.98,"36,876","110,872","13,742",49,"1,940,256","3,299.76",
1540,ALABAMA                  ,PIKE                   ,56,"1,278,699","1,902.83","1,058,095",1574.55,"31,694","181,506","7,402",54,"2,605,546","4,020.90",
1550,ALABAMA                  ,RANDOLPH               ,46,"525,815",952.56,"449,266",813.89,"9,355","62,689","4,503",45,"1,797,687","3,329.05",
1560,ALABAMA                  ,RUSSELL                ,129,"2,622,232","1,693.95","2,334,059",1507.79,"38,875","229,447","19,849",124,"4,303,720","2,892.28",
1570,ALABAMA                  ,ST  CLAIR              ,93,"1,723,695","1,544.53","1,512,136",1354.96,"70,634","105,540","35,383",87,"2,657,805","2,545.79",
1580,ALABAMA                  ,SHELBY                 ,91,"1,763,573","1,614.99","1,522,919",1394.62,"71,280","144,958","24,415",79,"2,629,205","2,773.42",
1590,ALABAMA                  ,SUMTER                 ,34,"1,245,067","3,051.63","1,132,683",2776.19,"15,654","90,947","5,782",32,"1,400,922","3,648.23",
1600,ALABAMA                  ,TALLADEGA              ,192,"3,871,041","1,680.14","3,302,325",1433.30,"113,171","403,999","51,545",186,"7,225,270","3,237.13",
1610,ALABAMA                  ,TALLAPOOSA             ,88,"1,603,823","1,518.77","1,394,530",1320.58,"33,288","163,580","12,423",87,"3,332,835","3,192.37",
1620,ALABAMA                  ,TUSCALOOSA             ,286,"6,928,223","2,018.71","5,965,625",1738.24,"193,596","702,540","66,461",279,"10,514,101","3,140.41",
1630,ALABAMA                  ,WALKER                 ,84,"1,656,437","1,643.29","1,412,758",1401.55,"87,621","104,434","51,623",80,"3,091,351","3,220.16",
1640,ALABAMA                  ,WASHINGTON             ,34,"1,032,389","2,530.37","893,273",2189.39,"38,985","93,720","6,411",34,"1,286,847","3,154.04",
1650,ALABAMA                  ,WILCOX                 ,40,"910,542","1,896.96","759,312",1581.90,"28,554","117,700","4,975",40,"1,320,535","2,751.11",
1660,ALABAMA                  ,WINSTON                ,25,"421,565","1,405.22","370,086",1233.62,"17,360","24,545","9,573",25,"677,077","2,256.92",
2010,ALASKA                   ,ALEUTIAN ISLANDS       ,2,0,0.00,0,0.00,0,0,0,1,"7,081",590.08,
2020,ALASKA                   ,ANCHORAGE              ,306,"5,073,122","1,381.57","4,358,052",1186.83,"128,408","554,049","32,612",289,"9,703,937","2,798.14",
2040,ALASKA                   ,BARROW-NORTH SLOPE     ,1,0,0.00,0,0.00,0,0,0,1,"15,495","1,291.25",
2050,ALASKA                   ,BETHEL                 ,1,"52,687","4,390.58","47,095",3924.75,"2,553","2,705",332,1,"91,676","7,639.67",
2060,ALASKA                   ,BRISTOL BAY            ,3,"662,656","18,407.11","592,291",16452.58,"26,635","39,749","3,979",3,"149,601","4,155.58",
2070,ALASKA                   ,DILLINGHAM             ,2,"116,872","4,869.67","107,039",4460.04,"1,660","7,928",243,2,"94,840","3,951.67",
2080,ALASKA                   ,CORDOVA-MC CARTHY      ,1,0,0.00,0,0.00,0,0,0,1,"7,865",655.42,
2090,ALASKA                   ,FAIRBANKS NORTH STAR   ,60,"875,826","1,216.43","748,316",1039.33,"33,781","88,248","5,480",55,"1,705,116","2,583.51",
2100,ALASKA                   ,HAINES                 ,1,0,0.00,0,0.00,0,0,0,1,0,0.00,
2110,ALASKA                   ,JUNEAU                 ,23,"690,439","2,501.59","639,421",2316.75,"15,678","32,412","2,926",23,"739,951","2,680.98",
2120,ALASKA                   ,KENAI-COOK INLET       ,28,"479,809","1,428.00","450,020",1339.35,"2,465","26,714",609,27,"739,941","2,283.77",
2130,ALASKA                   ,KETCHIKAN GATEWAY      ,7,"123,400","1,469.05","115,311",1372.76,"6,445","1,246",397,7,"200,160","2,382.86",
2140,ALASKA                   ,KOBUK                  ,2,"70,552","2,939.67","65,497",2729.13,392,"4,540",121,2,"72,986","3,041.08",
2150,ALASKA                   ,KODIAK ISLAND          ,9,"147,431","1,365.10","136,557",1264.44,"1,297","9,210",365,9,"163,116","1,510.33",
2160,ALASKA                   ,KUSKOKWIN              ,1,"5,688",474.00,"5,688",474.00,0,0,0,1,356,29.67,
2170,ALASKA                   ,MATANUSKA-SUSITNA      ,48,"1,025,489","1,780.36","848,994",1473.95,"53,669","115,928","6,896",45,"1,596,432","2,956.36",
2180,ALASKA                   ,NOME                   ,2,"25,116","1,046.50","19,912",829.75,404,"4,677",121,2,"85,891","3,578.79",
2190,ALASKA                   ,OUTER KETCHIKAN        ,1,0,0.00,0,0.00,0,0,0,1,0,0.00,
2200,ALASKA                   ,PRINCE OF WALES        ,1,0,0.00,0,0.00,0,0,0,1,216,18.00,
2210,ALASKA                   ,SEWARD                 ,4,"29,225",608.85,"23,796",495.79,896,"4,166",365,3,"61,101","1,697.25",
2220,ALASKA                   ,SITKA                  ,2,"125,923","5,246.79","108,840",4535.08,"8,683","5,382","3,016",2,"91,461","3,810.88",
2230,ALASKA                   ,SKAGWAY-YAKUTAT        ,1,0,0.00,0,0.00,0,0,0,1,0,0.00,
2240,ALASKA                   ,SOUTHEAST FAIRBANKS    ,2,"59,808","2,492.00","54,553",2273.13,"4,767",0,486,2,"99,293","4,137.21",
2250,ALASKA                   ,UPPER YUKON            ,1,0,0.00,0,0.00,0,0,0,1,"14,627","1,218.92",
2260,ALASKA                   ,VALDEZ-CHITNA-WHITIER  ,4,"122,209","2,546.02","120,155",2503.23,0,"2,054",0,4,"56,510","1,177.29",
2270,ALASKA                   ,WADE HAMPTON           ,2,"35,426","1,476.08","29,732",1238.88,678,"4,772",243,2,"50,729","2,113.71",
2280,ALASKA                   ,WRANGELL-PETERSBURG    ,1,0,0.00,0,0.00,0,0,0,1,"52,443","4,370.25",
2290,ALASKA                   ,YUKON-KOYUKUK          ,1,"36,686","3,057.17","32,290",2691.00,404,"3,869",121,1,"84,426","7,035.50",
3000,ARIZONA                  ,APACHE                 ,187,"5,738,315","2,557.18","4,870,519",2170.46,"165,702","659,876","42,217",170,"6,306,936","3,091.64",
3010,ARIZONA                  ,COCHISE                ,145,"2,459,407","1,413.45","2,032,207",1167.94,"131,010","254,142","42,045",135,"4,066,098","2,509.94",
3020,ARIZONA                  ,COCONINO               ,162,"5,497,357","2,827.86","4,835,920",2487.61,"34,832","614,769","11,836",147,"5,142,450","2,915.22",
3030,ARIZONA                  ,GILA                   ,116,"3,149,336","2,262.45","2,844,771",2043.66,"61,422","217,880","25,261",111,"4,213,666","3,163.41",
3040,ARIZONA                  ,GRAHAM                 ,47,"944,308","1,674.30","747,232",1324.88,"59,922","119,394","17,759",44,"1,434,591","2,717.03",
3050,ARIZONA                  ,GREENLEE               ,9,"373,611","3,459.36","310,003",2870.41,"17,928","40,206","5,473",9,"412,341","3,817.97",
3055,ARIZONA                  ,LA PAZ                 ,43,"1,006,724","1,951.02","938,961",1819.70,"11,033","51,845","4,883",40,"1,523,066","3,173.05",
3060,ARIZONA                  ,MARICOPA               ,"3,168","80,919,515","2,128.56","69,409,270",1825.79,"2,064,261","8,335,228","1,110,754","2,925","101,636,805","2,895.64",
3070,ARIZONA                  ,MOHAVE                 ,332,"8,449,795","2,120.93","7,478,907",1877.24,"172,057","731,137","67,692",322,"10,564,056","2,733.97",
3080,ARIZONA                  ,NAVAJO                 ,246,"6,890,727","2,334.26","6,057,813",2052.11,"87,497","710,191","35,223",233,"8,535,372","3,052.71",
3090,ARIZONA                  ,PIMA                   ,954,"19,343,116","1,689.65","15,288,965",1335.51,"1,349,356","2,310,207","394,587",881,"27,398,319","2,591.59",
3100,ARIZONA                  ,PINAL                  ,455,"11,647,362","2,133.22","10,222,397",1872.23,"161,014","1,193,252","70,697",419,"16,324,381","3,246.69",
3110,ARIZONA                  ,SANTA CRUZ             ,54,"1,440,964","2,223.71","1,097,018",1692.93,"122,410","189,591","31,943",51,"1,800,189","2,941.49",
3120,ARIZONA                  ,YAVAPAI                ,198,"4,486,022","1,888.06","4,069,694",1712.83,"52,893","336,677","26,757",183,"5,988,557","2,727.03",
3130,ARIZONA                  ,YUMA                   ,224,"4,758,515","1,770.28","4,299,188",1599.40,"56,989","387,296","15,040",216,"7,633,545","2,945.04",
4000,ARKANSAS                 ,ARKANSAS               ,30,"1,064,590","2,957.19","875,703",2432.51,"43,412","126,411","19,062",26,"1,148,570","3,681.31",
4010,ARKANSAS                 ,ASHLEY                 ,46,"803,766","1,456.10","713,764",1293.05,"10,977","73,406","5,618",46,"1,515,725","2,745.88",
4020,ARKANSAS                 ,BAXTER                 ,60,"1,653,405","2,296.40","1,548,758",2151.06,"23,039","73,744","7,862",60,"1,820,817","2,528.91",
4030,ARKANSAS                 ,BENTON                 ,171,"3,723,237","1,814.44","3,393,043",1653.53,"64,543","241,607","24,041",165,"4,552,675","2,299.33",
4040,ARKANSAS                 ,BOONE                  ,48,"746,661","1,296.29","644,597",1119.09,"21,837","72,203","8,023",44,"1,225,346","2,320.73",
4050,ARKANSAS                 ,BRADLEY                ,25,"395,771","1,319.24","319,071",1063.58,"24,288","46,562","5,848",25,"911,774","3,039.25",
4060,ARKANSAS                 ,CALHOUN                ,7,"103,248","1,229.14","89,746",1068.42,653,"12,489",359,7,"228,138","2,715.93",
