"DISABLED -- PUERTO RiCO 2010 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) ",,,,,,,,,,,,,,
FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE,,,,,,,,,,,,,,
BENEFICIARIES ENROLLED IN  PART A AND/OR PART B ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA,AGED & DBLD MEAN RISK SCORES
40145,PUERTO RICO              ,CANOVANAS              ,2,0,0.00,0,0.00,0,0,0,1,0,0.00,0.915
40150,PUERTO RICO              ,CAROLINA               ,"2,056","1,310,701",53.12,"1,100,356",44.59,"57,850","66,703","85,791",758,"1,645,002",180.77,0.935
40160,PUERTO RICO              ,CATANO                 ,"1,004","709,499",58.84,"642,862",53.31,"22,429","31,413","12,794",345,"851,390",205.60,0.942
40170,PUERTO RICO              ,CAYEY                  ,"1,368","927,002",56.45,"825,775",50.29,"24,105","67,463","9,657",417,"644,650",128.80,0.914
40180,PUERTO RICO              ,CEIBA                  ,181,"78,591",36.05,"74,118",34.00,315,"3,137","1,020",73,"144,744",163.38,0.964
40190,PUERTO RICO              ,CIALES                 ,428,"202,826",39.48,"184,574",35.92,"4,357","11,302","2,591",154,"367,732",198.67,0.985
40200,PUERTO RICO              ,CIDRA                  ,871,"335,140",32.03,"291,046",27.82,"5,929","26,743","11,420",264,"471,879",148.95,0.928
40210,PUERTO RICO              ,COAMO                  ,583,"416,791",59.55,"377,900",53.99,"6,463","19,651","12,775",165,"477,457",241.02,0.955
40220,PUERTO RICO              ,COMERIO                ,392,"217,715",46.22,"189,886",40.32,"6,043","12,178","9,608",137,"226,918",137.61,0.985
40230,PUERTO RICO              ,COROZAL                ,683,"231,061",28.18,"212,931",25.97,"2,473","14,503","1,152",232,"452,504",162.24,1.003
40240,PUERTO RICO              ,CULEBRA                ,19,579,2.45,579,2.45,0,0,0,10,"11,084",91.64,0.686
40250,PUERTO RICO              ,DORADO                 ,383,"200,325",43.57,"187,388",40.75,"3,111","7,335","2,489",140,"277,981",164.97,0.910
40260,PUERTO RICO              ,FAJARDO                ,508,"480,012",78.70,"420,402",68.93,"22,098","28,120","9,391",190,"290,095",126.85,1.007
40265,PUERTO RICO              ,FLORIDA                ,3,0,0.00,0,0.00,0,0,0,1,0,0.00,0.899
40270,PUERTO RICO              ,GUANICA                ,201,"252,723",104.78,"236,385",98.00,"2,282","10,446","3,609",63,"169,840",224.66,0.980
40280,PUERTO RICO              ,GUAYAMA                ,585,"432,385",61.50,"373,085",53.06,"12,131","41,278","5,890",210,"524,573",208.08,0.982
40290,PUERTO RICO              ,GUAYANILLA             ,309,"501,884",135.06,"434,635",116.96,"27,973","27,002","12,273",108,"250,093",192.97,0.892
40300,PUERTO RICO              ,GUAYNABO               ,785,"652,115",69.20,"600,852",63.76,"22,994","16,526","11,742",265,"694,972",218.13,0.931
40310,PUERTO RICO              ,GURABO                 ,539,"317,702",49.05,"288,044",44.47,"4,607","20,460","4,590",188,"462,835",205.07,0.973
40320,PUERTO RICO              ,HATILLO                ,632,"331,305",43.63,"291,940",38.45,"8,841","24,046","6,476",200,"456,608",189.85,0.936
40330,PUERTO RICO              ,HORMIGUEROS            ,304,"289,539",79.22,"257,853",70.55,"9,271","9,148","13,265",115,"257,395",186.11,0.905
40340,PUERTO RICO              ,HUMACAO                ,"1,417","1,003,737",59.01,"907,718",53.36,"22,434","58,979","14,604",554,"1,020,564",153.26,0.865
40350,PUERTO RICO              ,ISABELA                ,611,"298,497",40.71,"279,885",38.17,"2,424","12,211","3,976",176,"340,208",160.47,0.868
40360,PUERTO RICO              ,JAYUYA                 ,320,"102,653",26.70,"90,218",23.46,"2,871","4,247","5,315",82,"104,130",105.72,0.923
40370,PUERTO RICO              ,JUANA DIAZ             ,468,"519,778",92.49,"447,227",79.58,"19,970","31,020","21,560",118,"356,769",251.42,0.888
40380,PUERTO RICO              ,JUNCOS                 ,593,"385,473",54.10,"338,330",47.48,"8,438","28,505","10,199",217,"451,235",173.09,0.923
40390,PUERTO RICO              ,LAJAS                  ,297,"174,887",49.03,"162,830",45.65,"2,843","5,594","3,618",92,"223,849",202.76,0.869
40400,PUERTO RICO              ,LARES                  ,616,"509,279",68.80,"475,691",64.27,"3,043","26,955","3,588",175,"381,036",181.45,1.028
40410,PUERTO RICO              ,LAS MARIAS             ,106,"53,846",42.16,"48,666",38.11,"1,018","1,180","2,980",30,"48,307",132.73,0.874
40420,PUERTO RICO              ,LAS PIEDRAS            ,885,"533,107",50.20,"485,953",45.76,"7,225","33,230","6,697",339,"614,103",150.88,0.960
40430,PUERTO RICO              ,LOIZA                  ,811,"736,173",75.57,"630,414",64.71,"30,046","39,760","35,951",255,"545,330",178.09,0.839
