"DISABLED -- 2010 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) ",,,,,,,,,,,,,,
FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE,,,,,,,,,,,,,,
BENEFICIARIES ENROLLED IN PARTS A AND/OR B  ,,,,,,,,,,,,,,
PUERTO RICO BENEFICIARIES ENROLLED IN BOTH PARTS A AND B ONLY,,,,,,,,,,,,,,
REIMBURSEMENTS FOR HOSPICE AND COST CONTRATCS EXCLUDED,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA,AGED & DBLD MEAN RISK SCORES
01350,ALABAMA                  ,JACKSON,"2,217","8,239,813",309.72,"7,274,635",273.44,"159,527","748,944","56,704","2,040","9,686,570",395.69,0.987
01360,ALABAMA                  ,JEFFERSON,"16,154","54,117,421",279.17,"46,742,979",241.13,"2,321,898","3,583,900","1,468,643","13,309","46,662,900",292.18,0.943
01370,ALABAMA                  ,LAMAR,801,"2,278,178",237.01,"2,011,518",209.27,"37,145","212,686","16,827",737,"3,384,666",382.71,0.969
01380,ALABAMA                  ,LAUDERDALE,"3,709","10,577,738",237.66,"9,560,264",214.80,"174,274","792,171","51,028","3,392","14,366,224",352.94,0.954
01390,ALABAMA                  ,LAWRENCE,"1,212","4,036,044",277.51,"3,593,278",247.06,"67,348","346,376","29,040","1,096","4,831,904",367.39,1.035
01400,ALABAMA                  ,LEE,"3,077","8,364,929",226.54,"7,320,271",198.25,"106,174","895,797","42,686","2,774","9,610,011",288.69,0.911
01410,ALABAMA                  ,LIMESTONE,"2,014","7,414,595",306.79,"6,502,525",269.06,"151,503","721,449","39,116","1,834","9,102,131",413.58,0.983
01420,ALABAMA                  ,LOWNDES,421,"1,155,314",228.68,"937,146",185.50,"28,995","174,257","14,913",373,"1,286,295",287.38,0.943
01430,ALABAMA                  ,MACON,843,"2,392,269",236.48,"2,117,841",209.36,"42,727","219,620","12,080",736,"2,355,049",266.65,0.947
01440,ALABAMA                  ,MADISON,"6,920","21,966,032",264.52,"19,790,153",238.32,"414,509","1,614,930","146,439","6,021","28,118,950",389.18,0.946
01450,ALABAMA                  ,MARENGO,"1,059","3,183,573",250.52,"2,756,286",216.89,"63,916","325,383","37,986",972,"3,274,502",280.74,0.965
01460,ALABAMA                  ,MARION,"1,340","3,806,271",236.71,"3,444,970",214.24,"55,687","278,423","27,190","1,233","5,266,659",355.95,0.987
01470,ALABAMA                  ,MARSHALL,"3,670","12,467,932",283.10,"11,141,363",252.98,"158,059","1,102,521","65,987","3,344","15,662,858",390.32,1.005
01480,ALABAMA                  ,MOBILE,"10,201","30,808,684",251.68,"26,584,062",217.17,"1,331,993","2,190,029","702,600","8,918","32,843,574",306.90,0.950
01490,ALABAMA                  ,MONROE,979,"2,321,548",197.61,"2,126,865",181.04,"21,609","156,689","16,382",898,"3,800,083",352.64,0.912
01500,ALABAMA                  ,MONTGOMERY,"5,669","16,322,473",239.94,"13,861,630",203.76,"311,998","2,031,670","117,174","4,862","15,802,998",270.86,0.927
01510,ALABAMA                  ,MORGAN,"4,107","13,847,241",280.97,"12,444,407",252.50,"271,458","1,052,453","78,922","3,719","19,378,993",434.23,0.999
01520,ALABAMA                  ,PERRY,586,"1,490,299",211.93,"1,158,274",164.71,"57,983","252,247","21,794",553,"1,909,961",287.82,0.975
01530,ALABAMA                  ,PICKENS,"1,235","3,494,795",235.82,"3,083,172",208.04,"56,406","322,075","33,141","1,126","4,194,528",310.43,0.964
01540,ALABAMA                  ,PIKE,"1,077","3,614,789",279.70,"3,179,358",246.00,"64,976","348,694","21,759",987,"3,176,562",268.20,0.903
01550,ALABAMA                  ,RANDOLPH,975,"3,763,703",321.68,"3,382,712",289.12,"43,631","320,445","16,914",900,"3,747,214",346.96,0.948
01560,ALABAMA                  ,RUSSELL,"1,973","5,107,792",215.74,"4,412,362",186.36,"90,057","564,351","41,021","1,760","6,115,489",289.56,1.008
01570,ALABAMA                  ,ST. CLAIR,"1,746","4,878,036",232.82,"4,254,461",203.06,"185,778","303,084","134,712","1,437","5,583,301",323.78,0.927
01580,ALABAMA                  ,SHELBY,"2,035","6,276,851",257.04,"5,642,444",231.06,"150,181","414,025","70,198","1,644","6,586,787",333.88,0.893
01590,ALABAMA                  ,SUMTER,748,"1,979,525",220.54,"1,753,288",195.33,"18,705","200,580","6,950",700,"2,271,176",270.38,0.977
01600,ALABAMA                  ,TALLADEGA,"3,926","11,232,693",238.43,"9,806,626",208.16,"220,447","1,077,151","128,467","3,423","12,545,509",305.42,0.975
01610,ALABAMA                  ,TALLAPOOSA,"2,149","5,524,193",214.22,"4,816,198",186.76,"90,402","574,475","43,117","1,940","8,008,403",344.00,0.987
01620,ALABAMA                  ,TUSCALOOSA,"6,970","27,818,827",332.60,"24,148,465",288.72,"721,480","2,608,062","340,818","6,238","24,282,272",324.39,0.979
01630,ALABAMA                  ,WALKER,"3,314","11,537,780",290.13,"10,066,878",253.14,"370,966","882,058","217,876","2,971","13,179,692",369.68,1.060
01640,ALABAMA                  ,WASHINGTON,809,"1,614,737",166.33,"1,447,601",149.11,"39,616","111,155","16,364",741,"2,512,930",282.61,0.880
01650,ALABAMA                  ,WILCOX,865,"2,672,827",257.50,"2,243,373",216.12,"87,606","298,500","43,347",818,"3,169,078",322.85,0.898
01660,ALABAMA                  ,WINSTON,"1,158","4,709,211",338.89,"4,125,754",296.90,"133,223","388,213","62,020","1,083","5,280,301",406.30,1.031
02010,ALASKA                   ,ALEUTIANS ISLANDS,35,"25,302",60.24,"20,471",48.74,629,"3,854",347,30,"87,019",241.72,0.686
02020,ALASKA                   ,ANCHORAGE,"5,104","18,851,814",307.79,"16,292,399",266.01,"367,194","2,086,560","105,659","4,539","19,445,139",357.00,0.838
02040,ALASKA                   ,BARROW DIVISION,66,"266,311",336.25,"224,064",282.91,0,"42,246",0,57,"374,781",547.93,0.886
02050,ALASKA                   ,BETHEL,79,"213,722",225.45,"159,757",168.52,"7,356","45,539","1,068",73,"161,737",184.63,0.804
02060,ALASKA                   ,BRISTOL BAY,105,"1,147,426",910.66,"1,094,156",868.38,"6,919","44,021","2,329",91,"256,618",235.00,0.810
02070,ALASKA                   ,DILLINGHAM,45,"161,946",299.90,"144,544",267.68,222,"17,058",121,42,"158,663",314.81,0.834
02080,ALASKA                   ,CORDOVA-MC CARTHY,28,"83,315",247.96,"67,966",202.28,"1,842","12,776",731,26,"131,595",421.78,0.000
02090,ALASKA                   ,FAIRBANKS NORTH STAR,"1,207","4,485,253",309.67,"3,975,091",274.45,"45,364","450,395","14,402","1,050","3,823,423",303.45,0.794
02100,ALASKA                   ,HAINES,44,"372,582",705.65,"345,412",654.19,"9,009","16,081","2,079",41,"393,062",798.91,0.751
02110,ALASKA                   ,JUNEAU,584,"2,475,213",353.20,"2,274,030",324.49,"35,091","154,386","11,704",516,"2,292,366",370.21,0.807
02120,ALASKA                   ,KENAI-COOK INLET DIVISION,"1,156","5,563,062",401.03,"5,001,098",360.52,"103,731","432,426","25,806","1,038","5,494,226",441.09,0.804
02130,ALASKA                   ,KETCHIKAN GATEWAY,258,"804,769",259.94,"729,634",235.67,"25,842","42,135","7,157",230,"1,178,187",426.88,0.898
02140,ALASKA                   ,KOBUK,62,"419,154",563.38,"376,987",506.70,"3,254","37,445","1,468",52,"331,771",531.68,0.877
02150,ALASKA                   ,KODIAK ISLAND,71,"392,942",461.20,"361,596",424.41,"6,257","23,910","1,177",58,"261,618",375.89,0.772
02160,ALASKA                   ,KUSKOKWIN DIVISION,25,"11,201",37.34,"8,390",27.97,0,"2,810",0,21,"45,959",182.38,0.000
02170,ALASKA                   ,MATANUSKA-SUSITNA,"1,469","5,784,937",328.17,"5,222,801",296.28,"69,879","476,505","15,752","1,315","5,310,548",336.54,0.863
02180,ALASKA                   ,NOME,85,"452,527",443.65,"375,989",368.62,312,"75,981",243,72,"230,188",266.42,0.809
02190,ALASKA                   ,OUTER KETCHIKAN DIVISION,38,"68,687",150.63,"57,650",126.43,"3,320","5,669","2,046",33,"77,791",196.44,0.841
02200,ALASKA                   ,PRINCE OF WALES DIVISION,65,"421,432",540.30,"374,865",480.60,"16,334","27,778","2,454",58,"431,279",619.65,0.000
02210,ALASKA                   ,SEWARD,94,"340,900",302.22,"322,173",285.62,560,"17,916",250,82,"314,917",320.04,0.000
02220,ALASKA                   ,SITKA,134,"1,316,609",818.79,"1,184,511",736.64,"28,725","92,213","11,158",122,"1,024,685",699.92,0.950
02230,ALASKA                   ,SKAGWAY,33,"116,632",294.53,"109,753",277.16,"1,508","4,704",665,31,"114,773",308.53,0.738
02240,ALASKA                   ,SOUTHEAST FAIRBANKS,77,"223,843",242.25,"207,007",224.03,0,"16,835",0,68,"272,410",333.84,0.778
02250,ALASKA                   ,UPPER YUKON DIVISION,20,"29,929",124.70,"26,724",111.35,0,"3,204",0,18,"63,698",294.90,0.000
02260,ALASKA                   ,VALDEZ-CHITNA-WHITIER DIVISION,159,"473,301",248.06,"419,937",220.09,"8,209","41,849","3,305",141,"535,519",316.50,0.789
02270,ALASKA                   ,WADE HAMPTON,66,"298,299",376.64,"235,258",297.05,336,"62,370",332,61,"209,815",286.63,0.849
02280,ALASKA                   ,WRANGELL-PETERSBURG CENSUS AREA,107,"533,828",415.75,"498,924",388.57,"12,928","18,773","3,202",96,"440,634",382.49,0.824
02290,ALASKA                   ,YUKON-KOYUKUK,61,"233,071",318.40,"203,204",277.60,686,"28,936",243,56,"133,188",198.20,0.793
03000,ARIZONA                  ,APACHE,"1,352","5,691,695",350.82,"4,985,862",307.31,"132,786","527,476","45,570","1,181","4,520,225",318.95,0.919
03010,ARIZONA                  ,COCHISE,"2,561","9,881,517",321.54,"8,527,180",277.47,"368,285","851,423","134,628","2,121","8,037,656",315.80,0.902
03020,ARIZONA                  ,COCONINO,"2,062","6,766,952",273.48,"5,899,151",238.41,"66,790","766,177","34,831","1,764","6,693,324",316.20,0.864
03030,ARIZONA                  ,GILA,"1,714","6,818,697",331.52,"6,053,348",294.31,"123,028","573,494","68,826","1,547","6,658,923",358.70,0.948
03040,ARIZONA                  ,GRAHAM,645,"2,053,945",265.37,"1,786,342",230.79,"57,421","191,603","18,577",561,"2,267,347",336.80,0.869
03050,ARIZONA                  ,GREENLEE,164,"361,852",183.87,"296,872",150.85,"13,395","42,951","8,633",146,"420,608",240.07,0.828
03055,ARIZONA                  ,LA PAZ,463,"2,283,482",410.99,"2,015,815",362.82,"40,213","208,907","18,545",381,"1,607,608",351.62,0.892
03060,ARIZONA                  ,MARICOPA,"40,098","153,687,571",319.40,"129,553,181",269.24,"3,980,275","17,230,094","2,924,021","30,603","134,569,305",366.44,0.914
03070,ARIZONA                  ,MOHAVE,"5,455","22,164,189",338.59,"19,524,407",298.26,"478,317","1,976,528","184,935","4,750","19,674,604",345.17,0.943
03080,ARIZONA                  ,NAVAJO,"2,341","8,140,982",289.80,"7,156,969",254.77,"136,746","798,970","48,296","2,041","8,039,237",328.24,0.873
03090,ARIZONA                  ,PIMA,"12,820","47,514,104",308.85,"38,700,138",251.56,"2,482,700","5,408,314","922,950","9,847","38,450,823",325.40,0.899
03100,ARIZONA                  ,PINAL,"4,879","17,813,433",304.25,"15,402,618",263.08,"326,510","1,893,078","191,225","3,928","17,673,552",374.95,0.895
03110,ARIZONA                  ,SANTA CRUZ,458,"1,076,989",195.96,"843,773",153.53,"63,290","138,685","31,239",366,"1,320,292",300.61,0.798
03120,ARIZONA                  ,YAVAPAI,"5,711","16,468,687",240.31,"14,853,540",216.74,"224,680","1,296,203","94,263","4,689","18,561,225",329.87,0.896
03130,ARIZONA                  ,YUMA,"2,308","6,911,248",249.54,"6,139,774",221.68,"110,718","619,941","40,814","2,003","6,860,990",285.45,0.963
04000,ARKANSAS                 ,ARKANSAS,727,"2,412,113",276.49,"2,121,320",243.16,"38,043","233,935","18,813",668,"2,271,032",283.31,0.972
04010,ARKANSAS                 ,ASHLEY,934,"2,948,460",263.07,"2,664,589",237.74,"41,720","220,904","21,246",854,"3,375,227",329.35,0.950
04020,ARKANSAS                 ,BAXTER,"1,777","4,054,813",190.15,"3,730,601",174.95,"53,377","252,119","18,714","1,618","6,386,913",328.95,0.964
04030,ARKANSAS                 ,BENTON,"3,340","9,237,149",230.47,"8,384,253",209.19,"152,628","647,736","52,530","2,830","9,703,009",285.72,0.924
04040,ARKANSAS                 ,BOONE,"1,702","4,232,680",207.24,"3,786,051",185.37,"50,660","370,354","25,613","1,493","5,364,366",299.42,0.918
04050,ARKANSAS                 ,BRADLEY,515,"1,397,912",226.20,"1,255,087",203.09,"18,972","113,852","10,000",487,"1,992,854",341.01,1.036
04060,ARKANSAS                 ,CALHOUN,218,"529,511",202.41,"481,509",184.06,"8,076","35,812","4,113",199,"606,055",253.79,0.983
04070,ARKANSAS                 ,CARROLL,809,"2,443,603",251.71,"2,279,321",234.79,"42,153","113,173","8,954",708,"2,392,567",281.61,0.825
04080,ARKANSAS                 ,CHICOT,569,"1,732,971",253.80,"1,543,656",226.08,"28,871","145,525","14,917",539,"1,812,904",280.29,0.937
04090,ARKANSAS                 ,CLARK,703,"2,091,557",247.93,"1,937,276",229.64,"19,522","126,022","8,736",649,"2,362,530",303.36,0.943
04100,ARKANSAS                 ,CLAY,764,"1,873,397",204.34,"1,651,382",180.12,"18,669","193,576","9,769",692,"2,332,083",280.84,0.927
04110,ARKANSAS                 ,CLEBURNE,"1,095","2,893,338",220.19,"2,589,062",197.04,"38,082","245,010","21,182","1,001","3,653,506",304.15,0.914
04120,ARKANSAS                 ,CLEVELAND,339,"725,587",178.36,"605,564",148.86,"31,761","80,140","8,120",320,"1,182,055",307.83,0.938
04130,ARKANSAS                 ,COLUMBIA,"1,038","3,453,321",277.24,"3,127,151",251.06,"55,779","252,151","18,238",979,"3,099,015",263.79,0.953
