"AGED -- PUERTO RiCO 2010 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) ",,,,,,,,,,,,,,
FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE,,,,,,,,,,,,,,
BENEFICIARIES ENROLLED IN  PART A AND/OR PART B ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA,AGED & DBLD MEAN RISK SCORES
40420,PUERTO RICO              ,LAS PIEDRAS            ,"1,596","2,151,137",112.30,"1,990,466",103.91,"20,284","117,690","22,696",784,"1,735,597",184.26,0.960
40430,PUERTO RICO              ,LOIZA                  ,"2,215","2,505,792",94.25,"2,212,944",83.23,"80,590","75,669","136,588",707,"1,594,749",187.93,0.839
40440,PUERTO RICO              ,LUQUILLO               ,263,"205,413",64.92,"193,265",61.08,"1,234","8,355","2,557",66,"190,094",237.61,0.859
40450,PUERTO RICO              ,MANATI                 ,"2,158","4,306,704",166.26,"4,161,244",160.64,"25,358","116,400","3,701",794,"2,040,422",214.13,0.963
40460,PUERTO RICO              ,MARICAO                ,209,"389,639",154.93,"375,046",149.13,"5,393","2,154","7,045",39,"76,543",161.16,0.859
40470,PUERTO RICO              ,MAUNABO                ,514,"460,410",74.65,"441,578",71.59,"2,059","14,416","2,356",170,"364,272",177.86,1.009
40480,PUERTO RICO              ,MAYAGUEZ               ,"5,661","13,489,708",198.55,"12,913,862",190.07,"194,023","137,191","244,631","2,358","5,779,916",204.26,0.918
40490,PUERTO RICO              ,MOCA                   ,"1,430","2,844,980",165.76,"2,695,657",157.06,"44,828","70,209","34,285",463,"1,163,427",209.10,0.904
40500,PUERTO RICO              ,MOROVIS                ,"1,016","1,681,897",137.85,"1,627,952",133.43,"10,243","42,250","1,450",249,"667,207",222.85,0.945
40510,PUERTO RICO              ,NAGUABO                ,"1,084","1,118,363",85.98,"1,063,985",81.79,"3,443","47,608","3,326",409,"894,170",181.89,0.948
40520,PUERTO RICO              ,NARANJITO              ,"1,133","1,656,966",121.77,"1,583,178",116.35,"11,918","46,800","15,068",394,"1,102,606",232.96,0.920
40530,PUERTO RICO              ,OROCOVIS               ,871,"1,529,472",146.18,"1,444,664",138.07,"13,869","59,444","11,493",234,"556,140",197.70,1.018
40540,PUERTO RICO              ,PATILLAS               ,790,"1,213,552",127.90,"1,135,442",119.67,"15,336","45,381","17,391",222,"426,212",159.45,1.002
40550,PUERTO RICO              ,PENUELAS               ,887,"1,771,872",166.42,"1,640,888",154.12,"39,250","46,698","45,034",340,"737,496",180.58,0.896
40560,PUERTO RICO              ,PONCE                  ,"9,226","18,780,775",169.63,"17,332,827",156.55,"384,218","529,905","533,823","3,988","10,020,751",209.35,0.944
40570,PUERTO RICO              ,QUEBRADILLAS           ,"1,146","2,612,049",189.84,"2,534,014",184.17,"11,397","58,040","8,597",392,"965,226",204.93,0.937
40580,PUERTO RICO              ,RINCON                 ,776,"1,588,864",170.42,"1,535,465",164.70,"18,090","9,496","25,812",272,"656,462",201.00,0.881
40590,PUERTO RICO              ,RIO GRANDE             ,"1,117","1,596,386",119.02,"1,470,743",109.65,"42,684","48,286","34,671",404,"919,592",189.61,0.977
40610,PUERTO RICO              ,SABANA GRANDE          ,"1,168","3,393,395",241.95,"3,304,869",235.64,"27,191","26,984","34,350",458,"1,110,842",201.86,1.004
40620,PUERTO RICO              ,SALINAS                ,"1,548","2,898,184",155.98,"2,677,140",144.08,"42,165","153,016","25,862",489,"882,446",150.33,0.899
40630,PUERTO RICO              ,SAN GERMAN             ,"1,884","4,170,753",184.42,"4,015,054",177.54,"45,525","59,353","50,819",803,"1,955,206",202.86,0.909
40640,PUERTO RICO              ,SAN JUAN               ,"31,418","35,190,680",93.34,"33,305,287",88.34,"495,419","1,009,950","380,024","18,795","53,754,733",238.33,0.983
40650,PUERTO RICO              ,SAN LORENZO            ,"1,386","1,594,684",95.87,"1,497,350",90.02,"10,276","75,542","11,514",502,"1,198,527",198.79,0.956
