AGED -- REPRICING ADJUSTMENTS TO THE 2008-2012 OUTPATIENT REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART B REIMBURSEMENT,,,,,,,,,,
01590,ALABAMA                  ,SUMTER,"-18,618","-19,886","-33,102","-28,783","-21,904",,,,,,
01600,ALABAMA                  ,TALLADEGA,"-243,603","-257,381","-245,560","-218,893","-94,377",,,,,,
01610,ALABAMA                  ,TALLAPOOSA,"-157,134","-149,063","-139,521","-135,421","-137,722",,,,,,
01620,ALABAMA                  ,TUSCALOOSA,"19,726","-62,593","-173,325","-221,033","-126,967",,,,,,
01630,ALABAMA                  ,WALKER,"-166,710","-141,399","-95,760","-108,613","-65,357",,,,,,
01640,ALABAMA                  ,WASHINGTON,"-33,656","-22,176","-32,475","-34,965","-37,059",,,,,,
01650,ALABAMA                  ,WILCOX,"-24,471","-29,248","-33,449","-40,272","-12,716",,,,,,
01660,ALABAMA                  ,WINSTON,"-55,957","-54,092","-46,646","-50,412","-26,505",,,,,,
02010,ALASKA                   ,ALEUTIANS ISLANDS,366,176,"4,339","1,402","1,294",,,,,,
02020,ALASKA                   ,ANCHORAGE,"557,375","766,739","719,314","475,360","460,956",,,,,,
02040,ALASKA                   ,BARROW DIVISION,"1,881","4,226","2,205","5,177","1,190",,,,,,
02050,ALASKA                   ,BETHEL,"1,347","2,922","2,214","2,361","1,863",,,,,,
02060,ALASKA                   ,BRISTOL BAY,"22,865","26,528","29,338","21,365","13,050",,,,,,
02070,ALASKA                   ,DILLINGHAM,"2,420","4,222","2,717","2,106","3,000",,,,,,
02080,ALASKA                   ,CORDOVA-MC CARTHY,"4,463","5,984","3,932","2,006","1,736",,,,,,
02090,ALASKA                   ,FAIRBANKS NORTH STAR,"224,703","331,606","313,707","201,471","197,477",,,,,,
02100,ALASKA                   ,HAINES,"6,810","6,978","8,117","5,389","3,145",,,,,,
02110,ALASKA                   ,JUNEAU,"68,342","64,137","78,460","69,447","58,466",,,,,,
02120,ALASKA                   ,KENAI-COOK INLET DIVISION,"212,444","250,008","274,211","179,922","182,679",,,,,,
02130,ALASKA                   ,KETCHIKAN GATEWAY,"5,307","3,351","7,581","4,182","5,066",,,,,,
02140,ALASKA                   ,KOBUK,"1,130","2,106","7,050","2,597","2,115",,,,,,
02150,ALASKA                   ,KODIAK ISLAND,"4,761","5,160","3,423","3,752","7,483",,,,,,
02160,ALASKA                   ,KUSKOKWIN DIVISION,"2,386",898,"1,162","1,306",534,,,,,,
02170,ALASKA                   ,MATANUSKA-SUSITNA,"214,860","254,508","282,527","190,505","183,633",,,,,,
02180,ALASKA                   ,NOME,"4,646","6,177","1,515","5,061","1,344",,,,,,
02190,ALASKA                   ,OUTER KETCHIKAN DIVISION,"1,477",-49,365,"2,216","1,224",,,,,,
02200,ALASKA                   ,PRINCE OF WALES DIVISION,"2,201","3,183","1,378","1,031","1,046",,,,,,
02210,ALASKA                   ,SEWARD,"5,360","7,053","10,698","14,203","7,525",,,,,,
02220,ALASKA                   ,SITKA,"2,847","2,259","4,218","5,040","8,142",,,,,,
02230,ALASKA                   ,SKAGWAY,"5,462","3,280","7,383","4,771","3,642",,,,,,
02240,ALASKA                   ,SOUTHEAST FAIRBANKS,"13,698","21,307","20,599","15,028","9,865",,,,,,
02250,ALASKA                   ,UPPER YUKON DIVISION,"5,653","8,601","7,311","4,071","4,477",,,,,,
02260,ALASKA                   ,VALDEZ-CHITNA-WHITIER DIVISION,"12,907","14,003","20,091","13,744","19,062",,,,,,
02270,ALASKA                   ,WADE HAMPTON,"1,942",579,"2,052","4,190","1,116",,,,,,
02280,ALASKA                   ,WRANGELL-PETERSBURG CENSUS AREA,"13,463","9,586","10,395","15,467","10,847",,,,,,
02290,ALASKA                   ,YUKON-KOYUKUK,"17,293","22,513","22,317","17,522","12,364",,,,,,
03000,ARIZONA                  ,APACHE,"23,709","15,894","12,992","4,716","-4,567",,,,,,
03010,ARIZONA                  ,COCHISE,"17,893","2,684","-45,950","-68,329","-149,616",,,,,,
03020,ARIZONA                  ,COCONINO,"76,285","12,534","-114,577","-124,736","-123,238",,,,,,
03030,ARIZONA                  ,GILA,"-4,630","-36,513","-141,749","-185,062","-192,986",,,,,,
03040,ARIZONA                  ,GRAHAM,"12,656","7,376","5,331","-8,995","-15,315",,,,,,
03050,ARIZONA                  ,GREENLEE,"1,535",291,-907,"-1,940","-6,524",,,,,,
03055,ARIZONA                  ,LA PAZ,"52,989","27,185","28,841","15,601","-4,746",,,,,,
03060,ARIZONA                  ,MARICOPA,"1,452,441","802,698","-206,269","-37,746","12,632",,,,,,
03070,ARIZONA                  ,MOHAVE,"489,414","29,661","-168,727","-232,886","-590,972",,,,,,
03080,ARIZONA                  ,NAVAJO,"73,449","60,546","40,604","17,146","-21,114",,,,,,
03090,ARIZONA                  ,PIMA,"-147,352","-248,746","-732,865","-642,981","-1,260,836",,,,,,
03100,ARIZONA                  ,PINAL,"133,857","85,646","1,022","17,445","28,694",,,,,,
03110,ARIZONA                  ,SANTA CRUZ,"-4,765","-9,444","-22,202","-22,459","-37,394",,,,,,
03120,ARIZONA                  ,YAVAPAI,"387,670","303,995","-161,389","-1,180,311","-1,270,569",,,,,,
03130,ARIZONA                  ,YUMA,"-116,462","7,248","226,955","169,577","-52,007",,,,,,
04000,ARKANSAS                 ,ARKANSAS,"-26,418","-28,952","-7,484","-6,896","-6,124",,,,,,
04010,ARKANSAS                 ,ASHLEY,"-12,210","-16,758","-9,372","-18,310","-16,134",,,,,,
04020,ARKANSAS                 ,BAXTER,"-69,937","-61,796","-67,246","-44,874","-71,724",,,,,,
04030,ARKANSAS                 ,BENTON,"-5,676","-47,594","95,633","122,044","-260,392",,,,,,
04040,ARKANSAS                 ,BOONE,"-61,311","-66,648","6,821","-34,277","-142,944",,,,,,
04050,ARKANSAS                 ,BRADLEY,"-9,956","-7,777","-2,756","-4,138","-3,833",,,,,,
04060,ARKANSAS                 ,CALHOUN,"-2,610","-2,335","-2,055","-4,262","-3,863",,,,,,
04070,ARKANSAS                 ,CARROLL,"-5,398","-7,987","4,519","4,760","-35,668",,,,,,
04080,ARKANSAS                 ,CHICOT,"-9,297","-11,337","-3,734","-8,087","-5,218",,,,,,
04090,ARKANSAS                 ,CLARK,"-28,249","-35,384","-19,205","-37,946","-34,260",,,,,,
04100,ARKANSAS                 ,CLAY,"-23,246","-17,106","-4,623","-5,475","1,268",,,,,,
04110,ARKANSAS                 ,CLEBURNE,"-35,234","-28,476","-8,840","-9,685","-12,136",,,,,,
04120,ARKANSAS                 ,CLEVELAND,"-8,276","-7,975","-1,539","-2,878","-3,308",,,,,,
04130,ARKANSAS                 ,COLUMBIA,"-29,280","-29,795","-19,189","-30,478","-29,681",,,,,,
04140,ARKANSAS                 ,CONWAY,"-20,955","-16,407","-5,546","-7,627","-7,579",,,,,,
04150,ARKANSAS                 ,CRAIGHEAD,"-95,436","-13,203",-659,"21,291","64,025",,,,,,
04160,ARKANSAS                 ,CRAWFORD,"-98,864","-50,402","-41,707","-7,644","7,416",,,,,,
04170,ARKANSAS                 ,CRITTENDEN,"-37,159","-35,440","-29,774","-42,234","-33,064",,,,,,
04180,ARKANSAS                 ,CROSS,"-13,952","-8,282","-3,508","-2,526","2,321",,,,,,
04190,ARKANSAS                 ,DALLAS,"-7,202","-7,627","-4,334","-7,268","-4,893",,,,,,
04200,ARKANSAS                 ,DESHA,"-12,027","-13,051","-4,922","-5,226","-4,634",,,,,,
04210,ARKANSAS                 ,DREW,"-16,203","-20,988","-6,104","-7,302","-5,691",,,,,,
04220,ARKANSAS                 ,FAULKNER,"-94,522","-76,703","-30,771","-35,946","-31,769",,,,,,
04230,ARKANSAS                 ,FRANKLIN,"-19,680","-13,896","-9,688",-894,"1,732",,,,,,
04240,ARKANSAS                 ,FULTON,"-10,954","-11,880","-4,374","-4,611","-10,690",,,,,,
04250,ARKANSAS                 ,GARLAND,"-533,187","-665,180","-540,208","-712,774","-704,531",,,,,,
04260,ARKANSAS                 ,GRANT,"-24,825","-19,741","-10,325","-12,899","-13,150",,,,,,
04270,ARKANSAS                 ,GREENE,"-41,613","-39,674","-14,318","-5,912","5,596",,,,,,
04280,ARKANSAS                 ,HEMPSTEAD,"-21,918","-29,821","-15,790","-5,274","-11,239",,,,,,
04290,ARKANSAS                 ,HOT SPRING,"-88,087","-92,467","-69,865","-119,578","-115,331",,,,,,
04300,ARKANSAS                 ,HOWARD,"-13,099","-16,012","-11,776","-10,926","-14,547",,,,,,
04310,ARKANSAS                 ,INDEPENDENCE,"-84,246","-78,699","-9,996","-17,621","-24,908",,,,,,
04320,ARKANSAS                 ,IZARD,"-20,553","-20,286","-8,678","-8,869","-12,062",,,,,,
04330,ARKANSAS                 ,JACKSON,"-57,991","-45,385","-10,256","-15,869","-15,890",,,,,,
04340,ARKANSAS                 ,JEFFERSON,"-69,801","-58,179","-14,351","-22,295","-26,859",,,,,,
04350,ARKANSAS                 ,JOHNSON,"-20,634","-22,706","-7,041","-5,320","-3,424",,,,,,
04360,ARKANSAS                 ,LAFAYETTE,"-9,095","-10,393","-6,562","-3,811","-6,493",,,,,,
04370,ARKANSAS                 ,LAWRENCE,"-25,009","-16,997","-5,792","-2,104","1,914",,,,,,
04380,ARKANSAS                 ,LEE,"-13,467","-14,979","-7,224","-4,873","-4,521",,,,,,
04390,ARKANSAS                 ,LINCOLN,"-10,806","-10,118","-1,795","-3,901","-4,778",,,,,,
04400,ARKANSAS                 ,LITTLE RIVER,"-15,365","-15,158","-9,144","-6,025","-13,299",,,,,,
04410,ARKANSAS                 ,LOGAN,"-21,411","-19,035","-11,448","-3,335","1,616",,,,,,
04420,ARKANSAS                 ,LONOKE,"-77,093","-47,612","-18,452","-22,533","-21,337",,,,,,
04430,ARKANSAS                 ,MADISON,"-1,000","-3,537","6,988","14,062","-22,888",,,,,,
04440,ARKANSAS                 ,MARION,"-21,221","-21,075","-15,889","-12,731","-25,121",,,,,,
04450,ARKANSAS                 ,MILLER,"-38,639","-38,947","-25,767","-16,701","-37,387",,,,,,
04460,ARKANSAS                 ,MISSISSIPPI,"-106,248","-66,904","-37,294","-24,288","-9,206",,,,,,
04470,ARKANSAS                 ,MONROE,"-15,962","-14,282","-5,520","-3,297","-3,848",,,,,,
04480,ARKANSAS                 ,MONTGOMERY,"-38,798","-39,028","-33,396","-45,663","-44,155",,,,,,
04490,ARKANSAS                 ,NEVADA,"-10,734","-11,210","-5,922","-3,437","-5,635",,,,,,
04500,ARKANSAS                 ,NEWTON,"-11,626","-12,161","2,242","-4,944","-21,925",,,,,,
04510,ARKANSAS                 ,OUACHITA,"-19,495","-25,356","-13,150","-17,309","-13,815",,,,,,
04520,ARKANSAS                 ,PERRY,"-11,564","-7,778","-2,869","-4,510","-3,718",,,,,,
04530,ARKANSAS                 ,PHILLIPS,"-23,500","-19,888","-12,184","-17,258","-9,980",,,,,,
04540,ARKANSAS                 ,PIKE,"-31,841","-35,230","-31,514","-51,025","-46,535",,,,,,
04550,ARKANSAS                 ,POINSETT,"-30,618","-2,936","2,428","5,120","24,567",,,,,,
04560,ARKANSAS                 ,POLK,"-29,322","-41,309","-27,792","-32,348","-31,501",,,,,,
04570,ARKANSAS                 ,POPE,"-61,881","-58,973","-12,711","-16,151","-21,270",,,,,,
04580,ARKANSAS                 ,PRAIRIE,"-17,507","-13,434","-3,561","-4,236","-4,551",,,,,,
04590,ARKANSAS                 ,PULASKI,"-468,645","-274,322","-109,652","-138,481","-128,874",,,,,,
04600,ARKANSAS                 ,RANDOLPH,"-23,930","-18,120","-3,949","3,161","5,984",,,,,,
04610,ARKANSAS                 ,ST. FRANCIS,"-40,677","-41,172","-23,874","-13,351","-11,673",,,,,,
04620,ARKANSAS                 ,SALINE,"-107,775","-73,685","-39,492","-51,712","-43,053",,,,,,
04630,ARKANSAS                 ,SCOTT,"-12,640","-8,261","-9,241","-1,773",-131,,,,,,
04640,ARKANSAS                 ,SEARCY,"-11,715","-10,676","-2,514","-6,710","-16,133",,,,,,
04650,ARKANSAS                 ,SEBASTIAN,"-159,534","-97,191","-81,742","-13,854","16,065",,,,,,
04660,ARKANSAS                 ,SEVIER,"-8,420","-9,043","-6,025","-5,018","-8,953",,,,,,
04670,ARKANSAS                 ,SHARP,"-47,239","-37,560","-7,668","-7,193","-10,705",,,,,,
04680,ARKANSAS                 ,STONE,"-17,425","-15,817","-6,301","-5,272","-7,478",,,,,,
04690,ARKANSAS                 ,UNION,"-4,588","-5,210","-20,510","-60,618","-46,889",,,,,,
04700,ARKANSAS                 ,VAN BUREN,"-17,533","-12,065","-7,197","-6,790","-6,851",,,,,,
04710,ARKANSAS                 ,WASHINGTON,"-6,236","-34,222","58,745","81,852","-175,647",,,,,,
04720,ARKANSAS                 ,WHITE,"-88,658","-85,111","-18,444","-28,109","-37,408",,,,,,
04730,ARKANSAS                 ,WOODRUFF,"-15,093","-13,210","-2,715","-4,127","-3,402",,,,,,
04740,ARKANSAS                 ,YELL,"-22,782","-24,980","-6,962","-10,136","-9,161",,,,,,
05000,CALIFORNIA               ,ALAMEDA,"1,828,138","1,743,930","1,078,386","1,145,823","1,182,314",,,,,,
05010,CALIFORNIA               ,ALPINE,"3,403","5,071","3,474","5,535","5,713",,,,,,
05020,CALIFORNIA               ,AMADOR,"93,872","121,432","40,035","75,963","62,350",,,,,,
05030,CALIFORNIA               ,BUTTE,"574,302","602,509","547,350","1,045,167","1,576,999",,,,,,
05040,CALIFORNIA               ,CALAVERAS,"244,614","267,936","208,947","294,701","263,255",,,,,,
05050,CALIFORNIA               ,COLUSA,"49,988","72,150","45,403","97,616","142,134",,,,,,
05060,CALIFORNIA               ,CONTRA COSTA,"1,372,187","1,309,288","848,188","1,183,578","1,457,832",,,,,,
05070,CALIFORNIA               ,DEL NORTE,"68,971","66,889","69,859","124,169","147,612",,,,,,
05080,CALIFORNIA               ,EL DORADO,"762,071","1,022,150","690,222","983,279","1,095,453",,,,,,
05090,CALIFORNIA               ,FRESNO,"877,164","978,283","925,336","1,532,177","2,407,546",,,,,,
05100,CALIFORNIA               ,GLENN,"61,016","62,113","51,020","94,429","147,377",,,,,,
05110,CALIFORNIA               ,HUMBOLDT,"436,738","464,725","254,853","286,981","247,208",,,,,,
05120,CALIFORNIA               ,IMPERIAL,"270,015","335,119","292,110","507,045","718,624",,,,,,
05130,CALIFORNIA               ,INYO,"27,870","37,983","40,696","57,221","62,810",,,,,,
05140,CALIFORNIA               ,KERN,"499,676","562,234","617,674","764,054","742,518",,,,,,
05150,CALIFORNIA               ,KINGS,"196,333","218,633","203,639","281,198","469,791",,,,,,
05160,CALIFORNIA               ,LAKE,"209,927","176,111","102,470","104,520","153,966",,,,,,
05170,CALIFORNIA               ,LASSEN,"28,218","55,787","50,112","70,544","83,437",,,,,,
05200,CALIFORNIA               ,LOS ANGELES,"7,494,812","7,087,382","7,619,297","7,028,523","5,719,780",,,,,,
05300,CALIFORNIA               ,MADERA,"184,171","203,041","170,517","282,971","362,523",,,,,,
05310,CALIFORNIA               ,MARIN,"683,451","640,713","390,232","610,775","790,143",,,,,,
05320,CALIFORNIA               ,MARIPOSA,"56,039","56,061","50,772","80,875","68,251",,,,,,
05330,CALIFORNIA               ,MENDOCINO,"-29,558","-182,430","-73,787","270,332","416,564",,,,,,
05340,CALIFORNIA               ,MERCED,"359,782","445,204","372,730","470,816","412,777",,,,,,
05350,CALIFORNIA               ,MODOC,"25,640","26,121","20,274","29,257","19,824",,,,,,
05360,CALIFORNIA               ,MONO,"12,491","24,165","20,191","29,042","50,971",,,,,,
05370,CALIFORNIA               ,MONTEREY,"1,080,784","1,027,324","332,388","124,016","96,634",,,,,,
05380,CALIFORNIA               ,NAPA,"796,146","966,810","520,719","353,431","322,783",,,,,,
05390,CALIFORNIA               ,NEVADA,"581,398","756,885","500,394","704,465","721,009",,,,,,
05400,CALIFORNIA               ,ORANGE,"2,714,594","2,665,479","3,026,928","3,013,375","3,042,109",,,,,,
05410,CALIFORNIA               ,PLACER,"760,143","1,034,571","745,103","1,018,187","1,076,393",,,,,,
05420,CALIFORNIA               ,PLUMAS,"63,205","93,781","83,090","132,980","169,994",,,,,,
05430,CALIFORNIA               ,RIVERSIDE,"1,424,954","1,552,413","1,832,474","2,086,019","2,317,606",,,,,,
05440,CALIFORNIA               ,SACRAMENTO,"2,546,480","3,029,032","2,198,851","2,897,834","3,173,191",,,,,,
05450,CALIFORNIA               ,SAN BENITO,"108,090","114,817","61,398","46,829","28,354",,,,,,
05460,CALIFORNIA               ,SAN BERNARDINO,"1,064,168","1,096,987","1,120,750","1,137,925","1,173,171",,,,,,
05470,CALIFORNIA               ,SAN DIEGO,"2,998,543","2,856,245","3,142,224","3,759,203","4,672,804",,,,,,
05480,CALIFORNIA               ,SAN FRANCISCO,"2,205,830","2,126,329","1,374,906","1,772,798","1,960,281",,,,,,
05490,CALIFORNIA               ,SAN JOAQUIN,"1,863,880","2,060,696","1,318,511","1,935,506","1,961,486",,,,,,
