SNF Wage Indices by Fiscal Year,,,,,,,,,,
County code,State,County name,CBSA 2014,SNF Wage 2008,SNF Wage 2009,SNF Wage 2010,SNF Wage 2011,SNF Wage 2012,SNF Wage 2013,SNF Wage 2014
04390,AR,LINCOLN,38220,0.7839,0.7926,0.7281,0.8012,0.7700,0.7847,0.8069
04400,AR,LITTLE RIVER,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7350,0.7343
04410,AR,LOGAN,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7350,0.7343
04420,AR,LONOKE,30780,0.8863,0.8672,0.8559,0.8546,0.8558,0.8595,0.8629
04430,AR,MADISON,22220,0.8742,0.8970,0.8775,0.8616,0.9263,0.9288,0.8955
04440,AR,MARION,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7350,0.7343
04450,AR,MILLER,45500,0.7770,0.8144,0.8113,0.7748,0.7937,0.7967,0.7428
04460,AR,MISSISSIPPI,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7350,0.7343
04470,AR,MONROE,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7350,0.7343
04480,AR,MONTGOMERY,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7350,0.7343
04490,AR,NEVADA,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7350,0.7343
04500,AR,NEWTON,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7350,0.7343
04510,AR,OUACHITA,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7350,0.7343
04520,AR,PERRY,30780,0.8863,0.8672,0.8559,0.8546,0.8558,0.8595,0.8629
04530,AR,PHILLIPS,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7350,0.7343
04540,AR,PIKE,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7350,0.7343
04550,AR,POINSETT,27860,0.7790,0.7916,0.7722,0.7757,0.7718,0.8084,0.7983
04560,AR,POLK,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7350,0.7343
04570,AR,POPE,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7350,0.7343
04580,AR,PRAIRIE,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7350,0.7343
04590,AR,PULASKI,30780,0.8863,0.8672,0.8559,0.8546,0.8558,0.8595,0.8629
04600,AR,RANDOLPH,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7350,0.7343
04610,AR,ST. FRANCIS,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7350,0.7343
04620,AR,SALINE,30780,0.8863,0.8672,0.8559,0.8546,0.8558,0.8595,0.8629
04630,AR,SCOTT,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7350,0.7343
04640,AR,SEARCY,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7350,0.7343
04650,AR,SEBASTIAN,22900,0.7933,0.7697,0.7861,0.7599,0.7620,0.7848,0.7561
04660,AR,SEVIER,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7350,0.7343
04670,AR,SHARP,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7350,0.7343
04680,AR,STONE,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7350,0.7343
