"AGED -- PUERTO RICO 2012 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE, BENEFICIARIES ENROLLED IN  PART A AND/OR PART B, REIMBURSEMENTS FOR HOSPICE AND COST CONTRACTS EXCLUDED",,,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA,AGED & DBLD MEAN RISK SCORES,
40110,PUERTO RICO,BAYAMON,"9,836","9,288,156",78.69,"8,729,287",73.96,"105,353","364,689","88,826","5,049","13,040,034",215.22,1.015,
40120,PUERTO RICO,CABO ROJO,"2,347","1,486,402",52.78,"1,323,953",47.01,"54,503","52,397","55,698",925,"1,973,205",177.77,0.922,
40130,PUERTO RICO,CAGUAS,"6,852","5,743,457",69.85,"5,381,098",65.44,"54,622","271,777","35,959","3,097","7,434,383",200.04,1.000,
40140,PUERTO RICO,CAMUY,"1,184","653,719",46.01,"593,584",41.78,"5,925","49,631","4,576",305,"702,212",191.86,0.857,
40145,PUERTO RICO,CANOVANAS,7,0,0.00,0,0.00,0,0,0,1,0,0.00,0.924,
40150,PUERTO RICO,CAROLINA,"6,504","5,969,759",76.49,"5,245,535",67.21,"236,732","234,761","252,730","3,452","8,721,050",210.53,0.969,
40160,PUERTO RICO,CATANO,"2,627","1,993,752",63.25,"1,859,045",58.97,"38,359","75,294","21,053","1,143","2,529,473",184.42,0.943,
40170,PUERTO RICO,CAYEY,"2,564","2,138,035",69.49,"1,992,676",64.76,"11,873","123,504","9,981",915,"2,129,398",193.93,0.945,
40180,PUERTO RICO,CEIBA,600,"344,719",47.88,"322,057",44.73,"2,907","15,611","4,142",249,"519,900",174.00,0.994,
40190,PUERTO RICO,CIALES,810,"946,353",97.36,"753,554",77.53,"70,701","104,250","17,847",184,"484,149",219.27,0.986,
40200,PUERTO RICO,CIDRA,"1,347","1,060,623",65.62,"994,131",61.50,"4,396","56,936","5,158",413,"1,004,523",202.69,0.939,
