"DISABLED -- PUERTO RICO 2012 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE, BENEFICIARIES ENROLLED IN  PART A AND/OR PART B, REIMBURSEMENTS FOR HOSPICE AND COST CONTRATCS EXCLUDED",,,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA,AGED & DBLD MEAN RISK SCORES,
40370,PUERTO RICO              ,JUANA DIAZ             ,443,"381,901",71.84,"327,023",61.52,"11,268","26,780","16,828",109,"208,091",159.09,0.933,
40380,PUERTO RICO              ,JUNCOS                 ,555,"384,243",57.69,"320,025",48.05,"24,959","36,345","2,914",174,"256,573",122.88,0.935,
40390,PUERTO RICO              ,LAJAS                  ,254,"131,782",43.24,"117,232",38.46,"3,331","4,194","7,024",56,"121,059",180.15,0.942,
40400,PUERTO RICO              ,LARES                  ,545,"390,853",59.76,"355,493",54.36,"6,326","26,053","2,979",131,"278,206",176.98,1.010,
40410,PUERTO RICO              ,LAS MARIAS             ,93,"6,273",5.62,"5,802",5.20,143,0,327,20,"9,680",40.33,0.868,
40420,PUERTO RICO              ,LAS PIEDRAS            ,803,"531,677",55.18,"454,231",47.14,"17,074","43,915","16,455",248,"444,031",149.20,0.950,
40430,PUERTO RICO              ,LOIZA                  ,756,"606,280",66.83,"524,753",57.84,"26,247","19,685","35,595",214,"379,298",147.70,0.921,
40440,PUERTO RICO              ,LUQUILLO               ,27,"4,134",12.76,"3,777",11.66,0,356,0,9,"14,941",138.34,0.942,
40450,PUERTO RICO              ,MANATI                 ,"1,156","593,239",42.77,"532,978",38.42,"13,445","37,860","8,954",401,"725,103",150.69,0.945,
40460,PUERTO RICO              ,MARICAO                ,30,"7,303",20.29,"4,794",13.32,873,304,"1,330",6,"2,181",30.29,0.947,
40470,PUERTO RICO              ,MAUNABO                ,254,"198,086",64.99,"162,897",53.44,"8,006","25,591","1,589",64,"61,669",80.30,1.039,
40480,PUERTO RICO              ,MAYAGUEZ               ,"1,068","796,784",62.17,"732,139",57.13,"21,295","13,675","29,673",288,"605,072",175.08,0.933,
40490,PUERTO RICO              ,MOCA                   ,476,"135,865",23.79,"128,655",22.52,"1,660","2,796","2,753",133,"228,805",143.36,0.948,
40500,PUERTO RICO              ,MOROVIS                ,475,"164,123",28.79,"149,045",26.15,"3,784","8,147","3,146",96,"103,488",89.83,0.923,
40510,PUERTO RICO              ,NAGUABO                ,391,"170,708",36.38,"148,670",31.69,"5,394","11,295","5,347",105,"194,862",154.65,0.946,
40520,PUERTO RICO              ,NARANJITO              ,531,"144,642",22.70,"133,567",20.96,"2,207","5,429","3,438",143,"272,735",158.94,0.987,
40530,PUERTO RICO              ,OROCOVIS               ,499,"191,317",31.95,"169,834",28.36,"3,255","14,262","3,965",108,"91,278",70.43,0.986,
40540,PUERTO RICO              ,PATILLAS               ,376,"234,355",51.94,"214,177",47.47,"2,025","15,230","2,922",83,"145,160",145.74,0.903,
40550,PUERTO RICO              ,PENUELAS               ,242,"90,735",31.24,"77,321",26.63,"2,961","5,518","4,934",65,"105,606",135.39,0.944,
40560,PUERTO RICO              ,PONCE                  ,"2,069","1,695,227",68.28,"1,446,283",58.25,"66,060","87,950","94,932",596,"1,450,266",202.78,0.928,
40570,PUERTO RICO              ,QUEBRADILLAS           ,519,"220,453",35.40,"202,120",32.45,"2,411","14,738","1,182",139,"212,764",127.56,0.931,
40580,PUERTO RICO              ,RINCON                 ,167,"121,508",60.63,"116,078",57.92,"3,373",710,"1,346",43,"102,099",197.87,0.940,
40590,PUERTO RICO              ,RIO GRANDE             ,310,"114,083",30.67,"89,437",24.04,"7,060","5,214","12,371",69,"169,504",204.71,0.952,
40610,PUERTO RICO              ,SABANA GRANDE          ,275,"157,732",47.80,"133,353",40.41,"3,046","16,107","5,225",83,"181,176",181.90,1.054,
40620,PUERTO RICO              ,SALINAS                ,719,"315,322",36.55,"263,183",30.50,"8,503","34,307","9,328",222,"322,596",121.09,0.907,
40630,PUERTO RICO              ,SAN GERMAN             ,315,"211,077",55.84,"172,727",45.69,"7,406","15,058","15,885",99,"321,175",270.35,0.940,
