DISABLED -- REPRICING ADJUSTMENTS TO THE 2008-2012 INPATIENT REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,,,,,
01590,ALABAMA                  ,SUMTER,"-20,310","-34,924","-42,217","-42,543","-24,297",,,,,,
01600,ALABAMA                  ,TALLADEGA,"-422,659","-378,254","-277,687","-272,659","-99,462",,,,,,
01610,ALABAMA                  ,TALLAPOOSA,"-200,900","-191,817","-176,703","-216,076","-130,879",,,,,,
01620,ALABAMA                  ,TUSCALOOSA,"51,112","-167,729","-375,361","-458,610","-196,639",,,,,,
01630,ALABAMA                  ,WALKER,"-348,172","-266,369","-157,969","-163,787","-72,583",,,,,,
01640,ALABAMA                  ,WASHINGTON,"-49,802","-40,985","-27,125","-55,848","-33,899",,,,,,
01650,ALABAMA                  ,WILCOX,"-34,260","-29,801","-47,596","-58,988","-37,737",,,,,,
01660,ALABAMA                  ,WINSTON,"-89,671","-70,476","-72,364","-67,640","-33,580",,,,,,
02010,ALASKA                   ,ALEUTIANS ISLANDS,207,"14,529",967,0,"5,700",,,,,,
02020,ALASKA                   ,ANCHORAGE,"972,046","939,357","883,171","642,297","551,722",,,,,,
02040,ALASKA                   ,BARROW DIVISION,"1,166","18,147","3,592",358,"1,172",,,,,,
02050,ALASKA                   ,BETHEL,"7,249",732,"1,286","1,634","1,452",,,,,,
02060,ALASKA                   ,BRISTOL BAY,"20,730","50,048","36,455","22,135","14,274",,,,,,
02070,ALASKA                   ,DILLINGHAM,"3,027",641,"1,880","1,710","-1,293",,,,,,
02080,ALASKA                   ,CORDOVA-MC CARTHY,929,"6,820","6,561","5,226",385,,,,,,
02090,ALASKA                   ,FAIRBANKS NORTH STAR,"211,480","354,196","337,277","246,475","186,014",,,,,,
02100,ALASKA                   ,HAINES,"4,280",37,"6,612","2,992","4,707",,,,,,
02110,ALASKA                   ,JUNEAU,"6,663","35,809","28,515","15,487","19,555",,,,,,
02120,ALASKA                   ,KENAI-COOK INLET DIVISION,"112,990","202,170","177,540","61,565","33,725",,,,,,
02130,ALASKA                   ,KETCHIKAN GATEWAY,"10,896","2,279","4,541","6,060","3,970",,,,,,
02140,ALASKA                   ,KOBUK,585,"3,452","3,637",483,224,,,,,,
02150,ALASKA                   ,KODIAK ISLAND,"45,459","5,532","13,404","3,112",73,,,,,,
02160,ALASKA                   ,KUSKOKWIN DIVISION,329,55,16,852,-495,,,,,,
02170,ALASKA                   ,MATANUSKA-SUSITNA,"147,009","173,764","179,567","101,959","93,997",,,,,,
02180,ALASKA                   ,NOME,"13,951","1,587","1,449",0,514,,,,,,
02190,ALASKA                   ,OUTER KETCHIKAN DIVISION,"12,449",119,279,"2,785",0,,,,,,
02200,ALASKA                   ,PRINCE OF WALES DIVISION,738,"2,210","11,126","2,237",748,,,,,,
02210,ALASKA                   ,SEWARD,"19,122","7,566","2,958","2,253","6,186",,,,,,
02220,ALASKA                   ,SITKA,482,"1,462","8,286","5,176","7,356",,,,,,
02230,ALASKA                   ,SKAGWAY,33,"1,887",664,-56,530,,,,,,
02240,ALASKA                   ,SOUTHEAST FAIRBANKS,"14,105","21,651","12,540","7,990","4,539",,,,,,
02250,ALASKA                   ,UPPER YUKON DIVISION,"13,220","1,275","3,814","2,479",0,,,,,,
02260,ALASKA                   ,VALDEZ-CHITNA-WHITIER DIVISION,"23,403","9,029","18,133","12,922","7,088",,,,,,
02270,ALASKA                   ,WADE HAMPTON,"6,249","3,023",716,"2,816","2,029",,,,,,
02280,ALASKA                   ,WRANGELL-PETERSBURG CENSUS AREA,"1,057","5,120","9,181","2,690","2,393",,,,,,
02290,ALASKA                   ,YUKON-KOYUKUK,"17,350","18,703","14,013","11,114","3,294",,,,,,
03000,ARIZONA                  ,APACHE,"47,972","40,109","-5,402","2,719","9,418",,,,,,
03010,ARIZONA                  ,COCHISE,"-30,168","-87,876","-132,892","-114,032","-140,620",,,,,,
03020,ARIZONA                  ,COCONINO,"144,726","105,250","-25,479","-12,156","40,242",,,,,,
03030,ARIZONA                  ,GILA,"92,665","45,772","10,721","-3,540","-3,621",,,,,,
03040,ARIZONA                  ,GRAHAM,"-4,174","-14,180","-30,459","-19,767","-27,561",,,,,,
03050,ARIZONA                  ,GREENLEE,"-3,013","-1,862","-6,943",-286,"-6,128",,,,,,
03055,ARIZONA                  ,LA PAZ,"17,407","13,101","-2,940","-1,192","-1,369",,,,,,
03060,ARIZONA                  ,MARICOPA,"1,949,591","1,159,936","-101,607","53,237","160,356",,,,,,
03070,ARIZONA                  ,MOHAVE,"-115,960","78,802","-197,935","-183,099","-389,739",,,,,,
03080,ARIZONA                  ,NAVAJO,"120,622","71,749","-23,301","-10,440","8,965",,,,,,
03090,ARIZONA                  ,PIMA,"-191,454","-350,431","-813,005","-644,450","-909,770",,,,,,
03100,ARIZONA                  ,PINAL,"276,919","159,899","25,028","15,134","36,331",,,,,,
03110,ARIZONA                  ,SANTA CRUZ,"-12,036","-23,344","-29,376","-5,790","-22,500",,,,,,
03120,ARIZONA                  ,YAVAPAI,"230,866","148,847","49,122","-416,323","-291,073",,,,,,
03130,ARIZONA                  ,YUMA,"-55,303","17,706","88,151","64,502","2,789",,,,,,
04000,ARKANSAS                 ,ARKANSAS,"-28,790","-18,958","-10,168","-7,125","-7,183",,,,,,
04010,ARKANSAS                 ,ASHLEY,"-20,640","-12,723","-12,716","-17,050","-6,085",,,,,,
04020,ARKANSAS                 ,BAXTER,"-61,598","-37,690","-34,577","-18,749","-35,085",,,,,,
04030,ARKANSAS                 ,BENTON,"-20,361","-47,618","72,602","79,854","-121,300",,,,,,
04040,ARKANSAS                 ,BOONE,"-61,080","-40,718","7,950","-27,086","-94,383",,,,,,
04050,ARKANSAS                 ,BRADLEY,"-16,299","-12,194","-4,577","-4,785","-4,003",,,,,,
04060,ARKANSAS                 ,CALHOUN,"-1,937","-1,238","-3,847","-7,281","-3,744",,,,,,
04070,ARKANSAS                 ,CARROLL,"-12,852","-6,422","11,575","4,869","-29,054",,,,,,
04080,ARKANSAS                 ,CHICOT,"-11,924","-7,816","-3,615","-5,963","-2,804",,,,,,
04090,ARKANSAS                 ,CLARK,"-55,225","-29,055","-38,019","-32,581","-35,722",,,,,,
04100,ARKANSAS                 ,CLAY,"-23,175","-11,779","-11,898","-6,112",-891,,,,,,
04110,ARKANSAS                 ,CLEBURNE,"-57,891","-30,157","-15,555","-8,934","-13,025",,,,,,
04120,ARKANSAS                 ,CLEVELAND,"-8,037","-3,636","-2,959","-1,699","-2,470",,,,,,
04130,ARKANSAS                 ,COLUMBIA,"-24,559","-26,599","-21,538","-19,923","-17,210",,,,,,
04140,ARKANSAS                 ,CONWAY,"-51,822","-17,013","-13,810","-8,875","-7,580",,,,,,
04150,ARKANSAS                 ,CRAIGHEAD,"-181,696","-55,028","-70,822","-58,562","12,649",,,,,,
04160,ARKANSAS                 ,CRAWFORD,"-88,383","-55,802","-93,629","-7,506","13,993",,,,,,
04170,ARKANSAS                 ,CRITTENDEN,"-117,514","-90,885","-81,319","-74,665","-45,923",,,,,,
04180,ARKANSAS                 ,CROSS,"-23,507","-17,093","-14,379","-7,689","-8,583",,,,,,
04190,ARKANSAS                 ,DALLAS,"-8,472","-9,323","-7,205","-3,608","-3,411",,,,,,
