"DISABLED -- 2012 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE, BENEFICIARIES ENROLLED IN PARTS A AND/OR B, PUERTO RICO BENEFICIARIES ENROLLED IN BOTH PARTS A AND B ONLY, REIMBURSEMENTS FOR HOSPICE AND COST CONTRATCS EXCLUDED",,,,,,,,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA,AGED & DBLD MEAN RISK SCORES,,,,,,
01320,ALABAMA                  ,HALE                   ,"1,289","3,151,799",203.76,"2,693,522",174.14,"106,188","311,165","40,922","1,180","4,077,378",287.95,0.905,,,,,,
01330,ALABAMA                  ,HENRY                  ,756,"1,869,084",206.03,"1,707,407",188.21,"7,002","152,773","1,900",690,"2,500,046",301.94,0.935,,,,,,
01340,ALABAMA                  ,HOUSTON                ,"4,111","12,879,685",261.08,"11,600,891",235.16,"112,513","1,122,337","43,942","3,801","15,559,901",341.14,0.955,,,,,,
01350,ALABAMA                  ,JACKSON                ,"2,424","8,464,727",291.00,"7,505,663",258.03,"168,681","744,865","45,517","2,245","11,491,218",426.55,1.000,,,,,,
01360,ALABAMA                  ,JEFFERSON              ,"16,729","60,753,590",302.64,"51,874,973",258.41,"3,047,866","4,263,535","1,567,214","13,780","50,647,443",306.29,0.948,,,,,,
01370,ALABAMA                  ,LAMAR                  ,874,"2,412,116",229.99,"2,104,309",200.64,"58,681","227,370","21,754",804,"3,743,744",388.03,0.994,,,,,,
01380,ALABAMA                  ,LAUDERDALE             ,"3,968","11,846,687",248.80,"10,746,457",225.69,"188,738","866,332","45,158","3,656","15,439,175",351.91,0.939,,,,,,
01390,ALABAMA                  ,LAWRENCE               ,"1,252","3,850,516",256.29,"3,428,385",228.19,"56,621","348,273","17,236","1,133","6,625,721",487.33,1.022,,,,,,
01400,ALABAMA                  ,LEE                    ,"3,500","8,364,612",199.16,"7,311,760",174.09,"115,877","893,184","43,790","3,170","11,976,051",314.83,0.916,,,,,,
01410,ALABAMA                  ,LIMESTONE              ,"2,064","6,702,664",270.62,"5,868,922",236.96,"131,264","669,689","32,787","1,857","10,313,622",462.83,0.963,,,,,,
01420,ALABAMA                  ,LOWNDES                ,377,"1,222,831",270.30,"1,032,144",228.15,"38,486","141,463","10,737",337,"1,168,701",289.00,0.950,,,,,,
