AGED -- REPRICING ADJUSTMENTS TO THE 2008-2012 PHYSICIAN REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT GEOGRAPHIC PRACTICE COST INDEX,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART B REIMBURSEMENT,,,,,,,,,,
01610,ALABAMA                  ,TALLAPOOSA,"109,457","139,490","-171,462","-188,230","49,535",,,,,,
01620,ALABAMA                  ,TUSCALOOSA,"328,608","390,689","-513,642","-655,568","170,407",,,,,,
01630,ALABAMA                  ,WALKER,"216,002","253,353","-312,087","-345,869","81,289",,,,,,
01640,ALABAMA                  ,WASHINGTON,"34,489","39,835","-61,333","-69,313","18,320",,,,,,
01650,ALABAMA                  ,WILCOX,"21,690","23,696","-32,226","-43,405","9,306",,,,,,
01660,ALABAMA                  ,WINSTON,"73,838","85,691","-111,093","-126,153","29,526",,,,,,
02010,ALASKA                   ,ALEUTIANS ISLANDS,"6,455",439,246,-17,340,,,,,,
02020,ALASKA                   ,ANCHORAGE,"4,207,427","24,028","-2,227","-23,120","269,256",,,,,,
02040,ALASKA                   ,BARROW DIVISION,"9,211",214,-240,-194,"1,051",,,,,,
02050,ALASKA                   ,BETHEL,"11,226",-6,-79,-159,454,,,,,,
02060,ALASKA                   ,BRISTOL BAY,"93,162","2,574","1,067",360,"4,366",,,,,,
02070,ALASKA                   ,DILLINGHAM,"19,729",448,58,249,"1,568",,,,,,
02080,ALASKA                   ,CORDOVA-MC CARTHY,"28,410",804,491,-189,"1,298",,,,,,
02090,ALASKA                   ,FAIRBANKS NORTH STAR,"949,862","16,078","7,260","3,704","50,260",,,,,,
02100,ALASKA                   ,HAINES,"28,719","1,875","1,396",927,"1,803",,,,,,
02110,ALASKA                   ,JUNEAU,"416,292","20,481","16,336","7,267","13,699",,,,,,
02120,ALASKA                   ,KENAI-COOK INLET DIVISION,"995,911","14,141","6,915","-1,050","51,456",,,,,,
02130,ALASKA                   ,KETCHIKAN GATEWAY,"128,143","13,621","11,103","4,409",732,,,,,,
02140,ALASKA                   ,KOBUK,"8,402",241,85,72,765,,,,,,
02150,ALASKA                   ,KODIAK ISLAND,"53,717","1,041","1,478",514,"3,000",,,,,,
02160,ALASKA                   ,KUSKOKWIN DIVISION,"11,633",52,159,-124,496,,,,,,
02170,ALASKA                   ,MATANUSKA-SUSITNA,"1,406,804","8,377",849,"-9,220","90,422",,,,,,
02180,ALASKA                   ,NOME,"34,694",761,211,-23,"2,386",,,,,,
02190,ALASKA                   ,OUTER KETCHIKAN DIVISION,"14,580","1,022",-398,32,405,,,,,,
02200,ALASKA                   ,PRINCE OF WALES DIVISION,"24,775","2,599","2,178",842,322,,,,,,
02210,ALASKA                   ,SEWARD,"66,138",700,165,-36,"4,688",,,,,,
02220,ALASKA                   ,SITKA,"82,960","6,819","5,198","2,053","1,949",,,,,,
02230,ALASKA                   ,SKAGWAY,"18,516","1,349",932,564,140,,,,,,
02240,ALASKA                   ,SOUTHEAST FAIRBANKS,"84,751","1,159",683,242,"3,839",,,,,,
02250,ALASKA                   ,UPPER YUKON DIVISION,"15,341",165,-208,127,534,,,,,,
02260,ALASKA                   ,VALDEZ-CHITNA-WHITIER DIVISION,"92,841","1,904",-152,"-1,254","5,689",,,,,,
02270,ALASKA                   ,WADE HAMPTON,"9,946",-12,-145,-140,372,,,,,,
02280,ALASKA                   ,WRANGELL-PETERSBURG CENSUS AREA,"55,882","9,299","7,497","2,553",827,,,,,,
02290,ALASKA                   ,YUKON-KOYUKUK,"58,490","1,281",422,"1,031","3,331",,,,,,
03000,ARIZONA                  ,APACHE,"33,983","67,901","18,599","4,634","9,210",,,,,,
03010,ARIZONA                  ,COCHISE,"163,810","463,276","191,486","95,387","63,192",,,,,,
03020,ARIZONA                  ,COCONINO,"102,177","291,241","129,160","58,368","50,795",,,,,,
03030,ARIZONA                  ,GILA,"96,495","297,421","136,656","69,164","46,199",,,,,,
03040,ARIZONA                  ,GRAHAM,"19,811","59,199","27,112","12,620","7,309",,,,,,
03050,ARIZONA                  ,GREENLEE,"4,893","16,845","6,316","3,675","1,713",,,,,,
03055,ARIZONA                  ,LA PAZ,"36,130","81,644","41,610","16,776","7,981",,,,,,
03060,ARIZONA                  ,MARICOPA,"2,923,805","8,708,137","3,711,196","2,093,600","1,831,644",,,,,,
03070,ARIZONA                  ,MOHAVE,"348,251","956,771","420,190","178,337","86,126",,,,,,
03080,ARIZONA                  ,NAVAJO,"69,908","216,824","90,571","46,400","27,296",,,,,,
03090,ARIZONA                  ,PIMA,"888,466","2,547,285","1,045,734","547,026","437,007",,,,,,
03100,ARIZONA                  ,PINAL,"239,687","710,155","290,836","162,613","146,401",,,,,,
03110,ARIZONA                  ,SANTA CRUZ,"23,114","73,781","30,207","15,508","12,170",,,,,,
03120,ARIZONA                  ,YAVAPAI,"353,415","1,063,246","464,395","247,761","194,465",,,,,,
03130,ARIZONA                  ,YUMA,"234,832","613,041","255,896","132,524","93,027",,,,,,
04000,ARKANSAS                 ,ARKANSAS,"42,133","46,512","-97,139","-98,833","9,357",,,,,,
04010,ARKANSAS                 ,ASHLEY,"48,200","52,114","-110,289","-136,046","22,257",,,,,,
04020,ARKANSAS                 ,BAXTER,"260,958","180,412","-326,348","-374,956","31,097",,,,,,
04030,ARKANSAS                 ,BENTON,"335,682","279,783","-620,605","-688,908","65,961",,,,,,
04040,ARKANSAS                 ,BOONE,"95,543","87,426","-180,194","-212,639","14,382",,,,,,
04050,ARKANSAS                 ,BRADLEY,"25,507","31,823","-66,985","-75,933","6,823",,,,,,
04060,ARKANSAS                 ,CALHOUN,"9,756","10,932","-21,257","-24,791","2,645",,,,,,
04070,ARKANSAS                 ,CARROLL,"49,251","44,308","-98,281","-114,477","8,610",,,,,,
04080,ARKANSAS                 ,CHICOT,"19,814","18,787","-66,838","-66,043","3,144",,,,,,
04090,ARKANSAS                 ,CLARK,"37,068","39,336","-80,099","-94,246","9,263",,,,,,
04100,ARKANSAS                 ,CLAY,"35,579","34,540","-72,491","-82,109","6,359",,,,,,
04110,ARKANSAS                 ,CLEBURNE,"88,172","85,276","-177,900","-196,980","17,570",,,,,,
04120,ARKANSAS                 ,CLEVELAND,"14,801","20,348","-44,457","-43,930","4,303",,,,,,
04130,ARKANSAS                 ,COLUMBIA,"42,603","48,808","-111,417","-136,796","22,440",,,,,,
04140,ARKANSAS                 ,CONWAY,"43,171","45,229","-96,593","-110,046","10,330",,,,,,
04150,ARKANSAS                 ,CRAIGHEAD,"146,278","155,738","-336,003","-389,652","37,033",,,,,,
04160,ARKANSAS                 ,CRAWFORD,"86,095","77,718","-163,964","-176,583","19,492",,,,,,
04170,ARKANSAS                 ,CRITTENDEN,"39,454","36,535","-150,269","-172,792","8,446",,,,,,
04180,ARKANSAS                 ,CROSS,"22,761","26,245","-69,796","-82,045","6,319",,,,,,
04190,ARKANSAS                 ,DALLAS,"16,856","18,332","-36,896","-42,872","4,338",,,,,,
04200,ARKANSAS                 ,DESHA,"21,794","25,244","-56,674","-64,923","5,844",,,,,,
04210,ARKANSAS                 ,DREW,"31,829","41,468","-88,355","-103,795","9,641",,,,,,
04220,ARKANSAS                 ,FAULKNER,"167,646","170,741","-365,506","-414,735","39,017",,,,,,
04230,ARKANSAS                 ,FRANKLIN,"31,985","28,814","-58,156","-67,190","7,008",,,,,,
04240,ARKANSAS                 ,FULTON,"33,742","29,785","-53,287","-63,677","4,532",,,,,,
04250,ARKANSAS                 ,GARLAND,"360,299","314,823","-653,359","-785,355","79,677",,,,,,
04260,ARKANSAS                 ,GRANT,"33,016","40,023","-85,438","-95,644","8,434",,,,,,
04270,ARKANSAS                 ,GREENE,"64,270","67,245","-136,926","-161,784","16,418",,,,,,
04280,ARKANSAS                 ,HEMPSTEAD,"27,253","30,920","-71,803","-70,515","9,005",,,,,,
04290,ARKANSAS                 ,HOT SPRING,"60,347","67,046","-142,761","-166,509","15,908",,,,,,
04300,ARKANSAS                 ,HOWARD,"21,122","26,988","-49,424","-59,287","6,552",,,,,,
04310,ARKANSAS                 ,INDEPENDENCE,"80,184","88,564","-187,508","-216,002","21,182",,,,,,
04320,ARKANSAS                 ,IZARD,"46,288","39,213","-67,381","-76,689","7,704",,,,,,
04330,ARKANSAS                 ,JACKSON,"45,001","49,267","-103,847","-112,371","10,797",,,,,,
04340,ARKANSAS                 ,JEFFERSON,"115,471","127,954","-282,517","-350,117","29,806",,,,,,
04350,ARKANSAS                 ,JOHNSON,"36,121","31,542","-64,654","-77,347","8,395",,,,,,
04360,ARKANSAS                 ,LAFAYETTE,"10,288","15,059","-30,406","-33,187","5,763",,,,,,
04370,ARKANSAS                 ,LAWRENCE,"36,737","40,230","-83,732","-93,873","9,282",,,,,,
