AGED -- REPRICING ADJUSTMENTS TO THE 2008-2012 INPATIENT REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,
01620,ALABAMA                  ,TUSCALOOSA,"231,901","-413,296","-1,043,194","-1,170,357","-594,921",,
01630,ALABAMA                  ,WALKER,"-1,070,336","-755,818","-479,960","-502,033","-249,427",,
01640,ALABAMA                  ,WASHINGTON,"-168,088","-129,058","-121,280","-130,293","-144,043",,
01650,ALABAMA                  ,WILCOX,"-106,261","-104,235","-86,598","-140,247","-88,478",,
01660,ALABAMA                  ,WINSTON,"-317,744","-243,198","-191,577","-177,983","-95,858",,
02010,ALASKA                   ,ALEUTIANS ISLANDS,"6,525","8,974","10,708","6,194","2,798",,
02020,ALASKA                   ,ANCHORAGE,"4,100,326","4,373,082","4,018,961","2,641,968","2,247,479",,
02040,ALASKA                   ,BARROW DIVISION,"13,719","28,221","16,748","15,438","2,538",,
02050,ALASKA                   ,BETHEL,"29,274","36,071","29,317","11,569","24,813",,
02060,ALASKA                   ,BRISTOL BAY,"123,973","134,552","143,387","111,336","56,050",,
02070,ALASKA                   ,DILLINGHAM,"29,752","14,284","11,210","11,327","7,057",,
02080,ALASKA                   ,CORDOVA-MC CARTHY,"41,655","39,702","36,222","15,234","16,371",,
02090,ALASKA                   ,FAIRBANKS NORTH STAR,"1,137,449","1,832,809","1,617,618","1,101,200","810,689",,
02100,ALASKA                   ,HAINES,"15,872","34,557","19,238","25,950","17,524",,
02110,ALASKA                   ,JUNEAU,"169,255","114,764","145,916","90,214","68,170",,
02120,ALASKA                   ,KENAI-COOK INLET DIVISION,"552,664","745,858","649,445","410,652","309,015",,
02130,ALASKA                   ,KETCHIKAN GATEWAY,"16,130","24,567","29,213","6,351",-717,,
02140,ALASKA                   ,KOBUK,"25,258","38,617","56,387","9,240","9,470",,
02150,ALASKA                   ,KODIAK ISLAND,"35,364","47,364","68,053","27,110","30,938",,
02160,ALASKA                   ,KUSKOKWIN DIVISION,"22,358","6,146","7,985","7,132","4,101",,
02170,ALASKA                   ,MATANUSKA-SUSITNA,"662,196","697,622","677,357","344,813","279,064",,
02180,ALASKA                   ,NOME,"39,764","64,329","19,917","10,463","29,750",,
02190,ALASKA                   ,OUTER KETCHIKAN DIVISION,"17,146","2,143","-2,355","4,034","1,956",,
02200,ALASKA                   ,PRINCE OF WALES DIVISION,"14,417","6,282","2,803","1,971","8,117",,
02210,ALASKA                   ,SEWARD,"71,400","131,569","48,813","52,525","44,558",,
02220,ALASKA                   ,SITKA,"32,941","46,799","48,938","13,346","30,561",,
02230,ALASKA                   ,SKAGWAY,"13,592","31,445","20,343","22,617","6,345",,
