AGED -- REPRICING ADJUSTMENTS TO THE 2008-2012 INPATIENT REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,
14370,ILLINOIS                 ,FULTON,"-390,403","-280,281","-324,261","-268,677","-181,912",,
14380,ILLINOIS                 ,GALLATIN,"-12,197","-16,549","-10,584","2,231","-9,625",,
14390,ILLINOIS                 ,GREENE,-907,"-32,353","-48,762","26,403","30,602",,
14400,ILLINOIS                 ,GRUNDY,"-324,417","-76,676","-212,934","-283,128","-264,732",,
14410,ILLINOIS                 ,HAMILTON,"4,871","6,428","18,709","18,812","1,197",,
14420,ILLINOIS                 ,HANCOCK,"-8,052","-23,617","-13,329","-15,232","-34,602",,
14421,ILLINOIS                 ,HARDIN,"8,545","6,551","4,270","2,358","2,446",,
14440,ILLINOIS                 ,HENDERSON,"18,799","35,624","39,202","2,375","-30,286",,
14450,ILLINOIS                 ,HENRY,"12,856","162,848","134,980","95,597","-14,316",,
14460,ILLINOIS                 ,IROQUOIS,"-162,210","-102,451","-221,996","-248,095","-165,030",,
14470,ILLINOIS                 ,JACKSON,"-321,555","-311,742","-221,022","68,085","42,059",,
14480,ILLINOIS                 ,JASPER,"27,574","21,030","18,389","32,224","31,017",,
14490,ILLINOIS                 ,JEFFERSON,"172,050","187,670","199,486","184,734","105,549",,
14500,ILLINOIS                 ,JERSEY,"-55,979","-28,945","-58,616","-46,685","-117,989",,
14510,ILLINOIS                 ,JO DAVIESS,"-72,479","-105,817","-58,011","-22,899","-4,859",,
14520,ILLINOIS                 ,JOHNSON,"21,483","16,110","31,581","13,891","18,806",,
14530,ILLINOIS                 ,KANE,"-2,143,942","-462,166","-1,389,358","-2,136,758","-1,966,211",,
14540,ILLINOIS                 ,KANKAKEE,"-811,785","-494,362","-611,343","-891,400","-531,015",,
14550,ILLINOIS                 ,KENDALL,"-233,876","-43,083","-140,125","-219,964","-225,254",,
14560,ILLINOIS                 ,KNOX,"-240,684","-113,414","-266,036","-39,004","127,252",,
14570,ILLINOIS                 ,LAKE,"-719,286","919,260","-490,560","-2,105,093","-101,957",,
14580,ILLINOIS                 ,LA SALLE,"-1,265,959","-1,020,890","-1,061,676","-777,127","-657,152",,
14590,ILLINOIS                 ,LAWRENCE,"60,830","86,758","96,085","115,768","78,860",,
14600,ILLINOIS                 ,LEE,"-179,478","-10,056","-110,703","-130,106","-134,003",,
14610,ILLINOIS                 ,LIVINGSTON,"-161,754","-148,385","-183,471","-175,835","-162,971",,
14620,ILLINOIS                 ,LOGAN,"-15,649","-101,759","-127,886","33,856","88,650",,
14630,ILLINOIS                 ,MCDONOUGH,"-135,713","-110,240","-104,344","-31,448","-37,587",,
14640,ILLINOIS                 ,MCHENRY,"-1,420,759","-183,309","-970,002","-1,548,243","-1,088,515",,
14650,ILLINOIS                 ,MCLEAN,"-486,148","-549,357","-598,974","-624,370","-615,458",,
14660,ILLINOIS                 ,MACON,"753,007","-334,799","-1,103,384","-978,381","-231,921",,
14670,ILLINOIS                 ,MACOUPIN,"79,991","-31,706","-97,130","154,294","147,243",,
14680,ILLINOIS                 ,MADISON,"932,411","925,600","598,354","641,699","149,602",,
14690,ILLINOIS                 ,MARION,"257,597","291,689","325,928","333,709","218,040",,
14700,ILLINOIS                 ,MARSHALL,"-249,472","-223,534","-246,856","-157,376","-112,862",,
14710,ILLINOIS                 ,MASON,"-156,330","-162,169","-209,342","-144,649","-31,376",,
14720,ILLINOIS                 ,MASSAC,"92,135","70,743","76,205","16,255","33,298",,
14730,ILLINOIS                 ,MENARD,"11,669","-48,975","-74,207","49,128","63,600",,
14740,ILLINOIS                 ,MERCER,"92,522","130,385","193,486","120,959","31,905",,
14750,ILLINOIS                 ,MONROE,"101,646","94,112","69,212","64,238","19,324",,
14760,ILLINOIS                 ,MONTGOMERY,"41,943","-58,016","-110,051","82,238","105,868",,
14770,ILLINOIS                 ,MORGAN,"81,018","-36,704","-147,580","193,396","192,603",,
14780,ILLINOIS                 ,MOULTRIE,"38,779","-65,735","-227,494","-209,498","-108,827",,
14790,ILLINOIS                 ,OGLE,"-168,306","-122,412","-288,306","-218,076","-161,537",,
14800,ILLINOIS                 ,PEORIA,"-3,113,672","-2,438,185","-2,959,997","-2,608,632","-1,636,207",,
14810,ILLINOIS                 ,PERRY,"-64,920","-63,408","-46,015","41,748","17,559",,
14820,ILLINOIS                 ,PIATT,"26,713","-56,099","-212,571","-183,848","-109,225",,
14830,ILLINOIS                 ,PIKE,"-9,901","-28,567","-31,902","32,617","31,509",,
14831,ILLINOIS                 ,POPE,"14,475","13,933","15,499","2,529","5,467",,
14850,ILLINOIS                 ,PULASKI,"12,179","30,033","16,308","23,754","13,568",,
14860,ILLINOIS                 ,PUTNAM,"-182,697","-172,939","-167,887","-50,350","-45,431",,
14870,ILLINOIS                 ,RANDOLPH,"71,539","87,198","57,621","83,154","17,459",,
14880,ILLINOIS                 ,RICHLAND,"23,000","17,601","31,410","41,011","18,914",,
14890,ILLINOIS                 ,ROCK ISLAND,"1,491,882","2,058,337","2,431,188","1,756,098","309,436",,
14900,ILLINOIS                 ,ST. CLAIR,"823,426","833,954","536,286","581,198","153,908",,
14910,ILLINOIS                 ,SALINE,"-49,116","-42,752","-40,920","26,475","2,185",,
14920,ILLINOIS                 ,SANGAMON,"115,889","-703,523","-1,079,921","686,314","963,290",,
14921,ILLINOIS                 ,SCHUYLER,"4,592","-22,431","-23,113","22,672","23,163",,
14940,ILLINOIS                 ,SCOTT,"11,653","-5,670","-18,151","22,939","30,092",,
14950,ILLINOIS                 ,SHELBY,"85,116","-36,548","-104,353","-28,132","34,851",,
14960,ILLINOIS                 ,STARK,"-101,561","-93,666","-121,063","-83,681","-69,536",,
14970,ILLINOIS                 ,STEPHENSON,"-120,761","-164,463","-334,470","-217,861","-106,321",,
14980,ILLINOIS                 ,TAZEWELL,"-2,574,779","-2,266,047","-2,547,696","-2,275,740","-1,378,074",,
14981,ILLINOIS                 ,UNION,"-18,777","1,123","-29,527","57,341","27,060",,
14982,ILLINOIS                 ,VERMILION,"154,013","-57,679","52,172","-690,470","-634,744",,
14983,ILLINOIS                 ,WABASH,"-15,506","-7,434","-2,776","3,290","-17,074",,
14984,ILLINOIS                 ,WARREN,"-50,937","-24,908","-56,986","-19,924","13,409",,
14985,ILLINOIS                 ,WASHINGTON,"56,321","58,895","50,001","45,688","25,128",,
14986,ILLINOIS                 ,WAYNE,"15,680","26,012","21,792","26,149","5,185",,
14987,ILLINOIS                 ,WHITE,"-48,448","-17,920","-11,560","10,509","-45,620",,
14988,ILLINOIS                 ,WHITESIDE,"583,276","967,041","1,116,758","746,947","89,908",,
14989,ILLINOIS                 ,WILL,"-3,178,838","-727,695","-2,084,722","-3,073,057","-2,749,037",,
14990,ILLINOIS                 ,WILLIAMSON,"-36,951","-73,556","5,223","116,831","39,292",,
14991,ILLINOIS                 ,WINNEBAGO,"-1,238,592","-1,013,384","-2,030,139","-1,542,789","-889,620",,
14992,ILLINOIS                 ,WOODFORD,"-349,562","-328,659","-352,030","-368,932","-242,701",,
15000,INDIANA                  ,ADAMS,"-15,013",-353,"-5,413","-69,967","-91,137",,
15010,INDIANA                  ,ALLEN,"-259,510","-10,477","-216,440","-1,023,359","-1,400,223",,
15020,INDIANA                  ,BARTHOLOMEW,"277,760","307,695","603,178","685,084","700,031",,
15030,INDIANA                  ,BENTON,"144,379","119,323","175,495","98,613","117,388",,
15040,INDIANA                  ,BLACKFORD,"149,045","111,350","125,373","126,399","100,721",,
15050,INDIANA                  ,BOONE,"208,113","225,776","374,738","409,206","341,457",,
15060,INDIANA                  ,BROWN,"34,431","48,002","45,398","71,154","83,220",,
15070,INDIANA                  ,CARROLL,"227,479","213,521","233,811","191,577","179,865",,
15080,INDIANA                  ,CASS,"89,272","91,594","155,721","162,951","171,036",,
15090,INDIANA                  ,CLARK,"-863,000","-984,677","-342,005","-153,796","-112,243",,
15100,INDIANA                  ,CLAY,"268,964","209,212","270,514","310,501","288,006",,
15110,INDIANA                  ,CLINTON,"291,917","251,609","347,451","316,453","261,352",,
15120,INDIANA                  ,CRAWFORD,"-39,927","-64,964","-18,314","-2,809","5,561",,
15130,INDIANA                  ,DAVIESS,"-12,659","11,213","29,649","89,143","5,963",,
15140,INDIANA                  ,DEARBORN,"-342,198","-216,505","-175,415","-242,429","-64,750",,
15150,INDIANA                  ,DECATUR,"74,262","77,123","140,438","134,100","157,051",,
15160,INDIANA                  ,DE KALB,"-127,107","-85,298","-85,264","-106,797","-158,067",,
15170,INDIANA                  ,DELAWARE,"1,638,749","1,594,987","1,412,756","1,547,642","1,437,238",,
15180,INDIANA                  ,DUBOIS,"-86,368","-41,261","-32,318","62,312","-35,128",,
15190,INDIANA                  ,ELKHART,"-888,506","-862,542","-655,736","-534,593","-185,502",,
15200,INDIANA                  ,FAYETTE,"-95,905","-56,971","-96,127","-273,036","-223,089",,
15210,INDIANA                  ,FLOYD,"-548,142","-648,250","-223,738","-98,865","-76,741",,
15220,INDIANA                  ,FOUNTAIN,"139,692","164,958","232,764","167,593","136,200",,
15230,INDIANA                  ,FRANKLIN,"-90,968","-57,211","-39,760","-81,726","-20,180",,
15240,INDIANA                  ,FULTON,"-24,081","-25,915","-10,228","-23,182",-288,,
15250,INDIANA                  ,GIBSON,"-62,233","-38,529","-13,555","28,549","-36,634",,
15260,INDIANA                  ,GRANT,"471,742","443,445","491,303","504,816","509,458",,
15270,INDIANA                  ,GREENE,"239,359","210,463","275,179","288,567","307,642",,
15280,INDIANA                  ,HAMILTON,"610,426","630,291","1,037,849","1,256,812","1,137,842",,
15290,INDIANA                  ,HANCOCK,"295,854","283,871","471,392","537,703","456,383",,
15300,INDIANA                  ,HARRISON,"-216,289","-258,669","-86,742","-40,232","-32,589",,
15310,INDIANA                  ,HENDRICKS,"457,824","506,506","779,246","1,004,645","835,166",,
15320,INDIANA                  ,HENRY,"528,486","461,615","578,982","613,572","583,792",,
15330,INDIANA                  ,HOWARD,"-498,955","-455,907","-524,871","329,946","398,984",,
15340,INDIANA                  ,HUNTINGTON,"-25,435","6,464","-33,441","-159,844","-208,862",,
15350,INDIANA                  ,JACKSON,"-405,004","-426,111","-280,247","-320,397","-333,296",,
15360,INDIANA                  ,JASPER,"42,020","2,217","148,118","91,923","83,781",,
15370,INDIANA                  ,JAY,"111,961","118,467","116,058","110,776","94,299",,
15380,INDIANA                  ,JEFFERSON,"-292,970","-254,864","-90,057","-77,550","-15,576",,
15390,INDIANA                  ,JENNINGS,"-22,786","-11,194","60,718","82,370","80,717",,
15400,INDIANA                  ,JOHNSON,"574,854","573,104","961,899","1,043,986","942,334",,
15410,INDIANA                  ,KNOX,"194,688","260,530","388,255","357,031","288,894",,
15420,INDIANA                  ,KOSCIUSKO,"-119,735","-200,109","-155,144","-271,332","-240,103",,
15430,INDIANA                  ,LAGRANGE,"-55,903","-42,442","-44,591","-86,811","-95,292",,
15440,INDIANA                  ,LAKE,"-2,753,631","-746,194","-2,012,582","-2,084,405","-2,139,222",,
15450,INDIANA                  ,LA PORTE,"-405,415","-582,903","-440,564","-578,927","-416,082",,
15460,INDIANA                  ,LAWRENCE,"139,862","152,155","225,850","281,956","284,759",,
15470,INDIANA                  ,MADISON,"1,191,070","1,093,252","1,448,394","1,757,972","1,590,314",,
15480,INDIANA                  ,MARION,"3,861,740","3,943,437","6,256,778","7,198,440","6,329,187",,
15490,INDIANA                  ,MARSHALL,"-208,726","-220,006","-164,624","-206,874","-77,148",,
15500,INDIANA                  ,MARTIN,"-7,111","-5,147","20,241","34,075","14,769",,
15510,INDIANA                  ,MIAMI,"21,056","-11,756","68,736","95,089","68,456",,
15520,INDIANA                  ,MONROE,"526,492","473,019","638,330","727,938","743,728",,
15530,INDIANA                  ,MONTGOMERY,"217,565","211,220","351,010","321,937","301,614",,
15540,INDIANA                  ,MORGAN,"304,012","320,202","527,161","651,573","566,559",,
15550,INDIANA                  ,NEWTON,"10,082","64,030","50,678","43,337","31,080",,
15560,INDIANA                  ,NOBLE,"-85,639","-105,808","-88,867","-183,488","-189,035",,
15570,INDIANA                  ,OHIO,"-45,512","-46,924","-24,509","-24,166","-8,501",,
15580,INDIANA                  ,ORANGE,"21,012","10,133","51,478","85,415","70,049",,
15590,INDIANA                  ,OWEN,"110,713","104,646","139,270","173,437","154,703",,
15600,INDIANA                  ,PARKE,"128,598","114,408","167,238","174,363","146,509",,
15610,INDIANA                  ,PERRY,"-35,213","-48,778","-49,807","-17,283","-39,523",,
15620,INDIANA                  ,PIKE,"-18,477","-13,536",-770,"27,868","-12,891",,
15630,INDIANA                  ,PORTER,"-415,148","-1,233,475","330,930","432,601","358,741",,
15640,INDIANA                  ,POSEY,"-58,280","-45,367","-18,183","6,846","-70,087",,
15650,INDIANA                  ,PULASKI,"56,228","22,567","44,161","49,965","53,866",,
15660,INDIANA                  ,PUTNAM,"124,386","127,387","220,641","240,921","212,567",,
15670,INDIANA                  ,RANDOLPH,"109,418","125,239","114,582","115,396","135,809",,
15680,INDIANA                  ,RIPLEY,"-106,929","-75,152","-16,560","-36,396","21,732",,
15690,INDIANA                  ,RUSH,"65,744","75,081","132,116","147,161","127,464",,
15700,INDIANA                  ,ST. JOSEPH,"-1,770,712","-1,954,264","-1,582,824","-1,822,568","-296,973",,
15710,INDIANA                  ,SCOTT,"-133,568","-209,258","-79,266","-36,429","-36,527",,
15720,INDIANA                  ,SHELBY,"206,225","210,019","387,208","415,575","405,621",,
15730,INDIANA                  ,SPENCER,"-35,718","-45,019","-26,944","-21,204","-49,915",,
15740,INDIANA                  ,STARKE,"-56,797","-97,843","-11,846","-11,939","15,142",,
15750,INDIANA                  ,STEUBEN,"-45,538","-25,946","-38,673","-103,938","-116,040",,
15760,INDIANA                  ,SULLIVAN,"198,042","169,183","198,751","182,129","189,137",,
15770,INDIANA                  ,SWITZERLAND,"-84,836","-73,726","-37,815","-51,596","-10,741",,
15780,INDIANA                  ,TIPPECANOE,"1,708,914","1,507,314","1,882,643","1,433,317","1,277,031",,
15790,INDIANA                  ,TIPTON,"24,211","35,161","39,320","88,241","71,142",,
15800,INDIANA                  ,UNION,"-51,970","-34,362","-25,528","-34,454","-2,702",,
15810,INDIANA                  ,VANDERBURGH,"-507,550","-324,823","-197,823","12,882","-389,945",,
15820,INDIANA                  ,VERMILLION,"150,030","126,900","154,925","149,072","143,617",,
15830,INDIANA                  ,VIGO,"1,244,041","1,070,689","1,257,909","1,388,660","1,236,762",,
15840,INDIANA                  ,WABASH,"-5,670","-8,494","-5,837","-70,556","-85,143",,
15850,INDIANA                  ,WARREN,"59,498","60,318","84,946","39,305","57,889",,
15860,INDIANA                  ,WARRICK,"-116,965","-89,767","-44,796","10,371","-116,339",,
15870,INDIANA                  ,WASHINGTON,"-126,676","-150,617","-56,865","-34,818","-22,735",,
15880,INDIANA                  ,WAYNE,"-531,403","-360,544","-233,972","-366,655","-19,766",,
15890,INDIANA                  ,WELLS,"-24,192",729,"-21,195","-116,428","-143,382",,
15900,INDIANA                  ,WHITE,"317,805","304,794","409,099","297,733","265,922",,
15910,INDIANA                  ,WHITLEY,"-33,365",-8,"-19,074","-112,199","-144,198",,
16000,IOWA                     ,ADAIR,"7,662","-12,899","-21,407","-28,078","-33,830",,
16010,IOWA                     ,ADAMS,"6,663","8,162","-5,002","-5,368","-19,578",,
16020,IOWA                     ,ALLAMAKEE,"119,731","93,115","73,317","61,724","101,872",,
16030,IOWA                     ,APPANOOSE,"5,561","-28,502","-44,292","-29,651","-48,348",,
16040,IOWA                     ,AUDUBON,"12,876","4,846","-4,352","-10,981","-28,460",,
16050,IOWA                     ,BENTON,"25,792","-45,107","-30,003","7,017","-2,591",,
16060,IOWA                     ,BLACK HAWK,"-490,068","-657,714","-398,578","139,055","-78,563",,
16070,IOWA                     ,BOONE,"-46,041","-37,634","-72,093","-152,559","-172,199",,
16080,IOWA                     ,BREMER,"-38,633","-72,422","-29,785","63,253","7,810",,
16090,IOWA                     ,BUCHANAN,"-33,852","-53,283","-41,894","14,063","2,251",,
16100,IOWA                     ,BUENA VISTA,"10,421","1,625","13,404","-1,159","26,706",,
16110,IOWA                     ,BUTLER,"-52,826","-146,861","-64,389","18,308","2,943",,
16120,IOWA                     ,CALHOUN,"-48,705","-29,773","-92,335","-67,383","-80,725",,
16130,IOWA                     ,CARROLL,"8,197","-4,609","-28,073","-24,404","-61,277",,
16140,IOWA                     ,CASS,"41,831","30,144",-961,"-15,058","-58,973",,
16150,IOWA                     ,CEDAR,"72,570","66,074","66,477","28,722","-43,621",,
16160,IOWA                     ,CERRO GORDO,"-204,165","-870,130","-280,282","124,934","145,492",,
16170,IOWA                     ,CHEROKEE,"29,505","45,348","27,894","14,296","-3,390",,
16180,IOWA                     ,CHICKASAW,"60,324","-24,129","12,246","109,859","78,910",,
16190,IOWA                     ,CLARKE,"7,212","-18,801","-26,109","-32,006","-42,444",,
16200,IOWA                     ,CLAY,"-7,111","-43,960","27,511","-30,833","-14,840",,
16210,IOWA                     ,CLAYTON,"31,422","14,489","23,837","46,089","20,867",,
16220,IOWA                     ,CLINTON,"417,309","440,953","825,856","539,843","60,609",,
16230,IOWA                     ,CRAWFORD,"39,596","43,920","16,053","-2,148","-51,566",,
16240,IOWA                     ,DALLAS,"35,436","-95,481","-138,152","-150,367","-178,965",,
16250,IOWA                     ,DAVIS,"-12,797","-37,817","-24,538","-17,990","-31,342",,
16260,IOWA                     ,DECATUR,"6,141","-16,844","-35,384","-32,758","-42,992",,
16270,IOWA                     ,DELAWARE,"7,072","-24,611","-1,843","10,244","-2,643",,
16280,IOWA                     ,DES MOINES,"433,375","446,022","389,441","70,099","-291,845",,
16290,IOWA                     ,DICKINSON,"71,658","21,252","72,540","-23,502","-9,466",,
16300,IOWA                     ,DUBUQUE,"-277,225","-391,945","-18,052","88,990","69,906",,
16310,IOWA                     ,EMMET,"58,456","57,193","72,880","9,743","38,216",,
16320,IOWA                     ,FAYETTE,"57,481","9,585","19,034","81,158","50,684",,
16330,IOWA                     ,FLOYD,"7,344","-198,563","3,843","76,207","88,169",,
16340,IOWA                     ,FRANKLIN,"-51,404","-159,576","-43,185","18,463","36,230",,
16350,IOWA                     ,FREMONT,"23,877","34,979","7,684","2,127","-32,183",,
16360,IOWA                     ,GREENE,"-31,406","-10,453","-20,548","-48,624","-44,272",,
16370,IOWA                     ,GRUNDY,"-36,851","-40,497","-32,378","3,296","-12,714",,
16380,IOWA                     ,GUTHRIE,"11,723","-34,334","-41,196","-33,852","-66,956",,
16390,IOWA                     ,HAMILTON,"-62,460","-5,721","-78,124","-110,705","-100,192",,
16400,IOWA                     ,HANCOCK,"-37,348","-134,188","-53,024","46,551","63,572",,
16410,IOWA                     ,HARDIN,"-68,699","-110,802","-75,601","-85,599","-101,025",,
16420,IOWA                     ,HARRISON,"47,132","59,080","13,688","-2,083","-78,921",,
16430,IOWA                     ,HENRY,"70,274","92,350","62,526","8,723","-98,632",,
16440,IOWA                     ,HOWARD,"92,516","32,860","58,858","104,457","111,646",,
16450,IOWA                     ,HUMBOLDT,"-35,805","-53,258","-82,720","-49,825","-65,698",,
16460,IOWA                     ,IDA,"26,907","35,209","30,888","5,133","-3,598",,
16470,IOWA                     ,IOWA,"48,421","44,093","27,737","19,852","-61,038",,
16480,IOWA                     ,JACKSON,"9,954","17,628","132,763","93,365","-4,319",,
16490,IOWA                     ,JASPER,"-8,583","-201,455","-136,582","-168,622","-214,964",,
16500,IOWA                     ,JEFFERSON,"17,228","42,571","11,421","2,972","-57,019",,
16510,IOWA                     ,JOHNSON,"279,757","341,240","235,080","31,780","-407,379",,
16520,IOWA                     ,JONES,"8,478","-45,038","-21,110","8,593","-6,560",,
16530,IOWA                     ,KEOKUK,"13,333","19,497","16,969",-995,"-59,317",,
16540,IOWA                     ,KOSSUTH,"9,979","-126,410","-15,031","48,732","68,588",,
16550,IOWA                     ,LEE,"-42,367","-128,911","1,021","-89,003","-169,617",,
16560,IOWA                     ,LINN,"152,201","-343,699","-235,855","54,849","22,941",,
16570,IOWA                     ,LOUISA,"72,808","71,210","58,603","19,714","-56,196",,
16580,IOWA                     ,LUCAS,"9,404","-16,961","-27,435","-34,816","-44,452",,
16590,IOWA                     ,LYON,"117,348","163,220","193,429","3,289","-7,894",,
16600,IOWA                     ,MADISON,"25,361","-40,840","-46,028","-39,375","-44,702",,
16610,IOWA                     ,MAHASKA,"8,387","-27,012","-31,723","-43,625","-51,742",,
16620,IOWA                     ,MARION,"28,932","-62,899","-81,106","-94,954","-137,715",,
16630,IOWA                     ,MARSHALL,"54,088","57,510","-145,631","-210,412","-205,136",,
16640,IOWA                     ,MILLS,"42,078","58,526","11,331","-7,180","-79,453",,
16650,IOWA                     ,MITCHELL,"78,542","-24,999","49,488","125,487","149,984",,
16660,IOWA                     ,MONONA,"35,445","37,339","22,639",117,"-26,554",,
16670,IOWA                     ,MONROE,"-1,231","-23,854","-29,149","-19,054","-22,485",,
16680,IOWA                     ,MONTGOMERY,"36,155","46,811","4,573",-275,"-41,398",,
16690,IOWA                     ,MUSCATINE,"145,524","174,445","239,087","90,085","-94,147",,
16700,IOWA                     ,O'BRIEN,"95,852","87,894","131,825","17,091","7,387",,
16710,IOWA                     ,OSCEOLA,"57,954","48,104","64,065","1,204","-2,866",,
16720,IOWA                     ,PAGE,"36,062","63,085","12,664","4,247","-80,811",,
16730,IOWA                     ,PALO ALTO,"4,219","-76,841","1,802","-6,963","28,025",,
16740,IOWA                     ,PLYMOUTH,"44,477","70,960","80,829","40,881","-12,924",,
16750,IOWA                     ,POCAHONTAS,"-37,102","-35,373","-42,805","-33,070","-28,679",,
16760,IOWA                     ,POLK,"443,925","-1,010,972","-1,392,015","-1,380,444","-1,865,161",,
16770,IOWA                     ,POTTAWATTAMIE,"252,116","366,933","76,570","-7,131","-399,580",,
16780,IOWA                     ,POWESHIEK,"57,009","45,930","-16,534","-45,055","-91,766",,
16790,IOWA                     ,RINGGOLD,"7,131","-10,607","-17,683","-19,518","-30,402",,
16800,IOWA                     ,SAC,"8,132","26,641","-7,946","-25,212","-29,871",,
16810,IOWA                     ,SCOTT,"1,071,784","1,180,159","2,099,654","1,439,843","272,319",,
16820,IOWA                     ,SHELBY,"43,881","45,806","11,811","-1,023","-57,667",,
16830,IOWA                     ,SIOUX,"135,302","196,541","188,488","25,776","3,076",,
16840,IOWA                     ,STORY,"-309,814","-50,544","-250,391","-537,124","-479,733",,
16850,IOWA                     ,TAMA,"-4,235","-33,465","-45,292","-35,437","-64,206",,
16860,IOWA                     ,TAYLOR,"10,390","6,432","-6,709","-4,202","-25,532",,
16870,IOWA                     ,UNION,"9,966","-22,700","-27,748","-35,143","-51,414",,
16880,IOWA                     ,VAN BUREN,"10,629","25,405","17,924","7,371","-39,784",,
16890,IOWA                     ,WAPELLO,"-450,952","-470,609","-420,654","-157,323","-217,767",,
16900,IOWA                     ,WARREN,"47,293","-128,096","-158,902","-169,969","-197,736",,
16910,IOWA                     ,WASHINGTON,"91,091","105,161","67,447","1,851","-98,127",,
16920,IOWA                     ,WAYNE,"9,005","-28,951","-24,972","-24,051","-41,444",,
16930,IOWA                     ,WEBSTER,"-329,986","-206,297","-344,221","-385,772","-301,879",,
16940,IOWA                     ,WINNEBAGO,"-29,319","-167,270","-27,882","64,316","57,343",,
16950,IOWA                     ,WINNESHIEK,"234,883","120,580","98,984","126,865","148,715",,
16960,IOWA                     ,WOODBURY,"125,966","341,011","279,416","118,556","-183,596",,
16970,IOWA                     ,WORTH,"-15,537","-132,683","-17,179","37,660","51,123",,
16980,IOWA                     ,WRIGHT,"-30,700","-115,490","-74,932","-17,402","4,994",,
17000,KANSAS                   ,ALLEN,"-114,894","-108,348","-96,861","-74,877","-40,912",,
17010,KANSAS                   ,ANDERSON,"-13,497","-40,718","-40,523","-40,400","-33,430",,
17020,KANSAS                   ,ATCHISON,"3,256","-18,636","-32,840","-29,061","-29,588",,
17030,KANSAS                   ,BARBER,"-40,917","-39,562","-45,434","-17,788","-2,333",,
17040,KANSAS                   ,BARTON,"-159,862","-182,657","-175,299","-125,889","-62,512",,
17050,KANSAS                   ,BOURBON,"-448,168","-215,310","-187,289","-346,747","-327,141",,
17060,KANSAS                   ,BROWN,"31,656","13,105","-19,124","-5,662","3,581",,
17070,KANSAS                   ,BUTLER,"-540,460","-545,384","-485,030","-257,469","-58,564",,
17080,KANSAS                   ,CHASE,"-5,897","-4,679","-11,072","-5,965","1,044",,
17090,KANSAS                   ,CHAUTAUQUA,"-27,169","-44,118","-42,637","-31,569","-15,659",,
17100,KANSAS                   ,CHEROKEE,"-735,226","-806,055","-269,587","-183,693","-126,900",,
17110,KANSAS                   ,CHEYENNE,"-15,735","-18,015","-16,054","-21,755","-11,557",,
17120,KANSAS                   ,CLARK,"-16,812","-8,769","-14,613","-9,563","-1,807",,
17130,KANSAS                   ,CLAY,"16,093","8,095","-16,207",926,"9,839",,
17140,KANSAS                   ,CLOUD,"-65,031","-12,717","-19,100","-4,666","-8,200",,
17150,KANSAS                   ,COFFEY,"27,247","-8,320","-16,600","-13,270","-3,049",,
17160,KANSAS                   ,COMANCHE,"-21,453","-15,313","-12,189","-6,274","-2,769",,
17170,KANSAS                   ,COWLEY,"-205,500","-246,956","-233,424","-137,519","-53,023",,
17180,KANSAS                   ,CRAWFORD,"-478,155","-459,817","-190,051","-162,195","-238,121",,
17190,KANSAS                   ,DECATUR,"-23,914","-12,486","-11,604","-17,242","-4,216",,
17200,KANSAS                   ,DICKINSON,"-137,923","-27,795","-38,988","-27,543","-11,058",,
17210,KANSAS                   ,DONIPHAN,"2,700","-5,120","-10,530","-12,787","-6,590",,
17220,KANSAS                   ,DOUGLAS,"-3,355","-68,694","-133,541","-79,888","-100,907",,
17230,KANSAS                   ,EDWARDS,"-23,445","-21,738","-19,698","-16,223","-7,529",,
17240,KANSAS                   ,ELK,"-32,019","-35,844","-31,061","-24,543","-4,418",,
17250,KANSAS                   ,ELLIS,"-92,913","-93,268","-111,679","-136,951","-79,788",,
17260,KANSAS                   ,ELLSWORTH,"-56,546","-19,885","-13,892","-12,752","-6,998",,
17270,KANSAS                   ,FINNEY,"-66,521","-71,697","-64,589","-46,917","-13,443",,
17280,KANSAS                   ,FORD,"-54,648","-63,755","-63,721","-40,661","-21,662",,
17290,KANSAS                   ,FRANKLIN,"-30,465","-105,123","-150,227","-121,245","-116,136",,
17300,KANSAS                   ,GEARY,"35,052","-42,767","-73,086","-28,518","-19,108",,
17310,KANSAS                   ,GOVE,"-14,623","-9,246","-12,753","-9,618","-8,469",,
17320,KANSAS                   ,GRAHAM,"-15,078","-8,102","-8,259","-9,898","-10,246",,
17330,KANSAS                   ,GRANT,"-26,691","-34,878","-21,641","-17,278","-5,091",,
17340,KANSAS                   ,GRAY,"-14,954","-15,721","-19,152","-11,999","-3,002",,
17350,KANSAS                   ,GREELEY,"-11,272","-9,389","-6,625","-5,581","-3,164",,
17360,KANSAS                   ,GREENWOOD,"-69,770","-75,777","-76,286","-40,624","-6,029",,
17370,KANSAS                   ,HAMILTON,"-10,986","-10,329","-12,062","-9,242",-945,,
17380,KANSAS                   ,HARPER,"-64,155","-54,816","-59,386","-36,472","-8,565",,
17390,KANSAS                   ,HARVEY,"-335,574","-367,280","-327,071","-182,801","-32,617",,
17391,KANSAS                   ,HASKELL,"-11,632","-13,903","-17,427","-8,512","-1,682",,
17410,KANSAS                   ,HODGEMAN,"-7,769","-13,314","-6,275","-5,297","-3,277",,
17420,KANSAS                   ,JACKSON,"89,796","27,587","-23,517","3,900","16,341",,
