DISABLED -- REPRICING ADJUSTMENTS TO THE 2008-2012 PHYSICIAN REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT GEOGRAPHIC PRACTICE COST INDEX,,,,,,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART B REIMBURSEMENT,,,,,,,,,,,,,,,
,,,2008,2009,2010,2011,2012,,,,,,,,,,,
01560,ALABAMA                  ,RUSSELL,"20,632","26,179","-37,211","-45,577","2,924",,,,,,,,,,,
01570,ALABAMA                  ,ST. CLAIR,"19,407","27,530","-36,005","-42,876","11,374",,,,,,,,,,,
01580,ALABAMA                  ,SHELBY,"32,140","37,695","-47,439","-55,697","14,716",,,,,,,,,,,
01590,ALABAMA                  ,SUMTER,"4,534","4,671","-16,273","-20,550",791,,,,,,,,,,,
01600,ALABAMA                  ,TALLADEGA,"47,388","63,370","-73,135","-87,418","24,142",,,,,,,,,,,
01610,ALABAMA                  ,TALLAPOOSA,"29,119","36,553","-43,692","-51,919","14,850",,,,,,,,,,,
01620,ALABAMA                  ,TUSCALOOSA,"89,899","124,421","-156,581","-195,935","55,566",,,,,,,,,,,
01630,ALABAMA                  ,WALKER,"61,364","76,327","-94,394","-101,984","26,517",,,,,,,,,,,
01640,ALABAMA                  ,WASHINGTON,"8,867","11,528","-15,241","-22,488","4,922",,,,,,,,,,,
01650,ALABAMA                  ,WILCOX,"8,987","10,331","-15,165","-17,147","4,855",,,,,,,,,,,
01660,ALABAMA                  ,WINSTON,"21,471","26,958","-36,815","-39,470","10,227",,,,,,,,,,,
02010,ALASKA                   ,ALEUTIANS ISLANDS,"1,329",23,130,-6,91,,,,,,,,,,,
02020,ALASKA                   ,ANCHORAGE,"1,084,468","4,050","2,069","-1,280","60,530",,,,,,,,,,,
02040,ALASKA                   ,BARROW DIVISION,"1,751",144,0,-39,37,,,,,,,,,,,
02050,ALASKA                   ,BETHEL,"4,945",-187,64,-81,99,,,,,,,,,,,
02060,ALASKA                   ,BRISTOL BAY,"13,951",53,159,156,752,,,,,,,,,,,
02070,ALASKA                   ,DILLINGHAM,"2,008",-49,-22,-10,101,,,,,,,,,,,
02080,ALASKA                   ,CORDOVA-MC CARTHY,"2,835",99,62,20,127,,,,,,,,,,,
02090,ALASKA                   ,FAIRBANKS NORTH STAR,"187,695","1,545",303,-179,"9,029",,,,,,,,,,,
02100,ALASKA                   ,HAINES,"10,293",368,365,438,-23,,,,,,,,,,,
02110,ALASKA                   ,JUNEAU,"111,285","1,703","1,149",775,"4,021",,,,,,,,,,,
02120,ALASKA                   ,KENAI-COOK INLET DIVISION,"259,057","2,172","1,315",625,"10,296",,,,,,,,,,,
02130,ALASKA                   ,KETCHIKAN GATEWAY,"35,325","1,676","1,019",633,847,,,,,,,,,,,
02140,ALASKA                   ,KOBUK,"1,033",108,32,-11,72,,,,,,,,,,,
02150,ALASKA                   ,KODIAK ISLAND,"16,031",-57,-56,-62,400,,,,,,,,,,,
02160,ALASKA                   ,KUSKOKWIN DIVISION,27,-131,-384,-177,42,,,,,,,,,,,
02170,ALASKA                   ,MATANUSKA-SUSITNA,"446,340","1,677",547,-445,"22,272",,,,,,,,,,,
02180,ALASKA                   ,NOME,"4,772",-109,-92,2,107,,,,,,,,,,,
02190,ALASKA                   ,OUTER KETCHIKAN DIVISION,"3,468",88,-81,179,48,,,,,,,,,,,
02200,ALASKA                   ,PRINCE OF WALES DIVISION,"2,640",281,147,258,222,,,,,,,,,,,
02210,ALASKA                   ,SEWARD,"15,922",248,-67,-80,621,,,,,,,,,,,
