DISABLED -- REPRICING ADJUSTMENTS TO THE 2008-2012 HOME HEALTH  REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,ADJUSTMENT TO PART B REIMBURSEMENT,,,,,
01410,ALABAMA                  ,LIMESTONE,"-17,987","-23,909","-20,973","-20,046","-14,361",,"-33,686","-36,872","-31,821","-38,447","-30,359",
01420,ALABAMA                  ,LOWNDES,"-2,325","-3,767","-3,179","-2,807","-1,729",,"-3,525","-5,680","-6,055","-5,348","-2,954",
01430,ALABAMA                  ,MACON,"-1,402","-2,459","-1,098","-1,333","-1,209",,"-1,556",-747,"-1,599","-1,364","-1,140",
01440,ALABAMA                  ,MADISON,"-48,483","-48,375","-50,821","-74,427","-64,148",,"-55,470","-48,672","-78,087","-82,171","-75,899",
01450,ALABAMA                  ,MARENGO,"-2,402","-4,831","-1,751","-2,009",-759,,"-4,985","-3,918","-1,993","-2,099","-1,117",
01460,ALABAMA                  ,MARION,"-5,754","-7,059","-3,089","-3,693","-1,109",,"-6,262","-7,942","-4,108","-6,265","-2,036",
01470,ALABAMA                  ,MARSHALL,"-11,544","-16,686","-7,331","-10,057","-2,843",,"-21,969","-30,704","-11,682","-16,054","-9,574",
01480,ALABAMA                  ,MOBILE,"-49,722","-46,682","-37,292","-59,656","-57,040",,"-66,555","-55,023","-41,503","-69,614","-69,360",
01490,ALABAMA                  ,MONROE,"-1,936","-4,927","-1,854","-2,683",-907,,"-5,908","-7,024","-3,081","-3,930","-1,689",
01500,ALABAMA                  ,MONTGOMERY,"-19,978","-28,795","-30,856","-50,188","-27,134",,"-31,608","-45,058","-51,905","-47,796","-38,574",
01510,ALABAMA                  ,MORGAN,"-24,351","-23,637","-26,120","-21,690","-9,439",,"-35,776","-40,204","-44,531","-27,536","-10,236",
01520,ALABAMA                  ,PERRY,-751,"-1,806",-941,"-1,124",-359,,"-4,259","-2,934","-1,166","-1,538",-473,
01530,ALABAMA                  ,PICKENS,"-3,110","-5,007","-1,737","-2,928","-1,116",,"-7,921","-12,097","-4,691","-5,096","-1,798",
01540,ALABAMA                  ,PIKE,"-3,651","-4,178","-2,055","-2,104",-871,,"-3,892","-2,667","-1,658","-4,050","-1,878",
01550,ALABAMA                  ,RANDOLPH,"-2,798","-3,319","-1,226","-2,291",-539,,"-4,614","-5,429","-1,717","-2,983",-899,
01560,ALABAMA                  ,RUSSELL,"-13,191","-10,694","-13,502","-18,025","-23,831",,"-13,129","-17,289","-15,106","-19,793","-23,547",
01570,ALABAMA                  ,ST. CLAIR,"-6,966","-5,343","-2,397","-2,841",-602,,"-11,581","-7,505","-3,619","-3,848",-700,
01580,ALABAMA                  ,SHELBY,"-11,322","-6,803","-5,001","-5,944",-886,,"-10,301","-9,405","-2,365","-5,812",-630,
