AGED -- REPRICING ADJUSTMENTS TO THE 2008-2012 UNCOMPENSATED CARE REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,,,,,
01590,ALABAMA                  ,SUMTER,"-142,101","-59,513","-91,488","-40,869","-84,884",,,,,,
01600,ALABAMA                  ,TALLADEGA,"-429,307","-389,647","-368,411","-364,740","-240,406",,,,,,
01610,ALABAMA                  ,TALLAPOOSA,"-512,831","-518,228","-381,891","-501,952","-548,395",,,,,,
01620,ALABAMA                  ,TUSCALOOSA,"-1,762,049","-1,460,311","-1,397,502","-339,784","-1,287,029",,,,,,
01630,ALABAMA                  ,WALKER,"-262,970","-64,082","-38,711","-158,349","-352,286",,,,,,
01640,ALABAMA                  ,WASHINGTON,"41,663","88,030","63,412","59,992","93,783",,,,,,
01650,ALABAMA                  ,WILCOX,"-198,812","-149,376","-113,348","-231,495","-120,046",,,,,,
01660,ALABAMA                  ,WINSTON,"-367,808","-288,718","-264,275","-231,034","-275,788",,,,,,
02010,ALASKA                   ,ALEUTIANS ISLANDS,"-30,998","-24,888","-49,575","-48,466","-57,155",,,,,,
02020,ALASKA                   ,ANCHORAGE,"-884,141","-470,679","-1,018,004","-1,250,974","-1,552,404",,,,,,
02040,ALASKA                   ,BARROW DIVISION,"-57,760","-95,282","-99,192","-95,356","-70,827",,,,,,
02050,ALASKA                   ,BETHEL,"140,141","59,296","74,227","149,732","121,996",,,,,,
02060,ALASKA                   ,BRISTOL BAY,"-36,390","-8,177","-49,347","-34,418","-22,539",,,,,,
02070,ALASKA                   ,DILLINGHAM,"-68,416","-31,288","-46,149","-85,119","-131,076",,,,,,
02080,ALASKA                   ,CORDOVA-MC CARTHY,"-25,079","-29,904","-23,908","-8,143","-15,791",,,,,,
02090,ALASKA                   ,FAIRBANKS NORTH STAR,"-149,928","-155,981","-242,729","-245,206","-268,669",,,,,,
02100,ALASKA                   ,HAINES,"-16,481","-7,028","-42,138","-26,062","-25,225",,,,,,
02110,ALASKA                   ,JUNEAU,"-133,857","-89,507","-106,861","-105,596","-94,915",,,,,,
02120,ALASKA                   ,KENAI-COOK INLET DIVISION,"-243,201","-200,058","-321,128","-352,238","-288,672",,,,,,
02130,ALASKA                   ,KETCHIKAN GATEWAY,"-87,961","-73,371","-73,802","-107,784","-125,285",,,,,,
02140,ALASKA                   ,KOBUK,"-66,444","-90,509","-117,236","-84,474","-83,064",,,,,,
02150,ALASKA                   ,KODIAK ISLAND,"-16,947","-30,170","-58,630","-35,151","-39,351",,,,,,
02160,ALASKA                   ,KUSKOKWIN DIVISION,"-3,037","1,983","15,195","-20,574","-5,426",,,,,,
02170,ALASKA                   ,MATANUSKA-SUSITNA,"-244,860","-202,198","-281,518","-297,390","-294,118",,,,,,
02180,ALASKA                   ,NOME,"-104,072","-108,385","-133,378","-114,322","-150,023",,,,,,
02190,ALASKA                   ,OUTER KETCHIKAN DIVISION,"-14,462","-11,355","-42,674","-44,147","-63,909",,,,,,
02200,ALASKA                   ,PRINCE OF WALES DIVISION,"-12,007","-21,106","-29,243","-19,338","-25,946",,,,,,
02210,ALASKA                   ,SEWARD,"-37,913","-35,429","-15,364","-16,702","-48,900",,,,,,
02220,ALASKA                   ,SITKA,"-35,701","-43,354","-40,930","-72,913","-65,939",,,,,,
02230,ALASKA                   ,SKAGWAY,"-8,307","-24,082","-38,886","-45,719","-23,494",,,,,,
02240,ALASKA                   ,SOUTHEAST FAIRBANKS,"-29,226","-23,786","-11,045","-16,670","-18,391",,,,,,
02250,ALASKA                   ,UPPER YUKON DIVISION,"-9,172","-8,233","-8,041","-2,081","-19,700",,,,,,
02260,ALASKA                   ,VALDEZ-CHITNA-WHITIER DIVISION,"-42,703","-20,958","-28,861","-71,508","-46,250",,,,,,
02270,ALASKA                   ,WADE HAMPTON,"169,036","131,975","63,846","85,156","115,533",,,,,,
02280,ALASKA                   ,WRANGELL-PETERSBURG CENSUS AREA,"-26,822","-37,520","-40,691","-44,730","-27,449",,,,,,
02290,ALASKA                   ,YUKON-KOYUKUK,"-58,940","-30,003","-39,192","-35,723","-36,224",,,,,,
03000,ARIZONA                  ,APACHE,"1,058,952","1,179,349","1,172,345","1,221,030","1,430,340",,,,,,
03010,ARIZONA                  ,COCHISE,"-596,342","-564,530","-349,530","-461,928","-731,140",,,,,,
03020,ARIZONA                  ,COCONINO,"272,036","238,142","202,310","288,232","277,500",,,,,,
03030,ARIZONA                  ,GILA,"-387,934","-838,087","-870,604","-855,631","-672,630",,,,,,
03040,ARIZONA                  ,GRAHAM,"-77,913","-75,646","-36,308","-43,526","-127,770",,,,,,
03050,ARIZONA                  ,GREENLEE,"-34,569","-30,079","-8,725","-24,255","-22,602",,,,,,
03055,ARIZONA                  ,LA PAZ,"-72,563","-122,622","-137,732","-158,116","-236,430",,,,,,
03060,ARIZONA                  ,MARICOPA,"17,355,630","14,002,668","10,556,475","7,437,391","7,326,651",,,,,,
03070,ARIZONA                  ,MOHAVE,"-1,600,473","-1,876,201","-1,789,273","-2,199,911","-2,182,081",,,,,,
03080,ARIZONA                  ,NAVAJO,"682,423","507,601","585,774","618,368","678,767",,,,,,
03090,ARIZONA                  ,PIMA,"-729,750","-788,083","-100,446","584,860","-529,164",,,,,,
03100,ARIZONA                  ,PINAL,"1,123,508","706,839","-265,532","-701,464","-605,414",,,,,,
03110,ARIZONA                  ,SANTA CRUZ,"-97,376","-77,978","-72,417","-49,460","-103,351",,,,,,
03120,ARIZONA                  ,YAVAPAI,"520,176","447,898","-1,544,285","-1,979,356","-1,168,265",,,,,,
03130,ARIZONA                  ,YUMA,"-173,939","-265,482","-163,675","-482,609","-344,866",,,,,,
04000,ARKANSAS                 ,ARKANSAS,"-262,905","-226,061","-212,940","-172,113","-123,538",,,,,,
04010,ARKANSAS                 ,ASHLEY,"-90,962","-86,707","-131,625","-82,404","-98,342",,,,,,
04020,ARKANSAS                 ,BAXTER,"-305,023","-229,761","-224,091","-337,613","-153,342",,,,,,
04030,ARKANSAS                 ,BENTON,"-274,411","-278,137","-189,810","-205,471","-84,931",,,,,,
04040,ARKANSAS                 ,BOONE,"-326,994","-357,624","-365,465","-435,296","-484,538",,,,,,
04050,ARKANSAS                 ,BRADLEY,"-47,710","-27,226","-49,010","-40,906","-48,940",,,,,,
04060,ARKANSAS                 ,CALHOUN,"-14,937","-6,271","-21,111","-16,166","-12,481",,,,,,
04070,ARKANSAS                 ,CARROLL,"-66,213","-62,864","-91,096","-95,668","-81,118",,,,,,
04080,ARKANSAS                 ,CHICOT,"-112,176","-113,970","-98,777","-72,498","-72,421",,,,,,
04090,ARKANSAS                 ,CLARK,"-100,971","-104,915","-81,988","-112,720","-91,260",,,,,,
04100,ARKANSAS                 ,CLAY,"-235,391","-238,602","-268,600","-278,489","-248,822",,,,,,
04110,ARKANSAS                 ,CLEBURNE,"-300,558","-263,425","-245,016","-289,355","-264,047",,,,,,
04120,ARKANSAS                 ,CLEVELAND,"-32,583","-13,780","-21,459","-1,502","-15,943",,,,,,
04130,ARKANSAS                 ,COLUMBIA,"-165,392","-135,112","-169,718","-164,941","-73,168",,,,,,
04140,ARKANSAS                 ,CONWAY,"-182,599","-107,927","-153,550","-114,799","-124,760",,,,,,
04150,ARKANSAS                 ,CRAIGHEAD,"-837,704","-997,780","-899,037","-760,812","-717,167",,,,,,
04160,ARKANSAS                 ,CRAWFORD,"-64,497","-242,028","-259,495","-153,113","-87,078",,,,,,
04170,ARKANSAS                 ,CRITTENDEN,"-836,864","-568,961","-474,832","-485,529","-386,499",,,,,,
04180,ARKANSAS                 ,CROSS,"-151,445","-127,193","-154,160","-86,953","-99,919",,,,,,
04190,ARKANSAS                 ,DALLAS,"-43,319","-28,248","-25,520","-45,728","-32,846",,,,,,
04200,ARKANSAS                 ,DESHA,"-44,822","-36,497","-35,130","-40,806","-51,812",,,,,,
04210,ARKANSAS                 ,DREW,"-70,886","-126,731","-101,298","-92,929","-105,392",,,,,,
04220,ARKANSAS                 ,FAULKNER,"-361,547","-263,206","-225,668","-175,004","-318,375",,,,,,
04230,ARKANSAS                 ,FRANKLIN,"-32,371","-54,008","-75,604","-42,411","-29,259",,,,,,
04240,ARKANSAS                 ,FULTON,"-97,037","-96,715","-97,144","-103,169","-99,050",,,,,,
04250,ARKANSAS                 ,GARLAND,"-1,052,518","-1,006,389","-644,512","-1,147,215","-650,770",,,,,,
04260,ARKANSAS                 ,GRANT,"-92,274","-70,566","-50,813","-82,503","-71,128",,,,,,
04270,ARKANSAS                 ,GREENE,"-455,880","-550,966","-565,846","-543,078","-401,949",,,,,,
04280,ARKANSAS                 ,HEMPSTEAD,"-24,238","-33,847","-73,582","-91,508","-154,666",,,,,,
04290,ARKANSAS                 ,HOT SPRING,"-352,660","-312,225","-258,274","-384,837","-210,722",,,,,,
04300,ARKANSAS                 ,HOWARD,"-53,766","-59,677","-41,550","-112,374","-88,580",,,,,,
04310,ARKANSAS                 ,INDEPENDENCE,"-744,184","-451,105","-869,513","-854,669","-601,517",,,,,,
04320,ARKANSAS                 ,IZARD,"-193,321","-105,381","-179,559","-182,195","-138,340",,,,,,
04330,ARKANSAS                 ,JACKSON,"-291,563","-246,100","-295,886","-163,383","-170,800",,,,,,
04340,ARKANSAS                 ,JEFFERSON,"-32,187","-94,655","-62,420","-125,811","-98,977",,,,,,
04350,ARKANSAS                 ,JOHNSON,"-193,213","-135,124","-150,083","-128,371","-94,593",,,,,,
04360,ARKANSAS                 ,LAFAYETTE,"-25,803","-75,982","-40,289","-65,505","-42,128",,,,,,
04370,ARKANSAS                 ,LAWRENCE,"-293,322","-340,426","-287,603","-244,061","-261,073",,,,,,
04380,ARKANSAS                 ,LEE,"19,321","31,838","5,711","33,663","89,712",,,,,,
04390,ARKANSAS                 ,LINCOLN,"-7,106","-14,719","-15,176","-19,779","-17,919",,,,,,
04400,ARKANSAS                 ,LITTLE RIVER,"-31,801","-22,412","-61,532","-104,888","-121,386",,,,,,
04410,ARKANSAS                 ,LOGAN,"-62,424","-119,448","-102,841","-71,915","-49,053",,,,,,
04420,ARKANSAS                 ,LONOKE,"-427,711","-456,147","-361,880","-231,604","-243,074",,,,,,
04430,ARKANSAS                 ,MADISON,"-11,124","-4,406","-13,022","-9,547","3,368",,,,,,
04440,ARKANSAS                 ,MARION,"-89,915","-73,603","-59,874","-116,890","-48,128",,,,,,
