"ESRD -- 2012 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE, BENEFICIARIES ENROLLED IN PARTS A AND/OR B, REIMBURSEMENTS FOR HOSPICE AND COST CONTRATCS EXCLUDED",,,,,,,,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL,PART A REIMBURSEMENT,PART A PER CAPITA,PART A,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL,PART B PER CAPITA,,,,,,,
01360,ALABAMA                  ,JEFFERSON              ,1311,"22,151,625","1,408.06",18104319.96,"1,150.80","1,534,742","1,939,392","573,171",1246,"43,453,273","2,906.18",,,,,,,
01370,ALABAMA                  ,LAMAR                  ,25,"151,780",505.93,127868,426.23,"2,720","20,325",867,24,"763,390","2,650.66",,,,,,,
01380,ALABAMA                  ,LAUDERDALE             ,124,"2,523,642","1,696.00",2281920,"1,533.55","50,640","181,647","9,435",122,"4,393,837","3,001.25",,,,,,,
01390,ALABAMA                  ,LAWRENCE               ,52,"1,086,554","1,741.27",965213,"1,546.82","22,656","93,255","5,430",50,"1,793,641","2,989.40",,,,,,,
01400,ALABAMA                  ,LEE                    ,201,"2,081,433",862.95,1809935,750.39,"35,796","224,777","10,925",196,"6,328,075","2,690.51",,,,,,,
01410,ALABAMA                  ,LIMESTONE              ,102,"1,294,105","1,057.28",1139442,930.92,"18,277","131,414","4,972",98,"3,714,430","3,158.53",,,,,,,
01420,ALABAMA                  ,LOWNDES                ,40,"507,541","1,057.38",408479,851.00,"11,933","83,810","3,319",38,"1,455,184","3,191.19",,,,,,,
01430,ALABAMA                  ,MACON                  ,79,"837,849",883.81,743548,784.33,"8,696","83,349","2,256",72,"2,550,180","2,951.60",,,,,,,
01440,ALABAMA                  ,MADISON                ,511,"9,392,121","1,531.66",8278819,"1,350.10","253,548","790,772","68,982",486,"18,427,097","3,159.65",,,,,,,
01450,ALABAMA                  ,MARENGO                ,49,"982,718","1,671.29",807047,"1,372.53","47,528","110,377","17,766",48,"2,081,686","3,614.04",,,,,,,
01460,ALABAMA                  ,MARION                 ,32,"621,704","1,619.02",554279,"1,443.43","12,096","52,273","3,056",32,"1,177,602","3,066.67",,,,,,,
01470,ALABAMA                  ,MARSHALL               ,117,"2,179,599","1,552.42",1922336,"1,369.19","49,400","193,532","14,331",111,"4,471,898","3,357.28",,,,,,,
01480,ALABAMA                  ,MOBILE                 ,760,"15,670,478","1,718.25",12890040,"1,413.38","985,397","1,409,430","385,611",733,"26,624,762","3,026.92",,,,,,,
01490,ALABAMA                  ,MONROE                 ,33,"946,214","2,389.43",835709,"2,110.38","26,236","73,040","11,229",32,"1,348,392","3,511.44",,,,,,,
01500,ALABAMA                  ,MONTGOMERY             ,493,"8,571,352","1,448.84",7145187,"1,207.77","265,705","1,102,493","57,967",468,"16,202,850","2,885.12",,,,,,,
01510,ALABAMA                  ,MORGAN                 ,163,"2,428,196","1,241.41",2133568,"1,090.78","69,458","211,155","14,015",157,"5,673,121","3,011.21",,,,,,,
01520,ALABAMA                  ,PERRY                  ,37,"1,037,169","2,335.97",865028,"1,948.26","24,947","139,283","7,911",36,"1,405,348","3,253.12",,,,,,,
01530,ALABAMA                  ,PICKENS                ,51,"943,203","1,541.18",830829,"1,357.56","22,451","83,606","6,317",50,"1,928,171","3,213.62",,,,,,,
01540,ALABAMA                  ,PIKE                   ,75,"884,243",982.49,699918,777.69,"36,367","139,906","8,052",71,"2,894,185","3,396.93",,,,,,,
01550,ALABAMA                  ,RANDOLPH               ,42,"558,461","1,108.06",494296,980.75,"7,138","55,632","1,395",42,"1,835,798","3,642.46",,,,,,,
