"ESRD -- PUERTO RiCO 2010 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) ",,,,,,,,,,,,,,
FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE,,,,,,,,,,,,,,
BENEFICIARIES ENROLLED IN  PART A AND/OR PART B ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA,
40110,PUERTO RICO              ,BAYAMON                ,208,"1,858,098",742.04,"1,765,828",705.19,"28,878","39,588","23,802",178,"4,930,833",2297.73,
40120,PUERTO RICO              ,CABO ROJO              ,58,"547,588",782.31,"495,199",707.47,"21,003","10,701","20,684",53,"1,913,032",2961.53,
40130,PUERTO RICO              ,CAGUAS                 ,122,"1,277,403",868.42,"1,220,141",829.49,162,"50,849","6,250",106,"3,329,539",2607.23,
40140,PUERTO RICO              ,CAMUY                  ,29,"465,160","1,332.99","423,325",1213.11,"5,747","34,117","1,969",24,"966,898",3288.77,
40145,PUERTO RICO              ,CANOVANAS              ,1,0,0.00,0,0.00,0,0,0,1,0,0.00,
40150,PUERTO RICO              ,CAROLINA               ,128,"1,253,410",811.27,"1,196,945",774.72,"17,970","23,275","15,218",110,"3,441,385",2593.44,
40160,PUERTO RICO              ,CATANO                 ,60,"509,010",696.28,"486,174",665.05,"8,121","9,090","5,624",47,"1,345,080",2355.82,
40170,PUERTO RICO              ,CAYEY                  ,67,"636,247",789.35,"593,504",736.32,"1,824","40,821",97,55,"1,549,340",2333.48,
40180,PUERTO RICO              ,CEIBA                  ,8,"120,921","1,129.68","102,766",960.07,"3,635","8,827","5,691",7,"222,531",2499.23,
40190,PUERTO RICO              ,CIALES                 ,17,"351,257","1,665.04","319,783",1515.85,"7,350","23,639",483,16,"508,637",2581.39,
40200,PUERTO RICO              ,CIDRA                  ,27,"218,390",672.05,"199,519",613.98,"1,965","14,793","2,111",23,"652,390",2272.82,
40210,PUERTO RICO              ,COAMO                  ,39,"842,252","1,773.31","707,368",1489.32,"42,727","50,248","41,908",34,"1,215,629",2972.49,
40220,PUERTO RICO              ,COMERIO                ,17,"122,306",585.08,"114,543",547.95,344,"6,551",866,14,"475,697",2687.56,
40230,PUERTO RICO              ,COROZAL                ,27,"464,358","1,428.97","439,336",1351.97,"4,055","20,800",166,22,"986,760",3601.84,
40240,PUERTO RICO              ,CULEBRA                ,1,0,0.00,0,0.00,0,0,0,1,"34,657",2888.14,
40250,PUERTO RICO              ,DORADO                 ,32,"472,122","1,204.27","448,784",1144.74,"2,820","20,329",187,27,"1,061,127",3245.04,
40260,PUERTO RICO              ,FAJARDO                ,25,"260,335",845.14,"241,360",783.54,"3,972","11,163","3,839",21,"572,690",2186.17,
40265,PUERTO RICO              ,FLORIDA                ,1,0,0.00,0,0.00,0,0,0,1,0,0.00,
40270,PUERTO RICO              ,GUANICA                ,24,"430,865","1,485.54","387,810",1337.09,"12,289","22,211","8,554",22,"945,878",3439.06,
40280,PUERTO RICO              ,GUAYAMA                ,30,"663,012","1,796.78","580,057",1571.97,"11,027","66,680","5,246",25,"887,850",2864.40,
40290,PUERTO RICO              ,GUAYANILLA             ,19,"452,273","1,966.07","405,321",1761.96,"12,496","21,452","13,004",16,"706,661",3515.73,
40300,PUERTO RICO              ,GUAYNABO               ,69,"769,855",922.03,"686,973",822.76,"39,181","30,515","13,184",60,"1,861,083",2556.29,
40310,PUERTO RICO              ,GURABO                 ,24,"257,237",883.98,"249,554",857.57,0,"7,645",37,15,"616,734",3387.91,
40320,PUERTO RICO              ,HATILLO                ,39,"727,696","1,551.72","669,096",1426.77,"4,209","50,529","3,861",36,"1,225,432",2810.88,
40330,PUERTO RICO              ,HORMIGUEROS            ,21,"165,675",639.77,"147,575",569.88,"7,570","3,199","7,331",17,"518,221",2540.30,
40340,PUERTO RICO              ,HUMACAO                ,61,"723,480",973.68,"687,364",925.07,"5,237","26,819","4,059",58,"1,988,811",2853.55,
40350,PUERTO RICO              ,ISABELA                ,56,"405,288",598.62,"366,325",541.07,"6,785","26,613","5,563",54,"1,574,121",2414.44,
40360,PUERTO RICO              ,JAYUYA                 ,15,"346,131","1,822.13","296,409",1560.38,"15,021","17,541","17,157",14,"485,278",2710.45,
40370,PUERTO RICO              ,JUANA DIAZ             ,48,"826,918","1,435.62","694,148",1205.12,"40,131","47,712","44,925",41,"1,327,628",2644.89,
40380,PUERTO RICO              ,JUNCOS                 ,43,"345,562",662.00,"330,984",634.07,852,"11,829","1,897",34,"934,744",2279.64,
40390,PUERTO RICO              ,LAJAS                  ,23,"342,536","1,197.85","313,170",1095.16,"9,205","11,041","9,118",21,"869,515",3357.72,
40400,PUERTO RICO              ,LARES                  ,25,"291,148",967.40,"273,583",909.04,642,"15,939",983,23,"855,511",3033.73,
40410,PUERTO RICO              ,LAS MARIAS             ,5,"79,198","1,319.97","70,953",1182.56,"4,341",272,"3,631",5,"303,432",5057.22,
40420,PUERTO RICO              ,LAS PIEDRAS            ,42,"295,973",575.87,"279,888",544.57,"1,304","17,902",512,37,"1,138,989",2548.07,
40430,PUERTO RICO              ,LOIZA                  ,56,"509,332",756.85,"492,393",731.68,"2,507","11,252","3,178",42,"1,378,035",2691.27,
40440,PUERTO RICO              ,LUQUILLO               ,3,"8,915",193.99,"8,297",180.54,0,618,0,1,"52,892",2408.57,
40450,PUERTO RICO              ,MANATI                 ,42,"984,934","1,946.36","928,042",1833.93,"10,261","46,200",429,34,"1,247,531",3020.37,
40460,PUERTO RICO              ,MARICAO                ,1,"12,658",602.77,"11,190",532.86,657,0,810,1,"46,875",2232.15,
40470,PUERTO RICO              ,MAUNABO                ,13,"280,256","1,785.53","256,648",1635.12,"5,793","12,804","5,010",12,"347,712",2398.68,
40480,PUERTO RICO              ,MAYAGUEZ               ,91,"1,067,458",972.18,"963,108",877.15,"48,246","9,136","46,966",77,"2,504,815",2710.84,
40490,PUERTO RICO              ,MOCA                   ,35,"279,574",659.44,"257,086",606.39,"4,476","13,284","4,726",32,"1,104,720",2847.51,
40500,PUERTO RICO              ,MOROVIS                ,16,"278,320","1,391.33","253,994",1269.72,"5,778","18,294",252,14,"622,280",3475.65,
40510,PUERTO RICO              ,NAGUABO                ,19,"123,188",519.78,"116,687",492.35,0,"6,501",0,16,"546,538",2732.14,
40520,PUERTO RICO              ,NARANJITO              ,29,"157,444",452.43,"149,209",428.76,"1,207","5,749","1,278",23,"543,541",1941.50,
40530,PUERTO RICO              ,OROCOVIS               ,14,"207,256","1,226.66","191,547",1133.68,"2,950","11,408","1,350",12,"476,517",3134.16,
40540,PUERTO RICO              ,PATILLAS               ,15,"140,920",757.64,"119,114",640.40,"1,312","19,530",963,13,"485,720",3073.40,
40550,PUERTO RICO              ,PENUELAS               ,19,"219,870",931.49,"186,515",790.18,"10,270","12,701","10,382",16,"597,834",2988.57,
40560,PUERTO RICO              ,PONCE                  ,200,"2,645,425","1,099.95","2,232,245",928.15,"125,035","145,730","142,413",182,"5,183,561",2370.17,
40570,PUERTO RICO              ,QUEBRADILLAS           ,22,"178,594",676.49,"164,619",623.56,547,"12,651",775,19,"593,096",2492.42,
40580,PUERTO RICO              ,RINCON                 ,17,"209,157",991.46,"185,108",877.46,"8,562","7,511","7,975",15,"654,314",3499.75,
40590,PUERTO RICO              ,RIO GRANDE             ,21,"192,782",758.87,"165,365",650.94,"8,514","10,574","8,327",17,"485,799",2313.33,
40610,PUERTO RICO              ,SABANA GRANDE          ,41,"630,515","1,263.66","575,207",1152.81,"19,820","21,890","13,596",38,"1,251,750",2709.42,
40620,PUERTO RICO              ,SALINAS                ,28,"333,353",963.56,"285,820",826.17,"10,177","28,220","9,135",27,"663,514",2023.16,
40630,PUERTO RICO              ,SAN GERMAN             ,57,"511,969",747.44,"469,428",685.34,"14,616","15,654","12,268",45,"1,590,898",2946.11,
40640,PUERTO RICO              ,SAN JUAN               ,354,"2,744,704",645.81,"2,656,018",624.94,"20,836","53,079","14,769",301,"8,866,958",2452.17,
40650,PUERTO RICO              ,SAN LORENZO            ,31,"231,168",616.45,"220,936",589.16,213,"9,980",37,31,"815,258",2174.02,
40660,PUERTO RICO              ,SAN SEBASTIAN          ,55,"500,841",757.75,"460,966",697.42,"7,755","23,821","8,298",50,"1,787,127",2939.16,
40670,PUERTO RICO              ,SANTA ISABEL           ,17,"202,974",962.15,"167,039",791.81,"11,550","12,863","11,521",13,"540,043",3313.96,
40680,PUERTO RICO              ,TOA ALTA               ,48,"427,538",730.84,"406,495",694.86,"5,259","11,876","3,906",41,"1,315,072",2667.71,
40690,PUERTO RICO              ,TOA BAJA               ,31,"382,516","1,025.62","352,586",945.37,"8,457","14,495","6,976",23,"650,524",2266.32,
40700,PUERTO RICO              ,TRUJILLO ALTO          ,42,"423,566",833.86,"412,595",812.26,"3,304","1,974","5,691",35,"1,012,937",2389.23,
40710,PUERTO RICO              ,UTUADO                 ,14,"215,399","1,252.61","204,680",1190.28,562,"10,134",21,12,"366,936",2512.58,
40720,PUERTO RICO              ,VEGA ALTA              ,27,"173,523",532.21,"160,325",491.74,"1,364","11,760",72,22,"772,920",2872.88,
40730,PUERTO RICO              ,VEGA BAJA              ,54,"678,220","1,035.51","626,764",956.95,"9,553","41,289",613,49,"1,592,411",2676.50,
40740,PUERTO RICO              ,VIEQUES                ,30,"258,636",704.81,"243,664",664.01,"5,448","5,831","3,692",28,"429,610",1259.71,
40750,PUERTO RICO              ,VILLALBA               ,39,"607,935","1,288.11","520,401",1102.64,"26,861","32,461","28,211",34,"960,750",2303.96,
40760,PUERTO RICO              ,YABUCOA                ,35,"265,240",628.47,"237,239",562.13,"2,623","24,187","1,189",31,"1,004,976",2694.60,
40770,PUERTO RICO              ,YAUCO                  ,40,"499,672","1,023.83","463,591",949.90,"9,728","17,186","9,166",34,"1,261,717",3062.72,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
