DISABLED -- REPRICING ADJUSTMENTS TO THE 2007-2011 OUTPATIENT REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,
CODE,STATE,COUNTY,Part B Reimbursement Adjustment 2007,Part B Reimbursement Adjustment 2008,Part B Reimbursement Adjustment 2009,Part B Reimbursement Adjustment 2010,Part B Reimbursement Adjustment 2011,,,,,
01600,ALABAMA                  ,TALLADEGA,"-62,391","-104,349","-107,155","-98,459","-87,215",,,,,
01610,ALABAMA                  ,TALLAPOOSA,"-6,101","-37,890","-39,667","-39,443","-36,179",,,,,
01620,ALABAMA                  ,TUSCALOOSA,"-4,063","21,720","-14,873","-59,462","-83,238",,,,,
01630,ALABAMA                  ,WALKER,"-62,836","-53,962","-43,684","-20,325","-19,896",,,,,
01640,ALABAMA                  ,WASHINGTON,"-8,087","-11,892","-9,836","-10,408","-15,793",,,,,
01650,ALABAMA                  ,WILCOX,"-8,782","-8,662","-13,108","-13,392","-14,440",,,,,
01660,ALABAMA                  ,WINSTON,"-21,204","-22,299","-22,162","-18,247","-16,683",,,,,
02010,ALASKA                   ,ALEUTIANS ISLANDS,99,97,191,345,24,,,,,
02020,ALASKA                   ,ANCHORAGE,"86,504","83,352","127,445","95,347","20,439",,,,,
02040,ALASKA                   ,BARROW DIVISION,246,169,"1,305",223,73,,,,,
02050,ALASKA                   ,BETHEL,214,734,175,277,71,,,,,
02060,ALASKA                   ,BRISTOL BAY,"4,941","1,651","3,282","1,366",617,,,,,
02070,ALASKA                   ,DILLINGHAM,150,254,22,597,-38,,,,,
02080,ALASKA                   ,CORDOVA-MC CARTHY,110,167,-24,250,63,,,,,
02090,ALASKA                   ,FAIRBANKS NORTH STAR,"45,604","26,160","39,788","38,503","6,235",,,,,
02100,ALASKA                   ,HAINES,882,897,486,690,125,,,,,
02110,ALASKA                   ,JUNEAU,"10,259","9,532","5,886","5,016","3,472",,,,,
02120,ALASKA                   ,KENAI-COOK INLET DIVISION,"46,497","28,237","36,745","41,425","6,725",,,,,
02130,ALASKA                   ,KETCHIKAN GATEWAY,916,831,"1,817",771,"1,509",,,,,
02140,ALASKA                   ,KOBUK,51,117,71,124,119,,,,,
02150,ALASKA                   ,KODIAK ISLAND,276,"1,472",906,573,355,,,,,
02160,ALASKA                   ,KUSKOKWIN DIVISION,189,158,85,343,107,,,,,
02170,ALASKA                   ,MATANUSKA-SUSITNA,"31,227","32,767","40,023","34,201","7,339",,,,,
02180,ALASKA                   ,NOME,77,112,42,289,431,,,,,
02190,ALASKA                   ,OUTER KETCHIKAN DIVISION,91,151,3,164,71,,,,,
02200,ALASKA                   ,PRINCE OF WALES DIVISION,314,203,139,121,276,,,,,
02210,ALASKA                   ,SEWARD,"1,059",591,535,266,221,,,,,
02220,ALASKA                   ,SITKA,555,141,139,456,104,,,,,
02230,ALASKA                   ,SKAGWAY,219,203,321,393,139,,,,,
02240,ALASKA                   ,SOUTHEAST FAIRBANKS,"2,867","1,236","2,435","1,853",529,,,,,
