"AGED -- PUERTO RICO 2011 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE BENEFICIARIES ENROLLED IN  PART A AND/OR PART B ",,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA,AGED & DBLD MEAN RISK SCORES
40210,PUERTO RICO,COAMO,"1,622","1,485,097",76.29,"1,312,278",67.41,"30,255","83,879","58,683",514,"1,406,541",227.89,0.921
40220,PUERTO RICO,COMERIO,906,"683,135",62.78,"629,539",57.85,"7,921","34,715","10,958",300,"646,012",178.90,1.051
40230,PUERTO RICO,COROZAL,"1,448","952,497",54.82,"886,204",51.00,"10,737","50,038","5,516",489,"1,233,817",210.05,0.986
40240,PUERTO RICO,CULEBRA,87,"107,913",102.48,"102,238",97.09,"1,514","3,258",901,49,"163,485",278.04,0.621
40250,PUERTO RICO,DORADO,"1,067","813,702",63.52,"772,077",60.27,"12,631","20,886","8,106",532,"1,282,282",200.55,0.903
40260,PUERTO RICO,FAJARDO,"1,630","1,359,660",69.48,"1,209,230",61.79,"41,750","78,285","30,394",718,"1,626,979",188.81,0.962
40265,PUERTO RICO,FLORIDA,12,0,0.00,0,0.00,0,0,0,2,"1,138",43.74,0.945
40270,PUERTO RICO,GUANICA,708,"396,674",46.66,"343,966",40.46,"12,452","22,680","17,575",221,"474,050",178.15,0.881
40280,PUERTO RICO,GUAYAMA,"1,497","1,344,399",74.80,"1,160,160",64.55,"31,007","123,776","29,453",509,"1,387,933",227.12,0.929
40290,PUERTO RICO,GUAYANILLA,939,"652,877",57.89,"573,533",50.86,"17,221","35,105","27,017",322,"673,828",174.39,0.893
40300,PUERTO RICO,GUAYNABO,"5,009","5,071,309",84.36,"4,807,210",79.97,"87,735","115,893","60,470","3,314","10,082,095",253.50,0.941
40310,PUERTO RICO,GURABO,"1,365","1,145,507",69.89,"1,038,938",63.38,"18,909","70,851","16,808",573,"1,417,890",206.09,0.953
40320,PUERTO RICO,HATILLO,"1,488","1,163,427",65.13,"1,045,104",58.51,"14,568","96,898","6,855",477,"1,158,819",202.20,0.903
40330,PUERTO RICO,HORMIGUEROS,"1,153","1,076,666",77.80,"948,427",68.54,"34,533","36,881","56,824",582,"1,648,228",235.73,0.960
40340,PUERTO RICO,HUMACAO,"2,651","2,038,022",64.05,"1,823,760",57.31,"27,221","164,302","22,738","1,214","2,812,464",192.98,0.846
40350,PUERTO RICO,ISABELA,"1,942","1,267,565",54.38,"1,100,135",47.19,"47,197","72,709","47,522",605,"1,529,990",210.54,0.890
40360,PUERTO RICO,JAYUYA,665,"700,445",87.72,"610,151",76.41,"22,533","26,691","41,069",125,"288,604",191.00,0.972
40370,PUERTO RICO,JUANA DIAZ,"1,573","1,337,356",70.83,"1,165,790",61.74,"29,988","80,520","61,057",465,"1,058,747",189.57,0.928
