"IPPS and OPPS Wage Indices by Fiscal Year -- Note: ""A"" and ""B"" designation indicate that there was a mid-year change in the index due to change in claims processor during the year.",,,,,,,,,,,,
County code,State,County name,CBSA 2013,IPPS Wage 2007 A,IPPS Wage 2007 B,IPPS Wage 2008,IPPS Wage 2009,IPPS Wage 2010 A,IPPS Wage 2010 B,IPPS Wage 2011,IPPS Wage 2013,
1400,AL,LEE,12220, 0.8060 , 0.8060 , 0.8076 , 0.7618 , 0.8432 , 0.8432 , 0.7437 , 0.7567 ,
1410,AL,LIMESTONE,26620, 0.8967 , 0.8967 , 0.9018 , 0.8953 , 0.8924 , 0.8924 , 0.9033 , 0.8457 ,
1420,AL,LOWNDES,33860, 0.7933 , 0.7933 , 0.8112 , 0.8302 , 0.8459 , 0.8459 , 0.8579 , 0.7798 ,
1430,AL,MACON,NA, 0.7664 , 0.7664 , 0.7567 , 0.7618 , 0.7389 , 0.7389 , 0.7436 , 0.7071 ,
1440,AL,MADISON,26620, 0.8967 , 0.8967 , 0.9018 , 0.8953 , 0.8924 , 0.8924 , 0.9033 , 0.8457 ,
1450,AL,MARENGO,NA, 0.7664 , 0.7664 , 0.7567 , 0.7618 , 0.7389 , 0.7389 , 0.7436 , 0.7071 ,
1460,AL,MARION,NA, 0.7664 , 0.7664 , 0.7567 , 0.7618 , 0.7389 , 0.7389 , 0.7436 , 0.7071 ,
1470,AL,MARSHALL,NA, 0.7664 , 0.7664 , 0.7567 , 0.7618 , 0.7389 , 0.7389 , 0.7436 , 0.7071 ,
1480,AL,MOBILE,33660, 0.7847 , 0.7847 , 0.7948 , 0.7828 , 0.7735 , 0.7735 , 0.7889 , 0.7506 ,
1490,AL,MONROE,NA, 0.7664 , 0.7664 , 0.7567 , 0.7618 , 0.7389 , 0.7389 , 0.7436 , 0.7071 ,
1500,AL,MONTGOMERY,33860, 0.7933 , 0.7933 , 0.8112 , 0.8302 , 0.8459 , 0.8459 , 0.8579 , 0.7798 ,
1510,AL,MORGAN,19460, 0.8065 , 0.8065 , 0.7832 , 0.7685 , 0.7694 , 0.7694 , 0.7505 , 0.7071 ,
1520,AL,PERRY,NA, 0.7664 , 0.7664 , 0.7567 , 0.7618 , 0.7389 , 0.7389 , 0.7436 , 0.7071 ,
1530,AL,PICKENS,NA, 0.7664 , 0.7664 , 0.7567 , 0.7618 , 0.7389 , 0.7389 , 0.7436 , 0.7071 ,
