"ESRD -- PUERTO RICO 2011 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE, BENEFICIARIES ENROLLED IN  PART A AND/OR PART B ",,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA,
40510,PUERTO RICO              ,NAGUABO                ,22,"234,566",888.51,"208,151",788.45,"5,675","15,785","4,954",20,"657,396","2,739.15",
40520,PUERTO RICO              ,NARANJITO              ,24,"188,833",655.67,"186,009",645.86,0,"2,824",0,18,"613,444","2,840.02",
40530,PUERTO RICO              ,OROCOVIS               ,12,"98,838",686.38,"91,876",638.03,"1,394","4,802",764,11,"440,690","3,338.56",
40540,PUERTO RICO              ,PATILLAS               ,15,"87,841",488.01,"76,457",424.76,"3,221","5,366","2,796",13,"363,008","2,326.97",
40550,PUERTO RICO              ,PENUELAS               ,21,"195,250",774.80,"179,751",713.30,"4,255","6,118","5,125",19,"542,325","2,378.62",
40560,PUERTO RICO              ,PONCE                  ,205,"2,829,611","1,150.25","2,364,764",961.29,"138,262","142,477","184,107",181,"5,425,881","2,498.10",
40570,PUERTO RICO              ,QUEBRADILLAS           ,12,"102,833",714.12,"98,564",684.47,0,"4,269",0,7,"283,207","3,371.51",
40580,PUERTO RICO              ,RINCON                 ,16,"271,498","1,414.05","229,441","1,195.01","14,657","10,596","16,802",12,"459,945","3,194.06",
40590,PUERTO RICO              ,RIO GRANDE             ,17,"93,842",460.01,"88,679",434.70,683,"3,464","1,015",13,"319,132","2,045.72",
40610,PUERTO RICO              ,SABANA GRANDE          ,32,"444,558","1,157.70","389,196","1,013.53","16,906","20,659","17,796",30,"975,873","2,710.76",
40620,PUERTO RICO              ,SALINAS                ,32,"564,952","1,471.23","502,856","1,309.52","15,654","30,663","15,778",27,"805,991","2,487.63",
40630,PUERTO RICO              ,SAN GERMAN             ,53,"618,494",972.47,"553,408",870.14,"20,452","22,531","22,103",37,"1,359,873","3,062.78",
40640,PUERTO RICO              ,SAN JUAN               ,335,"2,960,688",736.49,"2,873,455",714.79,"23,504","40,892","22,836",283,"8,530,229","2,511.85",
