DISABLED -- REPRICING ADJUSTMENTS TO THE 2007-2011 SKILLED NURSING FACILITY REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,
CODE,STATE,COUNTY,Part A Reimbursement Adjustment 2007,Part A Reimbursement Adjustment 2008,Part A Reimbursement Adjustment 2009,Part A Reimbursement Adjustment 2010,Part A Reimbursement Adjustment 2011,,,,,
01600,ALABAMA                  ,TALLADEGA,"-17,602","-17,912","-24,773","-13,888","-15,277",,,,,
01610,ALABAMA                  ,TALLAPOOSA,"-9,839","-10,895","-7,832","-5,467","-6,896",,,,,
01620,ALABAMA                  ,TUSCALOOSA,696,"13,502","-3,235","-26,088","-33,282",,,,,
01630,ALABAMA                  ,WALKER,"-20,042","-19,762","-10,304","-3,266","-4,180",,,,,
01640,ALABAMA                  ,WASHINGTON,"-1,703","-1,923","-3,387","-2,903","-5,519",,,,,
01650,ALABAMA                  ,WILCOX,"-3,609","-3,371","-2,461","-1,059","-2,894",,,,,
01660,ALABAMA                  ,WINSTON,"-11,168","-8,006","-4,810","-5,117","-4,329",,,,,
02010,ALASKA                   ,ALEUTIANS ISLANDS,0,0,0,0,0,,,,,
02020,ALASKA                   ,ANCHORAGE,"2,855","4,017","3,411","2,870","3,163",,,,,
02040,ALASKA                   ,BARROW DIVISION,0,0,0,0,0,,,,,
02050,ALASKA                   ,BETHEL,0,130,0,10,590,,,,,
02060,ALASKA                   ,BRISTOL BAY,-162,0,-23,-504,0,,,,,
02070,ALASKA                   ,DILLINGHAM,0,0,0,194,0,,,,,
02080,ALASKA                   ,CORDOVA-MC CARTHY,0,0,-380,0,0,,,,,
02090,ALASKA                   ,FAIRBANKS NORTH STAR,"-1,111",-323,"-2,783","-1,594",-768,,,,,
02100,ALASKA                   ,HAINES,0,0,0,0,186,,,,,
02110,ALASKA                   ,JUNEAU,"1,471",707,"2,203","2,175","1,266",,,,,
02120,ALASKA                   ,KENAI-COOK INLET DIVISION,"4,899","1,209","2,994","1,247",-742,,,,,
02130,ALASKA                   ,KETCHIKAN GATEWAY,"4,707","1,749","2,164","1,906",409,,,,,
02140,ALASKA                   ,KOBUK,0,0,0,0,0,,,,,
02150,ALASKA                   ,KODIAK ISLAND,0,0,50,126,0,,,,,
02160,ALASKA                   ,KUSKOKWIN DIVISION,0,0,0,0,0,,,,,
02170,ALASKA                   ,MATANUSKA-SUSITNA,-45,221,-2,260,499,,,,,
02180,ALASKA                   ,NOME,0,-26,-31,0,0,,,,,
02190,ALASKA                   ,OUTER KETCHIKAN DIVISION,0,290,0,0,646,,,,,
02200,ALASKA                   ,PRINCE OF WALES DIVISION,0,142,0,0,159,,,,,
02210,ALASKA                   ,SEWARD,0,35,0,175,0,,,,,
02220,ALASKA                   ,SITKA,0,0,366,412,182,,,,,
02230,ALASKA                   ,SKAGWAY,0,0,0,0,0,,,,,
02240,ALASKA                   ,SOUTHEAST FAIRBANKS,-84,0,153,263,-166,,,,,
02250,ALASKA                   ,UPPER YUKON DIVISION,0,0,0,0,0,,,,,
02260,ALASKA                   ,VALDEZ-CHITNA-WHITIER DIVISION,0,93,0,82,-168,,,,,
02270,ALASKA                   ,WADE HAMPTON,0,0,0,0,0,,,,,
02280,ALASKA                   ,WRANGELL-PETERSBURG CENSUS AREA,0,281,0,914,3,,,,,
02290,ALASKA                   ,YUKON-KOYUKUK,0,0,63,0,0,,,,,
03000,ARIZONA                  ,APACHE,"4,524","3,013","6,151","4,026","-1,758",,,,,
03010,ARIZONA                  ,COCHISE,"11,298","10,593","9,374","3,392","-2,213",,,,,
03020,ARIZONA                  ,COCONINO,"11,577","9,731","9,568",735,"-3,237",,,,,
03030,ARIZONA                  ,GILA,"13,044","18,975","16,963","5,327","1,485",,,,,
03040,ARIZONA                  ,GRAHAM,529,43,864,597,36,,,,,
03050,ARIZONA                  ,GREENLEE,0,0,-55,-334,-167,,,,,
03055,ARIZONA                  ,LA PAZ,477,829,386,-161,-717,,,,,
03060,ARIZONA                  ,MARICOPA,"93,930","76,737","20,657","-82,456","-88,301",,,,,
03070,ARIZONA                  ,MOHAVE,"5,508","13,471","-5,101","-38,714","-17,341",,,,,
03080,ARIZONA                  ,NAVAJO,"11,698","20,401","11,486","2,265","1,860",,,,,
03090,ARIZONA                  ,PIMA,"-17,685","-18,536","-27,006","-61,041","-62,729",,,,,
03100,ARIZONA                  ,PINAL,"8,617","8,573","1,195","-12,790","-8,823",,,,,
03110,ARIZONA                  ,SANTA CRUZ,57,652,"-1,113","-1,765",-361,,,,,
03120,ARIZONA                  ,YAVAPAI,"73,619","56,690","51,892","34,409","-12,155",,,,,
03130,ARIZONA                  ,YUMA,"5,205","3,087","6,269","7,695","2,849",,,,,
04000,ARKANSAS                 ,ARKANSAS,"-2,123",-7,-135,70,868,,,,,
04010,ARKANSAS                 ,ASHLEY,"-1,212",-603,"1,358",498,"1,528",,,,,
04020,ARKANSAS                 ,BAXTER,609,-376,"-1,245","1,266","2,457",,,,,
04030,ARKANSAS                 ,BENTON,"15,600","18,109","12,830","23,985","25,559",,,,,
04040,ARKANSAS                 ,BOONE,-151,-897,"-1,948","2,544","2,251",,,,,
04050,ARKANSAS                 ,BRADLEY,37,-900,-363,"1,045",310,,,,,
04060,ARKANSAS                 ,CALHOUN,25,-128,-122,16,348,,,,,
04070,ARKANSAS                 ,CARROLL,404,412,"1,327","1,933","3,848",,,,,
04080,ARKANSAS                 ,CHICOT,7,-326,-584,468,876,,,,,
04090,ARKANSAS                 ,CLARK,-475,-249,-121,9,179,,,,,
04100,ARKANSAS                 ,CLAY,298,-116,-97,291,504,,,,,
04110,ARKANSAS                 ,CLEBURNE,56,-294,-496,281,"1,610",,,,,
04120,ARKANSAS                 ,CLEVELAND,-875,-6,"1,053","1,123",-134,,,,,
04130,ARKANSAS                 ,COLUMBIA,"1,147",189,-749,-62,"1,353",,,,,
04140,ARKANSAS                 ,CONWAY,-909,-853,-675,734,287,,,,,
04150,ARKANSAS                 ,CRAIGHEAD,"12,380","10,052","10,621","24,953","14,984",,,,,
04160,ARKANSAS                 ,CRAWFORD,"1,242",14,"1,748","2,141","6,121",,,,,
04170,ARKANSAS                 ,CRITTENDEN,"-5,209","-2,861","-3,107","-5,015","-5,181",,,,,
04180,ARKANSAS                 ,CROSS,557,460,-6,-38,914,,,,,
04190,ARKANSAS                 ,DALLAS,14,-32,-270,828,242,,,,,
04200,ARKANSAS                 ,DESHA,-535,-515,-31,753,"2,403",,,,,
04210,ARKANSAS                 ,DREW,-484,-352,-249,455,"2,012",,,,,
04220,ARKANSAS                 ,FAULKNER,"-4,528","-4,892","-1,421",793,806,,,,,
04230,ARKANSAS                 ,FRANKLIN,203,149,496,935,"2,083",,,,,
04240,ARKANSAS                 ,FULTON,-243,-423,-331,133,729,,,,,
04250,ARKANSAS                 ,GARLAND,"4,138","-8,382","-6,129","-4,070","-9,614",,,,,
04260,ARKANSAS                 ,GRANT,-977,-341,-452,369,102,,,,,
04270,ARKANSAS                 ,GREENE,"1,208","-1,725","-1,590","1,131","3,444",,,,,
04280,ARKANSAS                 ,HEMPSTEAD,-425,-667,-947,409,"1,199",,,,,
04290,ARKANSAS                 ,HOT SPRING,459,-439,"-1,826",437,"1,779",,,,,
04300,ARKANSAS                 ,HOWARD,-27,-509,-246,321,"1,497",,,,,
04310,ARKANSAS                 ,INDEPENDENCE,274,-865,"-2,199",962,"5,076",,,,,
04320,ARKANSAS                 ,IZARD,-83,-966,-410,116,399,,,,,
04330,ARKANSAS                 ,JACKSON,643,"-1,120","-1,548","1,059","2,815",,,,,
04340,ARKANSAS                 ,JEFFERSON,"-8,821",-983,"2,778","5,660",116,,,,,
04350,ARKANSAS                 ,JOHNSON,233,-132,-125,963,-47,,,,,
04360,ARKANSAS                 ,LAFAYETTE,237,-234,-498,99,"1,174",,,,,
04370,ARKANSAS                 ,LAWRENCE,"1,662",864,-176,"1,766","1,731",,,,,
04380,ARKANSAS                 ,LEE,-181,-15,472,228,456,,,,,
04390,ARKANSAS                 ,LINCOLN,"-3,426",-158,-197,"2,058",-200,,,,,
04400,ARKANSAS                 ,LITTLE RIVER,147,-425,-505,339,535,,,,,
04410,ARKANSAS                 ,LOGAN,521,-521,-524,622,"1,307",,,,,
04420,ARKANSAS                 ,LONOKE,"-5,024","-3,324",-758,"1,068","2,413",,,,,
04430,ARKANSAS                 ,MADISON,835,"1,847",878,"4,492","3,297",,,,,
04440,ARKANSAS                 ,MARION,127,-152,-381,295,"1,438",,,,,
04450,ARKANSAS                 ,MILLER,-190,"2,572","-3,318",-895,"2,253",,,,,
04460,ARKANSAS                 ,MISSISSIPPI,"1,898",152,86,957,"4,126",,,,,
04470,ARKANSAS                 ,MONROE,-347,-69,-89,8,99,,,,,
04480,ARKANSAS                 ,MONTGOMERY,103,-235,-619,26,0,,,,,
04490,ARKANSAS                 ,NEVADA,79,-240,-289,93,938,,,,,
04500,ARKANSAS                 ,NEWTON,-55,-229,-194,7,304,,,,,
04510,ARKANSAS                 ,OUACHITA,393,-428,-296,"1,352","3,381",,,,,
04520,ARKANSAS                 ,PERRY,"-1,270",-848,-183,322,188,,,,,
04530,ARKANSAS                 ,PHILLIPS,-197,66,-450,33,167,,,,,
