AGED -- REPRICING ADJUSTMENTS TO THE 2007-2011 INPATIENT REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,
CODE,STATE,COUNTY,Part A Reimbursement Adjustment 2007,Part A Reimbursement Adjustment 2008,Part A Reimbursement Adjustment 2009,Part A Reimbursement Adjustment 2010,Part A Reimbursement Adjustment 2011,,,,,
01580,ALABAMA                  ,SHELBY,"-699,680","-568,299","-403,124","-136,148","-157,860",,,,,
01590,ALABAMA                  ,SUMTER,"-44,483","-26,224","-44,385","-75,028","-59,554",,,,,
01600,ALABAMA                  ,TALLADEGA,"-825,978","-1,049,463","-1,041,941","-761,674","-605,796",,,,,
01610,ALABAMA                  ,TALLAPOOSA,"-69,743","-375,896","-359,731","-303,667","-305,344",,,,,
01620,ALABAMA                  ,TUSCALOOSA,"24,525","464,715","-187,904","-797,262","-928,330",,,,,
01630,ALABAMA                  ,WALKER,"-887,804","-754,522","-455,279","-167,759","-187,909",,,,,
01640,ALABAMA                  ,WASHINGTON,"-147,634","-177,598","-137,705","-130,693","-137,269",,,,,
01650,ALABAMA                  ,WILCOX,"-67,850","-71,211","-70,707","-61,858","-95,341",,,,,
01660,ALABAMA                  ,WINSTON,"-280,051","-246,467","-174,044","-125,652","-110,673",,,,,
02010,ALASKA                   ,ALEUTIANS ISLANDS,"6,320",-888,"5,453","4,833","2,060",,,,,
02020,ALASKA                   ,ANCHORAGE,"2,145,983","1,912,341","2,270,163","1,796,734","337,704",,,,,
02040,ALASKA                   ,BARROW DIVISION,"39,372","8,072","16,673","10,052","5,451",,,,,
02050,ALASKA                   ,BETHEL,"12,540","16,953","22,396","14,799","1,299",,,,,
02060,ALASKA                   ,BRISTOL BAY,"92,701","59,691","74,003","71,133","16,490",,,,,
02070,ALASKA                   ,DILLINGHAM,"19,726","15,769","8,004","4,333","2,460",,,,,
02080,ALASKA                   ,CORDOVA-MC CARTHY,"7,865","19,546","21,591","17,121","1,824",,,,,
02090,ALASKA                   ,FAIRBANKS NORTH STAR,"989,114","546,689","986,024","799,734","138,111",,,,,
02100,ALASKA                   ,HAINES,"8,516","8,717","17,678","12,561","4,828",,,,,
02110,ALASKA                   ,JUNEAU,"123,774","104,307","79,465","81,936","43,169",,,,,
02120,ALASKA                   ,KENAI-COOK INLET DIVISION,"311,334","269,076","394,682","289,242","90,756",,,,,
02130,ALASKA                   ,KETCHIKAN GATEWAY,"9,079","15,061","7,240","15,620","-11,773",,,,,
02140,ALASKA                   ,KOBUK,"14,600","14,416","21,667","28,306","1,488",,,,,
02150,ALASKA                   ,KODIAK ISLAND,"22,804","18,194","25,936","34,447","4,180",,,,,
02160,ALASKA                   ,KUSKOKWIN DIVISION,"9,003","10,947","4,021","5,017","1,364",,,,,
02170,ALASKA                   ,MATANUSKA-SUSITNA,"298,316","316,604","360,040","309,719","56,216",,,,,
02180,ALASKA                   ,NOME,"9,921","20,360","35,046","10,242","1,393",,,,,
02190,ALASKA                   ,OUTER KETCHIKAN DIVISION,"7,346","8,705","1,592","-5,002",59,,,,,
02200,ALASKA                   ,PRINCE OF WALES DIVISION,"4,102","11,216","4,504",-649,"1,191",,,,,
02210,ALASKA                   ,SEWARD,"30,432","43,857","67,711","22,909","8,456",,,,,
02220,ALASKA                   ,SITKA,"33,921","24,384","31,375","26,038","16,636",,,,,
02230,ALASKA                   ,SKAGWAY,"9,188","9,954","20,207","12,554","6,135",,,,,
02240,ALASKA                   ,SOUTHEAST FAIRBANKS,"92,288","63,736","94,764","104,333","11,689",,,,,
02250,ALASKA                   ,UPPER YUKON DIVISION,"29,791","10,644","26,403","19,130","4,554",,,,,
02260,ALASKA                   ,VALDEZ-CHITNA-WHITIER DIVISION,"49,218","68,445","61,151","59,823","10,940",,,,,
02270,ALASKA                   ,WADE HAMPTON,"5,693","13,622","16,435","11,414","1,214",,,,,
02280,ALASKA                   ,WRANGELL-PETERSBURG CENSUS AREA,"36,339","27,111","24,958","24,509","13,644",,,,,
