AGED -- 2011  REIMBURSEMENT FOR COST CONTRACTS - FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE,,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A TOTAL REIMBURSEMENT,PART A REIMBURSEMENT W/O IME/DSH/GME,PART B TOTAL REIMBURSEMENT,,,,,,,,,
02150,ALASKA                   ,KODIAK ISLAND,0,0,0,,,,,,,,,
02160,ALASKA                   ,KUSKOKWIN DIVISION,0,0,0,,,,,,,,,
02170,ALASKA                   ,MATANUSKA-SUSITNA,"53,952","50,376","19,533",,,,,,,,,
02180,ALASKA                   ,NOME,0,0,0,,,,,,,,,
02190,ALASKA                   ,OUTER KETCHIKAN DIVISION,0,0,0,,,,,,,,,
02200,ALASKA                   ,PRINCE OF WALES DIVISION,0,0,0,,,,,,,,,
02210,ALASKA                   ,SEWARD,0,0,0,,,,,,,,,
02220,ALASKA                   ,SITKA,0,0,0,,,,,,,,,
02230,ALASKA                   ,SKAGWAY,0,0,0,,,,,,,,,
02240,ALASKA                   ,SOUTHEAST FAIRBANKS,0,0,0,,,,,,,,,
02250,ALASKA                   ,UPPER YUKON DIVISION,0,0,0,,,,,,,,,
02260,ALASKA                   ,VALDEZ-CHITNA-WHITIER DIVISION,0,0,"15,207",,,,,,,,,
02270,ALASKA                   ,WADE HAMPTON,0,0,0,,,,,,,,,
02280,ALASKA                   ,WRANGELL-PETERSBURG CENSUS AREA,0,0,0,,,,,,,,,
02290,ALASKA                   ,YUKON-KOYUKUK,0,0,0,,,,,,,,,
03000,ARIZONA                  ,APACHE,0,0,0,,,,,,,,,
03010,ARIZONA                  ,COCHISE,"21,796","19,219","48,175",,,,,,,,,
03020,ARIZONA                  ,COCONINO,"40,094","34,768","43,459",,,,,,,,,
03030,ARIZONA                  ,GILA,"46,577","41,724","11,166",,,,,,,,,
03040,ARIZONA                  ,GRAHAM,0,0,404,,,,,,,,,
03050,ARIZONA                  ,GREENLEE,0,0,0,,,,,,,,,
03055,ARIZONA                  ,LA PAZ,"213,630","201,619","57,538",,,,,,,,,
03060,ARIZONA                  ,MARICOPA,"1,512,855","1,364,446","906,983",,,,,,,,,
03070,ARIZONA                  ,MOHAVE,"389,489","355,191","280,096",,,,,,,,,
03080,ARIZONA                  ,NAVAJO,"332,173","300,535","260,570",,,,,,,,,
03090,ARIZONA                  ,PIMA,"291,364","257,791","227,893",,,,,,,,,
03100,ARIZONA                  ,PINAL,"281,801","243,969","199,538",,,,,,,,,
03110,ARIZONA                  ,SANTA CRUZ,0,0,0,,,,,,,,,
03120,ARIZONA                  ,YAVAPAI,"298,074","274,406","145,340",,,,,,,,,
03130,ARIZONA                  ,YUMA,"221,862","207,740","148,819",,,,,,,,,
04000,ARKANSAS                 ,ARKANSAS,0,0,0,,,,,,,,,
04010,ARKANSAS                 ,ASHLEY,0,0,"3,814",,,,,,,,,
04020,ARKANSAS                 ,BAXTER,"294,186","285,679","77,443",,,,,,,,,
04030,ARKANSAS                 ,BENTON,"108,980","105,186","165,579",,,,,,,,,
04040,ARKANSAS                 ,BOONE,"13,107","11,523","2,466",,,,,,,,,
04050,ARKANSAS                 ,BRADLEY,0,0,0,,,,,,,,,
04060,ARKANSAS                 ,CALHOUN,0,0,0,,,,,,,,,
04070,ARKANSAS                 ,CARROLL,0,0,"4,786",,,,,,,,,
04080,ARKANSAS                 ,CHICOT,"84,858","84,858","38,778",,,,,,,,,
04090,ARKANSAS                 ,CLARK,"17,961","16,325","46,507",,,,,,,,,
04100,ARKANSAS                 ,CLAY,0,0,0,,,,,,,,,
04110,ARKANSAS                 ,CLEBURNE,"104,967","102,108","28,298",,,,,,,,,
04120,ARKANSAS                 ,CLEVELAND,0,0,"4,041",,,,,,,,,
04130,ARKANSAS                 ,COLUMBIA,0,0,0,,,,,,,,,
04140,ARKANSAS                 ,CONWAY,"38,176","34,570","14,216",,,,,,,,,
04150,ARKANSAS                 ,CRAIGHEAD,0,0,"4,957",,,,,,,,,
04160,ARKANSAS                 ,CRAWFORD,"23,114","19,157","19,914",,,,,,,,,
04170,ARKANSAS                 ,CRITTENDEN,0,0,126,,,,,,,,,
04180,ARKANSAS                 ,CROSS,0,0,"9,228",,,,,,,,,
04190,ARKANSAS                 ,DALLAS,0,0,0,,,,,,,,,
04200,ARKANSAS                 ,DESHA,"51,073","42,087","35,557",,,,,,,,,
04210,ARKANSAS                 ,DREW,0,0,"3,648",,,,,,,,,
04220,ARKANSAS                 ,FAULKNER,"171,925","157,906","188,563",,,,,,,,,
04230,ARKANSAS                 ,FRANKLIN,"79,144","76,104","25,861",,,,,,,,,
04240,ARKANSAS                 ,FULTON,0,0,0,,,,,,,,,
04250,ARKANSAS                 ,GARLAND,"342,684","314,261","61,732",,,,,,,,,
04260,ARKANSAS                 ,GRANT,0,0,"8,746",,,,,,,,,
04270,ARKANSAS                 ,GREENE,"59,294","56,490","36,920",,,,,,,,,
04280,ARKANSAS                 ,HEMPSTEAD,"34,359","32,231","5,121",,,,,,,,,
04290,ARKANSAS                 ,HOT SPRING,"43,245","38,980","16,471",,,,,,,,,
04300,ARKANSAS                 ,HOWARD,0,0,0,,,,,,,,,
04310,ARKANSAS                 ,INDEPENDENCE,"46,535","38,658","14,751",,,,,,,,,
04320,ARKANSAS                 ,IZARD,"12,989","12,449","15,705",,,,,,,,,
04330,ARKANSAS                 ,JACKSON,"5,779","4,744","4,629",,,,,,,,,
04340,ARKANSAS                 ,JEFFERSON,"214,671","195,070","79,812",,,,,,,,,
04350,ARKANSAS                 ,JOHNSON,"226,662","212,503","30,779",,,,,,,,,
04360,ARKANSAS                 ,LAFAYETTE,0,0,"3,870",,,,,,,,,
04370,ARKANSAS                 ,LAWRENCE,"5,053","4,120","3,104",,,,,,,,,
04380,ARKANSAS                 ,LEE,0,0,0,,,,,,,,,
04390,ARKANSAS                 ,LINCOLN,0,0,0,,,,,,,,,
04400,ARKANSAS                 ,LITTLE RIVER,"12,027","9,997","47,739",,,,,,,,,
04410,ARKANSAS                 ,LOGAN,"34,175","33,203","20,890",,,,,,,,,
04420,ARKANSAS                 ,LONOKE,"25,119","23,640","82,147",,,,,,,,,
04430,ARKANSAS                 ,MADISON,0,0,"2,179",,,,,,,,,
04440,ARKANSAS                 ,MARION,"11,828","11,317","21,460",,,,,,,,,
04450,ARKANSAS                 ,MILLER,0,0,"2,552",,,,,,,,,
04460,ARKANSAS                 ,MISSISSIPPI,0,0,"6,510",,,,,,,,,
04470,ARKANSAS                 ,MONROE,0,0,0,,,,,,,,,
04480,ARKANSAS                 ,MONTGOMERY,"29,519","28,839","8,332",,,,,,,,,
04490,ARKANSAS                 ,NEVADA,0,0,"1,644",,,,,,,,,
04500,ARKANSAS                 ,NEWTON,0,0,0,,,,,,,,,
04510,ARKANSAS                 ,OUACHITA,0,0,"3,173",,,,,,,,,
04520,ARKANSAS                 ,PERRY,"27,521","16,665","35,010",,,,,,,,,
04530,ARKANSAS                 ,PHILLIPS,0,0,"4,055",,,,,,,,,
04540,ARKANSAS                 ,PIKE,0,0,"11,427",,,,,,,,,
04550,ARKANSAS                 ,POINSETT,"35,378","32,749","8,970",,,,,,,,,
04560,ARKANSAS                 ,POLK,0,0,"1,482",,,,,,,,,
04570,ARKANSAS                 ,POPE,"40,658","39,341","90,932",,,,,,,,,
04580,ARKANSAS                 ,PRAIRIE,"55,424","42,762","10,865",,,,,,,,,
04590,ARKANSAS                 ,PULASKI,"1,493,654","1,401,545","1,126,177",,,,,,,,,
04600,ARKANSAS                 ,RANDOLPH,"58,152","54,252","17,901",,,,,,,,,
04610,ARKANSAS                 ,ST. FRANCIS,0,0,0,,,,,,,,,
04620,ARKANSAS                 ,SALINE,"282,798","260,988","233,227",,,,,,,,,
04630,ARKANSAS                 ,SCOTT,"14,377","13,837","9,284",,,,,,,,,
04640,ARKANSAS                 ,SEARCY,0,0,0,,,,,,,,,
04650,ARKANSAS                 ,SEBASTIAN,"328,046","311,550","151,529",,,,,,,,,
