"DISABLED - HOSPICE - 2014 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR PART A AND PART B BY STATE AND COUNTY OF RESIDENCE          (DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPPRESSED FOR PRIVACY",,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A TOTAL REIMBURSEMENT W/O IME/DSH/GME,PART A TOTAL PER CAPITA W/O IME/DSH/GME,PART A  IME,PART A  DSH,PART A  GME,PART B  ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B TOTAL PER CAPITA
01550,ALABAMA,RANDOLPH,963,"121,195",10.49,"121,196",10.49,0,0,0,902,0,0
01560,ALABAMA,RUSSELL,"2,178","542,082",20.74,"542,083",20.74,0,0,0,"1,973",0,0
01570,ALABAMA,ST. CLAIR,"1,765","246,915",11.66,"246,914",11.66,0,0,0,"1,486",0,0
01580,ALABAMA,SHELBY,"2,074","412,235",16.56,"412,236",16.56,0,0,0,"1,708",0,0
01590,ALABAMA,SUMTER,859,"396,072",38.42,"396,072",38.42,0,0,0,808,0,0
01600,ALABAMA,TALLADEGA,"4,083","1,118,338",22.83,"1,118,339",22.83,0,0,0,"3,617",0,0
01610,ALABAMA,TALLAPOOSA,"2,441","466,257",15.92,"466,257",15.92,0,0,0,"2,232",0,0
01620,ALABAMA,TUSCALOOSA,"7,508","703,926",7.81,"703,926",7.81,0,0,0,"6,811",0,0
01630,ALABAMA,WALKER,"3,095","856,123",23.05,"856,123",23.05,0,0,0,"2,774",0,0
01640,ALABAMA,WASHINGTON,816,"163,239",16.67,"163,239",16.67,0,0,0,742,0,0
01650,ALABAMA,WILCOX,925,"55,266",4.98,"55,267",4.98,0,0,0,878,0,0
01660,ALABAMA,WINSTON,"1,184","131,057",9.22,"131,057",9.22,0,0,0,"1,101",0,0
02010,ALASKA,ALEUTIANS ISLANDS,40,0,0.00,0,0.00,0,0,0,35,0,0
02020,ALASKA,ANCHORAGE,"5,475","298,950",4.55,"298,951",4.55,0,0,0,"4,870",0,0
02040,ALASKA,BARROW DIVISION,75,0,0.00,0,0.00,0,0,0,65,0,0
02050,ALASKA,BETHEL,93,0,0.00,0,0.00,0,0,0,84,0,0
02060,ALASKA,BRISTOL BAY BOROUGH,106,839,0.66,840,0.66,0,0,0,94,0,0
02070,ALASKA,DILLINGHAM,64,"8,715",11.35,"8,715",11.35,0,0,0,62,0,0
02080,ALASKA,CORDOVA-MC CARTHY,19,0,0.00,0,0.00,0,0,0,17,0,0
02090,ALASKA,FAIRBANKS NORTH STAR,"1,328","21,247",1.33,"21,247",1.33,0,0,0,"1,175",0,0
02100,ALASKA,HAINES,46,0,0.00,0,0.00,0,0,0,42,0,0
02110,ALASKA,JUNEAU,674,"11,005",1.36,"11,005",1.36,0,0,0,602,0,0
02120,ALASKA,KENAI-COOK INLET DIVISION,"1,182","6,621",0.47,"6,622",0.47,0,0,0,"1,066",0,0
02130,ALASKA,KETCHIKAN GATEWAY,279,0,0.00,0,0.00,0,0,0,257,0,0
02140,ALASKA,KOBUK,62,0,0.00,0,0.00,0,0,0,57,0,0
02150,ALASKA,KODIAK ISLAND BOROUGH,85,0,0.00,0,0.00,0,0,0,71,0,0
02160,ALASKA,KUSKOKWIN,17,0,0.00,0,0.00,0,0,0,15,0,0
02170,ALASKA,MATANUSKA-SUSITNA,"1,547","41,177",2.22,"41,177",2.22,0,0,0,"1,376",0,0
02180,ALASKA,NOME,83,0,0.00,0,0.00,0,0,0,73,0,0
02190,ALASKA,OUTER KETCHIKAN DIVISION,35,0,0.00,0,0.00,0,0,0,33,0,0
02200,ALASKA,PRINCE OF WALES,65,"45,206",57.96,"45,206",57.96,0,0,0,58,0,0
02210,ALASKA,SEWARD,99,0,0.00,0,0.00,0,0,0,88,0,0
02220,ALASKA,SITKA BOROUGH,141,0,0.00,0,0.00,0,0,0,131,0,0
02230,ALASKA,SKAGWAY-YAKUTAT,47,0,0.00,0,0.00,0,0,0,42,0,0
02240,ALASKA,SOUTHEAST FAIRBANKS,62,0,0.00,0,0.00,0,0,0,55,0,0
02250,ALASKA,UPPER YUKON,21,0,0.00,0,0.00,0,0,0,21,0,0
02260,ALASKA,VALDEZ-CHITNA-WHITIER DIVISION,171,0,0.00,0,0.00,0,0,0,153,0,0
02270,ALASKA,WADE HAMPTON,67,0,0.00,0,0.00,0,0,0,63,0,0
02280,ALASKA,WRANGELL-PETERSBURG CENSUS ARE,103,"46,043",37.25,"46,043",37.25,0,0,0,94,0,0
02290,ALASKA,YUKON-KOYUKUK,66,0,0.00,0,0.00,0,0,0,63,0,0
03000,ARIZONA,APACHE,"1,366","66,207",4.04,"66,207",4.04,0,0,0,"1,217",0,0
03010,ARIZONA,COCHISE,"2,248","183,283",6.79,"183,284",6.79,0,0,0,"1,893",0,0
03020,ARIZONA,COCONINO,"2,043","284,335",11.60,"284,334",11.60,0,0,0,"1,755",0,0
03030,ARIZONA,GILA,"1,555","377,893",20.25,"377,894",20.25,0,0,0,"1,382",0,0
03040,ARIZONA,GRAHAM,556,"13,435",2.01,"13,435",2.01,0,0,0,471,0,0
03050,ARIZONA,GREENLEE,132,0,0.00,0,0.00,0,0,0,118,0,0
03055,ARIZONA,LAPAZ,422,"50,648",10.00,"50,648",10.00,0,0,0,353,0,0
03060,ARIZONA,MARICOPA,"39,378","10,022,019",21.21,"10,022,019",21.21,0,0,0,"30,544",0,0
03070,ARIZONA,MOHAVE,"4,871","1,202,463",20.57,"1,202,463",20.57,0,0,0,"4,218",0,0
03080,ARIZONA,NAVAJO,"2,212","159,606",6.01,"159,606",6.01,0,0,0,"1,948",0,0
03090,ARIZONA,PIMA,"11,772","2,446,933",17.32,"2,446,934",17.32,0,0,0,"9,164",0,0
03100,ARIZONA,PINAL,"5,214","1,254,386",20.05,"1,254,386",20.05,0,0,0,"4,306",0,0
03110,ARIZONA,SANTA CRUZ,412,"8,116",1.64,"8,116",1.64,0,0,0,332,0,0
03120,ARIZONA,YAVAPAI,"4,758","1,298,451",22.74,"1,298,451",22.74,0,0,0,"3,907",0,0
03130,ARIZONA,YUMA,"2,267","363,652",13.37,"363,652",13.37,0,0,0,"1,975",0,0
04000,ARKANSAS,ARKANSAS,692,"237,272",28.57,"237,272",28.57,0,0,0,628,0,0
04010,ARKANSAS,ASHLEY,891,"64,127",6.00,"64,127",6.00,0,0,0,819,0,0
04020,ARKANSAS,BAXTER,"1,654","82,929",4.18,"82,929",4.18,0,0,0,"1,500",0,0
04030,ARKANSAS,BENTON,"3,754","377,339",8.38,"377,339",8.38,0,0,0,"3,183",0,0
04040,ARKANSAS,BOONE,"1,748","129,996",6.20,"129,995",6.20,0,0,0,"1,568",0,0
04050,ARKANSAS,BRADLEY,503,"5,197",0.86,"5,197",0.86,0,0,0,463,0,0
04060,ARKANSAS,CALHOUN,206,"5,661",2.29,"5,662",2.29,0,0,0,189,0,0
04070,ARKANSAS,CARROLL,783,"32,114",3.42,"32,114",3.42,0,0,0,683,0,0
04080,ARKANSAS,CHICOT,515,527,0.09,528,0.09,0,0,0,485,0,0
04090,ARKANSAS,CLARK,680,"51,667",6.33,"51,667",6.33,0,0,0,610,0,0
04100,ARKANSAS,CLAY,744,"12,243",1.37,"12,244",1.37,0,0,0,680,0,0
04110,ARKANSAS,CLEBURNE,"1,073","85,487",6.64,"85,486",6.64,0,0,0,973,0,0
04120,ARKANSAS,CLEVELAND,327,"21,287",5.42,"21,287",5.42,0,0,0,302,0,0
04130,ARKANSAS,COLUMBIA,983,"74,792",6.34,"74,792",6.34,0,0,0,916,0,0
04140,ARKANSAS,CONWAY,933,"25,681",2.29,"25,681",2.29,0,0,0,837,0,0
04150,ARKANSAS,CRAIGHEAD,"3,620","260,550",6.00,"260,550",6.00,0,0,0,"3,305",0,0
04160,ARKANSAS,CRAWFORD,"1,917","205,454",8.93,"205,454",8.93,0,0,0,"1,635",0,0
04170,ARKANSAS,CRITTENDEN,"1,871","220,408",9.82,"220,408",9.82,0,0,0,"1,688",0,0
04180,ARKANSAS,CROSS,602,"34,597",4.79,"34,597",4.79,0,0,0,551,0,0
04190,ARKANSAS,DALLAS,315,"19,444",5.14,"19,443",5.14,0,0,0,287,0,0
04200,ARKANSAS,DESHA,498,"26,053",4.36,"26,053",4.36,0,0,0,456,0,0
04210,ARKANSAS,DREW,658,"50,045",6.34,"50,045",6.34,0,0,0,613,0,0
04220,ARKANSAS,FAULKNER,"3,204","325,953",8.48,"325,954",8.48,0,0,0,"2,828",0,0
04230,ARKANSAS,FRANKLIN,602,"55,956",7.75,"55,955",7.75,0,0,0,535,0,0
04240,ARKANSAS,FULTON,596,"161,037",22.52,"161,037",22.52,0,0,0,539,0,0
04250,ARKANSAS,GARLAND,"3,658","613,180",13.97,"613,180",13.97,0,0,0,"3,286",0,0
04260,ARKANSAS,GRANT,549,"27,592",4.19,"27,592",4.19,0,0,0,474,0,0
04270,ARKANSAS,GREENE,"1,793","133,173",6.19,"133,173",6.19,0,0,0,"1,656",0,0
04280,ARKANSAS,HEMPSTEAD,644,"142,263",18.41,"142,263",18.41,0,0,0,586,0,0
04290,ARKANSAS,HOT SPRING,"1,191","142,989",10.00,"142,989",10.00,0,0,0,"1,075",0,0
04300,ARKANSAS,HOWARD,573,"32,077",4.67,"32,077",4.67,0,0,0,536,0,0
04310,ARKANSAS,INDEPENDENCE,"1,786","223,809",10.44,"223,809",10.44,0,0,0,"1,650",0,0
04320,ARKANSAS,IZARD,675,"194,914",24.06,"194,914",24.06,0,0,0,634,0,0
04330,ARKANSAS,JACKSON,767,"110,199",11.97,"110,199",11.97,0,0,0,721,0,0
04340,ARKANSAS,JEFFERSON,"3,031","299,611",8.24,"299,611",8.24,0,0,0,"2,671",0,0
04350,ARKANSAS,JOHNSON,979,"89,142",7.59,"89,143",7.59,0,0,0,879,0,0
04360,ARKANSAS,LAFAYETTE,311,"67,154",17.99,"67,154",17.99,0,0,0,288,0,0
04370,ARKANSAS,LAWRENCE,931,"46,012",4.12,"46,012",4.12,0,0,0,866,0,0
04380,ARKANSAS,LEE,311,"2,243",0.60,"2,243",0.60,0,0,0,293,0,0
04390,ARKANSAS,LINCOLN,400,"12,220",2.55,"12,220",2.55,0,0,0,352,0,0
04400,ARKANSAS,LITTLE RIVER,499,"145,456",24.29,"145,457",24.29,0,0,0,462,0,0
04410,ARKANSAS,LOGAN,917,"48,878",4.44,"48,878",4.44,0,0,0,826,0,0
04420,ARKANSAS,LONOKE,"2,069","185,523",7.47,"185,522",7.47,0,0,0,"1,820",0,0
04430,ARKANSAS,MADISON,660,"16,410",2.07,"16,411",2.07,0,0,0,586,0,0
04440,ARKANSAS,MARION,687,"47,042",5.71,"47,042",5.71,0,0,0,605,0,0
04450,ARKANSAS,MILLER,"1,412","566,830",33.45,"566,830",33.45,0,0,0,"1,257",0,0
04460,ARKANSAS,MISSISSIPPI,"1,936","114,292",4.92,"114,292",4.92,0,0,0,"1,769",0,0
04470,ARKANSAS,MONROE,310,"44,671",12.01,"44,671",12.01,0,0,0,286,0,0
04480,ARKANSAS,MONTGOMERY,324,"7,826",2.01,"7,826",2.01,0,0,0,295,0,0
04490,ARKANSAS,NEVADA,361,"118,045",27.25,"118,046",27.25,0,0,0,335,0,0
04500,ARKANSAS,NEWTON,372,0,0.00,0,0.00,0,0,0,335,0,0
04510,ARKANSAS,OUACHITA,"1,100","56,415",4.27,"56,415",4.27,0,0,0,981,0,0
04520,ARKANSAS,PERRY,441,"25,513",4.82,"25,512",4.82,0,0,0,379,0,0
04530,ARKANSAS,PHILLIPS,756,"145,523",16.04,"145,523",16.04,0,0,0,713,0,0
04540,ARKANSAS,PIKE,414,"119,616",24.08,"119,616",24.08,0,0,0,380,0,0
04550,ARKANSAS,POINSETT,"1,180","121,156",8.56,"121,156",8.56,0,0,0,"1,096",0,0
04560,ARKANSAS,POLK,823,"157,201",15.92,"157,202",15.92,0,0,0,745,0,0
04570,ARKANSAS,POPE,"2,252","272,406",10.08,"272,406",10.08,0,0,0,"2,054",0,0
04580,ARKANSAS,PRAIRIE,335,"13,805",3.43,"13,805",3.43,0,0,0,304,0,0
04590,ARKANSAS,PULASKI,"13,958","1,226,038",7.32,"1,226,038",7.32,0,0,0,"12,081",0,0
04600,ARKANSAS,RANDOLPH,715,"9,816",1.14,"9,816",1.14,0,0,0,664,0,0
04610,ARKANSAS,ST. FRANCIS,"1,164","149,393",10.70,"149,392",10.70,0,0,0,"1,079",0,0
04620,ARKANSAS,SALINE,"1,764","129,874",6.14,"129,874",6.14,0,0,0,"1,554",0,0
04630,ARKANSAS,SCOTT,428,"19,163",3.73,"19,164",3.73,0,0,0,387,0,0
04640,ARKANSAS,SEARCY,418,"62,522",12.46,"62,522",12.46,0,0,0,388,0,0
04650,ARKANSAS,SEBASTIAN,"4,199","284,919",5.65,"284,920",5.65,0,0,0,"3,680",0,0
04660,ARKANSAS,SEVIER,496,"110,530",18.57,"110,530",18.57,0,0,0,464,0,0
04670,ARKANSAS,SHARP,988,"92,670",7.82,"92,670",7.82,0,0,0,911,0,0
04680,ARKANSAS,STONE,630,"56,781",7.51,"56,781",7.51,0,0,0,582,0,0
04690,ARKANSAS,UNION,"2,066","79,429",3.20,"79,428",3.20,0,0,0,"1,905",0,0
04700,ARKANSAS,VAN BUREN,665,"56,270",7.05,"56,270",7.05,0,0,0,598,0,0
04710,ARKANSAS,WASHINGTON,"5,079","523,626",8.59,"523,626",8.59,0,0,0,"4,417",0,0
04720,ARKANSAS,WHITE,"3,021","259,525",7.16,"259,525",7.16,0,0,0,"2,730",0,0
04730,ARKANSAS,WOODRUFF,360,"36,669",8.49,"36,668",8.49,0,0,0,341,0,0
04740,ARKANSAS,YELL,929,"27,415",2.46,"27,415",2.46,0,0,0,845,0,0
05000,CALIFORNIA,ALAMEDA,"19,323","2,473,796",10.67,"2,473,795",10.67,0,0,0,"16,384",0,0
05010,CALIFORNIA,ALPINE,27,0,0.00,0,0.00,0,0,0,23,0,0
05020,CALIFORNIA,AMADOR,957,"64,633",5.63,"64,633",5.63,0,0,0,822,0,0
05030,CALIFORNIA,BUTTE,"8,814","368,940",3.49,"368,940",3.49,0,0,0,"8,161",0,0
05040,CALIFORNIA,CALAVERAS,"1,282","96,780",6.29,"96,781",6.29,0,0,0,"1,134",0,0
05050,CALIFORNIA,COLUSA,473,"1,459",0.26,"1,459",0.26,0,0,0,438,0,0
05060,CALIFORNIA,CONTRA COSTA,"15,224","1,805,038",9.88,"1,805,038",9.88,0,0,0,"12,579",0,0
05070,CALIFORNIA,DEL NORTE,"1,164","12,511",0.90,"12,512",0.90,0,0,0,"1,091",0,0
05080,CALIFORNIA,EL DORADO,"3,931","219,765",4.66,"219,764",4.66,0,0,0,"3,356",0,0
05090,CALIFORNIA,FRESNO,"15,420","781,338",4.22,"781,338",4.22,0,0,0,"13,650",0,0
05100,CALIFORNIA,GLENN,815,"107,265",10.97,"107,265",10.97,0,0,0,742,0,0
