AGED -- REPRICING ADJUSTMENTS TO THE 2010-2014 INPATIENT REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX                                             (DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPRESSED FOR PRIVACY),,,,,,,
CODE,STATE,COUNTY,PART A  2010,PART A  2011,PART A  2012,PART A  2013,PART A  2014
02010,ALASKA,ALEUTIANS ISLANDS,"9,372","6,017","5,895","3,485",799
02020,ALASKA,ANCHORAGE,"3,446,933","2,121,861","1,808,081","1,245,306","-326,131"
02040,ALASKA,BARROW DIVISION,"13,160","9,494",152,"1,202",498
02050,ALASKA,BETHEL,"24,681","9,200","21,608","6,537",530
02060,ALASKA,BRISTOL BAY BOROUGH,"28,165","30,019","17,166","21,512","-5,193"
02070,ALASKA,DILLINGHAM,"10,027","10,736","6,106","9,090",888
02080,ALASKA,CORDOVA-MC CARTHY,"34,978","12,492","14,253","9,269","-3,962"
02090,ALASKA,FAIRBANKS NORTH STAR,"307,099","189,077","200,134","91,357","24,661"
02100,ALASKA,HAINES,"23,206","15,509","21,421","6,333",-977
02110,ALASKA,JUNEAU,"159,516","102,410","92,548","70,889","34,753"
02120,ALASKA,KENAI-COOK INLET DIVISION,"568,365","347,628","276,813","164,704","-25,866"
02130,ALASKA,KETCHIKAN GATEWAY,"76,621","54,335","59,540","19,578","25,465"
02140,ALASKA,KOBUK,"49,059","7,227","9,091","5,781",-725
02150,ALASKA,KODIAK ISLAND BOROUGH,"60,783","22,821","24,500","30,399","-4,971"
02160,ALASKA,KUSKOKWIN,"7,649","7,628","1,830","2,448","1,157"
02170,ALASKA,MATANUSKA-SUSITNA,"569,029","285,035","238,921","207,071","-46,224"
02180,ALASKA,NOME,"16,661","8,675","23,796","3,958",-894
02190,ALASKA,OUTER KETCHIKAN DIVISION,"2,074","7,312","5,675","3,239","2,807"
02200,ALASKA,PRINCE OF WALES,"13,580","12,008","11,222","4,023","3,630"
02210,ALASKA,SEWARD,"44,445","43,590","39,698","19,327","-6,134"
02220,ALASKA,SITKA BOROUGH,"50,909","33,892","51,016","15,309","8,304"
02230,ALASKA,SKAGWAY-YAKUTAT,"21,148","23,834","12,847","7,956",794
02240,ALASKA,SOUTHEAST FAIRBANKS,"27,615","14,860","13,789","17,294","-1,607"
02250,ALASKA,UPPER YUKON,"8,996",691,"1,796","2,085",-856
02260,ALASKA,VALDEZ-CHITNA-WHITIER DIVISION,"77,493","55,887","37,718","29,146","1,836"
02270,ALASKA,WADE HAMPTON,"13,488","7,262","8,572","5,321",521
02280,ALASKA,WRANGELL-PETERSBURG CENSUS ARE,"38,890","45,956","24,990","19,817","12,494"
02290,ALASKA,YUKON-KOYUKUK,"23,747","10,873","14,034","13,017","3,801"
03000,ARIZONA,APACHE,"40,696","19,170","-12,513","-107,004","-53,730"
03010,ARIZONA,COCHISE,"412,590","642,491","507,711","-456,233","1,375,240"
03020,ARIZONA,COCONINO,"14,612","24,713","37,333","6,278","22,127"
03030,ARIZONA,GILA,"58,739","99,297","51,335","-158,407","32,156"
03040,ARIZONA,GRAHAM,"55,688","83,782","80,235","-38,559","173,722"
03050,ARIZONA,GREENLEE,"14,769","39,320","21,381","-34,058","57,950"
03055,ARIZONA,LAPAZ,"36,981","74,818","109,896","16,275","27,764"
03060,ARIZONA,MARICOPA,"-3,125,504","-1,048,607","688,213","-5,842,118","-697,102"
03070,ARIZONA,MOHAVE,"-645,443","-211,222","225,885","464,311","1,835,014"
03080,ARIZONA,NAVAJO,"62,637","43,236","87,803","-104,465","76,942"
03090,ARIZONA,PIMA,"1,906,025","3,206,415","1,711,601","-4,680,657","6,249,009"
03100,ARIZONA,PINAL,"-2,403","261,956","442,509","-387,465","96,368"
03110,ARIZONA,SANTA CRUZ,"26,922","72,257","61,925","-123,600","227,446"
03120,ARIZONA,YAVAPAI,"1,476,110","-2,823,307","-2,325,865","-1,108,380","690,627"
03130,ARIZONA,YUMA,"393,355","392,253","380,554","237,179","175,382"
04000,ARKANSAS,ARKANSAS,"-172,437","-154,819","-123,565","-119,524","-80,355"
04010,ARKANSAS,ASHLEY,"-137,165","-151,848","-130,065","-99,458","-80,142"
04020,ARKANSAS,BAXTER,"-86,254","-87,353","-81,202","-67,260","-59,908"
04030,ARKANSAS,BENTON,"-315,958","-259,893","-1,419,551","-1,462,714","-686,427"
04040,ARKANSAS,BOONE,"-91,059","-97,197","-183,816","-184,528","-96,415"
04050,ARKANSAS,BRADLEY,"-89,923","-78,083","-68,420","-66,930","-44,493"
04060,ARKANSAS,CALHOUN,"-30,342","-18,950","-17,987","-18,567","-9,732"
04070,ARKANSAS,CARROLL,"-48,900","-75,219","-161,043","-164,292","-81,042"
