DISABLED -- 2014  REIMBURSEMENT FOR COST CONTRACTS FOR PART A AND PART B BY STATE AND COUNTY OF RESIDENCE                        DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPRESSED FOR PRIVACY,,,,,,,,,,,
CODE,STATE,COUNTY,PART A TOTAL REIMBURSEMENT,PART A TOTAL REIMBURSEMENT W/O IME/DSH/GME,PART B TOTAL REIMBURSEMENT,,,,,,
01560,ALABAMA,RUSSELL,0,0,0,,,,,,
01570,ALABAMA,ST. CLAIR,0,0,0,,,,,,
01580,ALABAMA,SHELBY,0,0,0,,,,,,
01590,ALABAMA,SUMTER,0,0,71,,,,,,
01600,ALABAMA,TALLADEGA,0,0,0,,,,,,
01610,ALABAMA,TALLAPOOSA,0,0,0,,,,,,
01620,ALABAMA,TUSCALOOSA,0,0,65,,,,,,
01630,ALABAMA,WALKER,"47,137","47,137","34,877",,,,,,
01640,ALABAMA,WASHINGTON,0,0,0,,,,,,
01650,ALABAMA,WILCOX,0,0,0,,,,,,
01660,ALABAMA,WINSTON,0,0,0,,,,,,
02010,ALASKA,ALEUTIANS ISLANDS,0,0,0,,,,,,
02020,ALASKA,ANCHORAGE,0,0,0,,,,,,
02040,ALASKA,BARROW DIVISION,0,0,0,,,,,,
02050,ALASKA,BETHEL,0,0,0,,,,,,
02060,ALASKA,BRISTOL BAY BOROUGH,0,0,0,,,,,,
02070,ALASKA,DILLINGHAM,0,0,0,,,,,,
02080,ALASKA,CORDOVA-MC CARTHY,0,0,0,,,,,,
02090,ALASKA,FAIRBANKS NORTH STAR,0,0,0,,,,,,
02100,ALASKA,HAINES,0,0,0,,,,,,
02110,ALASKA,JUNEAU,0,0,0,,,,,,
02120,ALASKA,KENAI-COOK INLET DIVISION,0,0,"1,312",,,,,,
02130,ALASKA,KETCHIKAN GATEWAY,0,0,0,,,,,,
02140,ALASKA,KOBUK,0,0,0,,,,,,
02150,ALASKA,KODIAK ISLAND BOROUGH,0,0,0,,,,,,
02160,ALASKA,KUSKOKWIN,0,0,0,,,,,,
02170,ALASKA,MATANUSKA-SUSITNA,0,0,0,,,,,,
02180,ALASKA,NOME,0,0,0,,,,,,
02190,ALASKA,OUTER KETCHIKAN DIVISION,0,0,0,,,,,,
02200,ALASKA,PRINCE OF WALES,0,0,0,,,,,,
02210,ALASKA,SEWARD,0,0,0,,,,,,
02220,ALASKA,SITKA BOROUGH,0,0,0,,,,,,
02230,ALASKA,SKAGWAY-YAKUTAT,0,0,0,,,,,,
02240,ALASKA,SOUTHEAST FAIRBANKS,0,0,0,,,,,,
02250,ALASKA,UPPER YUKON,0,0,0,,,,,,
02260,ALASKA,VALDEZ-CHITNA-WHITIER DIVISION,0,0,0,,,,,,
02270,ALASKA,WADE HAMPTON,0,0,0,,,,,,
02280,ALASKA,WRANGELL-PETERSBURG CENSUS ARE,0,0,0,,,,,,
02290,ALASKA,YUKON-KOYUKUK,0,0,0,,,,,,
03000,ARIZONA,APACHE,0,0,0,,,,,,
03010,ARIZONA,COCHISE,0,0,0,,,,,,
03020,ARIZONA,COCONINO,0,0,0,,,,,,
03030,ARIZONA,GILA,0,0,0,,,,,,
03040,ARIZONA,GRAHAM,0,0,0,,,,,,
03050,ARIZONA,GREENLEE,0,0,0,,,,,,
03055,ARIZONA,LAPAZ,0,0,0,,,,,,
03060,ARIZONA,MARICOPA,"38,887","38,473","52,694",,,,,,
03070,ARIZONA,MOHAVE,0,0,"6,721",,,,,,
03080,ARIZONA,NAVAJO,0,0,"4,376",,,,,,
03090,ARIZONA,PIMA,0,0,"11,833",,,,,,
03100,ARIZONA,PINAL,0,0,"4,189",,,,,,
03110,ARIZONA,SANTA CRUZ,0,0,0,,,,,,
03120,ARIZONA,YAVAPAI,0,0,"7,772",,,,,,
03130,ARIZONA,YUMA,0,0,0,,,,,,
04000,ARKANSAS,ARKANSAS,0,0,0,,,,,,
04010,ARKANSAS,ASHLEY,0,0,0,,,,,,
04020,ARKANSAS,BAXTER,0,0,"1,540",,,,,,
04030,ARKANSAS,BENTON,"40,144","40,144","30,905",,,,,,
04040,ARKANSAS,BOONE,0,0,"3,872",,,,,,
04050,ARKANSAS,BRADLEY,0,0,0,,,,,,
04060,ARKANSAS,CALHOUN,0,0,0,,,,,,
04070,ARKANSAS,CARROLL,0,0,"2,098",,,,,,
04080,ARKANSAS,CHICOT,0,0,"7,822",,,,,,
04090,ARKANSAS,CLARK,0,0,0,,,,,,
04100,ARKANSAS,CLAY,0,0,0,,,,,,
04110,ARKANSAS,CLEBURNE,0,0,0,,,,,,
04120,ARKANSAS,CLEVELAND,0,0,0,,,,,,
04130,ARKANSAS,COLUMBIA,0,0,0,,,,,,
04140,ARKANSAS,CONWAY,"1,802","1,802","27,758",,,,,,
04150,ARKANSAS,CRAIGHEAD,0,0,0,,,,,,
04160,ARKANSAS,CRAWFORD,0,0,"69,110",,,,,,
04170,ARKANSAS,CRITTENDEN,0,0,"2,662",,,,,,
04180,ARKANSAS,CROSS,0,0,0,,,,,,
04190,ARKANSAS,DALLAS,0,0,0,,,,,,
04200,ARKANSAS,DESHA,"41,156","40,405","36,791",,,,,,
04210,ARKANSAS,DREW,0,0,0,,,,,,
04220,ARKANSAS,FAULKNER,"53,637","53,392","40,170",,,,,,
04230,ARKANSAS,FRANKLIN,0,0,0,,,,,,
04240,ARKANSAS,FULTON,0,0,0,,,,,,
04250,ARKANSAS,GARLAND,0,0,997,,,,,,
04260,ARKANSAS,GRANT,0,0,0,,,,,,
04270,ARKANSAS,GREENE,0,0,129,,,,,,
04280,ARKANSAS,HEMPSTEAD,0,0,0,,,,,,
04290,ARKANSAS,HOT SPRING,0,0,510,,,,,,
04300,ARKANSAS,HOWARD,0,0,0,,,,,,
04310,ARKANSAS,INDEPENDENCE,0,0,"9,524",,,,,,
04320,ARKANSAS,IZARD,0,0,0,,,,,,
04330,ARKANSAS,JACKSON,0,0,0,,,,,,
04340,ARKANSAS,JEFFERSON,"4,060","3,828","13,949",,,,,,
04350,ARKANSAS,JOHNSON,0,0,"6,389",,,,,,
04360,ARKANSAS,LAFAYETTE,0,0,0,,,,,,
04370,ARKANSAS,LAWRENCE,0,0,0,,,,,,
04380,ARKANSAS,LEE,0,0,0,,,,,,
04390,ARKANSAS,LINCOLN,0,0,0,,,,,,
04400,ARKANSAS,LITTLE RIVER,0,0,0,,,,,,
04410,ARKANSAS,LOGAN,0,0,0,,,,,,
04420,ARKANSAS,LONOKE,"25,929","25,929","19,925",,,,,,
04430,ARKANSAS,MADISON,0,0,0,,,,,,
04440,ARKANSAS,MARION,0,0,431,,,,,,
04450,ARKANSAS,MILLER,0,0,0,,,,,,
04460,ARKANSAS,MISSISSIPPI,0,0,0,,,,,,
04470,ARKANSAS,MONROE,0,0,615,,,,,,
04480,ARKANSAS,MONTGOMERY,0,0,0,,,,,,
04490,ARKANSAS,NEVADA,0,0,618,,,,,,
04500,ARKANSAS,NEWTON,0,0,0,,,,,,
04510,ARKANSAS,OUACHITA,0,0,0,,,,,,
04520,ARKANSAS,PERRY,0,0,0,,,,,,
04530,ARKANSAS,PHILLIPS,0,0,0,,,,,,
04540,ARKANSAS,PIKE,0,0,0,,,,,,
04550,ARKANSAS,POINSETT,0,0,0,,,,,,
04560,ARKANSAS,POLK,"11,060","11,060","1,085",,,,,,
04570,ARKANSAS,POPE,0,0,0,,,,,,
04580,ARKANSAS,PRAIRIE,0,0,0,,,,,,
04590,ARKANSAS,PULASKI,"76,669","75,240","197,379",,,,,,
04600,ARKANSAS,RANDOLPH,0,0,0,,,,,,
