AGED -- 2014  REIMBURSEMENT FOR COST CONTRACTS FOR PART A AND PART B BY STATE AND COUNTY OF RESIDENCE                        DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPRESSED FOR PRIVACY,,,,,,,,,,,
CODE,STATE,COUNTY,PART A TOTAL REIMBURSEMENT,PART A TOTAL REIMBURSEMENT W/O IME/DSH/GME,PART B TOTAL REIMBURSEMENT,,,,,,
02280,ALASKA,WRANGELL-PETERSBURG CENSUS ARE,0,0,0,,,,,,
02290,ALASKA,YUKON-KOYUKUK,0,0,0,,,,,,
03000,ARIZONA,APACHE,0,0,0,,,,,,
03010,ARIZONA,COCHISE,"100,401","99,190","36,009",,,,,,
03020,ARIZONA,COCONINO,"48,120","47,492","68,938",,,,,,
03030,ARIZONA,GILA,"3,880","3,880","41,567",,,,,,
03040,ARIZONA,GRAHAM,0,0,"5,688",,,,,,
03050,ARIZONA,GREENLEE,0,0,0,,,,,,
03055,ARIZONA,LAPAZ,"11,451","11,451","19,695",,,,,,
03060,ARIZONA,MARICOPA,"1,837,074","1,816,362","1,497,513",,,,,,
03070,ARIZONA,MOHAVE,"336,498","318,402","382,941",,,,,,
03080,ARIZONA,NAVAJO,"247,742","247,587","270,154",,,,,,
03090,ARIZONA,PIMA,"315,997","309,237","250,075",,,,,,
03100,ARIZONA,PINAL,"427,071","425,322","294,362",,,,,,
03110,ARIZONA,SANTA CRUZ,0,0,11,,,,,,
03120,ARIZONA,YAVAPAI,"71,510","71,198","164,428",,,,,,
03130,ARIZONA,YUMA,"105,728","104,468","112,679",,,,,,
04000,ARKANSAS,ARKANSAS,0,0,0,,,,,,
04010,ARKANSAS,ASHLEY,0,0,"3,177",,,,,,
04020,ARKANSAS,BAXTER,"137,445","137,445","106,619",,,,,,
04030,ARKANSAS,BENTON,"44,290","44,290","649,089",,,,,,
04040,ARKANSAS,BOONE,"10,723","10,662","5,060",,,,,,
04050,ARKANSAS,BRADLEY,0,0,0,,,,,,
04060,ARKANSAS,CALHOUN,0,0,0,,,,,,
04070,ARKANSAS,CARROLL,0,0,0,,,,,,
04080,ARKANSAS,CHICOT,"64,309","64,194","24,832",,,,,,
04090,ARKANSAS,CLARK,"70,286","70,063","41,520",,,,,,
04100,ARKANSAS,CLAY,0,0,"1,918",,,,,,
04110,ARKANSAS,CLEBURNE,0,0,"27,073",,,,,,
04120,ARKANSAS,CLEVELAND,0,0,"9,758",,,,,,
04130,ARKANSAS,COLUMBIA,0,0,0,,,,,,
04140,ARKANSAS,CONWAY,"3,431","3,431","24,545",,,,,,
04150,ARKANSAS,CRAIGHEAD,"55,092","54,818","16,214",,,,,,
04160,ARKANSAS,CRAWFORD,"61,669","61,535","36,880",,,,,,
04170,ARKANSAS,CRITTENDEN,0,0,399,,,,,,
04180,ARKANSAS,CROSS,0,0,"12,189",,,,,,
04190,ARKANSAS,DALLAS,0,0,0,,,,,,
04200,ARKANSAS,DESHA,"140,839","133,139","40,368",,,,,,
04210,ARKANSAS,DREW,0,0,"6,179",,,,,,
04220,ARKANSAS,FAULKNER,"228,380","226,943","273,039",,,,,,
04230,ARKANSAS,FRANKLIN,"60,097","60,097","27,545",,,,,,
04240,ARKANSAS,FULTON,0,0,0,,,,,,
04250,ARKANSAS,GARLAND,"63,166","62,941","65,224",,,,,,
04260,ARKANSAS,GRANT,"62,236","61,780","18,198",,,,,,
04270,ARKANSAS,GREENE,"37,691","37,691","23,225",,,,,,
04280,ARKANSAS,HEMPSTEAD,"8,910","8,840","7,743",,,,,,
04290,ARKANSAS,HOT SPRING,"17,685","17,685","12,999",,,,,,
04300,ARKANSAS,HOWARD,0,0,0,,,,,,
04310,ARKANSAS,INDEPENDENCE,0,0,"5,660",,,,,,
04320,ARKANSAS,IZARD,"108,084","107,967","64,841",,,,,,
04330,ARKANSAS,JACKSON,"3,182","3,182","10,431",,,,,,
04340,ARKANSAS,JEFFERSON,"53,098","50,951","116,003",,,,,,
04350,ARKANSAS,JOHNSON,"102,399","102,307","26,374",,,,,,
04360,ARKANSAS,LAFAYETTE,0,0,"3,520",,,,,,
04370,ARKANSAS,LAWRENCE,"38,025","37,793","19,613",,,,,,
04380,ARKANSAS,LEE,0,0,0,,,,,,
04390,ARKANSAS,LINCOLN,0,0,0,,,,,,
04400,ARKANSAS,LITTLE RIVER,0,0,0,,,,,,
04410,ARKANSAS,LOGAN,"6,709","6,709","7,310",,,,,,
04420,ARKANSAS,LONOKE,"126,537","125,949","146,052",,,,,,
04430,ARKANSAS,MADISON,0,0,"1,390",,,,,,
04440,ARKANSAS,MARION,0,0,"7,583",,,,,,
04450,ARKANSAS,MILLER,"8,938","8,865","34,722",,,,,,
04460,ARKANSAS,MISSISSIPPI,0,0,"10,350",,,,,,
04470,ARKANSAS,MONROE,0,0,812,,,,,,
04480,ARKANSAS,MONTGOMERY,"40,374","40,374","19,242",,,,,,
04490,ARKANSAS,NEVADA,"39,460","38,506","7,458",,,,,,
04500,ARKANSAS,NEWTON,0,0,0,,,,,,
04510,ARKANSAS,OUACHITA,"19,359","19,306","8,178",,,,,,
04520,ARKANSAS,PERRY,"22,055","21,714","33,899",,,,,,
04530,ARKANSAS,PHILLIPS,0,0,"12,192",,,,,,
04540,ARKANSAS,PIKE,0,0,"1,328",,,,,,
04550,ARKANSAS,POINSETT,0,0,"6,246",,,,,,
04560,ARKANSAS,POLK,"8,395","8,362","2,573",,,,,,
04570,ARKANSAS,POPE,"24,344","24,344","51,909",,,,,,
04580,ARKANSAS,PRAIRIE,0,0,"6,756",,,,,,
04590,ARKANSAS,PULASKI,"1,184,328","1,173,912","1,234,804",,,,,,
04600,ARKANSAS,RANDOLPH,0,0,"6,858",,,,,,
04610,ARKANSAS,ST. FRANCIS,0,0,0,,,,,,
04620,ARKANSAS,SALINE,"83,956","83,809","256,335",,,,,,
04630,ARKANSAS,SCOTT,0,0,"5,059",,,,,,
04640,ARKANSAS,SEARCY,0,0,0,,,,,,
04650,ARKANSAS,SEBASTIAN,"116,636","116,395","85,178",,,,,,
04660,ARKANSAS,SEVIER,0,0,0,,,,,,
04670,ARKANSAS,SHARP,0,0,"4,409",,,,,,
04680,ARKANSAS,STONE,0,0,"20,617",,,,,,
04690,ARKANSAS,UNION,0,0,"8,351",,,,,,
04700,ARKANSAS,VAN BUREN,0,0,"21,152",,,,,,
04710,ARKANSAS,WASHINGTON,"32,459","32,334","15,487",,,,,,
04720,ARKANSAS,WHITE,"97,990","96,025","213,355",,,,,,
04730,ARKANSAS,WOODRUFF,0,0,"1,209",,,,,,
04740,ARKANSAS,YELL,"65,635","65,519","27,560",,,,,,
05000,CALIFORNIA,ALAMEDA,"1,341,045","1,254,389","552,209",,,,,,
05010,CALIFORNIA,ALPINE,0,0,0,,,,,,
05020,CALIFORNIA,AMADOR,"35,148","35,148","7,472",,,,,,
05030,CALIFORNIA,BUTTE,"775,944","775,944","251,558",,,,,,
05040,CALIFORNIA,CALAVERAS,"9,504","9,504","10,831",,,,,,
05050,CALIFORNIA,COLUSA,0,0,0,,,,,,
05060,CALIFORNIA,CONTRA COSTA,"4,200,012","4,162,217","1,615,961",,,,,,
05070,CALIFORNIA,DEL NORTE,"9,858","9,828","6,454",,,,,,
05080,CALIFORNIA,EL DORADO,"57,570","57,570","37,135",,,,,,
05090,CALIFORNIA,FRESNO,"280,583","279,999","222,524",,,,,,
05100,CALIFORNIA,GLENN,0,0,"1,684",,,,,,
05110,CALIFORNIA,HUMBOLDT,0,0,"6,970",,,,,,
05120,CALIFORNIA,IMPERIAL,"16,858","16,759","2,245",,,,,,
05130,CALIFORNIA,INYO,"7,345","7,345","11,585",,,,,,
05140,CALIFORNIA,KERN,"645,295","623,099","461,237",,,,,,
05150,CALIFORNIA,KINGS,0,0,619,,,,,,
05160,CALIFORNIA,LAKE,"41,410","40,555","14,717",,,,,,
05170,CALIFORNIA,LASSEN,0,0,"2,894",,,,,,
05200,CALIFORNIA,LOS ANGELES,"1,288,052","1,268,505","730,925",,,,,,
05300,CALIFORNIA,MADERA,"6,247","6,247","23,489",,,,,,
05310,CALIFORNIA,MARIN,"116,741","116,731","102,644",,,,,,
