AGED -- REPRICING ADJUSTMENTS TO THE 2010-2014 UNCOMPENSATED CARE REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT RULES (DISPROPORTIONATE SHARE REPRICED TO UNCOMPAENSATED CARE UNTIL SEPTEMBER 2013)                                                                                                                                                      DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPPRESSED FOR PRIVACY. ,,,,,,,,
CODE,STATE,COUNTY,PART A 2010,PART A 2011,PART A 2012,PART A 2013         (JAN-SEP),PART A 2013   (OCT-DEC),PART A 2014
01550,ALABAMA,RANDOLPH,-277482.58,-346109.99,-292904.05,-264172.48,-39330.13,-170067.42
01560,ALABAMA,RUSSELL,-221252.16,-407048.69,-219532.33,-205651.93,-193417.36,-704067.99
01570,ALABAMA,ST. CLAIR,95704.79,31976.82,1109.95,3933.97,-100133.95,-351683.25
01580,ALABAMA,SHELBY,-146198.86,-218477.22,-259928.2,-236102.1,-145985.22,-589383.6
01590,ALABAMA,SUMTER,-185382.19,-144808.47,-193553.45,-91602.28,-33244.58,-130061.71
01600,ALABAMA,TALLADEGA,-1015950.07,-1009901.53,-919234.18,-673271,-157803.87,-550547.57
01610,ALABAMA,TALLAPOOSA,-656376.81,-755376.44,-832439.03,-602366.67,-89302.02,-295081.93
01620,ALABAMA,TUSCALOOSA,-1608329.22,-1081839.91,-2366852.96,-2348222.46,-358104.9,-1408711.76
01630,ALABAMA,WALKER,-614906.64,-734906.75,-957866.95,-658869.32,-134509.08,-594528.51
01640,ALABAMA,WASHINGTON,-50440.67,-57651.75,-38990.12,-39399.07,-38621.58,-132354.23
01650,ALABAMA,WILCOX,-189417.94,-343954.06,-235285.52,-140969.16,-21914.44,-83380.85
01660,ALABAMA,WINSTON,-458805.9,-434549.48,-489833.08,-314745.69,-51682.11,-236313.69
02010,ALASKA,ALEUTIANS ISLANDS,-71947.94,-70024.06,-89873.99,-55567.61,-11399.42,-30221.44
02020,ALASKA,ANCHORAGE,-2943161.86,-3224912.48,-3615722.3,-2863623.99,-720900.62,-2484998.44
02040,ALASKA,BARROW DIVISION,-147596.04,-133532.13,-106804.72,-101271.14,-13259.46,-46250.79
02050,ALASKA,BETHEL,-138636.31,-78682.89,-106853.15,-54598.85,-44646.87,-191500.39
02060,ALASKA,BRISTOL BAY BOROUGH,-71126.52,-52475.54,-42334.88,-67818.7,-8744.41,-18018.18
02070,ALASKA,DILLINGHAM,-72861.22,-117461.8,-164516.09,-88834.88,-9447.99,-29413.84
02080,ALASKA,CORDOVA-MC CARTHY,-37221.53,-23786.06,-27918.93,-32817.71,-6464.96,-14061.11
02090,ALASKA,FAIRBANKS NORTH STAR,-359965.91,-359154.45,-410305.2,-269483.88,-46627.84,-152089.05
02100,ALASKA,HAINES,-58204.2,-39911.78,-42845.5,-17587.03,-1411.1,-12370.85
02110,ALASKA,JUNEAU,-154590.68,-174238.16,-156014.93,-185749.8,-14543.45,-88854.6
02120,ALASKA,KENAI-COOK INLET DIVISION,-371166.75,-408979.8,-322558.54,-240159.87,-33582.06,-126767.35
02130,ALASKA,KETCHIKAN GATEWAY,-130130.18,-160482.33,-164560.2,-92250.19,-10798.68,-45260.78
02140,ALASKA,KOBUK,-169519.01,-129275.46,-114393.99,-58771.38,-11411.44,-32696.8
02150,ALASKA,KODIAK ISLAND BOROUGH,-82482.8,-52140.72,-63488.85,-67241.13,-7487.69,-31934.95
02160,ALASKA,KUSKOKWIN,-28149.76,-79463.87,-38616.28,-18379.51,993.36,-35090.6
02170,ALASKA,MATANUSKA-SUSITNA,-490950.13,-487300.5,-478178.06,-492792.39,-81028.26,-305722.62
02180,ALASKA,NOME,-184944.11,-168688.38,-211537.41,-70355.04,-23338.35,-46394.4
02190,ALASKA,OUTER KETCHIKAN DIVISION,-49418.65,-53786.03,-74687.58,-23037.29,-2135.97,-11464.35
02200,ALASKA,PRINCE OF WALES,-49758.43,-32177.09,-37146.33,-15644.16,55.97,-1022.91
02210,ALASKA,SEWARD,-45298.64,-49944.8,-87128.77,-46183.98,-8045.77,-40228.62
02220,ALASKA,SITKA BOROUGH,-10417.97,-40328.63,-39292,-10225.18,618.73,-13757.88
02230,ALASKA,SKAGWAY-YAKUTAT,-55469.93,-59992.33,-35934.12,-24021.06,-3966.61,-11879.75
02240,ALASKA,SOUTHEAST FAIRBANKS,-28475.08,-30337.95,-32359.69,-55295.04,-2715.9,-20168.87
02250,ALASKA,UPPER YUKON,-16476.86,-4932.66,-24150.31,-2729.19,-3397.52,-4780.94
02260,ALASKA,VALDEZ-CHITNA-WHITIER DIVISION,-65695.27,-115053.58,-84939.24,-63956.3,-15511.75,-42341.32
02270,ALASKA,WADE HAMPTON,-120646.25,-62172.1,-32088.43,-85538.82,-24669.46,-120648.1
02280,ALASKA,WRANGELL-PETERSBURG CENSUS ARE,-63129.97,-74565.16,-50351.48,-75553.52,-1427.63,-24120.91
02290,ALASKA,YUKON-KOYUKUK,-52132.48,-52736.63,-51366.29,-51120.35,-8221.49,-11306.97
03000,ARIZONA,APACHE,163319.49,183065.72,366246.84,86305.75,-368720.55,-1299568.38
03010,ARIZONA,COCHISE,-1211336.72,-1387605.32,-1703548.09,-920250.16,-330135.03,-1082661.37
03020,ARIZONA,COCONINO,-170578.21,-93948.37,-89988,-2291.07,-118036.79,-373025.44
03030,ARIZONA,GILA,-1101767.85,-1161544.94,-1097565.7,-677726.93,-216642.37,-809500.81
03040,ARIZONA,GRAHAM,-198876.66,-175746.83,-285097.24,-140613.5,-49302.62,-160130.27
03050,ARIZONA,GREENLEE,-52904.52,-72620.59,-64817.44,-51423.54,-8845.4,-41386.68
03055,ARIZONA,LAPAZ,-330413.39,-370239.82,-422892.94,-230340.59,-75902.82,-222168.66
03060,ARIZONA,MARICOPA,-13297214.12,-16976270.39,-17996840.08,-10906245.11,-7719336.54,-26673987.38
