AGED -- REPRICING ADJUSTMENTS TO THE 2010-2014 OUTPATIENT REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX                                             (DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPRESSED FOR PRIVACY),,,,,,,
CODE,STATE,COUNTY,PART B  2010,PART B  2011,PART B  2012,PART B  2013,PART B  2014
02050,ALASKA,BETHEL,"1,788","2,070","1,383",681,-480
02060,ALASKA,BRISTOL BAY BOROUGH,"24,226","11,202","6,384","3,696","-7,611"
02070,ALASKA,DILLINGHAM,"2,506","1,621","2,568","1,204",-20
02080,ALASKA,CORDOVA-MC CARTHY,"4,083","1,703","1,472","2,290",525
02090,ALASKA,FAIRBANKS NORTH STAR,"245,922","115,889","96,130","38,553","-112,228"
02100,ALASKA,HAINES,"6,936","4,287","2,248","2,213",-72
02110,ALASKA,JUNEAU,"61,300","47,302","43,278","18,220","-21,906"
02120,ALASKA,KENAI-COOK INLET DIVISION,"244,288","115,597","100,397","57,262","-86,545"
02130,ALASKA,KETCHIKAN GATEWAY,"13,661","11,056","14,377","8,825","8,279"
02140,ALASKA,KOBUK,"6,012","2,611","1,825",248,-182
02150,ALASKA,KODIAK ISLAND BOROUGH,"2,950","3,179","5,968","3,542",453
02160,ALASKA,KUSKOKWIN,"1,324","1,053",425,713,664
02170,ALASKA,MATANUSKA-SUSITNA,"267,759","164,975","145,068","106,303","-22,721"
02180,ALASKA,NOME,"1,440","4,108",896,"1,690",87
02190,ALASKA,OUTER KETCHIKAN DIVISION,793,"2,674","1,635","1,338","1,122"
02200,ALASKA,PRINCE OF WALES,"2,813","1,665","1,438","1,541","1,022"
02210,ALASKA,SEWARD,"9,549","12,354","5,985","3,772",-924
02220,ALASKA,SITKA BOROUGH,"6,226","8,698","12,884","2,709","3,912"
02230,ALASKA,SKAGWAY-YAKUTAT,"6,985","4,832","3,561","2,884",-418
02240,ALASKA,SOUTHEAST FAIRBANKS,"15,554","8,367","4,910","3,853","-6,290"
02250,ALASKA,UPPER YUKON,"5,531","2,059","2,640","1,404","-3,428"
02260,ALASKA,VALDEZ-CHITNA-WHITIER DIVISION,"17,654","7,386","10,746","4,773","-4,582"
02270,ALASKA,WADE HAMPTON,"3,005","3,693",890,"2,832",-568
02280,ALASKA,WRANGELL-PETERSBURG CENSUS ARE,"9,969","11,825","7,406","7,251","4,005"
02290,ALASKA,YUKON-KOYUKUK,"16,846","11,041","5,669","3,409","-5,453"
