"DISABLED - PUERTO RICO - 2014 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR PART A AND PART B BY STATE AND COUNTY OF RESIDENCE. (BENEFICIARIES ENROLLED IN PARTS A AND/OR B . REIMBURSEMENTS EXCLUDED FOR HOSPICE AND COST CONTRACTS. DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPPRESSED FOR PRIVACY)",,,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A TOTAL REIMBURSEMENT W/O IME/DSH/GME,PART A TOTAL PER CAPITA W/O IME/DSH/GME,PART A  IME,PART A  DSH,PART A  GME,PART B  ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B TOTAL PER CAPITA,AGED AND DISABLED MEAN RISK SCORE,
40400,PUERTO RICO,LARES,511,"488,703",79.70,"478,081",77.96,"1,880","5,287","3,454",111,"207,469",155.76,0.978,
40410,PUERTO RICO,LAS MARIAS,82,"35,827",36.41,"31,749",32.27,"1,438",288,"2,350",16,"6,500",33.85,0.931,
40420,PUERTO RICO,LAS PIEDRAS,743,"887,626",99.55,"854,519",95.84,"16,442","10,054","6,609",195,"487,938",208.52,1.001,
40430,PUERTO RICO,LOIZA,677,"795,973",97.98,"722,740",88.96,"25,085","7,550","40,597",158,"356,077",187.80,0.843,
40440,PUERTO RICO,LUQUILLO,32,0,0.00,0,0.00,0,0,0,*,*,*,*,
40450,PUERTO RICO,MANATI,"1,098","730,853",55.47,"702,388",53.31,"12,120","6,854","9,490",353,"748,167",176.62,1.008,
40460,PUERTO RICO,MARICAO,26,"37,080",118.85,"34,821",111.61,"1,252",102,904,*,*,*,*,
40470,PUERTO RICO,MAUNABO,225,"113,699",42.11,"111,570",41.32,375,869,884,42,"35,653",70.74,0.954,
40480,PUERTO RICO,MAYAGUEZ,997,"1,093,965",91.44,"1,004,990",84.00,"34,018","7,316","47,639",234,"509,434",181.42,0.957,
40490,PUERTO RICO,MOCA,388,"268,686",57.71,"259,800",55.80,"2,948","2,604","3,333",84,"170,166",168.82,0.964,
40500,PUERTO RICO,MOROVIS,428,"208,529",40.60,"199,586",38.86,"3,385","2,096","3,460",76,"99,988",109.64,1.053,
40510,PUERTO RICO,MAGUABO,354,"358,418",84.37,"333,618",78.54,"14,897","4,066","5,835",85,"229,374",224.88,0.889,
40520,PUERTO RICO,NARANJITO,462,"206,236",37.20,"197,777",35.67,"2,682","1,490","4,285",108,"317,027",244.62,1.072,
40530,PUERTO RICO,OROCOVIS,455,"466,661",85.47,"458,223",83.92,"1,165","4,683","2,588",97,"153,427",131.81,1.016,
40540,PUERTO RICO,PATILLAS,338,"233,588",57.59,"225,327",55.55,"2,878","2,195","3,187",69,"85,273",102.99,0.930,
40550,PUERTO RICO,PENUELAS,219,"216,997",82.57,"189,593",72.14,"6,637","1,376","19,390",52,"62,807",100.65,0.948,
40560,PUERTO RICO,PONCE,"1,987","2,041,406",85.62,"1,851,056",77.63,"53,398","15,828","121,122",505,"952,402",157.16,0.986,
