SNF Wage Indices by Fiscal Year,,,,,,,,,
SSACD,State,County,CBSA 2016,SNF Wage 2010,SNF Wage 2011,SNF Wage 2012,SNF Wage 2013,SNF Wage 2014,SNF Wage 2016
02050,AK,BETHEL,NA,1.1669,1.2626,1.2846,1.2807,1.3662,1.3214
02060,AK,BRISTOL BAY BOROUGH,NA,1.1669,1.2626,1.2846,1.2807,1.3662,1.3214
02068,AK,DENALI,NA,1.1669,1.2626,1.2846,1.2807,1.3662,1.3214
02070,AK,DILLINGHAM,NA,1.1669,1.2626,1.2846,1.2807,1.3662,1.3214
02090,AK,FAIRBANKS NORTH STAR,21820,1.1114,1.1080,1.1322,1.0816,1.0997,1.1064
02100,AK,HAINES,NA,1.1669,1.2626,1.2846,1.2807,1.3662,1.3214
02105,AK,HOONAH-ANGOON CENSUS AREA,NA,1.1669,1.2626,1.2846,1.2807,1.3662,1.3214
02110,AK,JUNEAU,NA,1.1669,1.2626,1.2846,1.2807,1.3662,1.3214
02122,AK,KENAI PENINSULA,NA,1.1669,1.2626,1.2846,1.2807,1.3662,1.3214
02130,AK,KETCHIKAN GATEWAY,NA,1.1669,1.2626,1.2846,1.2807,1.3662,1.3214
02150,AK,KODIAK ISLAND BOROUGH,NA,1.1669,1.2626,1.2846,1.2807,1.3662,1.3214
02164,AK,LAKE AND PENINSULA,NA,1.1669,1.2626,1.2846,1.2807,1.3662,1.3214
02170,AK,MATANUSKA-SUSITNA,11260,1.2013,1.1964,1.2133,1.2147,1.2221,1.3277
02180,AK,NOME,NA,1.1669,1.2626,1.2846,1.2807,1.3662,1.3214
02185,AK,NORTH SLOPE BOROUH,NA,1.1669,1.2626,1.2846,1.2807,1.3662,1.3214
02188,AK,NORTHWEST ARTIC BOROUGH,NA,1.1669,1.2626,1.2846,1.2807,1.3662,1.3214
02195,AK,PETERSBURG CENSUS AREA,NA,1.1669,1.2626,1.2846,1.2807,1.3662,1.3214
02198,AK,PR.OF WALES-HYDER CNS AREA,NA,1.1669,1.2626,1.2846,1.2807,1.3662,1.3214
02220,AK,SITKA BOROUGH,NA,1.1669,1.2626,1.2846,1.2807,1.3662,1.3214
02230,AK,SKAGWAY-YAKUTAT,NA,1.1669,1.2626,1.2846,1.2807,1.3662,1.3214
02240,AK,SOUTHEAST FAIRBANKS,NA,1.1669,1.2626,1.2846,1.2807,1.3662,1.3214
02261,AK,VALDEZ-CORDOVA,NA,1.1669,1.2626,1.2846,1.2807,1.3662,1.3214
02270,AK,WADE HAMPTON,NA,1.1669,1.2626,1.2846,1.2807,1.3662,1.3214
02275,AK,WRANGELL CITY AND BOROUGH,NA,1.1669,1.2626,1.2846,1.2807,1.3662,1.3214
02282,AK,YAKUTAT BOROUGH,NA,1.1669,1.2626,1.2846,1.2807,1.3662,1.3214
02290,AK,YUKON-KOYUKUK,NA,1.1669,1.2626,1.2846,1.2807,1.3662,1.3214
03000,AZ,APACHE,NA,0.8790,0.9095,0.8826,0.9182,0.9166,0.9034
03020,AZ,COCONINO,22380,1.2475,1.2443,1.2427,1.2369,1.2786,1.2223
03030,AZ,GILA,NA,0.8790,0.9095,0.8826,0.9182,0.9166,0.9034
03040,AZ,GRAHAM,NA,0.8790,0.9095,0.8826,0.9182,0.9166,0.9034
03050,AZ,GREENLEE,NA,0.8790,0.9095,0.8826,0.9182,0.9166,0.9034
03055,AZ,LAPAZ,NA,0.8790,0.9095,0.8826,0.9182,0.9166,0.9034
03060,AZ,MARICOPA,38060,1.0630,1.0642,1.0566,1.0477,1.0465,1.0304
03070,AZ,MOHAVE,29420,1.0567,1.0235,0.9967,0.9760,0.9912,0.9075
03080,AZ,NAVAJO,NA,0.8790,0.9095,0.8826,0.9182,0.9166,0.9034
03090,AZ,PIMA,46060,0.9505,0.9480,0.9318,0.9065,0.8953,0.8876
03100,AZ,PINAL,38060,1.0630,1.0642,1.0566,1.0477,1.0465,1.0304
03110,AZ,SANTA CRUZ,NA,0.8790,0.9095,0.8826,0.9182,0.9166,0.9034
03120,AZ,YAVAPAI,39140,1.0121,1.2234,1.2261,1.2009,1.0161,1.0911
03130,AZ,YUMA,49740,0.9143,0.9283,0.9350,0.9517,0.9674,1.0282
04000,AR,ARKANSAS,NA,0.7332,0.7222,0.7194,0.7350,0.7343,0.7219
04010,AR,ASHLEY,NA,0.7332,0.7222,0.7194,0.7350,0.7343,0.7219
04020,AR,BAXTER,NA,0.7332,0.7222,0.7194,0.7350,0.7343,0.7219
04030,AR,BENTON,22220,0.8775,0.8616,0.9263,0.9288,0.8955,0.8503
04040,AR,BOONE,NA,0.7332,0.7222,0.7194,0.7350,0.7343,0.7219
04050,AR,BRADLEY,NA,0.7332,0.7222,0.7194,0.7350,0.7343,0.7219
04060,AR,CALHOUN,NA,0.7332,0.7222,0.7194,0.7350,0.7343,0.7219
04070,AR,CARROLL,NA,0.7332,0.7222,0.7194,0.7350,0.7343,0.7219
04080,AR,CHICOT,NA,0.7332,0.7222,0.7194,0.7350,0.7343,0.7219
04090,AR,CLARK,NA,0.7332,0.7222,0.7194,0.7350,0.7343,0.7219
04100,AR,CLAY,NA,0.7332,0.7222,0.7194,0.7350,0.7343,0.7219
04110,AR,CLEBURNE,NA,0.7332,0.7222,0.7194,0.7350,0.7343,0.7219
04120,AR,CLEVELAND,38220,0.7281,0.8012,0.7700,0.7847,0.8069,0.7750
04130,AR,COLUMBIA,NA,0.7332,0.7222,0.7194,0.7350,0.7343,0.7219
04140,AR,CONWAY,NA,0.7332,0.7222,0.7194,0.7350,0.7343,0.7219
04150,AR,CRAIGHEAD,27860,0.7722,0.7757,0.7718,0.8084,0.7983,0.7818
04160,AR,CRAWFORD,22900,0.7861,0.7599,0.7620,0.7848,0.7561,0.7382
04170,AR,CRITTENDEN,32820,0.9268,0.9268,0.9275,0.9049,0.9038,0.8815
