AGED -- REPRICING ADJUSTMENTS TO THE 2007-2011 SKILLED NURSING FACILITY REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,
CODE,STATE,COUNTY,Part A Reimbursement Adjustment 2007,Part A Reimbursement Adjustment 2008,Part A Reimbursement Adjustment 2009,Part A Reimbursement Adjustment 2010,Part A Reimbursement Adjustment 2011,,,,,
01590,ALABAMA                  ,SUMTER,"-35,864","-28,112","-29,421","-23,873","-22,560",,,,,
01600,ALABAMA                  ,TALLADEGA,"-217,874","-199,928","-187,197","-106,641","-121,155",,,,,
01610,ALABAMA                  ,TALLAPOOSA,"-125,185","-129,165","-113,718","-73,589","-74,784",,,,,
01620,ALABAMA                  ,TUSCALOOSA,"3,902","114,058","-34,563","-190,619","-272,682",,,,,
01630,ALABAMA                  ,WALKER,"-201,965","-179,950","-107,565","-35,165","-41,967",,,,,
01640,ALABAMA                  ,WASHINGTON,"-23,074","-24,770","-25,336","-9,224","-17,258",,,,,
01650,ALABAMA                  ,WILCOX,"-33,088","-22,811","-31,966","-15,247","-14,989",,,,,
01660,ALABAMA                  ,WINSTON,"-119,251","-133,006","-100,897","-53,404","-47,943",,,,,
02010,ALASKA                   ,ALEUTIANS ISLANDS,-64,0,0,485,36,,,,,
02020,ALASKA                   ,ANCHORAGE,"29,102","38,704","36,239","29,562","24,488",,,,,
02040,ALASKA                   ,BARROW DIVISION,78,694,0,-181,-515,,,,,
02050,ALASKA                   ,BETHEL,157,847,54,-976,29,,,,,
02060,ALASKA                   ,BRISTOL BAY,724,64,65,-522,-191,,,,,
02070,ALASKA                   ,DILLINGHAM,121,13,353,112,150,,,,,
02080,ALASKA                   ,CORDOVA-MC CARTHY,-93,181,117,220,-745,,,,,
02090,ALASKA                   ,FAIRBANKS NORTH STAR,"-2,109","-11,402","-13,566","-4,171","-6,111",,,,,
02100,ALASKA                   ,HAINES,100,169,"1,335",184,775,,,,,
02110,ALASKA                   ,JUNEAU,"16,855","12,601","10,635","16,357","6,053",,,,,
02120,ALASKA                   ,KENAI-COOK INLET DIVISION,"27,298","12,847","14,870","18,520","7,902",,,,,
02130,ALASKA                   ,KETCHIKAN GATEWAY,"73,021","31,213","39,889","30,582","5,426",,,,,
02140,ALASKA                   ,KOBUK,-671,62,0,0,422,,,,,
02150,ALASKA                   ,KODIAK ISLAND,103,-38,-153,-49,-116,,,,,
02160,ALASKA                   ,KUSKOKWIN DIVISION,155,528,106,156,172,,,,,
02170,ALASKA                   ,MATANUSKA-SUSITNA,"6,149",557,"1,014","3,787","2,089",,,,,
02180,ALASKA                   ,NOME,56,422,0,64,271,,,,,
02190,ALASKA                   ,OUTER KETCHIKAN DIVISION,"6,225","1,952","5,740","1,453",-29,,,,,
02200,ALASKA                   ,PRINCE OF WALES DIVISION,"4,745","2,837","3,370","1,343",957,,,,,
02210,ALASKA                   ,SEWARD,"2,678",0,399,164,"2,604",,,,,
02220,ALASKA                   ,SITKA,"1,360","1,783","2,689","3,613","2,762",,,,,
02230,ALASKA                   ,SKAGWAY,554,"1,064","1,052","3,882","1,045",,,,,
02240,ALASKA                   ,SOUTHEAST FAIRBANKS,-296,-714,-581,-572,-286,,,,,
02250,ALASKA                   ,UPPER YUKON DIVISION,53,0,527,0,-138,,,,,
02260,ALASKA                   ,VALDEZ-CHITNA-WHITIER DIVISION,"1,750",416,"1,056",287,260,,,,,
02270,ALASKA                   ,WADE HAMPTON,-224,923,667,568,366,,,,,
02280,ALASKA                   ,WRANGELL-PETERSBURG CENSUS AREA,"1,945","1,374",-532,546,-275,,,,,
02290,ALASKA                   ,YUKON-KOYUKUK,-316,-757,-209,949,-135,,,,,
03000,ARIZONA                  ,APACHE,"47,758","49,864","49,244","12,177","1,730",,,,,
03010,ARIZONA                  ,COCHISE,"159,952","279,891","238,656","117,707","38,573",,,,,
03020,ARIZONA                  ,COCONINO,"202,158","197,808","173,601","4,000","-37,270",,,,,
03030,ARIZONA                  ,GILA,"118,893","225,701","218,798","97,818","38,705",,,,,
03040,ARIZONA                  ,GRAHAM,"23,202","36,016","27,038","13,956",472,,,,,
03050,ARIZONA                  ,GREENLEE,"6,472","4,569","6,400",-585,"1,275",,,,,
03055,ARIZONA                  ,LA PAZ,"21,242","17,495","-2,109","-18,284","-18,907",,,,,
03060,ARIZONA                  ,MARICOPA,"1,158,334","1,168,742","270,784","-1,119,999","-1,147,923",,,,,
03070,ARIZONA                  ,MOHAVE,"86,620","174,312","-120,574","-422,384","-279,114",,,,,
03080,ARIZONA                  ,NAVAJO,"126,775","158,837","137,350","39,499","11,536",,,,,
03090,ARIZONA                  ,PIMA,"-203,898","-263,723","-353,429","-742,938","-694,764",,,,,
03100,ARIZONA                  ,PINAL,"77,253","58,772","21,408","-94,236","-79,255",,,,,
03110,ARIZONA                  ,SANTA CRUZ,"-1,154",735,"-3,412","-9,705","-15,707",,,,,
03120,ARIZONA                  ,YAVAPAI,"1,281,676","1,204,477","1,070,991","693,732","-178,686",,,,,
03130,ARIZONA                  ,YUMA,"156,289","52,179","121,035","135,104","97,354",,,,,
04000,ARKANSAS                 ,ARKANSAS,"-5,655","-7,369","-4,902","4,332","10,271",,,,,
04010,ARKANSAS                 ,ASHLEY,"3,574","2,033","-2,803","8,879","16,544",,,,,
04020,ARKANSAS                 ,BAXTER,"6,516","-20,138","-33,251","23,786","53,531",,,,,
04030,ARKANSAS                 ,BENTON,"373,490","354,362","300,984","451,722","411,070",,,,,
04040,ARKANSAS                 ,BOONE,"1,409","-14,864","-28,056","16,628","52,912",,,,,
04050,ARKANSAS                 ,BRADLEY,-419,"-5,405","-12,710","5,425","12,949",,,,,
04060,ARKANSAS                 ,CALHOUN,-260,"-2,173","-2,607","2,042","7,228",,,,,
04070,ARKANSAS                 ,CARROLL,"3,737",-828,"-4,739","14,350","16,555",,,,,
04080,ARKANSAS                 ,CHICOT,"1,200","-4,120","-5,466","4,099","7,789",,,,,
04090,ARKANSAS                 ,CLARK,"1,705","-8,406","-13,437","7,304","20,343",,,,,
04100,ARKANSAS                 ,CLAY,"-5,683","-12,484","-18,447","5,712","19,056",,,,,
04110,ARKANSAS                 ,CLEBURNE,"-1,215","-11,741","-16,376","8,464","26,158",,,,,
04120,ARKANSAS                 ,CLEVELAND,"-18,428","-1,466","2,894","19,214","-2,786",,,,,
04130,ARKANSAS                 ,COLUMBIA,"7,264","-5,515","-15,091","11,002","25,199",,,,,
04140,ARKANSAS                 ,CONWAY,"-7,336","-7,382","-8,348","6,525","16,804",,,,,
04150,ARKANSAS                 ,CRAIGHEAD,"153,066","87,181","93,580","172,590","195,895",,,,,
04160,ARKANSAS                 ,CRAWFORD,"15,043","-4,384","28,611","15,548","74,704",,,,,
04170,ARKANSAS                 ,CRITTENDEN,"-51,720","-31,923","-39,514","-45,167","-39,514",,,,,
04180,ARKANSAS                 ,CROSS,"3,301","-2,634","-4,826","6,962","17,200",,,,,
04190,ARKANSAS                 ,DALLAS,"-1,865","-3,657","-4,851","3,572","7,632",,,,,
04200,ARKANSAS                 ,DESHA,-706,"-4,726","-4,512","8,904","9,623",,,,,
04210,ARKANSAS                 ,DREW,"-3,053","-8,261","-13,604","7,973","19,904",,,,,
04220,ARKANSAS                 ,FAULKNER,"-81,391","-83,812","-22,733","17,486","23,093",,,,,
04230,ARKANSAS                 ,FRANKLIN,"6,287","-3,121","6,806","6,206","19,315",,,,,
04240,ARKANSAS                 ,FULTON,"-2,361","-7,271","-11,320","2,508","9,967",,,,,
04250,ARKANSAS                 ,GARLAND,"50,605","-112,206","-103,577","-69,013","-126,091",,,,,
04260,ARKANSAS                 ,GRANT,"-22,632","-14,907","-5,864","8,601","4,070",,,,,
04270,ARKANSAS                 ,GREENE,"17,313",347,"-9,906","25,046","42,939",,,,,
04280,ARKANSAS                 ,HEMPSTEAD,"1,806","-5,172","-13,979","5,078","20,171",,,,,
04290,ARKANSAS                 ,HOT SPRING,"-3,108","-15,240","-18,271","6,595","17,035",,,,,
04300,ARKANSAS                 ,HOWARD,298,"-3,982","-8,187","4,253","12,109",,,,,
04310,ARKANSAS                 ,INDEPENDENCE,"5,064","-10,126","-22,277","15,048","51,035",,,,,
04320,ARKANSAS                 ,IZARD,"5,302","-3,870","-8,002","5,186","17,438",,,,,
04330,ARKANSAS                 ,JACKSON,-748,"-9,357","-11,726","15,704","26,907",,,,,
04340,ARKANSAS                 ,JEFFERSON,"-113,725","-10,734","20,342","128,139","-8,541",,,,,
04350,ARKANSAS                 ,JOHNSON,"2,655","-3,191","-6,956","8,114","12,348",,,,,
04360,ARKANSAS                 ,LAFAYETTE,508,"-1,985","-5,703","1,718","12,937",,,,,
04370,ARKANSAS                 ,LAWRENCE,"8,204",983,"-5,788","9,012","16,277",,,,,
04380,ARKANSAS                 ,LEE,"-1,014","-1,756","-1,404",471,"1,980",,,,,
04390,ARKANSAS                 ,LINCOLN,"-22,540","-1,646",650,"23,836","-4,244",,,,,
04400,ARKANSAS                 ,LITTLE RIVER,"1,699","-4,203","-9,939","4,776","14,113",,,,,
04410,ARKANSAS                 ,LOGAN,"3,446","-6,643","-9,203","10,168","29,081",,,,,
04420,ARKANSAS                 ,LONOKE,"-58,195","-50,775","-13,787","9,655","16,828",,,,,
04430,ARKANSAS                 ,MADISON,"13,303","22,992","18,252","37,334","44,257",,,,,
04440,ARKANSAS                 ,MARION,"3,292","-3,283","-7,711","5,578","13,565",,,,,
04450,ARKANSAS                 ,MILLER,"-9,898","18,329","-41,488","-11,218","48,426",,,,,
04460,ARKANSAS                 ,MISSISSIPPI,"10,730","3,463","-6,699","27,923","51,140",,,,,
04470,ARKANSAS                 ,MONROE,"-3,072","-2,441","-3,222","2,216","5,916",,,,,
04480,ARKANSAS                 ,MONTGOMERY,822,"-3,476","-4,314","2,242","9,017",,,,,
04490,ARKANSAS                 ,NEVADA,"1,667","-2,096","-4,984","3,042","9,314",,,,,
04500,ARKANSAS                 ,NEWTON,"2,190",627,"-3,095","3,600","4,655",,,,,
04510,ARKANSAS                 ,OUACHITA,"3,591","-11,149","-18,743","13,413","40,206",,,,,
04520,ARKANSAS                 ,PERRY,"-13,350","-13,544","-2,470","2,691","5,312",,,,,
04530,ARKANSAS                 ,PHILLIPS,"-1,744","-6,006","-3,491",195,"2,685",,,,,
04540,ARKANSAS                 ,PIKE,"2,165","-2,781","-7,864","2,052","7,403",,,,,
04550,ARKANSAS                 ,POINSETT,"52,508","33,050","30,138","54,121","66,130",,,,,
04560,ARKANSAS                 ,POLK,"2,589","-6,682","-11,947","8,981","28,637",,,,,
04570,ARKANSAS                 ,POPE,"2,610","-8,484","-16,794","13,604","40,072",,,,,
04580,ARKANSAS                 ,PRAIRIE,"-1,004","-7,944","-7,192","6,595","12,890",,,,,
04590,ARKANSAS                 ,PULASKI,"-416,276","-339,722","-84,357","77,238","106,537",,,,,
04600,ARKANSAS                 ,RANDOLPH,"7,697","-2,764","-5,409","5,481","21,027",,,,,
04610,ARKANSAS                 ,ST. FRANCIS,"-3,693","-4,057","-6,547","-2,779",400,,,,,
04620,ARKANSAS                 ,SALINE,"-82,657","-69,166","-14,220","12,414","12,873",,,,,
04630,ARKANSAS                 ,SCOTT,"1,366","-2,953","-2,934","3,246","9,575",,,,,
04640,ARKANSAS                 ,SEARCY,-870,"-3,548","-5,807","4,456","7,057",,,,,
04650,ARKANSAS                 ,SEBASTIAN,"31,823","-9,601","47,326","47,843","182,452",,,,,
04660,ARKANSAS                 ,SEVIER,"1,183","-4,936","-9,431","2,704","13,317",,,,,
04670,ARKANSAS                 ,SHARP,"4,733","-6,167","-15,013","7,793","26,949",,,,,
04680,ARKANSAS                 ,STONE,521,"-2,882","-3,183","4,281","11,952",,,,,
04690,ARKANSAS                 ,UNION,"4,939","-13,348","-25,690","14,090","50,282",,,,,
04700,ARKANSAS                 ,VAN BUREN,"-2,480","-4,973","-7,794","4,303","11,566",,,,,
04710,ARKANSAS                 ,WASHINGTON,"283,504","308,547","270,794","451,715","478,786",,,,,
04720,ARKANSAS                 ,WHITE,"3,443","-28,301","-42,592","31,648","85,575",,,,,
04730,ARKANSAS                 ,WOODRUFF,"2,242","-3,751","-3,868","4,544","8,647",,,,,
04740,ARKANSAS                 ,YELL,-568,"-2,663","-5,658","5,963","12,344",,,,,
05000,CALIFORNIA               ,ALAMEDA,"3,410,016","3,419,601","2,149,182","1,327,228","1,892,099",,,,,
05010,CALIFORNIA               ,ALPINE,"-1,138",538,386,396,273,,,,,
05020,CALIFORNIA               ,AMADOR,"183,245","114,406","113,493","88,871","77,432",,,,,
05030,CALIFORNIA               ,BUTTE,"240,138","130,446","414,657","-85,956","-358,836",,,,,
05040,CALIFORNIA               ,CALAVERAS,"234,432","145,607","138,672","176,842","158,007",,,,,
05050,CALIFORNIA               ,COLUSA,"80,662","51,956","68,570","55,514","51,448",,,,,
