"ESRD - HOSPICE - 2011 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE",,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA
01510,ALABAMA                  ,MORGAN                 ,136," 29,366 ",17.99," 29,366 ",17.99,0,0,0,131,0,0
01520,ALABAMA                  ,PERRY                  ,32," 18,859 ",49.11," 18,859 ",49.11,0,0,0,31,0,0
01530,ALABAMA                  ,PICKENS                ,51," 22,104 ",36.12," 22,104 ",36.12,0,0,0,50,0,0
01540,ALABAMA                  ,PIKE                   ,68," 20,257 ",24.82," 20,257 ",24.82,0,0,0,67,0,0
01550,ALABAMA                  ,RANDOLPH               ,48," 6,036 ",10.48," 6,036 ",10.48,0,0,0,47,0,0
01560,ALABAMA                  ,RUSSELL                ,130," 21,917 ",14.05," 21,917 ",14.05,0,0,0,126,0,0
01570,ALABAMA                  ,ST  CLAIR              ,93," 10,210 ",9.15," 10,210 ",9.15,0,0,0,87,0,0
01580,ALABAMA                  ,SHELBY                 ,91," 119,422 ",109.36," 119,422 ",109.36,0,0,0,85,0,0
01590,ALABAMA                  ,SUMTER                 ,31," 21,851 ",58.74," 21,851 ",58.74,0,0,0,29,0,0
01600,ALABAMA                  ,TALLADEGA              ,194," 136,192 ",58.5," 136,192 ",58.5,0,0,0,187,0,0
01610,ALABAMA                  ,TALLAPOOSA             ,90," 105,581 ",97.76," 105,581 ",97.76,0,0,0,88,0,0
01620,ALABAMA                  ,TUSCALOOSA             ,307," 42,096 ",11.43," 42,096 ",11.43,0,0,0,296,0,0
01630,ALABAMA                  ,WALKER                 ,89," 29,973 ",28.06," 29,973 ",28.06,0,0,0,86,0,0
01640,ALABAMA                  ,WASHINGTON             ,37," 16,316 ",36.75," 16,316 ",36.75,0,0,0,35,0,0
01650,ALABAMA                  ,WILCOX                 ,35," 32,126 ",76.49," 32,126 ",76.49,0,0,0,35,0,0
01660,ALABAMA                  ,WINSTON                ,29," 12,266 ",35.25," 12,266 ",35.25,0,0,0,28,0,0
02010,ALASKA                   ,ALEUTIAN ISLANDS       ,2, -   ,0, -   ,0,0,0,0,1,0,0
02020,ALASKA                   ,ANCHORAGE              ,325," 19,568 ",5.02," 19,568 ",5.02,0,0,0,302,0,0
02040,ALASKA                   ,BARROW-NORTH SLOPE     ,1, -   ,0, -   ,0,0,0,0,1,0,0
