"DISABLED -- PUERTO RiCO 2011 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE BENEFICIARIES ENROLLED IN  PART A AND/OR PART B ",,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA,AGED & DBLD MEAN RISK SCORES
40490,PUERTO RICO,MOCA,518,237557,38.21,192224,30.92,12463,17080,15788,158,298267,157.31,0.954
40500,PUERTO RICO,MOROVIS,502,191702,31.79,177620,29.46,2271,11641,169,117,145357,103.16,0.951
40510,PUERTO RICO,NAGUABO,407,311360,63.65,269376,55.06,8648,24314,9020,121,213783,146.83,0.940
40520,PUERTO RICO,NARANJITO,539,195180,30.18,184772,28.57,1055,6614,2737,155,367020,196.27,1.004
40530,PUERTO RICO,OROCOVIS,515,199416,32.26,178665,28.91,2746,16042,1961,123,179297,121.23,0.939
40540,PUERTO RICO,PATILLAS,394,332549,70.22,297178,62.75,4825,22968,7576,97,165656,142.2,0.945
40550,PUERTO RICO,PENUELAS,256,245489,79.83,216539,70.42,7294,11943,9713,79,130197,135.76,0.946
40560,PUERTO RICO,PONCE,2083,1511239,60.45,1255932,50.24,59079,88842,107385,659,1642011,207.56,0.948
40570,PUERTO RICO,QUEBRADILLAS,555,432545,64.85,389779,58.44,10275,24771,7718,169,379556,186.79,0.916
40580,PUERTO RICO,RINCON,179,106487,49.41,90600,42.04,4316,4474,7094,57,166186,239.81,0.844
40590,PUERTO RICO,RIO GRANDE,345,147782,35.64,113415,27.36,10920,11124,12321,86,300261,288.7,0.921
40610,PUERTO RICO,SABANA GRANDE,316,156850,41.29,139733,36.78,6398,5264,5453,106,289997,226.38,0.975
40620,PUERTO RICO,SALINAS,664,599804,75.24,498864,62.58,25485,59358,16096,211,373909,147.32,0.918
40630,PUERTO RICO,SAN GERMAN,328,265052,67.34,237813,60.42,7855,10400,8982,102,293852,239.09,0.961
40640,PUERTO RICO,SAN JUAN,4424,2675812,50.4,2401238,45.23,59057,136319,79197,1492,3956057,220.9,0.994
40650,PUERTO RICO,SAN LORENZO,610,355949,48.59,312424,42.65,10607,23090,9826,228,439576,160.26,0.966
40660,PUERTO RICO,SAN SEBASTIAN,537,293582,45.52,262785,40.75,7023,14005,9768,184,465289,210.44,1.002
40670,PUERTO RICO,SANTA ISABEL,280,162518,48.27,137179,40.74,4293,12956,8088,77,110012,117.91,0.931
40680,PUERTO RICO,TOA ALTA,842,352071,34.82,316342,31.29,9271,17177,9280,256,528475,171.92,0.918
40690,PUERTO RICO,TOA BAJA,357,104666,24.43,96605,22.55,2093,3996,1972,103,291257,234.89,0.932
40700,PUERTO RICO,TRUJILLO ALTO,572,306119,44.58,293051,42.68,3004,3820,6243,187,474165,210.74,0.925
40710,PUERTO RICO,UTUADO,326,298416,76.09,261097,66.57,9319,20011,7987,65,134887,172.72,0.915
40720,PUERTO RICO,VEGA ALTA,519,200719,32.22,178805,28.7,4733,10526,6653,138,255191,153.18,0.921
40730,PUERTO RICO,VEGA BAJA,943,444453,39.24,402559,35.54,7445,28239,6209,321,573869,148.86,0.928
40740,PUERTO RICO,VIEQUES,385,310118,66.97,261672,56.5,17146,16605,14693,119,234679,163.76,0.787
40750,PUERTO RICO,VILLALBA,406,230145,47.23,193208,39.65,8451,12082,16403,100,166389,138.55,1.060
40760,PUERTO RICO,YABUCOA,885,303622,28.59,267385,25.18,5171,22246,8818,263,419290,132.77,0.873
40770,PUERTO RICO,YAUCO,594,598972,83.98,478651,67.11,31510,58549,30261,177,367631,172.92,0.866
