AGED -- REPRICING ADJUSTMENTS TO THE 2007-2011 PHYSICIAN REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT GEOGRAPHIC PRACTICE COST INDEX,,,,,,,
CODE,STATE,COUNTY,Part B Reimbursement Adjustment 2007,Part B Reimbursement Adjustment 2008,Part B Reimbursement Adjustment 2009,Part B Reimbursement Adjustment 2010,Part B Reimbursement Adjustment 2011
02020,ALASKA                   ,ANCHORAGE,"3,665,634","4,007,867","-178,298","-205,676","-250,370"
02040,ALASKA                   ,BARROW DIVISION,"9,250","8,758",-18,-711,-390
02050,ALASKA                   ,BETHEL,"13,684","10,758","-1,712",-694,-625
02060,ALASKA                   ,BRISTOL BAY,"85,609","89,964",-853,"-2,553","-4,062"
02070,ALASKA                   ,DILLINGHAM,"13,471","18,505",-229,-522,-259
02080,ALASKA                   ,CORDOVA-MC CARTHY,"18,266","27,247",-714,-758,"-1,124"
02090,ALASKA                   ,FAIRBANKS NORTH STAR,"838,409","915,385","-22,102","-29,596","-40,114"
02100,ALASKA                   ,HAINES,"22,421","27,185",620,176,-355
02110,ALASKA                   ,JUNEAU,"372,898","404,496","8,842","5,005","-4,117"
02120,ALASKA                   ,KENAI-COOK INLET DIVISION,"865,552","957,491","-25,981","-32,576","-47,777"
02130,ALASKA                   ,KETCHIKAN GATEWAY,"135,754","126,470","11,834","10,028","4,423"
02140,ALASKA                   ,KOBUK,"9,472","8,077",-519,-571,-97
02150,ALASKA                   ,KODIAK ISLAND,"49,616","52,305","-1,417",-200,"-2,390"
02160,ALASKA                   ,KUSKOKWIN DIVISION,"7,103","11,234",-278,-45,-555
02170,ALASKA                   ,MATANUSKA-SUSITNA,"1,166,278","1,340,045","-63,414","-71,100","-88,806"
02180,ALASKA                   ,NOME,"25,951","32,683",-469,-786,"-1,184"
02190,ALASKA                   ,OUTER KETCHIKAN DIVISION,"13,688","13,996",817,-545,-86
02200,ALASKA                   ,PRINCE OF WALES DIVISION,"18,850","24,428","2,295","1,418",889
02210,ALASKA                   ,SEWARD,"55,498","63,159","-1,957","-2,782","-3,898"
02220,ALASKA                   ,SITKA,"90,086","81,138","4,983","2,996",141
02230,ALASKA                   ,SKAGWAY,"16,559","18,198",906,446,342
02240,ALASKA                   ,SOUTHEAST FAIRBANKS,"79,096","80,595","-2,804","-2,629","-3,423"
02250,ALASKA                   ,UPPER YUKON DIVISION,"14,380","14,915",-444,"-1,263",-231
02260,ALASKA                   ,VALDEZ-CHITNA-WHITIER DIVISION,"73,598","89,036","-2,850","-4,196","-6,242"
02270,ALASKA                   ,WADE HAMPTON,"5,942","9,405",-521,"-1,190",-418
02280,ALASKA                   ,WRANGELL-PETERSBURG CENSUS AREA,"47,121","55,165","8,450","6,731","1,854"
02290,ALASKA                   ,YUKON-KOYUKUK,"53,328","56,418",-600,"-1,726",-928
03000,ARIZONA                  ,APACHE,"-10,190","21,244","58,450","10,412","-3,837"
03010,ARIZONA                  ,COCHISE,"-194,515","97,468","393,726","129,983","32,511"
03020,ARIZONA                  ,COCONINO,"-115,512","65,107","251,210","88,620","14,756"
03030,ARIZONA                  ,GILA,"-110,155","60,783","257,535","95,028","25,367"
03040,ARIZONA                  ,GRAHAM,"-21,986","13,052","51,299","20,063","6,121"
03050,ARIZONA                  ,GREENLEE,"-4,766","3,219","14,483","4,845","2,136"
03055,ARIZONA                  ,LA PAZ,"-17,667","27,215","72,413","33,344","8,913"
03060,ARIZONA                  ,MARICOPA,"-3,333,627","1,749,353","7,408,560","2,389,010","518,067"
03070,ARIZONA                  ,MOHAVE,"-330,315","250,226","851,097","339,450","103,423"
03080,ARIZONA                  ,NAVAJO,"-79,048","46,115","189,951","67,443","23,052"
03090,ARIZONA                  ,PIMA,"-1,029,479","535,839","2,168,471","692,646","145,538"
03100,ARIZONA                  ,PINAL,"-244,715","146,711","606,961","192,042","41,332"
03110,ARIZONA                  ,SANTA CRUZ,"-25,528","13,992","62,873","20,170","4,241"
03120,ARIZONA                  ,YAVAPAI,"-439,099","212,711","910,756","320,842","79,118"
03130,ARIZONA                  ,YUMA,"-192,231","158,101","526,922","173,570","43,758"
04000,ARKANSAS                 ,ARKANSAS,"64,696","36,295","38,211","-104,656","-107,947"
04010,ARKANSAS                 ,ASHLEY,"60,596","36,137","35,055","-126,559","-158,818"
04020,ARKANSAS                 ,BAXTER,"302,379","232,031","153,551","-349,598","-403,673"
04030,ARKANSAS                 ,BENTON,"404,037","289,546","230,740","-670,312","-751,833"
04040,ARKANSAS                 ,BOONE,"134,453","86,780","76,815","-190,923","-226,225"
04050,ARKANSAS                 ,BRADLEY,"42,274","21,947","26,138","-72,564","-83,115"
04060,ARKANSAS                 ,CALHOUN,"14,410","8,373","8,951","-23,288","-27,414"
04070,ARKANSAS                 ,CARROLL,"67,638","44,012","38,275","-105,132","-123,349"
04080,ARKANSAS                 ,CHICOT,"38,172","18,688","16,470","-68,860","-68,741"
04090,ARKANSAS                 ,CLARK,"63,181","32,108","32,170","-87,077","-104,007"
04100,ARKANSAS                 ,CLAY,"55,163","31,918","29,587","-77,597","-88,682"
04110,ARKANSAS                 ,CLEBURNE,"117,689","76,761","70,530","-191,732","-214,871"
04120,ARKANSAS                 ,CLEVELAND,"29,191","12,767","16,905","-47,825","-48,091"
04130,ARKANSAS                 ,COLUMBIA,"62,809","30,671","31,733","-128,514","-160,246"
04140,ARKANSAS                 ,CONWAY,"67,583","37,546","37,371","-105,014","-121,336"
04150,ARKANSAS                 ,CRAIGHEAD,"218,901","126,757","127,210","-364,272","-426,023"
04160,ARKANSAS                 ,CRAWFORD,"118,613","73,343","62,368","-179,137","-194,695"
04170,ARKANSAS                 ,CRITTENDEN,"61,654","34,551","30,254","-156,913","-181,547"
04180,ARKANSAS                 ,CROSS,"39,636","19,771","21,819","-74,618","-88,958"
04190,ARKANSAS                 ,DALLAS,"27,250","14,674","15,255","-39,922","-47,231"
04200,ARKANSAS                 ,DESHA,"38,866","18,713","20,761","-61,058","-70,522"
04210,ARKANSAS                 ,DREW,"54,542","27,416","34,058","-95,373","-113,413"
04220,ARKANSAS                 ,FAULKNER,"236,265","145,380","141,067","-393,719","-451,538"
04230,ARKANSAS                 ,FRANKLIN,"43,225","27,361","23,341","-63,478","-73,949"
04240,ARKANSAS                 ,FULTON,"55,530","30,323","25,856","-56,667","-67,979"
04250,ARKANSAS                 ,GARLAND,"482,058","310,618","257,188","-709,389","-861,487"
