HHA Wage Indices by Fiscal Year,,,,,,,,,
County code,State,County name,CBSA 2013,HHA Wage 2007,HHA Wage 2008,HHA Wage 2009,HHA Wage 2010,HHA Wage 2011,HHA Wage 2013
1190,AL,COVINGTON,NA, 0.7591 , 0.7533 , 0.7587 , 0.7327 , 0.7380 , 0.7113 
1200,AL,CRENSHAW,NA, 0.7591 , 0.7533 , 0.7587 , 0.7327 , 0.7380 , 0.7113 
1210,AL,CULLMAN,NA, 0.7591 , 0.7533 , 0.7587 , 0.7327 , 0.7380 , 0.7113 
1220,AL,DALE,NA, 0.7591 , 0.7533 , 0.7587 , 0.7327 , 0.7380 , 0.7113 
1230,AL,DALLAS,NA, 0.7591 , 0.7533 , 0.7587 , 0.7327 , 0.7380 , 0.7113 
1240,AL,DEKALB,NA, 0.7591 , 0.7533 , 0.7587 , 0.7327 , 0.7380 , 0.7113 
1250,AL,ELMORE,33860, 0.8009 , 0.8088 , 0.8283 , 0.8304 , 0.8442 , 0.7860 
1260,AL,ESCAMBIA,NA, 0.7591 , 0.7533 , 0.7587 , 0.7327 , 0.7380 , 0.7113 
1270,AL,ETOWAH,23460, 0.8066 , 0.8159 , 0.7983 , 0.8266 , 0.7180 , 0.7717 
1280,AL,FAYETTE,NA, 0.7591 , 0.7533 , 0.7587 , 0.7327 , 0.7380 , 0.7113 
1290,AL,FRANKLIN,NA, 0.7591 , 0.7533 , 0.7587 , 0.7327 , 0.7380 , 0.7113 
1300,AL,GENEVA,20020, 0.7381 , 0.7270 , 0.7613 , 0.7406 , 0.7435 , 0.6980 
1310,AL,GREENE,46220, 0.8542 , 0.8303 , 0.8496 , 0.8698 , 0.8843 , 0.8480 
1320,AL,HALE,46220, 0.8542 , 0.8303 , 0.8496 , 0.8698 , 0.8843 , 0.8480 
1330,AL,HENRY,20020, 0.7381 , 0.7270 , 0.7613 , 0.7406 , 0.7435 , 0.6980 
1340,AL,HOUSTON,20020, 0.7381 , 0.7270 , 0.7613 , 0.7406 , 0.7435 , 0.6980 
1350,AL,JACKSON,NA, 0.7591 , 0.7533 , 0.7587 , 0.7327 , 0.7380 , 0.7113 
1360,AL,JEFFERSON,13820, 0.8894 , 0.8898 , 0.8792 , 0.8554 , 0.8611 , 0.8450 
