Physician Geographic Practice Cost Indices by Calendar Year,,,,,,,,,,,,,,,,,,,,,,
County code,State,County name,Locality 2013,Carrier 2013, GPCI WK 2007 , GPCI WK 2008 , GPCI WK 2009 , GPCI WK 2010 , GPCI WK 2011 , GPCI WK 2013 , GPCI PE 2007 , GPCI PE 2008 , GPCI PE 2009 , GPCI PE 2010 , GPCI PE 2011 , GPCI PE 2013 ,GPCI MP 2007,GPCI MP 2008,GPCI MP 2009,GPCI MP 2010,GPCI MP 2011,GPCI MP 2013
1200,AL,CRENSHAW,00,10102, 0.9820 , 0.9820 , 1.0000 , 1.0000 , 1.0000 , 0.9760 , 0.8470 , 0.8500 , 0.8530 , 0.9270 , 0.9280 , 0.8780 , 0.7400 , 0.6170 , 0.4960 , 0.4960 , 0.4840 , 0.4740 
1210,AL,CULLMAN,00,10102, 0.9820 , 0.9820 , 1.0000 , 1.0000 , 1.0000 , 0.9760 , 0.8470 , 0.8500 , 0.8530 , 0.9270 , 0.9280 , 0.8780 , 0.7400 , 0.6170 , 0.4960 , 0.4960 , 0.4840 , 0.4740 
1220,AL,DALE,00,10102, 0.9820 , 0.9820 , 1.0000 , 1.0000 , 1.0000 , 0.9760 , 0.8470 , 0.8500 , 0.8530 , 0.9270 , 0.9280 , 0.8780 , 0.7400 , 0.6170 , 0.4960 , 0.4960 , 0.4840 , 0.4740 
1230,AL,DALLAS,00,10102, 0.9820 , 0.9820 , 1.0000 , 1.0000 , 1.0000 , 0.9760 , 0.8470 , 0.8500 , 0.8530 , 0.9270 , 0.9280 , 0.8780 , 0.7400 , 0.6170 , 0.4960 , 0.4960 , 0.4840 , 0.4740 
1240,AL,DEKALB,00,10102, 0.9820 , 0.9820 , 1.0000 , 1.0000 , 1.0000 , 0.9760 , 0.8470 , 0.8500 , 0.8530 , 0.9270 , 0.9280 , 0.8780 , 0.7400 , 0.6170 , 0.4960 , 0.4960 , 0.4840 , 0.4740 
1250,AL,ELMORE,00,10102, 0.9820 , 0.9820 , 1.0000 , 1.0000 , 1.0000 , 0.9760 , 0.8470 , 0.8500 , 0.8530 , 0.9270 , 0.9280 , 0.8780 , 0.7400 , 0.6170 , 0.4960 , 0.4960 , 0.4840 , 0.4740 
1260,AL,ESCAMBIA,00,10102, 0.9820 , 0.9820 , 1.0000 , 1.0000 , 1.0000 , 0.9760 , 0.8470 , 0.8500 , 0.8530 , 0.9270 , 0.9280 , 0.8780 , 0.7400 , 0.6170 , 0.4960 , 0.4960 , 0.4840 , 0.4740 
1270,AL,ETOWAH,00,10102, 0.9820 , 0.9820 , 1.0000 , 1.0000 , 1.0000 , 0.9760 , 0.8470 , 0.8500 , 0.8530 , 0.9270 , 0.9280 , 0.8780 , 0.7400 , 0.6170 , 0.4960 , 0.4960 , 0.4840 , 0.4740 
1280,AL,FAYETTE,00,10102, 0.9820 , 0.9820 , 1.0000 , 1.0000 , 1.0000 , 0.9760 , 0.8470 , 0.8500 , 0.8530 , 0.9270 , 0.9280 , 0.8780 , 0.7400 , 0.6170 , 0.4960 , 0.4960 , 0.4840 , 0.4740 
1290,AL,FRANKLIN,00,10102, 0.9820 , 0.9820 , 1.0000 , 1.0000 , 1.0000 , 0.9760 , 0.8470 , 0.8500 , 0.8530 , 0.9270 , 0.9280 , 0.8780 , 0.7400 , 0.6170 , 0.4960 , 0.4960 , 0.4840 , 0.4740 
1300,AL,GENEVA,00,10102, 0.9820 , 0.9820 , 1.0000 , 1.0000 , 1.0000 , 0.9760 , 0.8470 , 0.8500 , 0.8530 , 0.9270 , 0.9280 , 0.8780 , 0.7400 , 0.6170 , 0.4960 , 0.4960 , 0.4840 , 0.4740 
1310,AL,GREENE,00,10102, 0.9820 , 0.9820 , 1.0000 , 1.0000 , 1.0000 , 0.9760 , 0.8470 , 0.8500 , 0.8530 , 0.9270 , 0.9280 , 0.8780 , 0.7400 , 0.6170 , 0.4960 , 0.4960 , 0.4840 , 0.4740 
1320,AL,HALE,00,10102, 0.9820 , 0.9820 , 1.0000 , 1.0000 , 1.0000 , 0.9760 , 0.8470 , 0.8500 , 0.8530 , 0.9270 , 0.9280 , 0.8780 , 0.7400 , 0.6170 , 0.4960 , 0.4960 , 0.4840 , 0.4740 
