"ESRD -- 2011 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE, BENEFICIARIES ENROLLED IN PARTS A AND/OR B, REIMBURSEMENTS FOR HOSPICE AND COST CONTRACTS EXCLUDED",,,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA,,
01400,ALABAMA,LEE,186,"2,911,195","1,304.30","2,477,198","1,109.86","76,429","342,353","15,214",181,"5,906,241","2,719.26",,
01410,ALABAMA,LIMESTONE,107,"1,858,481","1,447.42","1,629,154","1,268.81","46,367","171,040","11,919",104,"3,657,591","2,930.76",,
01420,ALABAMA,LOWNDES,34,"613,296","1,503.18","507,088","1,242.86","11,005","91,732","3,470",33,"1,207,871","3,050.18",,
01430,ALABAMA,MACON,74,"739,006",832.21,"645,997",727.47,"4,186","88,106",715,68,"2,314,307","2,836.16",,
01440,ALABAMA,MADISON,498,"10,278,182","1,719.91","9,039,606","1,512.65","268,274","910,978","59,322",470,"16,919,613","2,999.93",,
01450,ALABAMA,MARENGO,50,"968,276","1,613.79","838,963","1,398.27","31,758","86,672","10,882",49,"1,815,521","3,087.62",,
01460,ALABAMA,MARION,26,"493,295","1,581.07","424,825","1,361.62","16,383","45,969","6,116",26,"906,646","2,905.92",,
01470,ALABAMA,MARSHALL,110,"2,133,964","1,616.64","1,933,335","1,464.65","38,302","149,144","13,180",105,"3,734,069","2,963.55",,
01480,ALABAMA,MOBILE,763,"15,469,682","1,689.57","12,780,801","1,395.89","924,742","1,378,918","385,221",734,"25,340,610","2,877.00",,
01490,ALABAMA,MONROE,38,"712,057","1,561.53","613,397","1,345.17","29,747","60,391","8,520",37,"1,249,409","2,813.98",,
01500,ALABAMA,MONTGOMERY,462,"7,943,632","1,432.83","6,715,881","1,211.38","173,527","1,008,659","45,565",434,"14,950,912","2,870.76",,
01510,ALABAMA,MORGAN,136,"2,106,810","1,290.94","1,874,332","1,148.49","56,403","162,831","13,242",131,"4,853,921","3,087.74",,
01520,ALABAMA,PERRY,32,"705,314","1,836.76","555,801","1,447.40","20,934","120,477","8,101",31,"1,252,214","3,366.17",,
01530,ALABAMA,PICKENS,51,"953,386","1,557.82","853,918","1,395.29","27,544","62,901","9,021",50,"1,849,885","3,083.14",,
01540,ALABAMA,PIKE,68,"1,352,569","1,657.56","1,106,871","1,356.46","38,810","196,149","10,737",67,"2,823,075","3,511.29",,
01550,ALABAMA,RANDOLPH,48,"706,136","1,225.93","613,445","1,065.01","12,632","78,173","1,884",47,"1,739,824","3,084.79",,
01560,ALABAMA,RUSSELL,130,"2,785,338","1,785.47","2,402,114","1,539.82","56,269","305,219","21,734",126,"4,338,952","2,869.68",,
01570,ALABAMA,ST  CLAIR,93,"1,473,169","1,320.04","1,302,698","1,167.29","55,827","81,394","33,249",87,"2,578,910","2,470.22",,
01580,ALABAMA,SHELBY,91,"1,933,857","1,770.93","1,668,394","1,527.83","82,635","157,461","25,366",85,"2,848,524","2,792.67",,
01590,ALABAMA,SUMTER,31,"1,166,509","3,135.78","1,056,593","2,840.30","28,679","71,705","9,530",29,"1,092,635","3,139.76",,
