DISABLED -- REPRICING ADJUSTMENTS TO THE 2007-2011 INPATIENT REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX (Adjustment to Part A Reimbursement),,,,,,,,,,,,
CODE,STATE,COUNTY,Part A Reimbursement Adjustment 2007,Part A Reimbursement Adjustment 2008,Part A Reimbursement Adjustment 2009,Part A Reimbursement Adjustment 2010,Part A Reimbursement Adjustment 2011,,,,,
01590,ALABAMA                  ,SUMTER,"-16,931","-12,511","-19,111","-27,631","-27,245",,,,,
01600,ALABAMA                  ,TALLADEGA,"-283,378","-352,219","-318,067","-215,974","-211,096",,,,,
01610,ALABAMA                  ,TALLAPOOSA,"-52,551","-123,999","-114,039","-104,698","-126,258",,,,,
01620,ALABAMA                  ,TUSCALOOSA,"-29,178","136,145","-80,955","-273,667","-363,374",,,,,
01630,ALABAMA                  ,WALKER,"-261,369","-247,226","-163,418","-57,043","-62,443",,,,,
01640,ALABAMA                  ,WASHINGTON,"-38,539","-52,794","-43,956","-28,586","-56,076",,,,,
01650,ALABAMA                  ,WILCOX,"-36,469","-22,650","-22,013","-31,713","-41,686",,,,,
01660,ALABAMA                  ,WINSTON,"-113,443","-72,907","-54,618","-45,712","-50,496",,,,,
02010,ALASKA                   ,ALEUTIANS ISLANDS,699,722,"7,468",573,0,,,,,
02020,ALASKA                   ,ANCHORAGE,"499,107","455,665","487,644","389,363","93,613",,,,,
02040,ALASKA                   ,BARROW DIVISION,"6,604",797,"10,051","2,117",56,,,,,
02050,ALASKA                   ,BETHEL,"1,480","5,153","1,983","1,318",341,,,,,
02060,ALASKA                   ,BRISTOL BAY,"32,793","9,953","26,173","18,819","3,415",,,,,
02070,ALASKA                   ,DILLINGHAM,"4,603","2,111",642,973,190,,,,,
02080,ALASKA                   ,CORDOVA-MC CARTHY,"1,547",418,"3,484","3,237","2,525",,,,,
02090,ALASKA                   ,FAIRBANKS NORTH STAR,"186,804","100,348","187,800","172,028","29,461",,,,,
02100,ALASKA                   ,HAINES,"1,321","2,731",37,"3,187","3,141",,,,,
02110,ALASKA                   ,JUNEAU,"17,601","6,944","21,631","12,463","6,318",,,,,
02120,ALASKA                   ,KENAI-COOK INLET DIVISION,"45,033","55,020","104,137","84,270","4,926",,,,,
02130,ALASKA                   ,KETCHIKAN GATEWAY,"1,307","5,754",-119,"3,890","5,184",,,,,
02140,ALASKA                   ,KOBUK,"1,608",585,"2,458",936,76,,,,,
02150,ALASKA                   ,KODIAK ISLAND,"6,876","19,986","2,811","6,161","1,003",,,,,
02160,ALASKA                   ,KUSKOKWIN DIVISION,366,329,56,17,822,,,,,
02170,ALASKA                   ,MATANUSKA-SUSITNA,"70,262","71,172","90,799","83,799","16,661",,,,,
02180,ALASKA                   ,NOME,"2,004","6,630",732,926,0,,,,,
02190,ALASKA                   ,OUTER KETCHIKAN DIVISION,0,"5,667",169,352,"3,278",,,,,
02200,ALASKA                   ,PRINCE OF WALES DIVISION,"1,110",477,"2,072","5,581","1,594",,,,,
02210,ALASKA                   ,SEWARD,"9,170","9,321","4,087","1,209",119,,,,,
02220,ALASKA                   ,SITKA,"2,242",430,"1,798","3,106",826,,,,,
02230,ALASKA                   ,SKAGWAY,"4,241",26,"1,065",527,-40,,,,,
02240,ALASKA                   ,SOUTHEAST FAIRBANKS,"25,524","6,559","18,409","4,890",-1,,,,,
02250,ALASKA                   ,UPPER YUKON DIVISION,"4,474","7,589","2,698","2,168",302,,,,,
02260,ALASKA                   ,VALDEZ-CHITNA-WHITIER DIVISION,"16,007","18,233","4,701","6,520","1,987",,,,,
02270,ALASKA                   ,WADE HAMPTON,"2,722","3,179","1,796",529,95,,,,,
02280,ALASKA                   ,WRANGELL-PETERSBURG CENSUS AREA,"1,603",708,"2,952","5,098","3,311",,,,,
02290,ALASKA                   ,YUKON-KOYUKUK,"3,774","8,371","10,393","7,193",783,,,,,
03000,ARIZONA                  ,APACHE,"80,606","74,402","43,117","16,804","13,958",,,,,
03010,ARIZONA                  ,COCHISE,"347,280","332,619","364,733","296,971","305,822",,,,,
03020,ARIZONA                  ,COCONINO,"108,146","99,090","40,401","-92,893","-82,604",,,,,
03030,ARIZONA                  ,GILA,"141,045","150,781","91,345","30,256","49,891",,,,,
03040,ARIZONA                  ,GRAHAM,"72,092","79,459","56,154","63,256","57,898",,,,,
03050,ARIZONA                  ,GREENLEE,"28,790","18,619","20,850","12,567","11,817",,,,,
03055,ARIZONA                  ,LA PAZ,"25,587","27,810","21,847","7,889","1,920",,,,,
03060,ARIZONA                  ,MARICOPA,"2,634,827","2,807,873","2,123,448","831,811","1,052,715",,,,,
03070,ARIZONA                  ,MOHAVE,"-173,954","217,949","486,637","269,098","283,463",,,,,
03080,ARIZONA                  ,NAVAJO,"126,401","154,091","76,721","-6,781","8,242",,,,,
03090,ARIZONA                  ,PIMA,"2,840,445","2,706,512","2,701,472","2,157,713","2,274,284",,,,,
03100,ARIZONA                  ,PINAL,"391,043","443,092","292,612","156,072","166,658",,,,,
03110,ARIZONA                  ,SANTA CRUZ,"44,459","58,980","88,274","57,681","30,207",,,,,
03120,ARIZONA                  ,YAVAPAI,"252,671","289,245","238,494","316,962","-145,216",,,,,
03130,ARIZONA                  ,YUMA,"362,554","221,247","309,916","343,988","346,488",,,,,
04000,ARKANSAS                 ,ARKANSAS,"-64,616","-27,845","-17,445","-8,551","-5,329",,,,,
04010,ARKANSAS                 ,ASHLEY,"-86,210","-18,629","-8,088","-9,413","-15,125",,,,,
04020,ARKANSAS                 ,BAXTER,"-35,436","-30,103","-5,485","-7,185",977,,,,,
04030,ARKANSAS                 ,BENTON,"78,932","114,906","95,436","224,747","222,761",,,,,
04040,ARKANSAS                 ,BOONE,"19,660","34,973","35,361","81,969","59,155",,,,,
04050,ARKANSAS                 ,BRADLEY,"-51,522","-15,960","-12,669","-4,811","-5,068",,,,,
04060,ARKANSAS                 ,CALHOUN,"-22,205","-1,905",-815,"-3,128","-6,555",,,,,
04070,ARKANSAS                 ,CARROLL,"5,634","4,279","8,862","24,394","31,376",,,,,
04080,ARKANSAS                 ,CHICOT,"-28,216","-9,693","-6,530","-1,838","-4,761",,,,,
04090,ARKANSAS                 ,CLARK,"-47,913","-29,556","-15,394","-18,068","-15,829",,,,,
04100,ARKANSAS                 ,CLAY,"-43,642","-32,095","-24,459","-23,769","-19,552",,,,,
04110,ARKANSAS                 ,CLEBURNE,"-102,811","-58,525","-30,838","-13,582","-9,568",,,,,
04120,ARKANSAS                 ,CLEVELAND,"-14,919","-7,686","-3,796","-3,112","-1,799",,,,,
04130,ARKANSAS                 ,COLUMBIA,"-71,817","-15,576","-12,679","-8,192","-6,300",,,,,
04140,ARKANSAS                 ,CONWAY,"-99,247","-47,900","-17,695","-14,038","-9,248",,,,,
04150,ARKANSAS                 ,CRAIGHEAD,"-259,776","-260,292","-160,024","-160,540","-140,721",,,,,
04160,ARKANSAS                 ,CRAWFORD,"-15,912","-20,675","11,728","-4,962","74,495",,,,,
04170,ARKANSAS                 ,CRITTENDEN,"-95,214","-123,602","-95,684","-87,611","-80,357",,,,,
04180,ARKANSAS                 ,CROSS,"-44,516","-28,650","-23,734","-24,948","-21,845",,,,,
04190,ARKANSAS                 ,DALLAS,"-29,609","-8,306","-7,085","-4,645","-3,470",,,,,
04200,ARKANSAS                 ,DESHA,"-31,676","-12,058","-14,231","-8,009","-8,536",,,,,
04210,ARKANSAS                 ,DREW,"-67,231","-17,864","-7,039","-6,569","-6,725",,,,,
04220,ARKANSAS                 ,FAULKNER,"-260,719","-129,651","-68,388","-39,754","-32,343",,,,,
04230,ARKANSAS                 ,FRANKLIN,"-3,775","-5,355",-49,"1,028","14,061",,,,,
04240,ARKANSAS                 ,FULTON,"-33,980","-13,068","-4,257",58,"1,223",,,,,
04250,ARKANSAS                 ,GARLAND,"-169,063","-178,621","-148,552","-153,679","-193,440",,,,,
04260,ARKANSAS                 ,GRANT,"-60,289","-25,319","-18,426","-9,112","-7,180",,,,,
04270,ARKANSAS                 ,GREENE,"-128,758","-112,806","-104,288","-72,890","-55,587",,,,,
04280,ARKANSAS                 ,HEMPSTEAD,"-40,275","-11,421","-7,292",-627,"-1,074",,,,,
04290,ARKANSAS                 ,HOT SPRING,"-138,151","-35,068","-43,205","-43,679","-56,152",,,,,
04300,ARKANSAS                 ,HOWARD,"-25,644","-10,748","-6,219","-2,417",-168,,,,,
04310,ARKANSAS                 ,INDEPENDENCE,"-212,259","-97,046","-89,577","-24,605","-24,215",,,,,
04320,ARKANSAS                 ,IZARD,"-23,520","-23,873","-13,329","-5,569","-1,995",,,,,
04330,ARKANSAS                 ,JACKSON,"-120,523","-48,357","-36,506","-23,516","-21,834",,,,,
04340,ARKANSAS                 ,JEFFERSON,"-114,660","-51,548","-29,874","-22,702","-16,517",,,,,
04350,ARKANSAS                 ,JOHNSON,"-40,765","-20,174","-10,211","-6,756",284,,,,,
04360,ARKANSAS                 ,LAFAYETTE,"-10,848","-5,001","-1,228",903,"3,421",,,,,
04370,ARKANSAS                 ,LAWRENCE,"-65,902","-64,690","-34,035","-35,210","-28,607",,,,,
04380,ARKANSAS                 ,LEE,"-20,735","-11,809","-7,982","-8,397","-8,985",,,,,
04390,ARKANSAS                 ,LINCOLN,"-29,068","-8,123","-1,840","-1,936","-1,872",,,,,
04400,ARKANSAS                 ,LITTLE RIVER,"-17,063","-5,783","-3,996","1,115","7,391",,,,,
04410,ARKANSAS                 ,LOGAN,"-18,528","-11,948","-8,869","-1,358","15,033",,,,,
04420,ARKANSAS                 ,LONOKE,"-235,084","-102,953","-55,138","-32,693","-24,299",,,,,
04430,ARKANSAS                 ,MADISON,"19,990","25,053","13,407","42,880","36,989",,,,,
04440,ARKANSAS                 ,MARION,-907,"-4,949","1,077","8,639","3,494",,,,,
04450,ARKANSAS                 ,MILLER,"-43,511","-16,080","-7,883","8,899","19,403",,,,,
04460,ARKANSAS                 ,MISSISSIPPI,"-175,339","-135,414","-122,460","-111,432","-84,324",,,,,
04470,ARKANSAS                 ,MONROE,"-39,079","-15,483","-8,053","-5,977","-4,418",,,,,
04480,ARKANSAS                 ,MONTGOMERY,"-5,908","-11,437","-11,494","-8,878","-13,705",,,,,
04490,ARKANSAS                 ,NEVADA,"-23,900","-12,143","-4,693","-4,338","-2,306",,,,,
04500,ARKANSAS                 ,NEWTON,"-8,618","8,501","5,786","14,689","8,639",,,,,
04510,ARKANSAS                 ,OUACHITA,"-97,697","-28,363","-14,929","-14,852","-14,034",,,,,
04520,ARKANSAS                 ,PERRY,"-43,469","-14,255","-11,140","-10,077","-7,616",,,,,
04530,ARKANSAS                 ,PHILLIPS,"-74,077","-33,043","-19,381","-16,716","-11,994",,,,,
04540,ARKANSAS                 ,PIKE,"-21,550","-14,095","-13,441","-12,941","-13,751",,,,,
04550,ARKANSAS                 ,POINSETT,"-97,651","-96,575","-63,990","-59,015","-48,596",,,,,
04560,ARKANSAS                 ,POLK,"-13,896","-13,731","-11,601","-12,177","-16,289",,,,,
04570,ARKANSAS                 ,POPE,"-200,396","-89,310","-57,999","-18,705","-16,037",,,,,
04580,ARKANSAS                 ,PRAIRIE,"-50,708","-27,567","-19,465","-9,080","-3,918",,,,,
04590,ARKANSAS                 ,PULASKI,"-1,760,629","-771,392","-403,997","-262,118","-196,388",,,,,
04600,ARKANSAS                 ,RANDOLPH,"-36,147","-29,930","-24,691","-22,324","-14,684",,,,,
04610,ARKANSAS                 ,ST. FRANCIS,"-61,075","-54,385","-43,821","-40,515","-29,309",,,,,
04620,ARKANSAS                 ,SALINE,"-287,853","-121,054","-67,520","-41,996","-29,706",,,,,
04630,ARKANSAS                 ,SCOTT,"-3,775","-5,643",-152,"-1,927","12,856",,,,,
04640,ARKANSAS                 ,SEARCY,"-20,538","-5,031","-3,074","3,188","5,561",,,,,
04650,ARKANSAS                 ,SEBASTIAN,"-27,793","-40,042","15,254","-8,287","135,558",,,,,
04660,ARKANSAS                 ,SEVIER,"-16,201","-4,605","-4,671","-1,149","6,460",,,,,
04670,ARKANSAS                 ,SHARP,"-109,440","-54,788","-44,460","-19,753","-13,725",,,,,
04680,ARKANSAS                 ,STONE,"-38,751","-19,815","-12,173","-4,543","-5,697",,,,,
04690,ARKANSAS                 ,UNION,"-210,300","-21,501","-9,713","-37,879","-74,299",,,,,
04700,ARKANSAS                 ,VAN BUREN,"-53,857","-21,801","-15,741","-11,406","-6,114",,,,,
04710,ARKANSAS                 ,WASHINGTON,"124,890","193,562","129,580","292,109","284,007",,,,,
04720,ARKANSAS                 ,WHITE,"-359,164","-207,664","-137,155","-37,918","-38,356",,,,,
04730,ARKANSAS                 ,WOODRUFF,"-80,807","-28,012","-21,678","-6,221","-6,733",,,,,
04740,ARKANSAS                 ,YELL,"-123,335","-37,391","-22,709","-9,671","-10,459",,,,,
05000,CALIFORNIA               ,ALAMEDA,"3,214,965","3,945,982","2,993,926","1,854,363","1,757,029",,,,,
05010,CALIFORNIA               ,ALPINE,0,0,-59,366,-857,,,,,
05020,CALIFORNIA               ,AMADOR,"135,060","147,898","146,086","114,047","119,353",,,,,
05030,CALIFORNIA               ,BUTTE,"1,061,310","714,465","616,852","675,033","921,753",,,,,
