"AGED - HOSPICE - 2011 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE",,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA
01390,ALABAMA                  ,LAWRENCE               ,3717," 1,764,958.00 ", 39.57 ," 1,764,958.00 ", 39.57 ,0,0,0,3625,0,0
01400,ALABAMA                  ,LEE                    ,10579," 6,258,794.00 ", 49.30 ," 6,258,794.00 ", 49.30 ,0,0,0,9921,0,0
01410,ALABAMA                  ,LIMESTONE              ,8024," 2,173,399.00 ", 22.57 ," 2,173,399.00 ", 22.57 ,0,0,0,7559,0,0
01420,ALABAMA                  ,LOWNDES                ,941," 640,871.00 ", 56.75 ," 640,871.00 ", 56.75 ,0,0,0,891,0,0
01430,ALABAMA                  ,MACON                  ,2452," 1,494,391.00 ", 50.79 ," 1,494,391.00 ", 50.79 ,0,0,0,2115,0,0
01440,ALABAMA                  ,MADISON                ,37824," 14,950,805.00 ", 32.94 ," 14,950,805.00 ", 32.94 ,0,0,0,34588,0,0
01450,ALABAMA                  ,MARENGO                ,2555," 1,311,882.00 ", 42.79 ," 1,311,882.00 ", 42.79 ,0,0,0,2513,0,0
01460,ALABAMA                  ,MARION                 ,4438," 1,630,205.00 ", 30.61 ," 1,630,205.00 ", 30.61 ,0,0,0,4313,0,0
01470,ALABAMA                  ,MARSHALL               ,13065," 5,778,559.00 ", 36.86 ," 5,778,559.00 ", 36.86 ,0,0,0,12326,0,0
01480,ALABAMA                  ,MOBILE                 ,32243," 32,856,275.00 ", 84.92 ," 32,856,275.00 ", 84.92 ,0,0,0,29859,0,0
01490,ALABAMA                  ,MONROE                 ,2779," 1,295,362.00 ", 38.84 ," 1,295,362.00 ", 38.84 ,0,0,0,2684,0,0
01500,ALABAMA                  ,MONTGOMERY             ,21297," 10,349,062.00 ", 40.49 ," 10,349,062.00 ", 40.49 ,0,0,0,19561,0,0
01510,ALABAMA                  ,MORGAN                 ,16573," 7,231,588.00 ", 36.36 ," 7,231,588.00 ", 36.36 ,0,0,0,15713,0,0
01520,ALABAMA                  ,PERRY                  ,1348," 744,690.00 ", 46.04 ," 744,690.00 ", 46.04 ,0,0,0,1300,0,0
01530,ALABAMA                  ,PICKENS                ,2912," 1,025,156.00 ", 29.34 ," 1,025,156.00 ", 29.34 ,0,0,0,2831,0,0
01540,ALABAMA                  ,PIKE                   ,3481," 2,136,902.00 ", 51.16 ," 2,136,902.00 ", 51.16 ,0,0,0,3282,0,0
01550,ALABAMA                  ,RANDOLPH               ,3200," 1,248,528.00 ", 32.51 ," 1,248,528.00 ", 32.51 ,0,0,0,3112,0,0
01560,ALABAMA                  ,RUSSELL                ,6454," 4,436,391.00 ", 57.28 ," 4,436,391.00 ", 57.28 ,0,0,0,6141,0,0
