AGED -- REPRICING ADJUSTMENTS TO THE 2010-2014 SKILLED NURSING FACILITY REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX                                             (DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPRESSED FOR PRIVACY),,,,,,,
CODE,STATE,COUNTY,PART A  2010,PART A  2011,PART A  2012,PART A  2013,PART A  2014
02040,ALASKA,BARROW DIVISION,671,-100,"4,006","1,671",440
02050,ALASKA,BETHEL,831,"3,298","1,173",0,299
02060,ALASKA,BRISTOL BAY BOROUGH,23,792,22,"2,223",545
02070,ALASKA,DILLINGHAM,"1,504","3,010",640,-194,195
02080,ALASKA,CORDOVA-MC CARTHY,"1,591",630,0,103,"4,200"
02090,ALASKA,FAIRBANKS NORTH STAR,"9,050",268,"8,903","13,526","1,210"
02100,ALASKA,HAINES,-1,"1,466","1,838",115,453
02110,ALASKA,JUNEAU,"33,815","27,897","10,811","6,987","5,104"
02120,ALASKA,KENAI-COOK INLET DIVISION,"3,625","14,026","8,838","6,160","9,703"
02130,ALASKA,KETCHIKAN GATEWAY,"51,237","19,949","14,829","9,225","1,980"
02140,ALASKA,KOBUK,0,"3,081",0,0,"1,514"
02150,ALASKA,KODIAK ISLAND BOROUGH,223,-334,-300,-516,"2,203"
02160,ALASKA,KUSKOKWIN,"1,475","1,235",468,0,502
02170,ALASKA,MATANUSKA-SUSITNA,"35,148","16,033","13,701","24,352","38,661"
02180,ALASKA,NOME,605,"1,947","1,614",904,-34
02190,ALASKA,OUTER KETCHIKAN DIVISION,102,718,436,"1,704","-2,919"
02200,ALASKA,PRINCE OF WALES,"5,051","4,320",476,-80,157
02210,ALASKA,SEWARD,"1,009","8,299","3,764","1,256",-195
02220,ALASKA,SITKA BOROUGH,"4,761","6,868","6,537","3,793","2,379"
02230,ALASKA,SKAGWAY-YAKUTAT,"5,801","5,236","4,215","3,237",-823
02240,ALASKA,SOUTHEAST FAIRBANKS,40,433,"2,376",475,135
02250,ALASKA,UPPER YUKON,0,-70,733,165,64
02260,ALASKA,VALDEZ-CHITNA-WHITIER DIVISION,"5,651","4,628","3,755","2,841","3,886"
02270,ALASKA,WADE HAMPTON,"4,894","3,523","1,498","1,998",575
02280,ALASKA,WRANGELL-PETERSBURG CENSUS ARE,"1,213",896,"1,881","2,338","1,407"
02290,ALASKA,YUKON-KOYUKUK,"1,574",591,5,877,-607
03000,ARIZONA,APACHE,"-10,102","-28,826","-14,787","-37,741","-56,832"
03010,ARIZONA,COCHISE,"41,338","-38,843","24,365","-64,888","-34,287"
03020,ARIZONA,COCONINO,"-64,680","-108,362","-93,838","-79,612","-117,189"
03030,ARIZONA,GILA,"30,812","-34,085","12,547","-80,257","-68,942"
03040,ARIZONA,GRAHAM,"-2,123","-15,877","5,754","-12,758","-10,024"
03050,ARIZONA,GREENLEE,"-3,588","-2,045",394,"-2,208","-2,112"
03055,ARIZONA,LAPAZ,"-29,618","-22,232","-28,321","-23,870","-17,135"
03060,ARIZONA,MARICOPA,"-2,373,287","-2,736,718","-1,940,122","-1,489,591","-1,206,443"
03070,ARIZONA,MOHAVE,"-818,803","-722,952","-470,692","-497,019","-518,442"
03080,ARIZONA,NAVAJO,"-3,876","-37,947","-11,438","-67,107","-79,895"
03090,ARIZONA,PIMA,"-1,078,799","-1,043,386","-639,256","-284,526","21,767"
03100,ARIZONA,PINAL,"-196,444","-200,534","-150,257","-114,922","-101,072"
03110,ARIZONA,SANTA CRUZ,"-15,434","-23,176","-12,628","-5,540",118
03120,ARIZONA,YAVAPAI,"49,393","-955,469","-928,697","-421,625","293,242"
03130,ARIZONA,YUMA,"452,463","460,513","412,730","344,412","281,507"
04000,ARKANSAS,ARKANSAS,"-9,959","-3,797","-6,383","-13,615","-11,676"
04010,ARKANSAS,ASHLEY,"-26,816","-18,330","-6,426","-25,209","-29,795"
04020,ARKANSAS,BAXTER,"-34,100","-7,450","-10,396","-49,736","-37,090"
04030,ARKANSAS,BENTON,"-221,064","-218,730","-546,297","-546,717","-278,834"
04040,ARKANSAS,BOONE,"-21,834","-5,635","-11,560","-46,710","-45,732"
04050,ARKANSAS,BRADLEY,"-11,292","-3,547","-2,287","-13,964","-13,337"
04060,ARKANSAS,CALHOUN,"-3,119",62,228,"-4,705","-4,532"
04070,ARKANSAS,CARROLL,"-13,963","-5,974","-17,722","-23,670","-20,912"
04080,ARKANSAS,CHICOT,"-11,758","-9,655","-7,243","-13,233","-12,001"
04090,ARKANSAS,CLARK,"-19,582","-13,041","-7,957","-24,230","-17,259"
04100,ARKANSAS,CLAY,"-6,695","2,067",-627,"-10,621","-11,495"
04110,ARKANSAS,CLEBURNE,"-18,697","-5,675","-7,643","-28,070","-24,825"
04120,ARKANSAS,CLEVELAND,"10,915","-10,429",-287,"-8,951","-15,456"
04130,ARKANSAS,COLUMBIA,"-18,829","-1,594","-8,638","-27,539","-22,928"
04140,ARKANSAS,CONWAY,"-14,630","-9,392","-10,760","-25,642","-21,877"
04150,ARKANSAS,CRAIGHEAD,"34,431","33,812","-6,845","-122,786","-69,604"
04160,ARKANSAS,CRAWFORD,"-88,828","-67,251","-88,896","-115,073","-50,393"
04170,ARKANSAS,CRITTENDEN,"-112,121","-97,319","-81,206","-52,897","-51,740"
04180,ARKANSAS,CROSS,"-9,246","-2,067","-5,174","-12,540","-13,135"
04190,ARKANSAS,DALLAS,"-7,265","-2,313","-2,937","-12,307","-10,988"
04200,ARKANSAS,DESHA,"-1,838","-3,363","-3,772","-11,620","-16,933"
04210,ARKANSAS,DREW,"-10,124","-2,578","-4,192","-20,491","-19,723"
04220,ARKANSAS,FAULKNER,"-82,014","-85,323","-90,794","-127,738","-110,641"
04230,ARKANSAS,FRANKLIN,"-37,780","-21,387","-30,921","-53,231","-32,954"
04240,ARKANSAS,FULTON,"-5,697","1,910",-648,"-8,357","-8,384"
04250,ARKANSAS,GARLAND,"-460,918","-581,387","-454,034","-323,809","-97,917"
04260,ARKANSAS,GRANT,"-14,632","-20,804","-14,853","-18,584","-17,826"
04270,ARKANSAS,GREENE,"-11,223","4,554","-2,496","-33,247","-29,923"
04280,ARKANSAS,HEMPSTEAD,"-16,497","-5,995","-11,535","-15,509","-15,211"
04290,ARKANSAS,HOT SPRING,"-31,477","-34,455","-31,158","-43,507","-34,530"
04300,ARKANSAS,HOWARD,"-12,579","-1,597","-4,707","-11,932","-9,159"
04310,ARKANSAS,INDEPENDENCE,"-25,311","-1,957","-6,140","-47,461","-40,682"
04320,ARKANSAS,IZARD,"-9,667","-1,548","-3,911","-14,783","-9,664"
04330,ARKANSAS,JACKSON,"-18,651",256,"-5,965","-26,611","-28,452"
04340,ARKANSAS,JEFFERSON,"79,057","-75,350","-9,881","-56,898","-98,533"
04350,ARKANSAS,JOHNSON,"-11,722","-4,747","-8,256","-12,456","-10,364"
04360,ARKANSAS,LAFAYETTE,"-8,257","-3,268","-3,979","-7,646",-866
04370,ARKANSAS,LAWRENCE,"-6,792","-1,650","-1,313","-13,799","-10,407"
04380,ARKANSAS,LEE,"-2,117","-1,888","-4,274","-7,796","-4,474"
04390,ARKANSAS,LINCOLN,"16,240","-9,509",-167,"-9,254","-19,924"
04400,ARKANSAS,LITTLE RIVER,"10,374","18,635","9,619","7,430","12,152"
04410,ARKANSAS,LOGAN,"-22,578","-6,239","-8,334","-26,206","-26,838"
04420,ARKANSAS,LONOKE,"-43,809","-42,946","-45,976","-62,543","-61,978"
04430,ARKANSAS,MADISON,"-15,483","-19,812","-56,107","-41,991","-17,958"
04440,ARKANSAS,MARION,"-9,470","-2,148","-2,317","-19,762","-15,207"
04450,ARKANSAS,MILLER,"-117,214","-75,262","-91,152","-72,868","13,825"
04460,ARKANSAS,MISSISSIPPI,"-14,120",-372,"-8,675","-36,311","-26,492"
04470,ARKANSAS,MONROE,"-9,486",-936,"-4,410","-8,491","-8,828"
04480,ARKANSAS,MONTGOMERY,"-5,814","-1,090","-4,010","-11,353","-9,336"
04490,ARKANSAS,NEVADA,"-4,616","-1,341","-1,680","-7,897","-8,113"
04500,ARKANSAS,NEWTON,"-3,146","-2,148","-3,036","-5,722","-6,620"
04510,ARKANSAS,OUACHITA,"-24,852","-2,525","-8,400","-31,900","-28,864"
04520,ARKANSAS,PERRY,"-7,719","-10,889","-9,084","-14,868","-7,859"
04530,ARKANSAS,PHILLIPS,"-8,627","-8,361","-5,433","-9,770","-7,655"
04540,ARKANSAS,PIKE,"-10,838","-4,311","-7,128","-15,913","-11,172"
04550,ARKANSAS,POINSETT,"11,534","10,054","-2,577","-40,123","-18,843"
04560,ARKANSAS,POLK,"-18,935","-1,628","-4,955","-19,956","-21,212"
04570,ARKANSAS,POPE,"-29,086","-5,678","-12,477","-44,974","-40,612"
04580,ARKANSAS,PRAIRIE,"-12,641","-2,189","-3,986","-12,202","-8,069"
04590,ARKANSAS,PULASKI,"-360,765","-407,450","-405,161","-507,235","-450,874"
04600,ARKANSAS,RANDOLPH,"-8,849","1,107","-2,219","-19,981","-15,862"
04610,ARKANSAS,ST. FRANCIS,"-14,186","-13,671","-12,299","-12,131","-16,731"
04620,ARKANSAS,SALINE,"-57,210","-65,537","-68,368","-74,967","-66,843"
04630,ARKANSAS,SCOTT,"-8,913","-1,655","-4,331","-10,921","-8,619"
04640,ARKANSAS,SEARCY,"-5,687","-1,887","-3,027","-9,150","-5,972"
04650,ARKANSAS,SEBASTIAN,"-268,119","-167,438","-192,650","-273,605","-133,852"
04660,ARKANSAS,SEVIER,"-9,922","-2,958","-5,158","-12,933","-5,692"
04670,ARKANSAS,SHARP,"-15,081","-1,058","-4,179","-22,391","-20,396"
04680,ARKANSAS,STONE,"-8,110",-576,-348,"-12,315","-9,111"
04690,ARKANSAS,UNION,"-34,008","-6,092","-10,826","-50,255","-51,657"
04700,ARKANSAS,VAN BUREN,"-9,634","-5,809","-2,026","-12,754","-12,193"
04710,ARKANSAS,WASHINGTON,"-205,344","-257,467","-641,436","-580,186","-277,576"
04720,ARKANSAS,WHITE,"-58,730","-10,248","-19,394","-80,985","-75,485"
04730,ARKANSAS,WOODRUFF,"-4,329","-1,343","-2,102","-9,398","-8,378"
04740,ARKANSAS,YELL,"-12,029","-5,922","-3,642","-14,724","-17,727"
05000,CALIFORNIA,ALAMEDA,"5,592,656","6,573,599","6,334,346","4,203,407","2,507,729"
05010,CALIFORNIA,ALPINE,906,839,"2,678","1,532",903
05020,CALIFORNIA,AMADOR,"195,626","195,600","202,357","125,440","89,002"
05030,CALIFORNIA,BUTTE,"655,913","449,557","1,007,474","640,352","53,200"
05040,CALIFORNIA,CALAVERAS,"368,692","356,627","237,685","154,669","67,961"
05050,CALIFORNIA,COLUSA,"138,314","126,706","94,172","69,022","39,246"
05060,CALIFORNIA,CONTRA COSTA,"4,114,228","4,650,650","4,684,896","2,609,823","1,668,614"
05070,CALIFORNIA,DEL NORTE,"84,352","108,695","81,369","90,635","49,740"
05080,CALIFORNIA,EL DORADO,"1,161,890","1,322,833","1,408,874","846,927","501,611"
05090,CALIFORNIA,FRESNO,"-755,916","-1,120,907","-870,533","-1,558,887","-2,011,014"
05100,CALIFORNIA,GLENN,"91,473","73,725","93,924","57,729","18,405"
05110,CALIFORNIA,HUMBOLDT,"750,930","776,478","598,135","407,215","248,719"
05120,CALIFORNIA,IMPERIAL,"-61,681","-303,816","-297,484","-52,244","-214,252"
05130,CALIFORNIA,INYO,"119,404","138,002","115,521","51,352","34,293"
05140,CALIFORNIA,KERN,"1,529,381","977,804","818,023","963,101","966,138"
05150,CALIFORNIA,KINGS,"27,723","-17,145","90,805","-3,217","-29,707"
05160,CALIFORNIA,LAKE,"463,827","468,451","392,870","333,385","193,215"
05170,CALIFORNIA,LASSEN,"147,257","126,546","70,289","20,393","-27,786"
05200,CALIFORNIA,LOS ANGELES,"21,136,161","20,094,210","14,243,202","12,966,785","8,995,419"
05300,CALIFORNIA,MADERA,"-2,631","-86,033","-146,731","-270,967","-278,642"
05310,CALIFORNIA,MARIN,"1,976,278","2,160,076","1,759,192","1,194,670","652,236"
05320,CALIFORNIA,MARIPOSA,"77,660","54,688","41,592","4,760","-10,788"
05330,CALIFORNIA,MENDOCINO,"518,832","448,879","430,692","316,147","185,498"
05340,CALIFORNIA,MERCED,"1,187,465","1,060,327","780,653","491,741","610,460"
05350,CALIFORNIA,MODOC,"19,897","21,049","-9,650","2,439","2,174"
05360,CALIFORNIA,MONO,"13,362","30,875","29,526","27,665","8,144"
05370,CALIFORNIA,MONTEREY,"1,624,780","1,091,478","881,505","427,188","711,958"
05380,CALIFORNIA,NAPA,"795,193","809,490","578,714","28,464","174,827"
05390,CALIFORNIA,NEVADA,"840,565","795,456","713,465","493,378","274,364"
05400,CALIFORNIA,ORANGE,"-1,707,860","-3,082,034","-1,828,846","-2,029,611","-2,379,786"
05410,CALIFORNIA,PLACER,"1,862,060","2,124,056","2,035,900","1,445,037","773,483"
05420,CALIFORNIA,PLUMAS,"92,666","86,764","51,505","35,387","15,360"
05430,CALIFORNIA,RIVERSIDE,"1,892,648","992,091","1,472,792","1,536,547","933,455"
05440,CALIFORNIA,SACRAMENTO,"7,289,038","8,405,364","7,130,803","4,417,102","2,342,193"
05450,CALIFORNIA,SAN BENITO,"242,575","228,745","165,806","99,731","108,230"
05460,CALIFORNIA,SAN BERNARDINO,"1,289,303","792,584","978,804","1,088,098","721,400"
05470,CALIFORNIA,SAN DIEGO,"2,648,426","1,115,098","1,349,203","811,342","-1,922,282"
05480,CALIFORNIA,SAN FRANCISCO,"3,661,997","4,233,687","3,099,115","2,244,890","1,185,126"
05490,CALIFORNIA,SAN JOAQUIN,"2,917,808","2,234,414","772,395","-362,835","-1,370,232"
05500,CALIFORNIA,SAN LUIS OBISPO,"975,614","660,466","436,645","368,027","379,622"
05510,CALIFORNIA,SAN MATEO,"2,027,402","2,042,204","1,664,640","1,143,350","656,662"
05520,CALIFORNIA,SANTA BARBARA,"1,610,027","1,848,475","1,132,861","767,356","641,586"
05530,CALIFORNIA,SANTA CLARA,"6,336,726","5,765,808","3,976,358","2,437,155","2,538,847"
05540,CALIFORNIA,SANTA CRUZ,"1,674,640","1,711,206","1,174,461","553,496","621,968"
05550,CALIFORNIA,SHASTA,"1,117,725","678,239","-440,297","353,620","-60,523"
05560,CALIFORNIA,SIERRA,"14,135","9,528","8,582","2,103",-960
05570,CALIFORNIA,SISKIYOU,"228,931","144,067","116,982","150,003","91,772"
05580,CALIFORNIA,SOLANO,"1,940,001","2,212,384","1,955,718","991,403","477,437"
05590,CALIFORNIA,SONOMA,"2,273,386","1,992,720","1,671,390","1,019,052","678,187"
05600,CALIFORNIA,STANISLAUS,"1,419,130","1,562,929","817,129","294,408","-368,161"
05610,CALIFORNIA,SUTTER,"378,571","392,923","184,535","79,515","136,267"
05620,CALIFORNIA,TEHAMA,"274,603","232,357","158,111","130,479","45,067"
05630,CALIFORNIA,TRINITY,"97,828","63,033","-26,412","48,562","2,559"
05640,CALIFORNIA,TULARE,"-976,404","-1,483,512","-902,278","-871,550","-392,483"
05650,CALIFORNIA,TUOLUMNE,"252,939","271,586","251,960","168,382","86,914"
05660,CALIFORNIA,VENTURA,"1,172,887","897,287","-223,890","-800,710","-725,795"
05670,CALIFORNIA,YOLO,"874,212","840,433","821,264","519,104","260,306"
05680,CALIFORNIA,YUBA,"223,802","283,385","118,172","78,613","83,759"
06000,COLORADO,ADAMS,"-466,520","-455,683","-330,364","-212,819","-162,138"
06010,COLORADO,ALAMOSA,"-13,492","-23,849","-35,012","-37,395","-2,081"
