ADJUSTMENTS TO THE 2012-2014 REIMBURSEMENT COMBINED DATA FOR AGED AND DISABLED PARTS A AND B FOR SHARED SAVING PAYMENTS AND SHARED LOSSES MADE TO ACCOUNTABLE CARE ORGANISATIONS.                                                                                                                          (DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPRESSED FOR PRIVACY),,,,,,,
CODE,STATE,COUNTY,2012,2013,2014,,
03090,ARIZONA,PIMA,"69,054","53,387","160,959",,
03100,ARIZONA,PINAL,"590,985","432,793","863,272",,
03110,ARIZONA,SANTA CRUZ,935,"1,977","6,065",,
03120,ARIZONA,YAVAPAI,"90,005","61,119","221,523",,
03130,ARIZONA,YUMA,"4,986","7,143","11,445",,
04000,ARKANSAS,ARKANSAS,0,348,"12,215",,
04010,ARKANSAS,ASHLEY,0,486,"1,957",,
04020,ARKANSAS,BAXTER,69,"5,631","3,176",,
04030,ARKANSAS,BENTON,390,"7,070","6,167",,
04040,ARKANSAS,BOONE,0,963,"2,030",,
04050,ARKANSAS,BRADLEY,0,0,"3,914",,
04060,ARKANSAS,CALHOUN,0,0,"1,067",,
04070,ARKANSAS,CARROLL,0,13,"2,038",,
04080,ARKANSAS,CHICOT,0,257,"2,353",,
04090,ARKANSAS,CLARK,0,0,"6,149",,
04100,ARKANSAS,CLAY,-157,386,221,,
04110,ARKANSAS,CLEBURNE,0,"1,132","18,699",,
04120,ARKANSAS,CLEVELAND,0,0,"1,601",,
04130,ARKANSAS,COLUMBIA,0,283,"2,414",,
04140,ARKANSAS,CONWAY,0,254,"10,907",,
04150,ARKANSAS,CRAIGHEAD,0,"2,298","1,382",,
04160,ARKANSAS,CRAWFORD,265,307,470,,
04170,ARKANSAS,CRITTENDEN,0,963,356,,
04180,ARKANSAS,CROSS,0,382,712,,
04190,ARKANSAS,DALLAS,0,0,"2,313",,
04200,ARKANSAS,DESHA,0,593,"3,368",,
04210,ARKANSAS,DREW,0,602,"4,250",,
04220,ARKANSAS,FAULKNER,0,"1,039","137,080",,
04230,ARKANSAS,FRANKLIN,0,0,"1,292",,
04240,ARKANSAS,FULTON,0,0,442,,
04250,ARKANSAS,GARLAND,0,"3,804","42,253",,
04260,ARKANSAS,GRANT,0,963,"14,765",,
04270,ARKANSAS,GREENE,0,705,"3,030",,
04280,ARKANSAS,HEMPSTEAD,0,0,"3,355",,
04290,ARKANSAS,HOT SPRING,0,0,"10,839",,
04300,ARKANSAS,HOWARD,0,560,"1,582",,
04310,ARKANSAS,INDEPENDENCE,0,963,"1,824",,
04320,ARKANSAS,IZARD,0,578,"1,973",,
04330,ARKANSAS,JACKSON,0,"1,103","4,374",,
04340,ARKANSAS,JEFFERSON,183,932,"25,121",,
04350,ARKANSAS,JOHNSON,0,714,"3,454",,
04360,ARKANSAS,LAFAYETTE,0,"1,926","1,289",,
04370,ARKANSAS,LAWRENCE,0,0,362,,
04380,ARKANSAS,LEE,0,0,"1,471",,
04390,ARKANSAS,LINCOLN,0,0,"3,111",,
04400,ARKANSAS,LITTLE RIVER,0,573,"1,802",,
04410,ARKANSAS,LOGAN,0,0,"1,272",,
04420,ARKANSAS,LONOKE,0,"2,493","240,370",,
04430,ARKANSAS,MADISON,0,290,923,,
04440,ARKANSAS,MARION,0,0,876,,
04450,ARKANSAS,MILLER,0,486,"2,657",,
