ADJUSTMENTS TO THE 2012-2014 REIMBURSEMENT COMBINED DATA FOR AGED AND DISABLED PARTS A AND B FOR SHARED SAVING PAYMENTS AND SHARED LOSSES MADE TO ACCOUNTABLE CARE ORGANISATIONS.                                                                                                                          (DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPRESSED FOR PRIVACY),,,,,,,
CODE,STATE,COUNTY,2012,2013,2014,,
11410,GEORGIA,EARLY,0,0,224,,
11420,GEORGIA,ECHOLS,0,0,0,,
11421,GEORGIA,EFFINGHAM,0,"1,219","1,449",,
11430,GEORGIA,ELBERT,0,254,301,,
11440,GEORGIA,EMANUEL,0,0,-86,,
11441,GEORGIA,EVANS,0,254,250,,
11450,GEORGIA,FANNIN,0,"9,973","6,059",,
11451,GEORGIA,FAYETTE,0,"39,063","17,156",,
11460,GEORGIA,FLOYD,0,"5,921","3,024",,
11461,GEORGIA,FORSYTH,262,"37,902","18,084",,
11462,GEORGIA,FRANKLIN,696,"1,523","1,365",,
11470,GEORGIA,FULTON,"1,839","284,586","150,499",,
11471,GEORGIA,GILMER,0,"28,412","10,757",,
11480,GEORGIA,GLASCOCK,0,0,150,,
11490,GEORGIA,GLYNN,0,"6,694","5,444",,
11500,GEORGIA,GORDON,0,"10,252","4,333",,
11510,GEORGIA,GRADY,0,708,"1,336",,
11520,GEORGIA,GREENE,0,"3,697","1,591",,
11530,GEORGIA,GWINNETT,"2,878","91,652","52,010",,
11540,GEORGIA,HABERSHAM,0,"2,008","2,556",,
11550,GEORGIA,HALL,642,"13,669","8,936",,
11560,GEORGIA,HANCOCK,0,254,728,,
11570,GEORGIA,HARALSON,0,"28,933","10,173",,
11580,GEORGIA,HARRIS,0,"1,015",201,,
11581,GEORGIA,HART,0,"1,015",836,,
11590,GEORGIA,HEARD,0,761,705,,
11591,GEORGIA,HENRY,"1,804","23,928","13,698",,
11600,GEORGIA,HOUSTON,345,"3,952","3,426",,
11601,GEORGIA,IRWIN,0,0,678,,
11610,GEORGIA,JACKSON,0,"3,642","1,447",,
11611,GEORGIA,JASPER,0,"2,284",761,,
11612,GEORGIA,JEFF DAVIS,0,0,848,,
11620,GEORGIA,JEFFERSON,0,0,0,,
11630,GEORGIA,JENKINS,0,290,203,,
11640,GEORGIA,JOHNSON,0,0,290,,
11650,GEORGIA,JONES,0,"2,227",304,,
11651,GEORGIA,LAMAR,0,"1,269","1,484",,
11652,GEORGIA,LANIER,0,0,158,,
11660,GEORGIA,LAURENS,0,765,319,,
11670,GEORGIA,LEE,0,254,550,,
11680,GEORGIA,LIBERTY,0,134,"2,100",,
11690,GEORGIA,LINCOLN,0,0,0,,
11691,GEORGIA,LONG,0,0,101,,
11700,GEORGIA,LOWNDES,0,"2,843","2,723",,
11701,GEORGIA,LUMPKIN,0,"4,954","2,941",,
11702,GEORGIA,MC DUFFIE,0,642,527,,
11703,GEORGIA,MC INTOSH,0,508,836,,
11710,GEORGIA,MACON,262,0,224,,
11720,GEORGIA,MADISON,0,"1,480",460,,
11730,GEORGIA,MARION,0,0,0,,
11740,GEORGIA,MERIWETHER,0,"1,493",786,,
11741,GEORGIA,MILLER,0,0,0,,
11750,GEORGIA,MITCHELL,0,761,849,,
11760,GEORGIA,MONROE,0,"3,059",863,,
11770,GEORGIA,MONTGOMERY,0,254,0,,
11771,GEORGIA,MORGAN,0,"1,818","1,234",,
11772,GEORGIA,MURRAY,0,"3,045","1,638",,
11780,GEORGIA,MUSCOGEE,0,"3,536","3,531",,
11790,GEORGIA,NEWTON,696,"14,127","5,420",,
11800,GEORGIA,OCONEE,0,692,"1,470",,
11801,GEORGIA,OGLETHORPE,0,0,0,,
11810,GEORGIA,PAULDING,0,"1,258,211","486,826",,
11811,GEORGIA,PEACH,0,"1,015",454,,
11812,GEORGIA,PICKENS,0,"45,845","18,101",,
11820,GEORGIA,PIERCE,0,896,201,,
11821,GEORGIA,PIKE,0,"2,418","2,185",,
11830,GEORGIA,POLK,0,"30,327","10,626",,
11831,GEORGIA,PULASKI,0,388,150,,
11832,GEORGIA,PUTNAM,0,"1,633",504,,
11833,GEORGIA,QUITMAN,0,0,0,,
11834,GEORGIA,RABUN,0,"2,311",943,,
11835,GEORGIA,RANDOLPH,0,0,315,,
11840,GEORGIA,RICHMOND,0,"2,194","4,187",,
11841,GEORGIA,ROCKDALE,69,"13,428","8,915",,
11842,GEORGIA,SCHLEY,0,508,101,,
11850,GEORGIA,SCREVEN,0,0,0,,
11851,GEORGIA,SEMINOLE,0,303,688,,
11860,GEORGIA,SPALDING,0,"12,801","7,381",,
11861,GEORGIA,STEPHENS,0,"1,269",604,,
11862,GEORGIA,STEWART,0,0,0,,
11870,GEORGIA,SUMTER,0,822,"2,386",,
11880,GEORGIA,TALBOT,0,761,201,,
11881,GEORGIA,TALIAFERRO,0,254,0,,
11882,GEORGIA,TATTNALL,0,0,81,,
11883,GEORGIA,TAYLOR,0,0,0,,
11884,GEORGIA,TELFAIR,0,461,0,,
11885,GEORGIA,TERRELL,0,0,290,,
11890,GEORGIA,THOMAS,0,"1,883","3,010",,
11900,GEORGIA,TIFT,0,640,576,,
11901,GEORGIA,TOOMBS,0,228,736,,
11902,GEORGIA,TOWNS,0,"2,538","2,460",,
11903,GEORGIA,TREUTLEN,0,254,181,,
11910,GEORGIA,TROUP,390,"2,746","2,887",,
11911,GEORGIA,TURNER,0,0,0,,
11912,GEORGIA,TWIGGS,0,0,0,,
11913,GEORGIA,UNION,312,"10,109","7,063",,
11920,GEORGIA,UPSON,0,693,863,,
11921,GEORGIA,WALKER,0,"2,091",794,,
11930,GEORGIA,WALTON,0,"10,307","3,749",,
11940,GEORGIA,WARE,0,0,242,,
11941,GEORGIA,WARREN,0,0,0,,
11950,GEORGIA,WASHINGTON,0,0,101,,
11960,GEORGIA,WAYNE,0,"1,104","1,492",,
11961,GEORGIA,WEBSTER,0,0,0,,
11962,GEORGIA,WHEELER,0,228,359,,
11963,GEORGIA,WHITE,0,"4,699","2,042",,
11970,GEORGIA,WHITFIELD,0,"3,601","3,622",,
11971,GEORGIA,WILCOX,0,933,137,,
11972,GEORGIA,WILKES,0,0,293,,
11973,GEORGIA,WILKINSON,0,"1,572",0,,
11980,GEORGIA,WORTH,0,0,499,,
12010,HAWAII,HAWAII,"2,246","5,406","6,178",,
12020,HAWAII,HONOLULU,"1,502","7,148","11,913",,
12030,HAWAII,KALAWAO,*,*,*,,
12040,HAWAII,KAUAI,*,*,*,,
12050,HAWAII,MAUI,544,"1,690","1,022",,
13000,IDAHO,ADA,"2,805","5,154","4,692",,
13010,IDAHO,ADAMS,312,0,159,,
13020,IDAHO,BANNOCK,"1,431",746,821,,
13030,IDAHO,BEAR LAKE,0,0,544,,
13040,IDAHO,BENEWAH,0,228,359,,
13050,IDAHO,BINGHAM,312,927,362,,
13060,IDAHO,BLAINE,623,"1,495","2,118",,
13070,IDAHO,BOISE,0,0,723,,
13080,IDAHO,BONNER,"2,026","1,981","4,129",,
13090,IDAHO,BONNEVILLE,"2,494","3,363","2,544",,
13100,IDAHO,BOUNDARY,0,0,296,,
13110,IDAHO,BUTTE,312,0,0,,
13120,IDAHO,CAMAS,*,*,*,,
13130,IDAHO,CANYON,"1,899","1,300","3,626",,
13140,IDAHO,CARIBOU,0,0,0,,
13150,IDAHO,CASSIA,0,642,0,,
13160,IDAHO,CLARK,*,*,*,,
13170,IDAHO,CLEARWATER,0,187,"1,016",,
13180,IDAHO,CUSTER,0,0,0,,
13190,IDAHO,ELMORE,0,0,808,,
13200,IDAHO,FRANKLIN,0,0,225,,
13210,IDAHO,FREMONT,623,561,826,,
13220,IDAHO,GEM,0,0,264,,
13230,IDAHO,GOODING,0,0,0,,
13240,IDAHO,IDAHO,312,187,"1,085",,
13250,IDAHO,JEFFERSON,312,187,401,,
13260,IDAHO,JEROME,312,0,0,,
13270,IDAHO,KOOTENAI,"2,522","4,591","7,498",,
13280,IDAHO,LATAH,0,187,483,,
13290,IDAHO,LEMHI,0,187,"1,267",,
13300,IDAHO,LEWIS,0,283,202,,
13310,IDAHO,LINCOLN,0,0,0,,
13320,IDAHO,MADISON,312,0,0,,
13330,IDAHO,MINIDOKA,0,0,362,,
13340,IDAHO,NEZ PERCE,312,"1,155","2,399",,
13350,IDAHO,ONEIDA,0,0,193,,
13360,IDAHO,OWYHEE,0,0,0,,
13370,IDAHO,PAYETTE,312,187,0,,
13380,IDAHO,POWER,0,0,362,,
13390,IDAHO,SHOSHONE,623,374,723,,
13400,IDAHO,TETON,0,642,483,,
13410,IDAHO,TWIN FALLS,312,853,925,,
13420,IDAHO,VALLEY,623,329,"1,037",,
13430,IDAHO,WASHINGTON,155,-162,0,,
14000,ILLINOIS,ADAMS,935,"4,688","5,192",,
14010,ILLINOIS,ALEXANDER,0,"2,545","5,077",,
14020,ILLINOIS,BOND,69,"2,381","1,003",,
14030,ILLINOIS,BOONE,0,"2,353","111,203",,
14040,ILLINOIS,BROWN,0,0,101,,
14050,ILLINOIS,BUREAU,623,"4,422","19,994",,
14060,ILLINOIS,CALHOUN,0,0,456,,
14070,ILLINOIS,CARROLL,0,-179,"5,312",,
14080,ILLINOIS,CASS,0,134,224,,
14090,ILLINOIS,CHAMPAIGN,919,"10,146","7,234",,
14100,ILLINOIS,CHRISTIAN,312,"5,381","3,361",,
14110,ILLINOIS,CLARK,"1,380",151,"1,196",,
14120,ILLINOIS,CLAY,0,"3,477","2,978",,
14130,ILLINOIS,CLINTON,0,"1,739",921,,
14140,ILLINOIS,COLES,0,"4,930","2,622",,
14141,ILLINOIS,COOK,"23,951","54,897","2,832,001",,
14150,ILLINOIS,CRAWFORD,839,624,"3,158",,
14160,ILLINOIS,CUMBERLAND,345,461,"1,601",,
14170,ILLINOIS,DE KALB,"1,200","1,022","11,660",,
14180,ILLINOIS,DE WITT,312,187,"21,058",,
14190,ILLINOIS,DOUGLAS,0,595,"1,651",,
14250,ILLINOIS,DU PAGE,"4,942","24,497","50,241",,
14310,ILLINOIS,EDGAR,"1,313",17,137,,
14320,ILLINOIS,EDWARDS,0,228,410,,
14330,ILLINOIS,EFFINGHAM,345,"5,350","3,991",,
14340,ILLINOIS,FAYETTE,0,"1,873","1,732",,
14350,ILLINOIS,FORD,0,"1,478","13,412",,
14360,ILLINOIS,FRANKLIN,188,566,"3,120",,
14370,ILLINOIS,FULTON,0,"2,713","36,933",,
14380,ILLINOIS,GALLATIN,0,348,459,,
14390,ILLINOIS,GREENE,0,581,579,,
14400,ILLINOIS,GRUNDY,312,"2,124","8,024",,
14410,ILLINOIS,HAMILTON,0,833,459,,
14420,ILLINOIS,HANCOCK,0,207,"2,241",,
14421,ILLINOIS,HARDIN,0,"1,458","1,957",,
14440,ILLINOIS,HENDERSON,0,0,"27,768",,
14450,ILLINOIS,HENRY,"1,247","4,350","64,653",,
14460,ILLINOIS,IROQUOIS,"1,658","1,001","3,142",,
14470,ILLINOIS,JACKSON,509,"3,575","3,839",,
14480,ILLINOIS,JASPER,0,0,0,,
14490,ILLINOIS,JEFFERSON,0,"3,833","1,717",,
14500,ILLINOIS,JERSEY,0,187,"2,399",,
14510,ILLINOIS,JO DAVIESS,0,-52,"1,985",,
14520,ILLINOIS,JOHNSON,0,"34,794","53,005",,
14530,ILLINOIS,KANE,"3,068","9,553","22,573",,
14540,ILLINOIS,KANKAKEE,0,"4,260","18,034",,
14550,ILLINOIS,KENDALL,69,864,"3,250",,
14560,ILLINOIS,KNOX,0,580,"399,536",,
14570,ILLINOIS,LAKE,"3,901","50,881","64,918",,
14580,ILLINOIS,LA SALLE,778,"5,979","91,463",,
14590,ILLINOIS,LAWRENCE,"1,002",548,755,,
14600,ILLINOIS,LEE,265,"4,714","11,846",,
14610,ILLINOIS,LIVINGSTON,0,0,"342,205",,
14620,ILLINOIS,LOGAN,312,"1,873","15,353",,
14630,ILLINOIS,MC DONOUGH,0,"2,108","21,392",,
14640,ILLINOIS,MC HENRY,"5,502","9,633","51,079",,
14650,ILLINOIS,MC LEAN,265,"1,954","819,536",,
14660,ILLINOIS,MACON,0,"4,095","6,139",,
14670,ILLINOIS,MACOUPIN,0,"2,007","2,768",,
14680,ILLINOIS,MADISON,623,"6,385","14,018",,
14690,ILLINOIS,MARION,0,871,"3,301",,
14700,ILLINOIS,MARSHALL,0,782,"43,609",,
14710,ILLINOIS,MASON,0,505,"16,189",,
14720,ILLINOIS,MASSAC,0,"51,670","106,234",,
14730,ILLINOIS,MENARD,0,"2,200",644,,
14740,ILLINOIS,MERCER,206,"4,126","18,067",,
14750,ILLINOIS,MONROE,0,0,0,,
14760,ILLINOIS,MONTGOMERY,0,290,478,,
14770,ILLINOIS,MORGAN,0,480,"2,431",,
14780,ILLINOIS,MOULTRIE,312,187,"1,894",,
14790,ILLINOIS,OGLE,0,"4,367","38,807",,
14800,ILLINOIS,PEORIA,"1,583","7,751","879,832",,
14810,ILLINOIS,PERRY,0,0,"1,153",,
14820,ILLINOIS,PIATT,0,"1,926","2,074",,
14830,ILLINOIS,PIKE,0,0,"1,322",,
14831,ILLINOIS,POPE,0,"14,816","22,883",,
14850,ILLINOIS,PULASKI,0,"4,167","8,925",,
14860,ILLINOIS,PUTNAM,0,0,"7,105",,
14870,ILLINOIS,RANDOLPH,623,508,"1,486",,
14880,ILLINOIS,RICHLAND,0,"1,411","2,091",,
14890,ILLINOIS,ROCK ISLAND,"2,447","8,340","19,254",,
14900,ILLINOIS,ST. CLAIR,345,"4,813","10,417",,
14910,ILLINOIS,SALINE,0,"4,375","9,846",,
14920,ILLINOIS,SANGAMON,"1,200","6,666","9,960",,
14921,ILLINOIS,SCHUYLER,0,"3,477","1,207",,
14940,ILLINOIS,SCOTT,0,0,314,,
14950,ILLINOIS,SHELBY,0,"2,798","1,812",,
14960,ILLINOIS,STARK,0,187,"23,631",,
14970,ILLINOIS,STEPHENSON,935,"1,736","13,692",,
14980,ILLINOIS,TAZEWELL,623,"9,882","656,853",,
14981,ILLINOIS,UNION,0,604,"2,120",,
14982,ILLINOIS,VERMILION,690,"2,372","3,518",,
14983,ILLINOIS,WABASH,265,290,0,,
14984,ILLINOIS,WARREN,0,185,"235,153",,
14985,ILLINOIS,WASHINGTON,0,0,0,,
14986,ILLINOIS,WAYNE,0,134,920,,
14987,ILLINOIS,WHITE,0,"1,473","4,149",,
14988,ILLINOIS,WHITESIDE,312,"7,283","7,678",,
14989,ILLINOIS,WILL,"4,583","8,724","284,840",,
14990,ILLINOIS,WILLIAMSON,577,"3,229","3,917",,
14991,ILLINOIS,WINNEBAGO,"2,824","7,971","794,513",,
14992,ILLINOIS,WOODFORD,623,374,"173,029",,
15000,INDIANA,ADAMS,345,"1,216","1,006",,
15010,INDIANA,ALLEN,"1,002","3,126","10,786",,
15020,INDIANA,BARTHOLOMEW,"71,695","-22,281","-28,532",,
15030,INDIANA,BENTON,345,-197,"-4,474",,
15040,INDIANA,BLACKFORD,0,134,706,,
15050,INDIANA,BOONE,"16,905","-1,045",-611,,
15060,INDIANA,BROWN,"6,210","-1,335","29,095",,
15070,INDIANA,CARROLL,690,"1,124",-758,,
15080,INDIANA,CASS,345,17,595,,
15090,INDIANA,CLARK,"1,002","5,654","353,717",,
15100,INDIANA,CLAY,"8,280",504,"1,691",,
15110,INDIANA,CLINTON,"3,450",92,"-4,856",,
15120,INDIANA,CRAWFORD,345,272,"2,167",,
15130,INDIANA,DAVIESS,"2,415","1,392","6,629",,
15140,INDIANA,DEARBORN,312,"1,924","60,011",,
15150,INDIANA,DECATUR,"59,587","-9,358","-10,463",,
15160,INDIANA,DE KALB,345,"1,120","1,765",,
15170,INDIANA,DELAWARE,"3,795","2,161","2,047",,
15180,INDIANA,DUBOIS,690,17,344,,
15190,INDIANA,ELKHART,"1,658","8,351","67,722",,
15200,INDIANA,FAYETTE,"45,886","-6,658","-3,176",,
15210,INDIANA,FLOYD,0,"3,751","101,475",,
15220,INDIANA,FOUNTAIN,"1,380",268,"-9,796",,
15230,INDIANA,FRANKLIN,"11,040","-1,338","22,547",,
15240,INDIANA,FULTON,345,740,"2,032",,
15250,INDIANA,GIBSON,345,403,196,,
15260,INDIANA,GRANT,"1,692","2,101","3,480",,
15270,INDIANA,GREENE,"8,970",-102,"143,189",,
15280,INDIANA,HAMILTON,"63,446","-3,538","3,313",,
15290,INDIANA,HANCOCK,"70,727","-9,603","-6,650",,
15300,INDIANA,HARRISON,0,"2,614","21,493",,
15310,INDIANA,HENDRICKS,"100,709","-14,700","-13,914",,
15320,INDIANA,HENRY,"11,730","-1,374","1,277",,
15330,INDIANA,HOWARD,"2,037","4,060","5,570",,
15340,INDIANA,HUNTINGTON,"1,005",297,"1,070",,
15350,INDIANA,JACKSON,"4,470",-778,"7,243",,
15360,INDIANA,JASPER,312,-674,"-11,789",,
15370,INDIANA,JAY,0,232,"1,088",,
15380,INDIANA,JEFFERSON,"1,725",-100,"16,321",,
15390,INDIANA,JENNINGS,"5,175",738,877,,
15400,INDIANA,JOHNSON,"1,075,704","-167,777","-216,591",,
15410,INDIANA,KNOX,"1,035",-57,"1,518",,
15420,INDIANA,KOSCIUSKO,345,"2,795","10,802",,
15430,INDIANA,LAGRANGE,312,881,"2,329",,
15440,INDIANA,LAKE,"3,270","-274,832","-471,047",,
15450,INDIANA,LA PORTE,0,"2,403","-92,693",,
15460,INDIANA,LAWRENCE,"4,140",321,"108,858",,
15470,INDIANA,MADISON,"17,250","3,194","2,999",,
15480,INDIANA,MARION,"3,397,301","-461,429","-548,189",,
15490,INDIANA,MARSHALL,0,343,"14,303",,
15500,INDIANA,MARTIN,345,0,"4,616",,
15510,INDIANA,MIAMI,"1,035",664,"2,403",,
15520,INDIANA,MONROE,"19,666","-2,662","894,057",,
15530,INDIANA,MONTGOMERY,"5,520","1,992","-130,273",,
15540,INDIANA,MORGAN,"415,702","-85,280","-87,309",,
15550,INDIANA,NEWTON,345,-82,"-7,970",,
15560,INDIANA,NOBLE,623,"1,817","1,982",,
15570,INDIANA,OHIO,0,0,"2,158",,
15580,INDIANA,ORANGE,690,-293,"15,048",,
15590,INDIANA,OWEN,"20,011","-1,050","55,761",,
15600,INDIANA,PARKE,"1,035",49,-800,,
15610,INDIANA,PERRY,0,0,160,,
15620,INDIANA,PIKE,0,134,477,,
15630,INDIANA,PORTER,577,"-1,407","-59,747",,
15640,INDIANA,POSEY,0,"1,189","1,553",,
15650,INDIANA,PULASKI,345,"1,948","-1,023",,
15660,INDIANA,PUTNAM,"17,595","-2,004",-622,,
15670,INDIANA,RANDOLPH,690,"2,142","3,180",,
15680,INDIANA,RIPLEY,"4,140","1,051","6,330",,
15690,INDIANA,RUSH,"223,566","-35,157","-36,306",,
15700,INDIANA,ST. JOSEPH,"2,120","12,686","989,571",,
15710,INDIANA,SCOTT,0,343,"72,181",,
15720,INDIANA,SHELBY,"809,735","-144,962","-156,058",,
15730,INDIANA,SPENCER,0,134,693,,
15740,INDIANA,STARKE,312,615,"3,008",,
15750,INDIANA,STEUBEN,345,"5,573","3,696",,
15760,INDIANA,SULLIVAN,"3,105",401,"2,410",,
15770,INDIANA,SWITZERLAND,"1,035",-176,"2,104",,
15780,INDIANA,TIPPECANOE,"1,645","2,658","-70,453",,
15790,INDIANA,TIPTON,345,687,"1,930",,
15800,INDIANA,UNION,0,403,868,,
15810,INDIANA,VANDERBURGH,0,"2,570","8,040",,
15820,INDIANA,VERMILLION,345,151,51,,
15830,INDIANA,VIGO,"7,739","2,608","6,602",,
15840,INDIANA,WABASH,623,"1,145","3,394",,
15850,INDIANA,WARREN,345,0,"-1,309",,
15860,INDIANA,WARRICK,345,"1,003","2,878",,
15870,INDIANA,WASHINGTON,690,903,"20,411",,
15880,INDIANA,WAYNE,"3,795",-291,"4,628",,
15890,INDIANA,WELLS,0,729,"1,601",,
15900,INDIANA,WHITE,"5,109","4,583","-10,493",,
15910,INDIANA,WHITLEY,0,134,768,,
16000,IOWA,ADAIR,623,"10,060","2,416",,
16010,IOWA,ADAMS,312,"5,910",977,,
16020,IOWA,ALLAMAKEE,312,"1,060","1,715",,
16030,IOWA,APPANOOSE,0,"9,688","2,931",,
16040,IOWA,AUDUBON,0,"2,773",362,,
16050,IOWA,BENTON,623,"1,402","1,819",,
16060,IOWA,BLACK HAWK,262,"14,547","12,688",,
16070,IOWA,BOONE,312,"57,981","2,914",,
16080,IOWA,BREMER,312,"4,225","4,022",,
16090,IOWA,BUCHANAN,0,"4,330","2,133",,
16100,IOWA,BUENA VISTA,623,"256,909","4,104",,
16110,IOWA,BUTLER,0,985,362,,
16120,IOWA,CALHOUN,935,"42,821",450,,
16130,IOWA,CARROLL,0,"14,666",0,,
16140,IOWA,CASS,0,"1,853","2,954",,
16150,IOWA,CEDAR,312,185,977,,
16160,IOWA,CERRO GORDO,312,"10,490","9,503",,
16170,IOWA,CHEROKEE,935,"122,695","2,463",,
16180,IOWA,CHICKASAW,0,"2,401","2,074",,
16190,IOWA,CLARKE,0,"26,361",410,,
16200,IOWA,CLAY,0,"14,060","6,002",,
16210,IOWA,CLAYTON,312,508,660,,
16220,IOWA,CLINTON,"1,559","5,479","3,227",,
16230,IOWA,CRAWFORD,0,"1,850","1,221",,
16240,IOWA,DALLAS,"1,265","459,466","3,250",,
16250,IOWA,DAVIS,0,"16,789",-57,,
16260,IOWA,DECATUR,0,"7,528",224,,
16270,IOWA,DELAWARE,623,953,0,,
16280,IOWA,DES MOINES,935,"1,572","3,373",,
16290,IOWA,DICKINSON,935,"13,239","12,449",,
16300,IOWA,DUBUQUE,889,"3,902","2,940",,
16310,IOWA,EMMET,0,"2,723","1,597",,
16320,IOWA,FAYETTE,623,"6,251","6,524",,
16330,IOWA,FLOYD,623,"1,780","2,677",,
16340,IOWA,FRANKLIN,623,"1,111","1,954",,
16350,IOWA,FREMONT,0,0,0,,
16360,IOWA,GREENE,312,"16,518",279,,
16370,IOWA,GRUNDY,312,"2,139","2,931",,
16380,IOWA,GUTHRIE,0,"55,986","3,995",,
16390,IOWA,HAMILTON,0,"19,091","2,266",,
16400,IOWA,HANCOCK,312,"11,968","6,341",,
16410,IOWA,HARDIN,"1,559","13,431","5,096",,
16420,IOWA,HARRISON,"1,870","1,926",0,,
16430,IOWA,HENRY,312,"1,457","1,475",,
16440,IOWA,HOWARD,0,168,"2,659",,
16450,IOWA,HUMBOLDT,623,"129,213","3,290",,
16460,IOWA,IDA,0,"12,903",628,,
16470,IOWA,IOWA,0,951,"1,573",,
16480,IOWA,JACKSON,0,"2,372","1,425",,
16490,IOWA,JASPER,0,"64,525","5,869",,
16500,IOWA,JEFFERSON,0,"5,770","1,243",,
16510,IOWA,JOHNSON,556,"7,085","4,497",,
16520,IOWA,JONES,0,"2,401","3,197",,
16530,IOWA,KEOKUK,0,"10,088",0,,
16540,IOWA,KOSSUTH,"3,117","9,971","3,472",,
16550,IOWA,LEE,0,"2,402","2,248",,
16560,IOWA,LINN,623,"8,405","7,111",,
16570,IOWA,LOUISA,0,"2,247","1,339",,
16580,IOWA,LUCAS,312,"20,889",0,,
16590,IOWA,LYON,390,"2,618",0,,
16600,IOWA,MADISON,"1,889","147,730",0,,
16610,IOWA,MAHASKA,0,"19,753","3,204",,
16620,IOWA,MARION,623,"62,824","3,293",,
16630,IOWA,MARSHALL,0,"21,835","6,696",,
16640,IOWA,MILLS,0,187,483,,
16650,IOWA,MITCHELL,935,370,487,,
16660,IOWA,MONONA,0,"1,398","2,931",,
16670,IOWA,MONROE,0,"12,064","1,954",,
16680,IOWA,MONTGOMERY,0,"1,924",858,,
16690,IOWA,MUSCATINE,577,"7,523","3,051",,
16700,IOWA,OBRIEN,312,"10,207","3,775",,
16710,IOWA,OSCEOLA,0,"1,924",0,,
16720,IOWA,PAGE,312,"5,029","1,712",,
16730,IOWA,PALO ALTO,312,"6,675","1,833",,
16740,IOWA,PLYMOUTH,623,"85,807","2,427",,
16750,IOWA,POCAHONTAS,"1,247","109,386",362,,
16760,IOWA,POLK,"3,195","2,685,750","22,307",,
16770,IOWA,POTTAWATTAMIE,935,"7,266","2,903",,
16780,IOWA,POWESHIEK,0,"12,722","5,007",,
16790,IOWA,RINGGOLD,"1,247","10,677","1,700",,
16800,IOWA,SAC,"1,247","128,339","1,339",,
16810,IOWA,SCOTT,"1,037","7,021","5,489",,
16820,IOWA,SHELBY,0,"1,924",736,,
16830,IOWA,SIOUX,889,"5,268","2,737",,
16840,IOWA,STORY,312,"56,960","4,924",,
16850,IOWA,TAMA,657,"7,359",721,,
16860,IOWA,TAYLOR,623,"2,645","1,822",,
16870,IOWA,UNION,0,"16,598","2,437",,
16880,IOWA,VAN BUREN,0,"4,144",315,,
16890,IOWA,WAPELLO,312,"288,241","2,799",,
16900,IOWA,WARREN,312,"466,719","6,376",,
16910,IOWA,WASHINGTON,312,"1,428","3,757",,
16920,IOWA,WAYNE,0,"6,982","1,445",,
16930,IOWA,WEBSTER,312,"472,497","2,550",,
16940,IOWA,WINNEBAGO,312,679,"1,017",,
16950,IOWA,WINNESHIEK,0,-213,498,,
16960,IOWA,WOODBURY,"2,182","16,628","6,115",,
16970,IOWA,WORTH,0,278,"2,208",,
16980,IOWA,WRIGHT,312,"54,780","2,040",,
17000,KANSAS,ALLEN,0,0,0,,
17010,KANSAS,ANDERSON,390,417,736,,
17020,KANSAS,ATCHISON,623,"21,757","13,392",,
17030,KANSAS,BARBER,0,0,0,,
17040,KANSAS,BARTON,0,187,0,,
17050,KANSAS,BOURBON,0,0,264,,
17060,KANSAS,BROWN,0,"125,775","46,883",,
17070,KANSAS,BUTLER,312,"4,627",977,,
17080,KANSAS,CHASE,0,0,0,,
17090,KANSAS,CHAUTAUQUA,0,0,0,,
17100,KANSAS,CHEROKEE,58,0,"1,022",,
17110,KANSAS,CHEYENNE,0,0,723,,
17120,KANSAS,CLARK,0,0,0,,
17130,KANSAS,CLAY,0,0,193,,
17140,KANSAS,CLOUD,0,0,206,,
17150,KANSAS,COFFEY,0,"1,739",567,,
17160,KANSAS,COMANCHE,0,0,158,,
17170,KANSAS,COWLEY,0,475,344,,
17180,KANSAS,CRAWFORD,0,"1,287",421,,
17190,KANSAS,DECATUR,577,0,362,,
17200,KANSAS,DICKINSON,0,417,157,,
17210,KANSAS,DONIPHAN,0,"216,546","90,548",,
17220,KANSAS,DOUGLAS,0,"1,018","2,134",,
17230,KANSAS,EDWARDS,0,0,0,,
17240,KANSAS,ELK,0,0,0,,
17250,KANSAS,ELLIS,0,486,383,,
17260,KANSAS,ELLSWORTH,0,0,0,,
17270,KANSAS,FINNEY,312,"1,016",0,,
17280,KANSAS,FORD,0,386,377,,
17290,KANSAS,FRANKLIN,0,"1,739",0,,
17300,KANSAS,GEARY,0,"3,477","3,034",,
17310,KANSAS,GOVE,0,290,0,,
17320,KANSAS,GRAHAM,0,0,0,,
17330,KANSAS,GRANT,0,0,0,,
17340,KANSAS,GRAY,0,0,"1,676",,
17350,KANSAS,GREELEY,312,0,0,,
17360,KANSAS,GREENWOOD,0,0,0,,
17370,KANSAS,HAMILTON,0,0,0,,
17380,KANSAS,HARPER,0,0,0,,
17390,KANSAS,HARVEY,0,814,788,,
17391,KANSAS,HASKELL,312,187,362,,
17410,KANSAS,HODGEMAN,0,0,0,,
17420,KANSAS,JACKSON,0,"3,361","1,505",,
17430,KANSAS,JEFFERSON,0,"3,971","1,428",,
17440,KANSAS,JEWELL,0,0,0,,
17450,KANSAS,JOHNSON,"1,457","22,304","18,623",,
17451,KANSAS,KEARNY,0,0,0,,
17470,KANSAS,KINGMAN,0,"1,739",0,,
17480,KANSAS,KIOWA,0,0,0,,
17490,KANSAS,LABETTE,0,"1,739",225,,
17500,KANSAS,LANE,0,0,736,,
17510,KANSAS,LEAVENWORTH,0,"8,814","4,252",,
