Physician Geographic Practice Cost Indices by Calendar Year,,,,,,,,,,,,,,,,,,,,,,,,,
County Code,State,County Name,Carrier 2016,Locality 2016,GPCI WK 2010,GPCI WK 2011,GPCI WK 2012,GPCI WK 2013,GPCI WK 2014,GPCI WK 2015,GPCI WK 2016,GPCI PE 2010,GPCI PE 2011,GPCI PE 2012,GPCI PE 2013,GPCI PE 2014,GPCI PE 2015,GPCI PE 2016,GPCI MP 2010,GPCI MP 2011,GPCI MP 2012,GPCI MP 2013,GPCI MP 2014,GPCI MP 2015,GPCI MP 2016
01240,ALABAMA,DeKalb,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.927,0.928,0.878,0.878,0.882,0.886,0.886,0.496,0.484,0.474,0.474,0.543,0.611,0.611
01250,ALABAMA,Elmore,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.927,0.928,0.878,0.878,0.882,0.886,0.886,0.496,0.484,0.474,0.474,0.543,0.611,0.611
01260,ALABAMA,Escambia,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.927,0.928,0.878,0.878,0.882,0.886,0.886,0.496,0.484,0.474,0.474,0.543,0.611,0.611
01270,ALABAMA,Etowah,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.927,0.928,0.878,0.878,0.882,0.886,0.886,0.496,0.484,0.474,0.474,0.543,0.611,0.611
01280,ALABAMA,Fayette,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.927,0.928,0.878,0.878,0.882,0.886,0.886,0.496,0.484,0.474,0.474,0.543,0.611,0.611
01290,ALABAMA,Franklin,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.927,0.928,0.878,0.878,0.882,0.886,0.886,0.496,0.484,0.474,0.474,0.543,0.611,0.611
01300,ALABAMA,Geneva,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.927,0.928,0.878,0.878,0.882,0.886,0.886,0.496,0.484,0.474,0.474,0.543,0.611,0.611
01310,ALABAMA,Greene,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.927,0.928,0.878,0.878,0.882,0.886,0.886,0.496,0.484,0.474,0.474,0.543,0.611,0.611
01320,ALABAMA,Hale,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.927,0.928,0.878,0.878,0.882,0.886,0.886,0.496,0.484,0.474,0.474,0.543,0.611,0.611
01330,ALABAMA,Henry,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.927,0.928,0.878,0.878,0.882,0.886,0.886,0.496,0.484,0.474,0.474,0.543,0.611,0.611
01340,ALABAMA,Houston,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.927,0.928,0.878,0.878,0.882,0.886,0.886,0.496,0.484,0.474,0.474,0.543,0.611,0.611
01350,ALABAMA,Jackson,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.927,0.928,0.878,0.878,0.882,0.886,0.886,0.496,0.484,0.474,0.474,0.543,0.611,0.611
01360,ALABAMA,Jefferson,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.927,0.928,0.878,0.878,0.882,0.886,0.886,0.496,0.484,0.474,0.474,0.543,0.611,0.611
01370,ALABAMA,Lamar,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.927,0.928,0.878,0.878,0.882,0.886,0.886,0.496,0.484,0.474,0.474,0.543,0.611,0.611
01380,ALABAMA,Lauderdale,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.927,0.928,0.878,0.878,0.882,0.886,0.886,0.496,0.484,0.474,0.474,0.543,0.611,0.611
01390,ALABAMA,Lawrence,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.927,0.928,0.878,0.878,0.882,0.886,0.886,0.496,0.484,0.474,0.474,0.543,0.611,0.611
01400,ALABAMA,Lee,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.927,0.928,0.878,0.878,0.882,0.886,0.886,0.496,0.484,0.474,0.474,0.543,0.611,0.611
01410,ALABAMA,Limestone,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.927,0.928,0.878,0.878,0.882,0.886,0.886,0.496,0.484,0.474,0.474,0.543,0.611,0.611
