AGED -- REPRICING ADJUSTMENTS TO THE 2010-2014 REIMSURSEMENT DATA FOR FEE-FOR-SERVICE DURABLE MEDICAL EQUIPMENT - NON-CBA          (DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPPRESSED FOR PRIVACY),,,,,,,
CODE,STATE,COUNTY,PART B  2010,PART B  2011,PART B  2012,PART B  2013,PART B  2014
02040,ALASKA,BARROW DIVISION,"-2,775","-2,495","-2,678","-1,854","-2,011"
02050,ALASKA,BETHEL,"-4,052","-3,932","-2,364","-2,739","-1,816"
02060,ALASKA,BRISTOL BAY BOROUGH,"-5,245","-5,059","-6,124","-6,274","-5,178"
02070,ALASKA,DILLINGHAM,"-2,786","-4,420","-5,465","-4,820","-2,915"
02080,ALASKA,CORDOVA-MC CARTHY,"-1,760",-635,"-1,687","-1,875","-2,788"
02090,ALASKA,FAIRBANKS NORTH STAR,"-53,073","-49,602","-59,378","-49,575","-59,780"
02100,ALASKA,HAINES,"-2,230","-2,979","-3,655","-2,922","-1,979"
02110,ALASKA,JUNEAU,"-24,145","-24,204","-25,935","-30,953","-28,177"
02120,ALASKA,KENAI-COOK INLET DIVISION,"-62,338","-62,954","-78,403","-91,822","-90,313"
02130,ALASKA,KETCHIKAN GATEWAY,"-10,822","-16,214","-13,232","-9,620","-11,387"
02140,ALASKA,KOBUK,"-1,372","-1,618","-3,022","-1,793","-1,007"
02150,ALASKA,KODIAK ISLAND BOROUGH,"-4,304","-4,944","-6,213","-7,792","-4,357"
02160,ALASKA,KUSKOKWIN,"-2,215","-2,659","-1,556","-1,282",-436
02170,ALASKA,MATANUSKA-SUSITNA,"-80,979","-82,255","-102,754","-104,067","-95,639"
02180,ALASKA,NOME,"-5,284","-4,074","-3,116","-1,792","-2,150"
02190,ALASKA,OUTER KETCHIKAN DIVISION,"-1,145",-756,-409,-876,"-1,619"
02200,ALASKA,PRINCE OF WALES,"-2,094","-2,553","-4,538","-1,994","-1,528"
02210,ALASKA,SEWARD,"-3,263","-4,326","-4,074","-4,292","-5,626"
02220,ALASKA,SITKA BOROUGH,"-6,975","-5,797","-8,147","-5,286","-8,096"
02230,ALASKA,SKAGWAY-YAKUTAT,"-2,101","-2,996","-1,860","-1,981","-3,008"
02240,ALASKA,SOUTHEAST FAIRBANKS,"-4,321","-3,236","-3,988","-4,377","-6,724"
02250,ALASKA,UPPER YUKON,-830,"-1,397","-1,631",-962,"-2,163"
02260,ALASKA,VALDEZ-CHITNA-WHITIER DIVISION,"-4,723","-6,169","-4,645","-5,952","-7,824"
02270,ALASKA,WADE HAMPTON,"-3,816","-2,070","-1,880","-2,014","-2,051"
02280,ALASKA,WRANGELL-PETERSBURG CENSUS ARE,"-3,560","-4,767","-7,310","-4,981","-5,546"
02290,ALASKA,YUKON-KOYUKUK,"-2,839","-2,190","-2,571","-3,836","-3,473"
03000,ARIZONA,APACHE,"-116,194","-121,127","-133,145","-127,877","-132,865"
03010,ARIZONA,COCHISE,"-358,045","-363,512","-389,811","-346,037","-370,081"
03020,ARIZONA,COCONINO,"-338,285","-328,217","-342,334","-354,850","-391,377"
03030,ARIZONA,GILA,"-245,278","-261,957","-266,772","-262,876","-261,915"
03040,ARIZONA,GRAHAM,"-52,564","-51,526","-52,082","-52,352","-54,658"
03050,ARIZONA,GREENLEE,"-15,097","-16,408","-15,421","-14,276","-12,545"
03055,ARIZONA,LAPAZ,"-55,972","-55,197","-57,230","-54,636","-54,723"
03060,ARIZONA,MARICOPA,"-37,380","-35,758","-32,032","-37,433","-31,058"
03070,ARIZONA,MOHAVE,"-662,151","-638,603","-706,018","-716,486","-760,913"
03080,ARIZONA,NAVAJO,"-279,386","-297,169","-323,777","-340,101","-330,374"
03090,ARIZONA,PIMA,"-13,027","-10,636","-13,898","-10,647","-7,517"
03100,ARIZONA,PINAL,"-22,419","-22,767","-22,927","-22,980","-23,061"
03110,ARIZONA,SANTA CRUZ,"-29,253","-30,594","-30,295","-29,963","-33,687"
03120,ARIZONA,YAVAPAI,"-949,103","-971,068","-1,027,853","-1,156,198","-1,241,543"
03130,ARIZONA,YUMA,"-280,092","-290,327","-319,261","-292,543","-274,328"
04000,ARKANSAS,ARKANSAS,"-62,773","-62,873","-61,874","-60,157","-63,997"
04010,ARKANSAS,ASHLEY,"-68,069","-71,054","-71,427","-71,092","-75,380"
04020,ARKANSAS,BAXTER,"-172,040","-170,926","-184,091","-182,267","-179,869"
04030,ARKANSAS,BENTON,"-437,656","-424,615","-444,500","-482,060","-519,326"
04040,ARKANSAS,BOONE,"-118,992","-118,489","-128,155","-124,417","-133,147"
04050,ARKANSAS,BRADLEY,"-50,231","-41,838","-47,941","-46,304","-43,607"
04060,ARKANSAS,CALHOUN,"-18,367","-18,294","-20,861","-18,995","-17,767"
04070,ARKANSAS,CARROLL,"-47,730","-44,097","-55,659","-63,295","-74,457"
04080,ARKANSAS,CHICOT,"-46,862","-44,691","-43,151","-41,594","-40,287"
04090,ARKANSAS,CLARK,"-66,104","-67,585","-74,210","-73,258","-73,935"
04100,ARKANSAS,CLAY,"-58,420","-59,956","-63,074","-64,025","-63,184"
04110,ARKANSAS,CLEBURNE,"-118,223","-117,151","-123,697","-121,865","-130,464"
04120,ARKANSAS,CLEVELAND,"-30,806","-30,121","-27,794","-26,342","-33,457"
04130,ARKANSAS,COLUMBIA,"-90,700","-85,661","-90,318","-91,055","-96,340"
04140,ARKANSAS,CONWAY,"-73,530","-78,879","-76,699","-73,755","-79,221"
04150,ARKANSAS,CRAIGHEAD,"-227,846","-230,248","-258,926","-270,227","-274,183"
04160,ARKANSAS,CRAWFORD,"-140,187","-144,135","-149,584","-142,276","-150,880"
04170,ARKANSAS,CRITTENDEN,-404,-549,-447,-504,-833
04180,ARKANSAS,CROSS,"-51,372","-53,513","-60,955","-56,706","-54,859"
04190,ARKANSAS,DALLAS,"-27,568","-27,705","-32,181","-28,730","-28,877"
04200,ARKANSAS,DESHA,"-38,198","-38,426","-44,831","-40,951","-42,768"
04210,ARKANSAS,DREW,"-70,862","-72,463","-72,911","-75,187","-72,126"
04220,ARKANSAS,FAULKNER,"-6,392","-5,922","-6,391","-7,750","-7,057"
04230,ARKANSAS,FRANKLIN,"-38,708","-38,283","-43,226","-41,523","-44,750"
04240,ARKANSAS,FULTON,"-47,410","-47,910","-47,090","-47,955","-47,611"
04250,ARKANSAS,GARLAND,"-494,495","-496,738","-542,523","-553,098","-558,863"
04260,ARKANSAS,GRANT,-858,-557,-185,-317,-627
04270,ARKANSAS,GREENE,"-100,874","-98,933","-111,424","-97,845","-92,842"
04280,ARKANSAS,HEMPSTEAD,"-70,749","-60,302","-60,963","-62,853","-62,932"
