AGED -- REPRICING ADJUSTMENTS TO THE 2010-2014 REIMSURSEMENT DATA FOR FEE-FOR-SERVICE DURABLE MEDICAL EQUIPMENT (DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPPRESSED FOR PRIVACY),,,,,,,
CODE,STATE,COUNTY,PART B  2010,PART B  2011,PART B  2012,PART B  2013,PART B  2014
02100,ALASKA,HAINES,"-3,529","-4,154","-3,067",-515,0
02110,ALASKA,JUNEAU,"-16,831","-19,087","-13,654","-5,756",0
02120,ALASKA,KENAI-COOK INLET DIVISION,"-52,728","-55,357","-52,345","-22,807",0
02130,ALASKA,KETCHIKAN GATEWAY,"-13,151","-10,720","-8,482","-3,208",0
02140,ALASKA,KOBUK,-184,-97,-44,0,0
02150,ALASKA,KODIAK ISLAND BOROUGH,"-2,680","-3,425","-1,413",-844,0
02160,ALASKA,KUSKOKWIN,-297,-357,-222,-190,0
02170,ALASKA,MATANUSKA-SUSITNA,"-51,107","-52,337","-57,079","-23,771",0
02180,ALASKA,NOME,-703,-849,-383,-274,0
02190,ALASKA,OUTER KETCHIKAN DIVISION,"-1,619","-1,036",-732,-265,0
02200,ALASKA,PRINCE OF WALES,"-2,731","-2,906","-1,259",-260,0
02210,ALASKA,SEWARD,"-3,266","-3,417","-2,005",-582,0
02220,ALASKA,SITKA BOROUGH,"-4,934","-3,345","-4,051","-1,378",0
02230,ALASKA,SKAGWAY-YAKUTAT,"-1,691","-1,119",-855,-749,0
02240,ALASKA,SOUTHEAST FAIRBANKS,"-5,774","-5,204","-5,113","-2,071",0
02250,ALASKA,UPPER YUKON,-655,"-1,052",-223,-280,0
02260,ALASKA,VALDEZ-CHITNA-WHITIER DIVISION,"-6,109","-5,345","-6,226","-3,185",0
02270,ALASKA,WADE HAMPTON,-316,"-1,175",-895,-483,0
02280,ALASKA,WRANGELL-PETERSBURG CENSUS ARE,"-5,549","-7,573","-4,283","-1,724",0
02290,ALASKA,YUKON-KOYUKUK,-606,"-1,009",-909,-585,0
03000,ARIZONA,APACHE,"-27,858","-28,041","-29,560","-11,463",0
03010,ARIZONA,COCHISE,"-177,065","-173,936","-162,167","-57,816",0
03020,ARIZONA,COCONINO,"-97,644","-103,217","-99,330","-42,802",0
03030,ARIZONA,GILA,"-114,997","-121,527","-116,710","-48,222",0
03040,ARIZONA,GRAHAM,"-40,778","-40,555","-31,545","-14,350",0
03050,ARIZONA,GREENLEE,"-14,014","-15,078","-12,050","-3,960",0
03055,ARIZONA,LAPAZ,"-45,717","-45,678","-40,982","-15,048",0
03060,ARIZONA,MARICOPA,"-10,269,292","-11,021,244","-11,632,203","-5,483,500",0
03070,ARIZONA,MOHAVE,"-467,515","-451,768","-402,947","-154,696",0
03080,ARIZONA,NAVAJO,"-109,494","-110,253","-102,609","-37,929",0
03090,ARIZONA,PIMA,"-3,196,507","-3,404,609","-3,569,670","-1,593,059",0
03100,ARIZONA,PINAL,"-1,020,174","-1,103,829","-1,211,608","-585,890",0
03110,ARIZONA,SANTA CRUZ,"-32,002","-33,117","-30,659","-12,874",0
03120,ARIZONA,YAVAPAI,"-317,385","-338,824","-318,858","-131,612",0
03130,ARIZONA,YUMA,"-337,131","-324,060","-297,623","-119,395",0
04000,ARKANSAS,ARKANSAS,"-52,655","-55,489","-44,906","-17,273",0
04010,ARKANSAS,ASHLEY,"-105,957","-99,706","-80,292","-36,599",0
04020,ARKANSAS,BAXTER,"-126,094","-126,064","-108,866","-40,526",0
04030,ARKANSAS,BENTON,"-238,602","-246,050","-238,153","-100,597",0
04040,ARKANSAS,BOONE,"-113,728","-113,487","-102,886","-41,894",0
04050,ARKANSAS,BRADLEY,"-62,511","-59,273","-47,993","-23,455",0
04060,ARKANSAS,CALHOUN,"-17,156","-15,899","-12,057","-5,640",0
04070,ARKANSAS,CARROLL,"-37,002","-35,923","-35,425","-15,106",0
04080,ARKANSAS,CHICOT,"-61,411","-59,214","-48,506","-19,173",0
04090,ARKANSAS,CLARK,"-35,687","-36,944","-33,742","-15,565",0
04100,ARKANSAS,CLAY,"-46,823","-43,957","-44,236","-18,931",0
04110,ARKANSAS,CLEBURNE,"-94,351","-91,385","-83,928","-33,717",0
04120,ARKANSAS,CLEVELAND,"-30,998","-32,301","-31,382","-13,776",0
04130,ARKANSAS,COLUMBIA,"-53,119","-51,510","-47,468","-18,467",0
04140,ARKANSAS,CONWAY,"-62,921","-61,550","-51,203","-20,519",0
04150,ARKANSAS,CRAIGHEAD,"-178,435","-187,982","-166,375","-66,135",0
04160,ARKANSAS,CRAWFORD,"-103,049","-105,487","-95,991","-39,670",0
04170,ARKANSAS,CRITTENDEN,"-387,555","-398,297","-359,735","-163,853",0
04180,ARKANSAS,CROSS,"-30,564","-31,383","-25,541","-10,955",0
04190,ARKANSAS,DALLAS,"-43,660","-42,537","-34,227","-14,623",0
04200,ARKANSAS,DESHA,"-51,998","-54,552","-47,421","-19,800",0
04210,ARKANSAS,DREW,"-81,021","-75,016","-52,662","-22,031",0
04220,ARKANSAS,FAULKNER,"-599,141","-639,183","-668,808","-332,847",0
04230,ARKANSAS,FRANKLIN,"-25,703","-29,080","-28,877","-11,737",0
04240,ARKANSAS,FULTON,"-33,437","-31,641","-24,153","-11,815",0
04250,ARKANSAS,GARLAND,"-348,979","-342,045","-311,568","-121,678",0
04260,ARKANSAS,GRANT,"-194,594","-200,238","-195,089","-84,223",0
04270,ARKANSAS,GREENE,"-102,072","-96,282","-84,884","-34,867",0
04280,ARKANSAS,HEMPSTEAD,"-61,171","-52,901","-49,085","-23,455",0
04290,ARKANSAS,HOT SPRING,"-87,975","-84,043","-74,880","-31,691",0
04300,ARKANSAS,HOWARD,"-57,461","-56,628","-49,521","-22,234",0
04310,ARKANSAS,INDEPENDENCE,"-85,820","-90,381","-80,881","-34,336",0
04320,ARKANSAS,IZARD,"-25,396","-23,535","-20,816","-8,556",0
04330,ARKANSAS,JACKSON,"-94,751","-89,676","-79,791","-33,500",0
04340,ARKANSAS,JEFFERSON,"-211,805","-209,416","-180,729","-77,010",0
04350,ARKANSAS,JOHNSON,"-58,587","-63,651","-59,278","-22,091",0
04360,ARKANSAS,LAFAYETTE,"-33,005","-39,024","-29,991","-9,912",0
04370,ARKANSAS,LAWRENCE,"-59,917","-62,207","-57,530","-21,597",0
04380,ARKANSAS,LEE,"-46,088","-44,507","-31,143","-13,425",0
04390,ARKANSAS,LINCOLN,"-38,426","-34,050","-29,479","-12,701",0
04400,ARKANSAS,LITTLE RIVER,"-65,721","-63,792","-57,705","-25,135",0
04410,ARKANSAS,LOGAN,"-45,651","-46,026","-43,441","-17,982",0
04420,ARKANSAS,LONOKE,"-470,284","-483,310","-545,795","-255,283",0
04430,ARKANSAS,MADISON,"-29,170","-32,324","-27,571","-12,332",0
04440,ARKANSAS,MARION,"-42,630","-41,834","-40,597","-16,237",0
04450,ARKANSAS,MILLER,"-159,813","-132,967","-121,754","-53,383",0
04460,ARKANSAS,MISSISSIPPI,"-136,631","-132,875","-106,505","-42,393",0
04470,ARKANSAS,MONROE,"-46,394","-39,510","-33,914","-13,269",0
04480,ARKANSAS,MONTGOMERY,"-32,742","-30,903","-23,250","-8,964",0
04490,ARKANSAS,NEVADA,"-19,452","-19,446","-17,386","-6,155",0
04500,ARKANSAS,NEWTON,"-22,770","-23,645","-19,886","-9,491",0
04510,ARKANSAS,OUACHITA,"-72,754","-68,499","-56,813","-23,819",0
04520,ARKANSAS,PERRY,"-95,952","-101,383","-108,013","-51,140",0
04530,ARKANSAS,PHILLIPS,"-92,462","-77,517","-59,033","-23,527",0
04540,ARKANSAS,PIKE,"-37,049","-37,556","-34,513","-15,675",0
04550,ARKANSAS,POINSETT,"-89,135","-81,661","-74,117","-35,124",0
04560,ARKANSAS,POLK,"-62,689","-65,275","-61,752","-22,757",0
04570,ARKANSAS,POPE,"-121,228","-119,739","-105,436","-43,288",0
04580,ARKANSAS,PRAIRIE,"-31,992","-28,351","-28,676","-14,893",0
04590,ARKANSAS,PULASKI,"-2,745,856","-2,877,775","-2,883,867","-1,376,167",0
