DISABLED -- REPRICING ADJUSTMENTS TO THE 2010-2014 REIMSURSEMENT DATA FOR FEE-FOR-SERVICE DURABLE MEDICAL EQUIPMENT (DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPPRESSED FOR PRIVACY),,,,,,,
CODE,STATE,COUNTY,PART B  2010,PART B  2011,PART B  2012,PART B  2013,PART B  2014
02110,ALASKA,JUNEAU,"-4,356","-4,427","-2,829",-825,0
02120,ALASKA,KENAI-COOK INLET DIVISION,"-18,733","-18,550","-12,929","-4,759",0
02130,ALASKA,KETCHIKAN GATEWAY,"-1,698","-2,136","-2,166",-959,0
02140,ALASKA,KOBUK,-324,-258,0,0,0
02150,ALASKA,KODIAK ISLAND BOROUGH,"-1,159","-1,723","-1,829",-797,0
02160,ALASKA,KUSKOKWIN,0,-391,0,0,0
02170,ALASKA,MATANUSKA-SUSITNA,"-19,777","-20,016","-16,505","-7,868",0
02180,ALASKA,NOME,-541,-853,-768,-255,0
02190,ALASKA,OUTER KETCHIKAN DIVISION,0,-97,-56,0,0
02200,ALASKA,PRINCE OF WALES,-125,-207,-381,-115,0
02210,ALASKA,SEWARD,-98,-410,-254,-299,0
02220,ALASKA,SITKA BOROUGH,"-2,781","-2,280","-1,017",-135,0
02230,ALASKA,SKAGWAY-YAKUTAT,-716,-823,"-1,238",-206,0
02240,ALASKA,SOUTHEAST FAIRBANKS,-301,-217,0,0,0
02250,ALASKA,UPPER YUKON,-559,-463,0,0,0
02260,ALASKA,VALDEZ-CHITNA-WHITIER DIVISION,"-1,244","-2,061","-1,462",-618,0
02270,ALASKA,WADE HAMPTON,0,0,0,0,0
02280,ALASKA,WRANGELL-PETERSBURG CENSUS ARE,"-1,020",-735,-941,-459,0
02290,ALASKA,YUKON-KOYUKUK,-994,-476,-252,-275,0
03000,ARIZONA,APACHE,"-6,544","-8,971","-6,210","-2,489",0
03010,ARIZONA,COCHISE,"-35,271","-34,669","-31,934","-11,793",0
03020,ARIZONA,COCONINO,"-19,612","-17,526","-10,893","-4,290",0
03030,ARIZONA,GILA,"-28,008","-26,341","-23,434","-9,457",0
03040,ARIZONA,GRAHAM,"-10,342","-12,262","-10,243","-2,411",0
03050,ARIZONA,GREENLEE,"-1,702","-2,137","-1,833",-300,0
03055,ARIZONA,LAPAZ,"-4,806","-5,038","-3,911",-747,0
03060,ARIZONA,MARICOPA,"-1,545,058","-1,709,544","-1,684,605","-713,762",0
03070,ARIZONA,MOHAVE,"-85,097","-79,255","-60,926","-23,648",0
03080,ARIZONA,NAVAJO,"-13,826","-14,350","-13,893","-5,307",0
03090,ARIZONA,PIMA,"-505,508","-476,323","-483,106","-201,743",0
03100,ARIZONA,PINAL,"-284,831","-307,373","-309,561","-115,959",0
03110,ARIZONA,SANTA CRUZ,"-3,602","-3,135","-1,972",-616,0
03120,ARIZONA,YAVAPAI,"-58,632","-64,423","-56,373","-21,672",0
03130,ARIZONA,YUMA,"-38,124","-39,271","-34,180","-13,699",0
04000,ARKANSAS,ARKANSAS,"-23,089","-23,323","-19,995","-6,819",0
04010,ARKANSAS,ASHLEY,"-38,931","-37,289","-26,685","-13,234",0
04020,ARKANSAS,BAXTER,"-41,087","-39,572","-36,398","-16,240",0
04030,ARKANSAS,BENTON,"-54,454","-50,833","-57,268","-24,491",0
04040,ARKANSAS,BOONE,"-42,425","-40,110","-34,431","-12,496",0
04050,ARKANSAS,BRADLEY,"-26,250","-27,520","-22,063","-10,771",0
04060,ARKANSAS,CALHOUN,"-7,905","-9,586","-7,936","-3,162",0
04070,ARKANSAS,CARROLL,"-12,885","-14,848","-7,426","-3,620",0
04080,ARKANSAS,CHICOT,"-25,535","-26,077","-18,701","-7,861",0
04090,ARKANSAS,CLARK,"-16,618","-15,226","-14,799","-5,800",0
04100,ARKANSAS,CLAY,"-19,326","-18,451","-16,451","-6,971",0
04110,ARKANSAS,CLEBURNE,"-29,399","-26,005","-26,511","-11,912",0
04120,ARKANSAS,CLEVELAND,"-10,681","-11,726","-10,891","-4,625",0
04130,ARKANSAS,COLUMBIA,"-28,752","-27,121","-26,074","-11,785",0
04140,ARKANSAS,CONWAY,"-22,939","-20,863","-20,633","-7,476",0
04150,ARKANSAS,CRAIGHEAD,"-116,235","-116,027","-105,147","-41,807",0
04160,ARKANSAS,CRAWFORD,"-44,614","-40,325","-37,050","-13,899",0
04170,ARKANSAS,CRITTENDEN,"-134,780","-128,905","-114,259","-58,507",0
04180,ARKANSAS,CROSS,"-15,975","-15,240","-15,328","-7,846",0
04190,ARKANSAS,DALLAS,"-17,756","-18,496","-11,537","-3,835",0
04200,ARKANSAS,DESHA,"-30,321","-27,169","-20,096","-10,309",0
04210,ARKANSAS,DREW,"-43,712","-42,402","-26,749","-12,235",0
04220,ARKANSAS,FAULKNER,"-204,817","-215,835","-230,980","-113,781",0
04230,ARKANSAS,FRANKLIN,"-11,251","-8,475","-7,477","-3,249",0
04240,ARKANSAS,FULTON,"-9,960","-10,218","-9,729","-4,127",0
04250,ARKANSAS,GARLAND,"-90,503","-99,223","-83,040","-33,201",0
04260,ARKANSAS,GRANT,"-55,276","-59,990","-62,979","-26,876",0
04270,ARKANSAS,GREENE,"-61,128","-57,069","-43,055","-18,807",0
04280,ARKANSAS,HEMPSTEAD,"-21,400","-21,235","-16,331","-6,353",0
04290,ARKANSAS,HOT SPRING,"-33,110","-34,891","-27,183","-10,515",0
04300,ARKANSAS,HOWARD,"-25,723","-17,097","-17,099","-7,889",0
04310,ARKANSAS,INDEPENDENCE,"-39,590","-36,585","-31,351","-14,151",0
04320,ARKANSAS,IZARD,"-9,899","-10,572","-9,128","-4,503",0
04330,ARKANSAS,JACKSON,"-34,603","-24,055","-18,554","-8,717",0
04340,ARKANSAS,JEFFERSON,"-94,535","-95,752","-81,541","-33,440",0
04350,ARKANSAS,JOHNSON,"-29,144","-27,339","-26,313","-12,333",0
04360,ARKANSAS,LAFAYETTE,"-8,111","-11,165","-11,835","-4,719",0
04370,ARKANSAS,LAWRENCE,"-26,962","-28,068","-24,377","-8,978",0
04380,ARKANSAS,LEE,"-17,746","-15,842","-12,614","-6,173",0
04390,ARKANSAS,LINCOLN,"-15,497","-15,583","-16,378","-5,903",0
04400,ARKANSAS,LITTLE RIVER,"-19,367","-16,634","-18,348","-8,138",0
04410,ARKANSAS,LOGAN,"-25,879","-22,225","-21,172","-8,975",0
04420,ARKANSAS,LONOKE,"-153,404","-165,503","-163,642","-81,822",0
