"AGED - PUERTO RICO - 2014 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR PART A AND PART B BY STATE AND COUNTY OF RESIDENCE. (BENEFICIARIES ENROLLED IN PARTS A AND/OR B . REIMBURSEMENTS EXCLUDED FOR HOSPICE AND COST CONTRACTS. DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPPRESSED FOR PRIVACY)",,,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A TOTAL REIMBURSEMENT W/O IME/DSH/GME,PART A TOTAL PER CAPITA W/O IME/DSH/GME,PART A  IME,PART A  DSH,PART A  GME,PART B  ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B TOTAL PER CAPITA,AGED AND DISABLED MEAN RISK SCORE,
40370,PUERTO RICO,JUANA DIAZ,"1,453","1,671,874",95.89,"1,572,112",90.16,"23,710","17,631","58,419",371,"901,206",202.43,0.958,
40380,PUERTO RICO,JUNCOS,"1,382","1,572,988",94.85,"1,525,347",91.98,"12,975","16,908","17,757",425,"905,360",177.52,0.954,
40390,PUERTO RICO,LAJAS,"1,058","1,185,039",93.34,"1,076,488",84.79,"35,619","10,843","62,088",363,"937,936",215.32,0.933,
40400,PUERTO RICO,LARES,"1,613","2,551,607",131.83,"2,479,874",128.12,"17,464","25,412","28,856",339,"552,744",135.88,0.978,
40410,PUERTO RICO,LAS MARIAS,384,"258,014",55.99,"235,131",51.03,"7,238",368,"15,275",48,"90,502",157.12,0.931,
40420,PUERTO RICO,LAS PIEDRAS,"1,489","2,046,919",114.56,"1,987,282",111.22,"20,920","17,544","21,171",595,"1,343,368",188.15,1.001,
40430,PUERTO RICO,LOIZA,"2,072","2,393,104",96.25,"2,132,807",85.78,"92,026","21,631","146,638",589,"1,061,743",150.22,0.843,
40440,PUERTO RICO,LUQUILLO,223,"39,073",14.60,"37,611",14.05,402,71,987,52,"76,501",122.60,0.924,
40450,PUERTO RICO,MANATI,"2,034","2,986,217",122.35,"2,900,844",118.85,"36,425","28,487","20,460",637,"1,530,641",200.24,1.008,
40460,PUERTO RICO,MARICAO,166,"213,976",107.42,"203,239",102.03,"3,875",746,"6,115",*,*,*,*,
40470,PUERTO RICO,MAUNABO,458,"569,706",103.66,"547,850",99.68,"9,481","6,751","5,623",130,"329,131",210.98,0.954,
40480,PUERTO RICO,MAYAGUEZ,"4,844","5,829,164",100.28,"5,382,674",92.60,"161,258","37,003","248,227",1632,"3,997,095",204.10,0.957,
40490,PUERTO RICO,MOCA,"1,228","1,052,341",71.41,"998,113",67.73,"17,028","9,826","27,372",296,"780,847",219.83,0.964,
40500,PUERTO RICO,MOROVIS,877,"1,107,787",105.26,"1,067,331",101.42,"16,638","10,658","13,159",150,"355,178",197.32,1.053,
40510,PUERTO RICO,MAGUABO,955,"956,160",83.43,"916,054",79.93,"14,009","13,514","12,581",295,"576,137",162.75,0.889,
