DISABLED -- REPRICING ADJUSTMENTS TO THE 2010-2014 HOME HEALTH  REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX                                             (DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPRESSED FOR PRIVACY),,,,,,,,,,,,
CODE,STATE,COUNTY,PART A  2010,PART A  2011,PART A  2012,PART A  2013,PART A  2014,PART B  2010,PART B  2011,PART B  2012,PART B  2013,PART B  2014
01440,ALABAMA,MADISON,"-21,523","-36,942","-24,363","2,140","40,203","-36,566","-44,885","-31,248","2,347","56,927"
01450,ALABAMA,MARENGO,"-4,970","-4,746","-3,089","-2,645","-3,783","-5,575","-5,176","-4,742","-3,338","-4,299"
01460,ALABAMA,MARION,"-7,994","-9,034","-5,090","-4,302","-4,554","-10,996","-15,272","-9,294","-6,096","-6,433"
01470,ALABAMA,MARSHALL,"-19,404","-22,437","-12,533","-8,646","-14,407","-34,012","-40,581","-35,687","-19,509","-24,504"
01480,ALABAMA,MOBILE,"-53,097","-76,573","-74,518","-11,385","-17,386","-64,318","-97,485","-94,694","-14,226","-19,631"
01490,ALABAMA,MONROE,"-4,892","-5,868","-2,984","-1,498","-3,184","-10,486","-11,243","-8,876","-6,279","-8,194"
01500,ALABAMA,MONTGOMERY,"-31,942","-52,081","-25,665","-15,517","2,871","-54,933","-52,322","-38,916","-20,596","4,024"
01510,ALABAMA,MORGAN,"-21,961","-16,571","-2,666",313,"3,508","-40,899","-22,138","-3,416",524,"7,377"
01520,ALABAMA,PERRY,"-2,493","-2,489","-1,435",-875,"-1,527","-3,370","-3,830","-2,237","-1,212","-1,607"
01530,ALABAMA,PICKENS,"10,296","12,619","12,600","11,062","9,725","28,456","22,516","23,041","26,919","24,845"
01540,ALABAMA,PIKE,"-5,334","-4,812","-3,442","-2,908","-3,128","-4,279","-9,718","-7,980","-4,003","-6,106"
01550,ALABAMA,RANDOLPH,"-3,231","-5,330","-2,222","-2,930","-2,636","-4,788","-7,073","-4,061","-1,966","-3,635"
01560,ALABAMA,RUSSELL,"-6,470","-12,021","-16,310","-4,897","11,963","-7,368","-15,283","-16,776","-5,599","12,965"
01570,ALABAMA,ST. CLAIR,"-4,557","-5,683","-3,415","-3,438","-2,783","-7,108","-8,089","-3,647","-3,936","-3,145"
01580,ALABAMA,SHELBY,"-9,640","-9,686","-3,811","-5,065","-2,740","-7,152","-11,321","-4,843","-3,942","-3,099"
01590,ALABAMA,SUMTER,"-2,333","-3,188","-3,429","-2,364","-3,139","-5,224","-6,362","-4,536","-3,961","-4,457"
01600,ALABAMA,TALLADEGA,"-16,547","-25,299","-16,578","-8,207","-9,770","-27,628","-26,483","-16,772","-11,647","-14,975"
01610,ALABAMA,TALLAPOOSA,"-9,507","-10,750","-7,626","-6,412","-7,253","-19,445","-28,560","-24,419","-12,015","-14,559"
01620,ALABAMA,TUSCALOOSA,"-41,961","-54,914","-36,408","-18,126","-18,256","-62,480","-79,171","-53,316","-26,783","-31,916"
01630,ALABAMA,WALKER,"-12,132","-14,456","-6,210","-7,734","-4,655","-17,447","-15,960","-8,159","-7,958","-4,369"
01640,ALABAMA,WASHINGTON,"-2,237","-5,211","-3,532","-2,365","-2,516","-4,669","-4,819","-4,420","-2,600","-3,192"
01650,ALABAMA,WILCOX,"-3,550","-3,962","-4,663","-1,433","-3,093","-3,438","-4,121","-2,641","-1,573","-2,246"
01660,ALABAMA,WINSTON,"-5,505","-5,604","-6,519","-2,592","-5,391","-7,582","-12,408","-8,942","-4,545","-4,519"
