AGED -- REPRICING ADJUSTMENTS TO THE 2010-2014 HOME HEALTH  REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX                                             (DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPRESSED FOR PRIVACY),,,,,,,,,,,,
CODE,STATE,COUNTY,PART A  2010,PART A  2011,PART A  2012,PART A  2013,PART A  2014,PART B  2010,PART B  2011,PART B  2012,PART B  2013,PART B  2014
01430,ALABAMA,MACON,"-19,101","-18,291","-14,946","-9,014","-9,954","-23,558","-26,422","-15,269","-11,110","-13,179"
01440,ALABAMA,MADISON,"-224,447","-271,878","-178,362","17,145","349,540","-265,758","-358,301","-229,905","19,442","419,328"
01450,ALABAMA,MARENGO,"-20,789","-21,953","-16,657","-8,059","-13,914","-45,480","-39,695","-30,118","-19,610","-25,399"
01460,ALABAMA,MARION,"-50,892","-55,425","-38,986","-22,138","-30,025","-109,858","-108,586","-77,489","-47,256","-67,104"
01470,ALABAMA,MARSHALL,"-144,716","-140,987","-106,710","-69,091","-83,849","-258,608","-274,076","-194,352","-117,133","-151,351"
01480,ALABAMA,MOBILE,"-346,964","-466,043","-485,152","-72,949","-98,835","-469,590","-609,199","-657,672","-102,816","-123,743"
01490,ALABAMA,MONROE,"-22,673","-23,043","-15,643","-11,481","-14,594","-57,189","-63,526","-46,478","-32,615","-44,229"
01500,ALABAMA,MONTGOMERY,"-318,652","-401,299","-223,799","-107,423","23,484","-478,309","-542,134","-268,486","-136,451","27,891"
01510,ALABAMA,MORGAN,"-185,498","-120,773","-16,211","2,341","27,912","-279,829","-179,007","-24,827","3,244","42,037"
01520,ALABAMA,PERRY,"-10,858","-12,124","-8,099","-5,498","-8,279","-29,491","-27,004","-14,284","-8,891","-12,808"
01530,ALABAMA,PICKENS,"68,701","56,335","68,043","66,426","57,665","261,143","241,604","215,727","180,538","174,350"
01540,ALABAMA,PIKE,"-25,360","-30,712","-26,390","-13,816","-19,965","-56,609","-78,145","-54,607","-29,093","-37,558"
01550,ALABAMA,RANDOLPH,"-22,222","-29,902","-19,106","-12,753","-17,323","-38,096","-52,040","-36,117","-20,080","-28,183"
01560,ALABAMA,RUSSELL,"-61,782","-103,734","-90,406","-29,467","66,993","-53,635","-86,967","-98,654","-35,039","67,809"
01570,ALABAMA,ST. CLAIR,"-30,546","-39,258","-19,788","-23,499","-18,216","-35,153","-36,859","-21,476","-21,566","-14,371"
01580,ALABAMA,SHELBY,"-60,453","-71,788","-37,482","-41,057","-29,940","-83,381","-92,238","-46,636","-48,977","-33,575"
01590,ALABAMA,SUMTER,"-10,398","-15,752","-10,018","-7,399","-7,738","-39,372","-42,297","-35,660","-19,201","-22,887"
01600,ALABAMA,TALLADEGA,"-92,985","-99,689","-69,730","-39,968","-53,366","-115,704","-133,796","-93,218","-57,601","-70,118"
01610,ALABAMA,TALLAPOOSA,"-50,249","-57,715","-43,810","-25,281","-30,354","-114,552","-128,300","-99,652","-57,075","-76,354"
01620,ALABAMA,TUSCALOOSA,"-211,010","-265,661","-184,201","-97,293","-95,643","-438,238","-544,871","-341,706","-161,676","-180,811"
01630,ALABAMA,WALKER,"-71,956","-89,204","-41,792","-46,752","-28,866","-123,693","-132,149","-61,659","-61,047","-39,006"
01640,ALABAMA,WASHINGTON,"-20,379","-17,650","-19,288","-9,898","-11,763","-54,868","-39,372","-35,423","-18,973","-22,682"
01650,ALABAMA,WILCOX,"-14,449","-16,124","-12,764","-7,680","-8,127","-24,286","-23,478","-23,562","-14,909","-18,159"
01660,ALABAMA,WINSTON,"-41,631","-41,084","-34,566","-19,946","-25,999","-61,803","-73,942","-55,432","-29,723","-37,464"
02010,ALASKA,ALEUTIANS ISLANDS,0,0,0,0,0,0,0,0,0,0
02020,ALASKA,ANCHORAGE,"166,391","173,524","168,818","174,906","155,354","202,556","219,206","179,300","147,172","154,033"
02040,ALASKA,BARROW DIVISION,0,0,0,0,0,0,0,0,0,0
02050,ALASKA,BETHEL,"1,740",577,61,244,-374,"1,434",477,0,305,-224
02060,ALASKA,BRISTOL BAY BOROUGH,"4,063","1,333",366,621,-612,"1,136",469,396,891,"-1,130"
02070,ALASKA,DILLINGHAM,"1,263",425,169,508,-804,0,571,170,0,0
02080,ALASKA,CORDOVA-MC CARTHY,0,0,0,0,0,0,0,0,0,0
02090,ALASKA,FAIRBANKS NORTH STAR,"-1,543",-455,"-7,951","5,504",502,"-2,015",-638,"-12,133","10,005",981
02100,ALASKA,HAINES,"1,426",208,187,104,-81,263,65,0,97,-419
02110,ALASKA,JUNEAU,"19,241","7,909","4,940","4,965","-6,273","32,854","13,855","8,789","8,167","-11,116"
