"AGED - HOSPICE - 2014 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR PART A AND PART B BY STATE AND COUNTY OF RESIDENCE          (DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPPRESSED FOR PRIVACY",,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A TOTAL REIMBURSEMENT W/O IME/DSH/GME,PART A TOTAL PER CAPITA W/O IME/DSH/GME,PART A  IME,PART A  DSH,PART A  GME,PART B  ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B TOTAL PER CAPITA
01500,ALABAMA,MONTGOMERY,"22,593","10,390,095",38.32,"10,390,095",38.32,0,0,0,"20,454",0,0
01510,ALABAMA,MORGAN,"17,597","8,540,201",40.44,"8,540,201",40.44,0,0,0,"16,606",0,0
01520,ALABAMA,PERRY,"1,332","510,554",31.94,"510,553",31.94,0,0,0,"1,273",0,0
01530,ALABAMA,PICKENS,"3,019","1,064,386",29.38,"1,064,386",29.38,0,0,0,"2,925",0,0
01540,ALABAMA,PIKE,"3,616","1,776,797",40.95,"1,776,796",40.95,0,0,0,"3,353",0,0
01550,ALABAMA,RANDOLPH,"3,392","2,287,775",56.21,"2,287,775",56.21,0,0,0,"3,265",0,0
01560,ALABAMA,RUSSELL,"6,716","4,554,860",56.52,"4,554,861",56.52,0,0,0,"6,327",0,0
01570,ALABAMA,ST. CLAIR,"6,552","4,008,602",50.98,"4,008,602",50.98,0,0,0,"5,894",0,0
01580,ALABAMA,SHELBY,"10,416","6,210,809",49.69,"6,210,809",49.69,0,0,0,"9,288",0,0
01590,ALABAMA,SUMTER,"1,709","1,637,400",79.84,"1,637,400",79.84,0,0,0,"1,666",0,0
01600,ALABAMA,TALLADEGA,"9,324","10,150,292",90.72,"10,150,293",90.72,0,0,0,"8,822",0,0
01610,ALABAMA,TALLAPOOSA,"6,452","4,063,549",52.48,"4,063,549",52.48,0,0,0,"6,154",0,0
01620,ALABAMA,TUSCALOOSA,"19,934","8,966,279",37.48,"8,966,280",37.48,0,0,0,"18,493",0,0
01630,ALABAMA,WALKER,"8,982","7,637,052",70.86,"7,637,052",70.86,0,0,0,"8,539",0,0
01640,ALABAMA,WASHINGTON,"2,389","2,170,237",75.70,"2,170,236",75.70,0,0,0,"2,306",0,0
01650,ALABAMA,WILCOX,"1,683","1,100,519",54.49,"1,100,519",54.49,0,0,0,"1,638",0,0
01660,ALABAMA,WINSTON,"4,010","2,196,427",45.64,"2,196,426",45.64,0,0,0,"3,810",0,0
02010,ALASKA,ALEUTIANS ISLANDS,357,0,0.00,0,0.00,0,0,0,240,0,0
