DISABLED -- REPRICING ADJUSTMENTS TO THE 2010-2014 SKILLED NURSING FACILITY REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX                                             (DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPRESSED FOR PRIVACY),,,,,,,
CODE,STATE,COUNTY,PART A  2010,PART A  2011,PART A  2012,PART A  2013,PART A  2014
02060,ALASKA,BRISTOL BAY BOROUGH,-303,0,-811,"2,001",460
02070,ALASKA,DILLINGHAM,"1,826",0,0,0,0
02080,ALASKA,CORDOVA-MC CARTHY,0,0,18,0,23
02090,ALASKA,FAIRBANKS NORTH STAR,"2,731","3,982","2,176","2,218","1,684"
02100,ALASKA,HAINES,0,449,0,0,0
02110,ALASKA,JUNEAU,"4,085","6,952","1,307",836,639
02120,ALASKA,KENAI-COOK INLET DIVISION,814,-863,"1,085",-426,690
02130,ALASKA,KETCHIKAN GATEWAY,"3,150","1,368","1,628",162,407
02140,ALASKA,KOBUK,0,0,0,"2,252",0
02150,ALASKA,KODIAK ISLAND BOROUGH,310,0,0,0,0
02160,ALASKA,KUSKOKWIN,0,0,149,0,0
02170,ALASKA,MATANUSKA-SUSITNA,"2,450","2,974","4,146","3,726","2,688"
02180,ALASKA,NOME,0,0,-81,0,0
02190,ALASKA,OUTER KETCHIKAN DIVISION,0,"1,308",133,194,0
02200,ALASKA,PRINCE OF WALES,0,303,101,28,-146
02210,ALASKA,SEWARD,35,0,0,0,0
02220,ALASKA,SITKA BOROUGH,666,679,799,119,414
02230,ALASKA,SKAGWAY-YAKUTAT,0,0,109,0,182
02240,ALASKA,SOUTHEAST FAIRBANKS,"2,483",-396,379,53,0
02250,ALASKA,UPPER YUKON,0,0,0,0,0
02260,ALASKA,VALDEZ-CHITNA-WHITIER DIVISION,165,-10,0,0,0
02270,ALASKA,WADE HAMPTON,0,0,0,0,0
02280,ALASKA,WRANGELL-PETERSBURG CENSUS ARE,"1,365",6,0,0,0
02290,ALASKA,YUKON-KOYUKUK,0,0,0,280,10
03000,ARIZONA,APACHE,"2,580","-6,099","-3,459","-4,276","-6,247"
03010,ARIZONA,COCHISE,"-3,311","-7,217",433,"-1,446","-2,010"
03020,ARIZONA,COCONINO,"-3,703","-8,996","-9,948","-2,595","-4,444"
03030,ARIZONA,GILA,692,"-3,329",620,"-10,282","-6,103"
03040,ARIZONA,GRAHAM,-567,82,"-2,157","-1,069",-610
03050,ARIZONA,GREENLEE,-477,-631,-903,-7,-28
03055,ARIZONA,LAPAZ,"-1,249","-1,332","-1,893",747,7
03060,ARIZONA,MARICOPA,"-166,446","-197,946","-142,107","-104,118","-74,995"
03070,ARIZONA,MOHAVE,"-73,903","-47,486","-29,297","-28,197","-18,788"
