DISABLED -- REPRICING ADJUSTMENTS TO THE 2010-2014 PHYSICIAN REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT GEOGRAPHIC PRACTICE COST INDEX                                             (DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPRESSED FOR PRIVACY),,,,,,,
CODE,STATE,COUNTY,PART B  2010,PART B  2011,PART B  2012,PART B  2013,PART B  2014
02100,ALASKA,HAINES,572,353,-60,328,280
02110,ALASKA,JUNEAU,"5,352","4,200","7,805","8,501","4,691"
02120,ALASKA,KENAI-COOK INLET DIVISION,"10,794","10,482","19,193","23,331","10,085"
02130,ALASKA,KETCHIKAN GATEWAY,"1,944","1,372","1,687","2,035",823
02140,ALASKA,KOBUK,93,49,142,519,76
02150,ALASKA,KODIAK ISLAND BOROUGH,294,323,744,926,445
02160,ALASKA,KUSKOKWIN,-378,-178,81,36,54
02170,ALASKA,MATANUSKA-SUSITNA,"18,988","20,800","43,122","50,270","22,600"
02180,ALASKA,NOME,38,84,197,489,72
02190,ALASKA,OUTER KETCHIKAN DIVISION,-77,58,72,170,6
02200,ALASKA,PRINCE OF WALES,841,260,478,732,-51
02210,ALASKA,SEWARD,397,434,"1,158","1,951","1,241"
02220,ALASKA,SITKA BOROUGH,"1,537",154,"1,290","2,077",814
02230,ALASKA,SKAGWAY-YAKUTAT,306,154,202,347,552
02240,ALASKA,SOUTHEAST FAIRBANKS,561,-23,962,"1,570",392
02250,ALASKA,UPPER YUKON,106,98,131,91,28
02260,ALASKA,VALDEZ-CHITNA-WHITIER DIVISION,"1,153",741,"1,217","2,115",983
02270,ALASKA,WADE HAMPTON,132,43,93,"1,047",212
02280,ALASKA,WRANGELL-PETERSBURG CENSUS ARE,883,519,831,440,108
02290,ALASKA,YUKON-KOYUKUK,122,152,347,635,39
03000,ARIZONA,APACHE,"7,134","2,702","2,693","2,296","1,462"
03010,ARIZONA,COCHISE,"29,072","16,310","10,223","9,657","4,248"
03020,ARIZONA,COCONINO,"18,821","11,278","10,192","9,022","3,478"
03030,ARIZONA,GILA,"26,157","14,486","9,326","8,679","3,070"
03040,ARIZONA,GRAHAM,"7,021","3,586","1,792","1,327",862
03050,ARIZONA,GREENLEE,"1,277",655,245,334,319
03055,ARIZONA,LAPAZ,"5,349","2,088",257,608,384
03060,ARIZONA,MARICOPA,"613,659","395,849","308,779","296,221","124,700"
03070,ARIZONA,MOHAVE,"76,793","33,468","18,602","16,623","7,105"
03080,ARIZONA,NAVAJO,"21,297","10,638","6,394","6,169","2,030"
03090,ARIZONA,PIMA,"149,481","80,561","52,748","48,324","20,799"
03100,ARIZONA,PINAL,"71,067","45,452","32,700","34,737","16,387"
03110,ARIZONA,SANTA CRUZ,"5,335","2,083","1,257","1,637",803
03120,ARIZONA,YAVAPAI,"81,754","48,743","37,752","36,049","12,460"
03130,ARIZONA,YUMA,"31,319","19,648","15,699","15,604","6,939"
04000,ARKANSAS,ARKANSAS,"-15,823","-19,239","4,136","4,352","1,681"
04010,ARKANSAS,ASHLEY,"-24,383","-28,462","7,128","7,300","4,304"
04020,ARKANSAS,BAXTER,"-50,047","-53,144","9,305","8,910","4,352"
04030,ARKANSAS,BENTON,"-72,665","-81,069","17,846","19,736","10,160"
04040,ARKANSAS,BOONE,"-41,684","-43,158","5,906","6,443","3,310"
04050,ARKANSAS,BRADLEY,"-13,200","-16,158","3,502","3,425","1,716"
04060,ARKANSAS,CALHOUN,"-4,670","-5,323","1,480","1,246",618
04070,ARKANSAS,CARROLL,"-17,674","-21,562","2,975","2,655","1,178"
04080,ARKANSAS,CHICOT,"-13,369","-12,172","1,778","1,363",896
