"DISABLED - 2014 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR PART A AND PART B BY STATE AND COUNTY OF RESIDENCE. (BENEFICIARIES ENROLLED IN PARTS A AND/OR B EXCEPT FOR PUERTO RICO WHERE ENROLLED IN BOTH PARTS A AND B. REIMBURSEMENTS EXCLUDED FOR HOSPICE AND COST CONTRACTS. DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPPRESSED FOR PRIVACY)",,,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A TOTAL REIMBURSEMENT W/O IME/DSH/GME,PART A TOTAL PER CAPITA W/O IME/DSH/GME,PART A  IME,PART A  DSH,PART A  GME,PART B  ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B TOTAL PER CAPITA,AGED AND DISABLED MEAN RISK SCORE,
01370,ALABAMA,LAMAR,869,"2,598,401",249.18,"2,455,547",235.48,"61,401","58,423","23,028",815,"3,748,529",383.29,0.960,
01380,ALABAMA,LAUDERDALE,"3,940","12,592,487",266.34,"12,078,903",255.48,"197,942","256,066","59,575","3,643","16,644,417",380.74,0.940,
01390,ALABAMA,LAWRENCE,"1,198","3,151,885",219.25,"3,018,085",209.94,"47,486","69,321","16,992","1,099","5,430,782",411.80,1.006,
01400,ALABAMA,LEE,"3,650","8,613,093",196.65,"8,163,621",186.38,"145,574","253,268","50,628","3,299","12,719,142",321.29,0.913,
01410,ALABAMA,LIMESTONE,"2,041","7,315,396",298.69,"6,959,482",284.15,"145,928","168,411","41,573","1,868","11,351,120",506.38,0.945,
01420,ALABAMA,LOWNDES,364,"794,764",181.95,"752,199",172.21,"12,426","25,391","4,747",326,"1,282,734",327.90,0.942,
01430,ALABAMA,MACON,835,"2,243,210",223.87,"2,094,883",209.07,"58,318","70,498","19,510",737,"2,633,998",297.83,0.904,
01440,ALABAMA,MADISON,"7,615","25,004,243",273.63,"23,854,914",261.05,"484,320","462,495","202,513","6,752","36,414,603",449.43,0.957,
01450,ALABAMA,MARENGO,"1,178","3,560,898",251.90,"3,330,428",235.60,"104,545","93,999","31,924","1,101","3,620,953",274.07,0.933,
01460,ALABAMA,MARION,"1,317","3,634,639",229.98,"3,439,115",217.61,"82,235","80,128","33,160","1,228","5,514,259",374.20,0.969,
01470,ALABAMA,MARSHALL,"4,089","12,947,262",263.86,"12,349,795",251.69,"207,441","306,534","83,491","3,772","18,905,241",417.67,1.009,
01480,ALABAMA,MOBILE,"9,731","34,075,561",291.81,"31,356,720",268.53,"1,435,808","646,317","636,715","8,518","35,122,926",343.61,0.958,
