"IPPS and OPPS Provider Indices by Fiscal Year — Note: ""A"" and ""B"" designation indicate that there was a mid-year change in the index due to change in claims processor during the year.",,,,,,,,,,,
Provider Number,CBSA 2016,SSA Code,State,County,IPPS Provider  2010 A,IPPS Provider  2010 B,IPPS Provider  2011,IPPS Provider  2012,IPPS Provider  2013,IPPS Provider  2014,IPPS Provider  2016
010059,19460,01390,AL,LAWRENCE,0.8558,0.8558,0.862,0.8422,0.8295,0.815,0.7164
010029,12220,01400,AL,LEE,0.8454,0.8454,0.8567,0.8626,0.8507,0.7987,0.8052
010079,26620,01410,AL,LIMESTONE,0.8924,0.8924,0.9033,0.8789,0.8457,0.8381,0.8627
010131,26620,01440,AL,MADISON,0.8924,0.8924,0.9033,0.8789,0.8457,0.8381,0.8627
010039,26620,01440,AL,MADISON,0.8924,0.8924,0.9033,0.8789,0.8457,0.8381,0.8627
010112,NA,01450,AL,MARENGO,0.7389,0.7389,0.7436,0.7277,0.7071,0.7094,0.6872
010086,NA,01460,AL,MARION,0.7389,0.7389,0.7436,0.7277,0.7071,0.7094,0.6872
010044,NA,01460,AL,MARION,0.7389,0.7389,0.7436,0.7277,0.8301,0.8294,0.8073
010010,NA,01470,AL,MARSHALL,0.8512,0.8512,0.7762,0.7603,0.7397,0.7357,0.7135
010005,NA,01470,AL,MARSHALL,0.8558,0.8558,0.862,0.8365,0.8301,0.815,0.827
010144,33660,01480,AL,MOBILE,0.7735,0.7735,0.7889,0.8041,0.7506,0.7542,0.7426
010087,33660,01480,AL,MOBILE,0.7735,0.7735,0.7889,0.8041,0.7506,0.7542,0.7426
010090,33660,01480,AL,MOBILE,0.8156,0.8156,0.7889,0.8041,0.7506,0.7542,0.7426
010152,33660,01480,AL,MOBILE,0.7735,0.7735,0.7889,0.8041,0.7506,0.7542,0.7426
010113,33660,01480,AL,MOBILE,0.7735,0.7735,0.7889,0.8041,0.7506,0.7542,0.7426
010120,NA,01490,AL,MONROE,0.7389,0.7389,0.7436,0.7277,0.7071,0.7094,0.6872
010149,33860,01500,AL,MONTGOMERY,0.8459,0.8459,0.8579,0.8196,0.7798,0.7403,0.7487
010024,33860,01500,AL,MONTGOMERY,0.8459,0.8459,0.8579,0.8196,0.7798,0.7403,0.7487
010023,33860,01500,AL,MONTGOMERY,0.8459,0.8459,0.8579,0.8196,0.7798,0.7403,0.7487
010085,19460,01510,AL,MORGAN,0.8558,0.8558,0.862,0.8422,0.7071,0.7094,0.7402
010009,19460,01510,AL,MORGAN,0.8558,0.8558,0.862,0.8422,0.7071,0.7094,0.7402
010054,19460,01510,AL,MORGAN,0.8558,0.8558,0.862,0.8422,0.7071,0.7094,0.7402
010109,46220,01530,AL,PICKENS,0.7794,0.7794,0.7841,0.7868,0.7662,0.7685,0.8353
010126,NA,01540,AL,PIKE,0.8459,0.8459,0.8579,0.8196,0.7798,0.7094,0.7487
010032,NA,01550,AL,RANDOLPH,0.7714,0.7714,0.7745,0.7586,0.738,0.7458,0.7236
010168,17980,01560,AL,RUSSELL,0.8781,0.8781,0.9073,0.9041,0.8873,0.8171,0.8336
010130,13820,01570,AL,ST. CLAIR,0.8512,0.8512,0.8587,0.8365,0.8458,0.8294,0.8182
010016,13820,01580,AL,SHELBY,0.8512,0.8512,0.8587,0.8365,0.8458,0.8294,0.8182
010138,NA,01590,AL,SUMTER,0.7455,0.7455,0.7525,0.7366,0.716,0.726,0.7038
010101,NA,01600,AL,TALLADEGA,0.8512,0.8512,0.8409,0.8365,0.8301,0.8294,0.8073
010164,NA,01600,AL,TALLADEGA,0.8512,0.8512,0.8409,0.7785,0.7259,0.7284,0.7114
010052,NA,01610,AL,TALLAPOOSA,0.8459,0.8459,0.8579,0.7522,0.7196,0.7219,0.7157
010065,NA,01610,AL,TALLAPOOSA,0.8512,0.8512,0.8409,0.8365,0.8301,0.8294,0.8073
010092,46220,01620,AL,TUSCALOOSA,0.8942,0.8942,0.9061,0.8834,0.8753,0.8703,0.8353
010089,13820,01630,AL,WALKER,0.8512,0.8512,0.8587,0.8365,0.8458,0.8294,0.8182
010102,NA,01650,AL,WILCOX,0.8459,0.8459,0.8579,0.7277,0.7071,0.7094,0.6872
010125,NA,01660,AL,WINSTON,0.7865,0.7865,0.7861,0.7702,0.7496,0.7537,0.7315
020017,11260,02020,AK,ANCHORAGE,1.192,1.192,1.2573,1.2723,1.2727,1.3556,1.3318
020026,11260,02020,AK,ANCHORAGE,1.9311,1.9311,1.9343,1.9343,1.9343,1.9343,1.9343
020001,11260,02020,AK,ANCHORAGE,1.192,1.192,1.2573,1.2723,1.2727,1.3556,1.3318
020018,NA,02050,AK,BETHEL,1.9311,1.9311,1.9343,1.9343,1.9343,1.9343,1.9343
020012,21820,02090,AK,FAIRBANKS NORTH STAR,1.1636,1.1636,1.2573,1.2723,1.2727,1.3556,1.3032
020008,NA,02110,AK,JUNEAU,1.192,1.2747,1.2573,1.2723,1.2727,1.3556,1.3032
020006,11260,02170,AK,MATANUSKA-SUSITNA,1.192,1.192,1.2573,1.2723,1.2727,1.3556,1.3318
020027,NA,02220,AK,SITKA BOROUGH,1.9311,1.9311,1.9343,1.9343,1.9343,1.9343,1.9343
030084,NA,03000,AZ,APACHE,1.4424,1.4424,1.4448,1.4448,1.4448,1.4448,1.4448
030071,NA,03000,AZ,APACHE,1.4424,1.4424,1.4448,1.4448,1.4448,1.4448,1.4448
030043,43420,03010,AZ,COCHISE,0.8801,0.8801,0.9088,0.877,1.0569,0.9133,0.9372
030073,22380,03020,AZ,COCONINO,1.4424,1.4424,1.4448,1.4448,1.4448,1.4448,1.4448
030023,22380,03020,AZ,COCONINO,1.245,1.245,1.2394,1.2308,1.1974,1.2357,1.1764
030033,NA,03030,AZ,GILA,1.1887,1.1887,1.2088,1.1967,1.152,1.0907,1.0089
030077,NA,03030,AZ,GILA,1.4424,1.4424,1.4448,1.4448,1.4448,1.4448,1.4448
030068,NA,03040,AZ,GRAHAM,0.8801,0.8801,0.9088,0.877,1.0569,0.9133,0.9372
030067,NA,03055,AZ,LAPAZ,0.9099,0.9099,0.9376,0.9058,1.0857,0.9479,0.9718
030088,38060,03060,AZ,MARICOPA,1.0472,1.0472,1.0463,1.0328,1.0569,1.0366,1.0276
030083,38060,03060,AZ,MARICOPA,1.0472,1.0472,1.0463,1.0328,1.0569,1.0366,1.0276
030022,38060,03060,AZ,MARICOPA,1.0472,1.0472,1.0463,1.0328,1.0569,1.0366,1.0276
030087,38060,03060,AZ,MARICOPA,1.0472,1.0472,1.0463,1.0328,1.0569,1.0366,1.0276
030036,38060,03060,AZ,MARICOPA,1.0472,1.0472,1.0463,1.0328,1.0569,1.0907,1.1182
030112,38060,03060,AZ,MARICOPA,1.0472,1.0472,1.0463,1.0328,1.0569,1.0366,1.0276
030131,38060,03060,AZ,MARICOPA,,,,,1.0569,1.0366,1.0276
030119,38060,03060,AZ,MARICOPA,1.0472,1.0472,1.0463,1.0328,1.0569,1.0907,1.1182
030092,38060,03060,AZ,MARICOPA,1.0472,1.0472,1.0463,1.0328,1.0569,1.0366,1.0276
030024,38060,03060,AZ,MARICOPA,1.0472,1.0472,1.0463,1.0328,1.0569,1.0907,1.1182
030093,38060,03060,AZ,MARICOPA,1.0472,1.0472,1.0463,1.0328,1.0569,1.0366,1.0276
030065,38060,03060,AZ,MARICOPA,1.0472,1.0472,1.0463,1.0328,1.0569,1.0366,1.0276
030123,38060,03060,AZ,MARICOPA,1.0472,1.0472,1.0463,1.0328,1.0569,1.0366,1.0276
030094,38060,03060,AZ,MARICOPA,1.0472,1.0472,1.0463,1.0328,1.0569,1.0366,1.0276
030037,38060,03060,AZ,MARICOPA,1.0472,1.0472,1.0463,1.0328,1.0569,1.0366,1.0276
030120,38060,03060,AZ,MARICOPA,1.0472,1.0472,1.0463,1.0328,1.0569,1.0366,1.0276
030110,38060,03060,AZ,MARICOPA,1.0472,1.0472,1.0463,1.0328,1.0569,1.0366,1.0276
030014,38060,03060,AZ,MARICOPA,1.0472,1.0472,1.0463,1.0328,1.0569,1.0366,1.0276
030078,38060,03060,AZ,MARICOPA,1.4424,1.4424,1.4448,1.4448,1.4448,1.4448,1.4448
030121,38060,03060,AZ,MARICOPA,1.0472,1.0472,1.0463,1.0328,1.0569,1.0366,1.0276
030115,38060,03060,AZ,MARICOPA,1.0472,1.0472,1.0463,1.0328,1.0569,1.0366,1.0276
030122,38060,03060,AZ,MARICOPA,1.0472,1.0472,1.0463,1.0328,1.0569,1.0366,1.0276
030108,38060,03060,AZ,MARICOPA,1.0472,1.0472,1.0463,1.0328,1.0569,1.0366,1.0276
030105,38060,03060,AZ,MARICOPA,1.0472,1.0472,1.0463,1.0328,1.0569,1.0366,1.0276
030038,38060,03060,AZ,MARICOPA,1.0472,1.0472,1.0463,1.0328,1.0569,1.0366,1.0276
030001,38060,03060,AZ,MARICOPA,1.0472,1.0472,1.0463,1.0328,1.0569,1.0366,1.0276
030089,38060,03060,AZ,MARICOPA,1.0472,1.0472,1.0463,1.0328,1.0569,1.0366,1.0276
030002,38060,03060,AZ,MARICOPA,1.0472,1.0472,1.0463,1.0328,1.0569,1.0366,1.0276
030107,38060,03060,AZ,MARICOPA,1.0472,1.0472,1.0463,1.0328,1.0569,1.0366,1.0276
030103,38060,03060,AZ,MARICOPA,1.0472,1.0472,1.0463,1.0328,1.0569,1.0366,1.0276
030126,38060,03060,AZ,MARICOPA,,,1.0463,1.0328,1.0569,1.0366,1.0276
030061,38060,03060,AZ,MARICOPA,1.0472,1.0472,1.0463,1.0328,1.0569,1.0366,1.0276
030030,38060,03060,AZ,MARICOPA,1.0472,1.0472,1.0463,1.0328,1.0569,1.0366,1.0276
030101,29420,03070,AZ,MOHAVE,1.1523,1.1523,1.1751,1.1481,1.1485,0.9789,1.1505
030117,29420,03070,AZ,MOHAVE,1.059,1.059,1.0236,0.9908,1.0569,0.9789,0.9372
030055,29420,03070,AZ,MOHAVE,1.059,1.059,1.0236,1.1481,1.1485,1.121,1.1505
030069,29420,03070,AZ,MOHAVE,1.1147,1.1147,1.141,1.1238,1.1167,1.1239,1.1275
030113,NA,03080,AZ,NAVAJO,1.4424,1.4424,1.4448,1.4448,1.4448,1.4448,1.4448
030062,NA,03080,AZ,NAVAJO,0.8801,0.8801,0.9088,0.877,1.0569,0.9133,0.9372
030111,46060,03090,AZ,PIMA,0.9686,0.9686,0.9643,0.9428,1.0569,0.9133,0.9372
030010,46060,03090,AZ,PIMA,0.9686,0.9686,0.9643,0.9428,1.0569,0.9133,0.9372
030006,46060,03090,AZ,PIMA,0.9686,0.9686,0.9643,0.9428,1.0569,0.9133,1.0089
030064,46060,03090,AZ,PIMA,0.9686,0.9686,0.9643,0.9428,1.0569,0.9133,1.0089
030085,46060,03090,AZ,PIMA,0.9686,0.9686,0.9643,0.9428,1.0569,1.0366,1.0089
030114,46060,03090,AZ,PIMA,0.9686,0.9686,0.9643,0.9428,1.0569,0.9133,0.9372
030100,46060,03090,AZ,PIMA,0.9686,0.9686,0.9643,0.9428,1.0569,0.9133,0.9372
030011,46060,03090,AZ,PIMA,0.9686,0.9686,0.9643,0.9428,1.0569,0.9133,0.9372
030074,46060,03090,AZ,PIMA,1.4424,1.4424,1.4448,1.4448,1.4448,1.4448,1.4448
030132,38060,03100,AZ,PINAL,,,,,,1.0366,1.0276
030130,38060,03100,AZ,PINAL,,,,,1.0569,1.0366,1.0276
030016,38060,03100,AZ,PINAL,1.0472,1.0472,1.0463,1.0328,1.0569,1.0366,1.0276
030012,39140,03120,AZ,YAVAPAI,1.0169,1.0169,1.2257,1.2244,1.1804,1.0907,1.1182
030118,39140,03120,AZ,YAVAPAI,1.0169,1.0169,1.2257,1.2244,1.1804,1.0907,1.1182
030007,39140,03120,AZ,YAVAPAI,1.1887,1.1887,1.2257,1.2244,1.1804,1.0907,0.9372
030013,49740,03130,AZ,YUMA,0.9284,0.9284,0.9408,0.9422,1.0569,0.9667,1.0263
040072,NA,04000,AR,ARKANSAS,0.7559,0.7559,0.7479,0.7408,0.7501,0.7441,0.7301
040027,NA,04020,AR,BAXTER,0.8586,0.8586,0.8485,0.8492,0.8503,0.8358,0.8223
040010,22220,04030,AR,BENTON,0.8787,0.8787,0.8604,0.9154,0.9284,0.8936,0.8658
040001,22220,04030,AR,BENTON,0.8787,0.8787,0.8604,0.9154,0.9284,0.8936,0.8658
040017,NA,04040,AR,BOONE,0.8164,0.8164,0.8458,0.8898,0.9028,0.8358,0.8553
040067,NA,04130,AR,COLUMBIA,0.7566,0.7566,0.7525,0.7454,0.7547,0.7466,0.7326
040118,27860,04150,AR,CRAIGHEAD,0.7559,0.7559,0.7479,0.7408,0.7501,0.8022,0.7928
040020,27860,04150,AR,CRAIGHEAD,0.8936,0.8936,0.892,0.8801,0.8592,0.8648,0.8408
040018,22900,04160,AR,CRAWFORD,0.7994,0.7994,0.7713,0.7691,0.7923,0.762,0.7469
040042,32820,04170,AR,CRITTENDEN,0.9265,0.9265,0.9244,0.9202,0.8967,0.8981,0.8691
040051,NA,04210,AR,DREW,0.7559,0.7559,0.7479,0.7408,0.7501,0.7441,0.7436
040029,30780,04220,AR,FAULKNER,0.8683,0.8683,0.865,0.8615,0.8566,0.8571,0.8292
040078,26300,04250,AR,GARLAND,0.9115,0.9115,0.9249,0.9119,0.885,0.8369,0.8557
040026,26300,04250,AR,GARLAND,0.9115,0.9115,0.9249,0.9119,0.885,0.8369,0.8557
040039,NA,04270,AR,GREENE,0.8164,0.8164,0.8119,0.804,0.7929,0.802,0.7402
040091,NA,04280,AR,HEMPSTEAD,0.8153,0.8153,0.7479,0.7408,0.7501,0.7441,0.7418
040076,NA,04290,AR,HOT SPRING,0.8972,0.8972,0.9026,0.9008,0.8732,0.823,0.8308
040119,NA,04310,AR,INDEPENDENCE,0.8455,0.8455,0.8461,0.8455,0.8413,0.8415,0.7928
040080,NA,04330,AR,JACKSON,0.7796,0.7796,0.7794,0.7711,0.8125,0.7441,0.7301
040071,38220,04340,AR,JEFFERSON,0.8455,0.8455,0.8461,0.8455,0.8413,0.8415,0.8143
040002,NA,04350,AR,JOHNSON,0.7559,0.7559,0.7479,0.7408,0.7501,0.7441,0.7342
040069,NA,04460,AR,MISSISSIPPI,0.8936,0.8936,0.8119,0.804,0.7929,0.7441,0.7947
040050,NA,04510,AR,OUACHITA,0.7559,0.7559,0.7479,0.7408,0.7501,0.7441,0.7301
040085,NA,04530,AR,PHILLIPS,0.8936,0.8936,0.892,0.8801,0.8592,0.8648,0.8408
040015,NA,04560,AR,POLK,0.7559,0.7559,0.7479,0.7408,0.7501,0.7441,0.7301
040041,NA,04570,AR,POPE,0.8455,0.8455,0.8461,0.8455,0.8413,0.8415,0.8143
040036,30780,04590,AR,PULASKI,0.8683,0.8683,0.865,0.8615,0.8566,0.8571,0.8292
040016,30780,04590,AR,PULASKI,0.8683,0.8683,0.865,0.8615,0.8566,0.8571,0.8292
040114,30780,04590,AR,PULASKI,0.8683,0.8683,0.865,0.8615,0.8566,0.8571,0.8292
040137,30780,04590,AR,PULASKI,0.8683,0.8683,0.865,0.8615,0.8566,0.8571,0.8292
040007,30780,04590,AR,PULASKI,0.8683,0.8683,0.865,0.8615,0.8566,0.8571,0.8292
