AGED -- REPRICING ADJUSTMENTS TO THE 2009-2013 OUTPATIENT REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART B REIMBURSEMENT,,,,,,,,,
01600,ALABAMA                  ,TALLADEGA,"-376,340","-317,284","-291,759","-164,738","-105,716",,,,,
01610,ALABAMA                  ,TALLAPOOSA,"-206,191","-173,188","-171,870","-176,094","-103,853",,,,,
01620,ALABAMA                  ,TUSCALOOSA,"-149,293","-270,992","-328,886","-241,518","-176,421",,,,,
01630,ALABAMA                  ,WALKER,"-228,678","-166,095","-188,480","-153,232","-150,600",,,,,
01640,ALABAMA                  ,WASHINGTON,"-25,269","-35,842","-37,786","-39,175",432,,,,,
01650,ALABAMA                  ,WILCOX,"-39,251","-39,996","-45,782","-18,322","-11,913",,,,,
01660,ALABAMA                  ,WINSTON,"-83,561","-68,274","-75,244","-50,887","-41,208",,,,,
02010,ALASKA                   ,ALEUTIANS ISLANDS,236,"3,209",636,439,-15,,,,,
02020,ALASKA                   ,ANCHORAGE,"601,754","539,123","252,584","179,787","82,556",,,,,
02040,ALASKA                   ,BARROW DIVISION,"3,023","1,803","2,908",442,127,,,,,
02050,ALASKA                   ,BETHEL,"2,153","1,437","1,249",705,298,,,,,
02060,ALASKA                   ,BRISTOL BAY,"23,357","23,959","11,033","5,164","3,149",,,,,
02070,ALASKA                   ,DILLINGHAM,"3,721","2,034","1,019","1,187",564,,,,,
02080,ALASKA                   ,CORDOVA-MC CARTHY,"6,784","3,221","1,144",843,"1,076",,,,,
02090,ALASKA                   ,FAIRBANKS NORTH STAR,"271,801","243,068","106,397","78,252","38,937",,,,,
02100,ALASKA                   ,HAINES,"4,939","5,840","3,980","1,015",856,,,,,
02110,ALASKA                   ,JUNEAU,"45,603","53,173","41,306","28,724","7,835",,,,,
02120,ALASKA                   ,KENAI-COOK INLET DIVISION,"211,791","224,447","96,071","66,306","37,461",,,,,
02130,ALASKA                   ,KETCHIKAN GATEWAY,"4,744","10,476","5,783","6,742","2,543",,,,,
02140,ALASKA                   ,KOBUK,"1,445","4,926","1,658",863,224,,,,,
02150,ALASKA                   ,KODIAK ISLAND,"3,966","2,526","2,063","2,916","1,027",,,,,
02160,ALASKA                   ,KUSKOKWIN DIVISION,423,"1,056",634,192,285,,,,,
02170,ALASKA                   ,MATANUSKA-SUSITNA,"201,441","209,833","101,550","70,573","36,817",,,,,
02180,ALASKA                   ,NOME,"4,492","1,311","2,621",315,-40,,,,,
02190,ALASKA                   ,OUTER KETCHIKAN DIVISION,177,514,"1,503",779,577,,,,,
02200,ALASKA                   ,PRINCE OF WALES DIVISION,"3,349","1,425",963,486,537,,,,,
02210,ALASKA                   ,SEWARD,"5,628","7,709","8,146","3,187","1,652",,,,,
02220,ALASKA                   ,SITKA,"3,091","4,292","5,524","6,749",766,,,,,
02230,ALASKA                   ,SKAGWAY,"2,795","5,499","3,649","2,125",912,,,,,
02240,ALASKA                   ,SOUTHEAST FAIRBANKS,"18,606","15,077","7,275","3,708","2,387",,,,,
02250,ALASKA                   ,UPPER YUKON DIVISION,"6,370","5,398","2,015","2,176","1,602",,,,,
02260,ALASKA                   ,VALDEZ-CHITNA-WHITIER DIVISION,"11,605","14,147","5,638","6,332","1,915",,,,,
02270,ALASKA                   ,WADE HAMPTON,438,"2,421","2,365",447,"1,605",,,,,
02280,ALASKA                   ,WRANGELL-PETERSBURG CENSUS AREA,"4,761","6,923","7,367","3,411","3,861",,,,,
02290,ALASKA                   ,YUKON-KOYUKUK,"19,483","16,821","9,189","4,492","2,844",,,,,
03000,ARIZONA                  ,APACHE,"22,191","7,418","-1,692","-12,091","-91,910",,,,,
03010,ARIZONA                  ,COCHISE,"15,855","-31,715","-56,575","-130,197","-529,302",,,,,
03020,ARIZONA                  ,COCONINO,"-17,400","-182,413","-193,070","-187,538","-104,245",,,,,
03030,ARIZONA                  ,GILA,"-142,788","-258,117","-321,701","-326,578","-279,427",,,,,
