AGED -- REPRICING ADJUSTMENTS TO THE 2009-2013 SKILLED NURSING FACILITY REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,,,,
01600,ALABAMA                  ,TALLADEGA,"-279,037","-207,177","-218,452","-135,481","-63,001",,,,,
01610,ALABAMA                  ,TALLAPOOSA,"-154,890","-112,690","-109,361","-71,374","-25,309",,,,,
01620,ALABAMA                  ,TUSCALOOSA,"-176,352","-357,726","-449,375","-250,397","-120,883",,,,,
01630,ALABAMA                  ,WALKER,"-258,381","-203,319","-220,967","-150,598","-107,765",,,,,
01640,ALABAMA                  ,WASHINGTON,"-28,458","-10,886","-19,732","-13,495","-1,056",,,,,
01650,ALABAMA                  ,WILCOX,"-46,424","-25,953","-25,590","-20,190","-7,635",,,,,
01660,ALABAMA                  ,WINSTON,"-153,496","-102,192","-91,138","-63,355","-36,955",,,,,
02010,ALASKA                   ,ALEUTIANS ISLANDS,0,"1,383",89,-141,127,,,,,
02020,ALASKA                   ,ANCHORAGE,"77,493","79,670","62,663","47,123","31,366",,,,,
02040,ALASKA                   ,BARROW DIVISION,0,146,-111,818,401,,,,,
02050,ALASKA                   ,BETHEL,418,-190,"1,217",531,0,,,,,
02060,ALASKA                   ,BRISTOL BAY,-44,180,572,77,"1,137",,,,,
02070,ALASKA                   ,DILLINGHAM,837,294,838,159,69,,,,,
02080,ALASKA                   ,CORDOVA-MC CARTHY,117,534,-364,0,-64,,,,,
02090,ALASKA                   ,FAIRBANKS NORTH STAR,-192,"6,606","-2,098","2,363","8,991",,,,,
02100,ALASKA                   ,HAINES,"2,058",-122,775,603,6,,,,,
02110,ALASKA                   ,JUNEAU,"17,348","27,584","14,432","6,502","4,552",,,,,
02120,ALASKA                   ,KENAI-COOK INLET DIVISION,"2,504",-193,"6,627","4,236",913,,,,,
02130,ALASKA                   ,KETCHIKAN GATEWAY,"58,950","47,659","17,139","11,973","7,610",,,,,
02140,ALASKA                   ,KOBUK,0,0,"1,044",0,0,,,,,
02150,ALASKA                   ,KODIAK ISLAND,-44,-65,-382,-210,-470,,,,,
02160,ALASKA                   ,KUSKOKWIN DIVISION,244,474,428,1,0,,,,,
02170,ALASKA                   ,MATANUSKA-SUSITNA,"6,262","11,433","5,494","2,213","4,195",,,,,
02180,ALASKA                   ,NOME,0,194,675,370,770,,,,,
02190,ALASKA                   ,OUTER KETCHIKAN DIVISION,"7,972",661,546,113,"2,110",,,,,
02200,ALASKA                   ,PRINCE OF WALES DIVISION,"4,817","4,154","3,059",681,285,,,,,
02210,ALASKA                   ,SEWARD,950,335,"5,582","1,604",108,,,,,
02220,ALASKA                   ,SITKA,"2,894","4,441","5,016","4,328","2,103",,,,,
02230,ALASKA                   ,SKAGWAY,"1,909","4,855","3,035","2,246","1,626",,,,,
02240,ALASKA                   ,SOUTHEAST FAIRBANKS,-221,64,81,420,0,,,,,
02250,ALASKA                   ,UPPER YUKON DIVISION,733,0,-63,548,50,,,,,
02260,ALASKA                   ,VALDEZ-CHITNA-WHITIER DIVISION,"1,912","1,730","1,403",791,322,,,,,
02270,ALASKA                   ,WADE HAMPTON,"1,650","1,609","1,126",375,31,,,,,
02280,ALASKA                   ,WRANGELL-PETERSBURG CENSUS AREA,424,550,268,885,"1,945",,,,,
02290,ALASKA                   ,YUKON-KOYUKUK,555,"1,020",406,39,810,,,,,
03000,ARIZONA                  ,APACHE,"49,813","9,300","4,109","13,396","-1,701",,,,,
03010,ARIZONA                  ,COCHISE,"148,101","25,062","-55,937","4,227","-69,260",,,,,
03020,ARIZONA                  ,COCONINO,"162,140","-3,542","-31,926","-31,832","-2,610",,,,,
03030,ARIZONA                  ,GILA,"205,312","85,088","21,756","67,491","-12,736",,,,,
03040,ARIZONA                  ,GRAHAM,"21,273","6,138","-11,331","12,440","-2,579",,,,,
03050,ARIZONA                  ,GREENLEE,"4,799","-3,716",-482,"1,262","-2,168",,,,,
03055,ARIZONA                  ,LA PAZ,"-21,933","-27,150","-25,797","-25,557","-14,617",,,,,
03060,ARIZONA                  ,MARICOPA,"-324,807","-1,810,677","-2,063,852","-1,295,960","-622,362",,,,,
03070,ARIZONA                  ,MOHAVE,"-428,752","-759,198","-653,372","-409,063","-289,665",,,,,
03080,ARIZONA                  ,NAVAJO,"128,581","31,512","4,478","31,685","-7,932",,,,,
03090,ARIZONA                  ,PIMA,"-1,088,292","-1,536,405","-1,530,539","-1,095,866","-590,848",,,,,
03100,ARIZONA                  ,PINAL,"-36,886","-167,422","-158,204","-107,499","-57,175",,,,,
03110,ARIZONA                  ,SANTA CRUZ,"-13,933","-22,698","-32,612","-20,543","-12,366",,,,,
03120,ARIZONA                  ,YAVAPAI,"452,295","80,589","-923,289","-893,692","-485,698",,,,,
03130,ARIZONA                  ,YUMA,"329,738","346,332","343,513","297,340","188,131",,,,,
04000,ARKANSAS                 ,ARKANSAS,"-11,096","-3,917","1,124",-263,"-5,842",,,,,
04010,ARKANSAS                 ,ASHLEY,"-17,683","-5,397","2,571","8,667","-8,735",,,,,
04020,ARKANSAS                 ,BAXTER,"-49,950","7,434","31,768","24,595","-13,038",,,,,
04030,ARKANSAS                 ,BENTON,"-282,177","-128,596","-133,231","-471,645","-410,302",,,,,
04040,ARKANSAS                 ,BOONE,"-41,454","1,132","31,186","17,556","-11,126",,,,,
04050,ARKANSAS                 ,BRADLEY,"-18,395",-86,"8,397","7,346","-2,795",,,,,
04060,ARKANSAS                 ,CALHOUN,"-5,380",494,"4,980","4,194","-1,075",,,,,
04070,ARKANSAS                 ,CARROLL,"-14,001","-3,084","2,581","-5,207","-11,054",,,,,
04080,ARKANSAS                 ,CHICOT,"-10,602","-1,422","1,204","2,847","-3,368",,,,,
04090,ARKANSAS                 ,CLARK,"-22,212","-2,736","6,067","6,626","-7,953",,,,,
04100,ARKANSAS                 ,CLAY,"-22,054","1,619","13,925","9,089","-2,495",,,,,
04110,ARKANSAS                 ,CLEBURNE,"-31,655","-4,886","12,978","7,290","-7,967",,,,,
04120,ARKANSAS                 ,CLEVELAND,"7,864","25,203","4,015","9,629","4,933",,,,,
04130,ARKANSAS                 ,COLUMBIA,"-29,071","2,127","16,161","8,017","-9,234",,,,,
04140,ARKANSAS                 ,CONWAY,"-17,760","-4,057","1,544",-926,"-10,332",,,,,
04150,ARKANSAS                 ,CRAIGHEAD,"-39,024","27,488","26,288","-12,080","-97,502",,,,,
