"DISABLED -- PUERTO RICO 2013 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) 
FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE 
BENEFICIARIES ENROLLED IN PART A AND/OR PART B 
REIMBURSEMENTS FOR HOSPICE AND COST CONTRATCS EXCLUDED",,,,,,,,,,,,,,,,,,,,
STATE,CODE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA,AGED & DBLD MEAN RISK SCORES,,,,,,
40360,PUERTO RICO              ,JAYUYA,286,"203,465",59.13,"177,591",51.61,"6,699","10,852","8,322",52,"57,535",91.03,0.835,,,,,,
40370,PUERTO RICO              ,JUANA DIAZ,441,"302,593",57.15,"275,462",52.02,"3,303","14,695","9,132",104,"174,253",138.73,0.914,,,,,,
40380,PUERTO RICO              ,JUNCOS,544,"321,081",49.12,"301,784",46.17,"4,147","10,248","4,901",162,"288,773",148.32,0.973,,,,,,
40390,PUERTO RICO              ,LAJAS,226,"179,290",66.04,"168,656",62.12,"1,899","4,177","4,556",52,"98,940",158.04,0.917,,,,,,
40400,PUERTO RICO              ,LARES,513,"327,242",53.14,"308,735",50.14,"1,724","15,043","1,739",118,"214,596",150.49,0.921,,,,,,
40410,PUERTO RICO              ,LAS MARIAS,89,"74,367",69.44,"67,143",62.69,"1,996","1,791","3,436",19,"13,120",56.56,0.849,,,,,,
40420,PUERTO RICO              ,LAS PIEDRAS,775,"741,928",79.74,"682,676",73.37,"12,895","30,745","15,611",225,"457,411",168.98,0.959,,,,,,
40430,PUERTO RICO              ,LOIZA,729,"359,201",41.04,"301,133",34.40,"16,587","14,512","26,968",183,"280,989",127.32,0.885,,,,,,
40440,PUERTO RICO              ,LUQUILLO,21,"23,418",92.93,"19,750",78.37,"1,014","1,554","1,098",7,"11,841",140.97,0.994,,,,,,
40450,PUERTO RICO              ,MANATI,"1,120","1,047,619",77.88,"981,659",72.98,"23,165","35,345","7,449",378,"668,680",147.42,0.953,,,,,,
