DISABLED -- REPRICING ADJUSTMENTS TO THE 2009-2013 PHYSICIAN REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT GEOGRAPHIC PRACTICE COST INDEX,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART B REIMBURSEMENT,,,,,,,,,,
01620,ALABAMA                  ,TUSCALOOSA,"162,738","-129,072","-148,542","114,562","112,423",,,,,,
01630,ALABAMA                  ,WALKER,"99,437","-78,807","-79,895","54,560","50,095",,,,,,
01640,ALABAMA                  ,WASHINGTON,"15,326","-12,938","-17,735","10,144","9,198",,,,,,
01650,ALABAMA                  ,WILCOX,"13,461","-12,530","-13,259","9,986","8,869",,,,,,
01660,ALABAMA                  ,WINSTON,"35,627","-30,725","-31,097","21,085","18,341",,,,,,
02010,ALASKA                   ,ALEUTIANS ISLANDS,157,199,280,180,670,,,,,,
02020,ALASKA                   ,ANCHORAGE,"46,797","48,079","55,349","122,911","125,136",,,,,,
02040,ALASKA                   ,BARROW DIVISION,194,45,41,74,275,,,,,,
02050,ALASKA                   ,BETHEL,187,90,34,191,188,,,,,,
02060,ALASKA                   ,BRISTOL BAY,815,701,783,"1,559","1,301",,,,,,
02070,ALASKA                   ,DILLINGHAM,-16,50,168,196,287,,,,,,
02080,ALASKA                   ,CORDOVA-MC CARTHY,316,181,151,257,336,,,,,,
02090,ALASKA                   ,FAIRBANKS NORTH STAR,"7,429","7,259","8,142","18,541","19,437",,,,,,
02100,ALASKA                   ,HAINES,577,567,352,-55,327,,,,,,
02110,ALASKA                   ,JUNEAU,"4,960","5,419","4,663","8,182","8,529",,,,,,
02120,ALASKA                   ,KENAI-COOK INLET DIVISION,"11,146","10,834","11,358","20,846","23,335",,,,,,
02130,ALASKA                   ,KETCHIKAN GATEWAY,"2,467","1,937","1,797","1,662","2,035",,,,,,
02140,ALASKA                   ,KOBUK,315,94,49,147,519,,,,,,
02150,ALASKA                   ,KODIAK ISLAND,342,294,364,852,962,,,,,,
02160,ALASKA                   ,KUSKOKWIN DIVISION,-121,-387,-178,81,36,,,,,,
02170,ALASKA                   ,MATANUSKA-SUSITNA,"20,419","19,076","21,716","45,543","50,276",,,,,,
02180,ALASKA                   ,NOME,-33,38,89,216,489,,,,,,
02190,ALASKA                   ,OUTER KETCHIKAN DIVISION,183,-77,59,94,170,,,,,,
02200,ALASKA                   ,PRINCE OF WALES DIVISION,445,841,264,457,767,,,,,,
02210,ALASKA                   ,SEWARD,767,388,484,"1,294","1,951",,,,,,
02220,ALASKA                   ,SITKA,567,"1,535",162,"1,370","2,077",,,,,,
02230,ALASKA                   ,SKAGWAY,276,306,158,216,347,,,,,,
02240,ALASKA                   ,SOUTHEAST FAIRBANKS,"1,094",556,113,"1,032","1,586",,,,,,
02250,ALASKA                   ,UPPER YUKON DIVISION,110,106,101,134,91,,,,,,
02260,ALASKA                   ,VALDEZ-CHITNA-WHITIER DIVISION,"1,167","1,143",820,"1,379","2,114",,,,,,
02270,ALASKA                   ,WADE HAMPTON,44,132,43,86,"1,047",,,,,,
02280,ALASKA                   ,WRANGELL-PETERSBURG CENSUS AREA,766,884,543,888,440,,,,,,
02290,ALASKA                   ,YUKON-KOYUKUK,482,118,185,370,622,,,,,,
03000,ARIZONA                  ,APACHE,"12,324","7,117","2,697","2,820","2,294",,,,,,
03010,ARIZONA                  ,COCHISE,"61,040","28,971","16,258","10,253","9,590",,,,,,
03020,ARIZONA                  ,COCONINO,"37,384","18,840","11,271","10,252","9,019",,,,,,
03030,ARIZONA                  ,GILA,"41,419","26,130","14,491","9,340","8,693",,,,,,
03040,ARIZONA                  ,GRAHAM,"13,693","6,942","3,573","1,796","1,327",,,,,,
03050,ARIZONA                  ,GREENLEE,"2,559","1,270",655,247,334,,,,,,
03055,ARIZONA                  ,LA PAZ,"10,061","5,319","2,088",260,658,,,,,,
03060,ARIZONA                  ,MARICOPA,"1,068,597","614,151","395,528","308,381","296,635",,,,,,
