"ESRD- HOSPICE - 2013 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) 
FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE",,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA
15480,INDIANA,MARION,1766,"328,253",15.49,"328,253",15.49,0,0,0,"1,672",0,0
15490,INDIANA,MARSHALL,36,"1,335",3.09,"1,335",3.09,0,0,0,35,0,0
15500,INDIANA,MARTIN,8,"1,932",20.13,"1,932",20.13,0,0,0,8,0,0
15510,INDIANA,MIAMI,34,276,0.68,276,0.68,0,0,0,34,0,0
15520,INDIANA,MONROE,93,"1,711",1.53,"1,710",1.53,0,0,0,90,0,0
15530,INDIANA,MONTGOMERY,40,415,0.86,415,0.86,0,0,0,39,0,0
15540,INDIANA,MORGAN,77,"9,923",10.74,"9,923",10.74,0,0,0,75,0,0
15550,INDIANA,NEWTON,9,"3,360",31.11,"3,360",31.11,0,0,0,8,0,0
15560,INDIANA,NOBLE,33,0,0,0,0,0,0,0,31,0,0
15570,INDIANA,OHIO,10,0,0,0,0,0,0,0,9,0,0
15580,INDIANA,ORANGE,20,0,0,0,0,0,0,0,20,0,0
15590,INDIANA,OWEN,30,"40,083",111.34,"40,083",111.34,0,0,0,30,0,0
15600,INDIANA,PARKE,16,0,0,0,0,0,0,0,16,0,0
15610,INDIANA,PERRY,20,0,0,0,0,0,0,0,19,0,0
15620,INDIANA,PIKE,18,0,0,0,0,0,0,0,18,0,0
15630,INDIANA,PORTER,196,"38,869",16.53,"38,869",16.53,0,0,0,189,0,0
15640,INDIANA,POSEY,29,0,0,0,0,0,0,0,28,0,0
15650,INDIANA,PULASKI,17,0,0,0,0,0,0,0,16,0,0
15660,INDIANA,PUTNAM,31,0,0,0,0,0,0,0,30,0,0
15670,INDIANA,RANDOLPH,36,727,1.68,727,1.68,0,0,0,35,0,0
15680,INDIANA,RIPLEY,28,"3,797",11.3,"3,797",11.3,0,0,0,26,0,0
15690,INDIANA,RUSH,15,"16,367",90.93,"16,367",90.93,0,0,0,15,0,0
15700,INDIANA,ST. JOSEPH,334,"120,563",30.08,"120,563",30.08,0,0,0,319,0,0
15710,INDIANA,SCOTT,46,"1,524",2.76,"1,524",2.76,0,0,0,46,0,0
15720,INDIANA,SHELBY,44,"13,291",25.17,"13,291",25.17,0,0,0,42,0,0
15730,INDIANA,SPENCER,17,0,0,0,0,0,0,0,15,0,0
15740,INDIANA,STARKE,25,"2,481",8.27,"2,480",8.27,0,0,0,24,0,0
15750,INDIANA,STEUBEN,28,"6,893",20.51,"6,892",20.51,0,0,0,27,0,0
15760,INDIANA,SULLIVAN,33,"42,837",108.17,"42,837",108.17,0,0,0,33,0,0
15770,INDIANA,SWITZERLAND,11,0,0,0,0,0,0,0,11,0,0
15780,INDIANA,TIPPECANOE,168,"13,716",6.8,"13,716",6.8,0,0,0,158,0,0
15790,INDIANA,TIPTON,13,0,0,0,0,0,0,0,12,0,0
15800,INDIANA,UNION,11,0,0,0,0,0,0,0,11,0,0
15810,INDIANA,VANDERBURGH,236,"44,302",15.64,"44,302",15.64,0,0,0,223,0,0
15820,INDIANA,VERMILLION,22,0,0,0,0,0,0,0,20,0,0
15830,INDIANA,VIGO,175,"129,305",61.57,"129,305",61.57,0,0,0,170,0,0
15840,INDIANA,WABASH,28,563,1.68,562,1.67,0,0,0,27,0,0
15850,INDIANA,WARREN,6,0,0,0,0,0,0,0,6,0,0
15860,INDIANA,WARRICK,42,"2,485",4.93,"2,485",4.93,0,0,0,41,0,0
15870,INDIANA,WASHINGTON,44,0,0,0,0,0,0,0,42,0,0
15880,INDIANA,WAYNE,152,"18,788",10.3,"18,788",10.3,0,0,0,148,0,0
15890,INDIANA,WELLS,20,"23,183",96.6,"23,183",96.6,0,0,0,19,0,0
15900,INDIANA,WHITE,25,"5,121",17.07,"5,121",17.07,0,0,0,25,0,0
15910,INDIANA,WHITLEY,24,"3,019",10.48,"3,019",10.48,0,0,0,22,0,0
16000,IOWA,ADAIR,1,0,0,0,0,0,0,0,1,0,0
16010,IOWA,ADAMS,5,831,13.85,831,13.85,0,0,0,4,0,0
16020,IOWA,ALLAMAKEE,16,0,0,0,0,0,0,0,16,0,0
16030,IOWA,APPANOOSE,33,"2,355",5.95,"2,354",5.94,0,0,0,32,0,0
16040,IOWA,AUDUBON,9,0,0,0,0,0,0,0,9,0,0
16050,IOWA,BENTON,17,"16,559",81.17,"16,559",81.17,0,0,0,15,0,0
16060,IOWA,BLACK HAWK,173,"80,066",38.57,"80,066",38.57,0,0,0,168,0,0
16070,IOWA,BOONE,16,0,0,0,0,0,0,0,15,0,0
16080,IOWA,BREMER,28,"26,918",80.11,"26,917",80.11,0,0,0,28,0,0
16090,IOWA,BUCHANAN,20,"8,339",34.75,"8,339",34.75,0,0,0,19,0,0
16100,IOWA,BUENA VISTA,18,0,0,0,0,0,0,0,17,0,0
16110,IOWA,BUTLER,19,0,0,0,0,0,0,0,19,0,0
16120,IOWA,CALHOUN,7,0,0,0,0,0,0,0,7,0,0
16130,IOWA,CARROLL,17,0,0,0,0,0,0,0,17,0,0
16140,IOWA,CASS,12,0,0,0,0,0,0,0,10,0,0
16150,IOWA,CEDAR,10,0,0,0,0,0,0,0,9,0,0
16160,IOWA,CERRO GORDO,55,"22,464",34.04,"22,465",34.04,0,0,0,53,0,0
16170,IOWA,CHEROKEE,12,"2,461",17.09,"2,461",17.09,0,0,0,12,0,0
16180,IOWA,CHICKASAW,14,0,0,0,0,0,0,0,12,0,0
16190,IOWA,CLARKE,2,0,0,0,0,0,0,0,2,0,0
16200,IOWA,CLAY,22,"6,901",26.14,"6,901",26.14,0,0,0,20,0,0
16210,IOWA,CLAYTON,8,0,0,0,0,0,0,0,8,0,0
16220,IOWA,CLINTON,65,"12,006",15.39,"12,006",15.39,0,0,0,63,0,0
16230,IOWA,CRAWFORD,26,0,0,0,0,0,0,0,25,0,0
16240,IOWA,DALLAS,33,"17,399",43.94,"17,398",43.93,0,0,0,31,0,0
16250,IOWA,DAVIS,11,0,0,0,0,0,0,0,11,0,0
16260,IOWA,DECATUR,7,0,0,0,0,0,0,0,6,0,0
16270,IOWA,DELAWARE,15,566,3.14,565,3.14,0,0,0,15,0,0
16280,IOWA,DES MOINES,62,"2,678",3.6,"2,678",3.6,0,0,0,61,0,0
16290,IOWA,DICKINSON,26,0,0,0,0,0,0,0,25,0,0
16300,IOWA,DUBUQUE,75,"25,247",28.05,"25,246",28.05,0,0,0,72,0,0
16310,IOWA,EMMET,6,0,0,0,0,0,0,0,5,0,0
16320,IOWA,FAYETTE,25,"22,674",75.58,"22,674",75.58,0,0,0,25,0,0
16330,IOWA,FLOYD,13,0,0,0,0,0,0,0,13,0,0
16340,IOWA,FRANKLIN,2,0,0,0,0,0,0,0,2,0,0
16350,IOWA,FREMONT,8,0,0,0,0,0,0,0,8,0,0
16360,IOWA,GREENE,6,925,12.85,925,12.85,0,0,0,6,0,0
16370,IOWA,GRUNDY,15,0,0,0,0,0,0,0,15,0,0
16380,IOWA,GUTHRIE,11,925,7.01,925,7.01,0,0,0,11,0,0
16390,IOWA,HAMILTON,7,0,0,0,0,0,0,0,7,0,0
16400,IOWA,HANCOCK,9,0,0,0,0,0,0,0,9,0,0
16410,IOWA,HARDIN,24,0,0,0,0,0,0,0,22,0,0
16420,IOWA,HARRISON,11,"2,124",16.09,"2,125",16.1,0,0,0,10,0,0
16430,IOWA,HENRY,26,0,0,0,0,0,0,0,25,0,0
16440,IOWA,HOWARD,10,"31,710",264.25,"31,710",264.25,0,0,0,10,0,0
16450,IOWA,HUMBOLDT,7,849,10.11,848,10.1,0,0,0,7,0,0
16460,IOWA,IDA,3,"2,695",74.86,"2,695",74.86,0,0,0,3,0,0
16470,IOWA,IOWA,9,0,0,0,0,0,0,0,9,0,0
16480,IOWA,JACKSON,16,"2,109",10.98,"2,109",10.98,0,0,0,16,0,0
16490,IOWA,JASPER,28,283,0.84,283,0.84,0,0,0,28,0,0
16500,IOWA,JEFFERSON,14,566,3.37,565,3.36,0,0,0,14,0,0
16510,IOWA,JOHNSON,62,"26,650",35.82,"26,650",35.82,0,0,0,57,0,0
16520,IOWA,JONES,24,0,0,0,0,0,0,0,20,0,0
16530,IOWA,KEOKUK,15,0,0,0,0,0,0,0,15,0,0
16540,IOWA,KOSSUTH,17,0,0,0,0,0,0,0,17,0,0
16550,IOWA,LEE,45,"1,555",2.88,"1,555",2.88,0,0,0,42,0,0
16560,IOWA,LINN,194,"112,027",48.12,"112,027",48.12,0,0,0,179,0,0
16570,IOWA,LOUISA,13,"1,431",9.17,"1,431",9.17,0,0,0,13,0,0
16580,IOWA,LUCAS,5,0,0,0,0,0,0,0,5,0,0
16590,IOWA,LYON,13,0,0,0,0,0,0,0,12,0,0
16600,IOWA,MADISON,6,0,0,0,0,0,0,0,6,0,0
16610,IOWA,MAHASKA,14,0,0,0,0,0,0,0,14,0,0
16620,IOWA,MARION,29,"20,544",59.03,"20,543",59.03,0,0,0,30,0,0
16630,IOWA,MARSHALL,58,"28,191",40.5,"28,191",40.5,0,0,0,56,0,0
16640,IOWA,MILLS,4,0,0,0,0,0,0,0,4,0,0
16650,IOWA,MITCHELL,7,824,9.81,823,9.8,0,0,0,7,0,0
16660,IOWA,MONONA,12,0,0,0,0,0,0,0,12,0,0
16670,IOWA,MONROE,9,0,0,0,0,0,0,0,9,0,0
16680,IOWA,MONTGOMERY,8,283,2.95,282,2.94,0,0,0,8,0,0
16690,IOWA,MUSCATINE,40,"12,351",25.73,"12,350",25.73,0,0,0,37,0,0
16700,IOWA,OBRIEN,17,"1,939",9.5,"1,939",9.5,0,0,0,17,0,0
16710,IOWA,OSCEOLA,5,"2,346",39.1,"2,346",39.1,0,0,0,5,0,0
16720,IOWA,PAGE,17,0,0,0,0,0,0,0,17,0,0
16730,IOWA,PALO ALTO,4,0,0,0,0,0,0,0,4,0,0
16740,IOWA,PLYMOUTH,24,809,2.81,808,2.81,0,0,0,23,0,0
16750,IOWA,POCAHONTAS,8,0,0,0,0,0,0,0,8,0,0
16760,IOWA,POLK,386,"154,867",33.43,"154,867",33.43,0,0,0,363,0,0
16770,IOWA,POTTAWATTAMIE,109,"12,474",9.54,"12,473",9.54,0,0,0,106,0,0
16780,IOWA,POWESHIEK,16,0,0,0,0,0,0,0,16,0,0
16790,IOWA,RINGGOLD,7,0,0,0,0,0,0,0,7,0,0
16800,IOWA,SAC,15,0,0,0,0,0,0,0,15,0,0
16810,IOWA,SCOTT,198,"28,624",12.05,"28,623",12.05,0,0,0,192,0,0
16820,IOWA,SHELBY,13,908,5.82,908,5.82,0,0,0,13,0,0
16830,IOWA,SIOUX,19,960,4.21,961,4.21,0,0,0,17,0,0
16840,IOWA,STORY,33,"10,364",26.17,"10,364",26.17,0,0,0,28,0,0
16850,IOWA,TAMA,27,412,1.27,412,1.27,0,0,0,26,0,0
16860,IOWA,TAYLOR,9,0,0,0,0,0,0,0,9,0,0
16870,IOWA,UNION,14,0,0,0,0,0,0,0,13,0,0
16880,IOWA,VAN BUREN,7,0,0,0,0,0,0,0,7,0,0
16890,IOWA,WAPELLO,40,0,0,0,0,0,0,0,39,0,0
16900,IOWA,WARREN,38,"23,635",51.83,"23,635",51.83,0,0,0,34,0,0
16910,IOWA,WASHINGTON,17,0,0,0,0,0,0,0,17,0,0
16920,IOWA,WAYNE,10,0,0,0,0,0,0,0,10,0,0
16930,IOWA,WEBSTER,55,"3,405",5.16,"3,406",5.16,0,0,0,54,0,0
16940,IOWA,WINNEBAGO,12,0,0,0,0,0,0,0,11,0,0
16950,IOWA,WINNESHIEK,23,0,0,0,0,0,0,0,23,0,0
16960,IOWA,WOODBURY,147,"35,086",19.89,"35,086",19.89,0,0,0,142,0,0
16970,IOWA,WORTH,10,0,0,0,0,0,0,0,8,0,0
16980,IOWA,WRIGHT,17,"1,659",8.13,"1,659",8.13,0,0,0,17,0,0
17000,KANSAS,ALLEN,13,0,0,0,0,0,0,0,13,0,0
17010,KANSAS,ANDERSON,6,0,0,0,0,0,0,0,6,0,0
17020,KANSAS,ATCHISON,12,0,0,0,0,0,0,0,11,0,0
17030,KANSAS,BARBER,1,0,0,0,0,0,0,0,1,0,0
17040,KANSAS,BARTON,24,"2,942",10.22,"2,941",10.21,0,0,0,24,0,0
17050,KANSAS,BOURBON,19,0,0,0,0,0,0,0,19,0,0
17060,KANSAS,BROWN,18,"40,154",185.9,"40,155",185.9,0,0,0,18,0,0
17070,KANSAS,BUTLER,61,"6,718",9.18,"6,718",9.18,0,0,0,59,0,0
17080,KANSAS,CHASE,1,0,0,0,0,0,0,0,1,0,0
17090,KANSAS,CHAUTAUQUA,3,"1,313",36.47,"1,314",36.5,0,0,0,3,0,0
17100,KANSAS,CHEROKEE,21,534,2.12,534,2.12,0,0,0,20,0,0
17110,KANSAS,CHEYENNE,1,0,0,0,0,0,0,0,1,0,0
17120,KANSAS,CLARK,1,0,0,0,0,0,0,0,1,0,0
17130,KANSAS,CLAY,8,0,0,0,0,0,0,0,8,0,0
17140,KANSAS,CLOUD,9,0,0,0,0,0,0,0,9,0,0
17150,KANSAS,COFFEY,4,0,0,0,0,0,0,0,4,0,0
17160,KANSAS,COMANCHE,1,0,0,0,0,0,0,0,1,0,0
17170,KANSAS,COWLEY,28,675,2.01,676,2.01,0,0,0,26,0,0
17180,KANSAS,CRAWFORD,39,"14,769",31.56,"14,769",31.56,0,0,0,38,0,0
17190,KANSAS,DECATUR,5,0,0,0,0,0,0,0,5,0,0
17200,KANSAS,DICKINSON,17,0,0,0,0,0,0,0,17,0,0
17210,KANSAS,DONIPHAN,4,0,0,0,0,0,0,0,4,0,0
17220,KANSAS,DOUGLAS,91,"45,968",42.1,"45,969",42.1,0,0,0,86,0,0
17230,KANSAS,EDWARDS,3,0,0,0,0,0,0,0,3,0,0
17240,KANSAS,ELK,2,0,0,0,0,0,0,0,2,0,0
17250,KANSAS,ELLIS,29,671,1.93,671,1.93,0,0,0,28,0,0
17260,KANSAS,ELLSWORTH,4,0,0,0,0,0,0,0,4,0,0
17270,KANSAS,FINNEY,40,"5,382",11.21,"5,382",11.21,0,0,0,39,0,0
17280,KANSAS,FORD,34,675,1.65,676,1.66,0,0,0,33,0,0
17290,KANSAS,FRANKLIN,27,"45,262",139.7,"45,263",139.7,0,0,0,25,0,0
17300,KANSAS,GEARY,43,406,0.79,405,0.78,0,0,0,43,0,0
17310,KANSAS,GOVE,3,0,0,0,0,0,0,0,3,0,0
17320,KANSAS,GRAHAM,2,0,0,0,0,0,0,0,2,0,0
17330,KANSAS,GRANT,8,265,2.76,265,2.76,0,0,0,8,0,0
17340,KANSAS,GRAY,7,0,0,0,0,0,0,0,7,0,0
17350,KANSAS,GREELEY,1,0,0,0,0,0,0,0,1,0,0
17360,KANSAS,GREENWOOD,7,0,0,0,0,0,0,0,7,0,0
17370,KANSAS,HAMILTON,2,0,0,0,0,0,0,0,2,0,0
17380,KANSAS,HARPER,8,0,0,0,0,0,0,0,8,0,0
17390,KANSAS,HARVEY,51,"11,196",18.29,"11,197",18.3,0,0,0,50,0,0
17391,KANSAS,HASKELL,5,0,0,0,0,0,0,0,5,0,0
17410,KANSAS,HODGEMAN,1,0,0,0,0,0,0,0,1,0,0
17420,KANSAS,JACKSON,10,0,0,0,0,0,0,0,10,0,0
17430,KANSAS,JEFFERSON,16,0,0,0,0,0,0,0,16,0,0
17440,KANSAS,JEWELL,3,0,0,0,0,0,0,0,3,0,0
17450,KANSAS,JOHNSON,335,"65,405",16.27,"65,405",16.27,0,0,0,306,0,0
17451,KANSAS,KEARNY,3,0,0,0,0,0,0,0,3,0,0
17470,KANSAS,KINGMAN,4,0,0,0,0,0,0,0,4,0,0
17480,KANSAS,KIOWA,1,0,0,0,0,0,0,0,1,0,0
17490,KANSAS,LABETTE,33,"1,096",2.77,"1,097",2.77,0,0,0,32,0,0
17500,KANSAS,LANE,5,0,0,0,0,0,0,0,4,0,0
17510,KANSAS,LEAVENWORTH,61,"47,808",65.31,"47,807",65.31,0,0,0,57,0,0
17520,KANSAS,LINCOLN,3,0,0,0,0,0,0,0,3,0,0
17530,KANSAS,LINN,8,"2,688",28,"2,688",28,0,0,0,8,0,0
17540,KANSAS,LOGAN,5,"2,127",35.45,"2,127",35.45,0,0,0,5,0,0
17550,KANSAS,LYON,43,"5,730",11.1,"5,729",11.1,0,0,0,42,0,0
17560,KANSAS,MCPHERSON,25,"7,134",23.78,"7,134",23.78,0,0,0,25,0,0
17570,KANSAS,MARION,17,0,0,0,0,0,0,0,16,0,0
17580,KANSAS,MARSHALL,13,"19,204",123.1,"19,205",123.11,0,0,0,13,0,0
17590,KANSAS,MEADE,1,0,0,0,0,0,0,0,1,0,0
17600,KANSAS,MIAMI,18,0,0,0,0,0,0,0,17,0,0
17610,KANSAS,MITCHELL,6,0,0,0,0,0,0,0,5,0,0
17620,KANSAS,MONTGOMERY,52,"2,001",3.21,"2,001",3.21,0,0,0,52,0,0
17630,KANSAS,MORRIS,8,0,0,0,0,0,0,0,8,0,0
17640,KANSAS,MORTON,2,0,0,0,0,0,0,0,1,0,0
17650,KANSAS,NEMAHA,12,406,2.82,405,2.81,0,0,0,12,0,0
17660,KANSAS,NEOSHO,26,0,0,0,0,0,0,0,25,0,0
17670,KANSAS,NESS,4,0,0,0,0,0,0,0,4,0,0
17680,KANSAS,NORTON,3,0,0,0,0,0,0,0,3,0,0
17690,KANSAS,OSAGE,12,"3,516",24.42,"3,516",24.42,0,0,0,12,0,0
17700,KANSAS,OSBORNE,1,0,0,0,0,0,0,0,1,0,0
17710,KANSAS,OTTAWA,6,0,0,0,0,0,0,0,5,0,0
17720,KANSAS,PAWNEE,3,0,0,0,0,0,0,0,3,0,0
17730,KANSAS,PHILLIPS,6,0,0,0,0,0,0,0,6,0,0
17740,KANSAS,POTTAWATOMIE,11,0,0,0,0,0,0,0,11,0,0
17750,KANSAS,PRATT,9,0,0,0,0,0,0,0,8,0,0
17760,KANSAS,RAWLINS,3,0,0,0,0,0,0,0,3,0,0
17770,KANSAS,RENO,77,"5,749",6.22,"5,749",6.22,0,0,0,75,0,0
17780,KANSAS,REPUBLIC,4,0,0,0,0,0,0,0,4,0,0
17790,KANSAS,RICE,11,"4,244",32.15,"4,244",32.15,0,0,0,10,0,0
17800,KANSAS,RILEY,31,"1,854",4.98,"1,854",4.98,0,0,0,31,0,0
17810,KANSAS,ROOKS,5,0,0,0,0,0,0,0,5,0,0
17820,KANSAS,RUSH,3,0,0,0,0,0,0,0,3,0,0
17830,KANSAS,RUSSELL,6,"1,191",16.54,"1,192",16.56,0,0,0,6,0,0
17840,KANSAS,SALINE,71,"22,178",26.03,"22,178",26.03,0,0,0,69,0,0
17841,KANSAS,SCOTT,2,0,0,0,0,0,0,0,2,0,0
17860,KANSAS,SEDGWICK,659,"88,970",11.25,"88,970",11.25,0,0,0,634,0,0
17870,KANSAS,SEWARD,25,0,0,0,0,0,0,0,24,0,0
17880,KANSAS,SHAWNEE,254,"51,030",16.74,"51,030",16.74,0,0,0,234,0,0
17890,KANSAS,SHERIDAN,2,0,0,0,0,0,0,0,2,0,0
17900,KANSAS,SHERMAN,3,0,0,0,0,0,0,0,3,0,0
17910,KANSAS,SMITH,3,0,0,0,0,0,0,0,3,0,0
17920,KANSAS,STAFFORD,5,0,0,0,0,0,0,0,5,0,0
17921,KANSAS,STANTON,4,0,0,0,0,0,0,0,4,0,0
17940,KANSAS,STEVENS,7,0,0,0,0,0,0,0,6,0,0
17950,KANSAS,SUMNER,35,"6,063",14.44,"6,063",14.44,0,0,0,34,0,0
17960,KANSAS,THOMAS,4,0,0,0,0,0,0,0,4,0,0
17970,KANSAS,TREGO,1,0,0,0,0,0,0,0,1,0,0
17980,KANSAS,WABAUNSEE,4,0,0,0,0,0,0,0,4,0,0
17981,KANSAS,WALLACE,2,0,0,0,0,0,0,0,2,0,0
17982,KANSAS,WASHINGTON,3,0,0,0,0,0,0,0,3,0,0
17983,KANSAS,WICHITA,1,0,0,0,0,0,0,0,1,0,0
17984,KANSAS,WILSON,8,0,0,0,0,0,0,0,8,0,0
17985,KANSAS,WOODSON,2,0,0,0,0,0,0,0,2,0,0
17986,KANSAS,WYANDOTTE,337,"74,970",18.54,"74,969",18.54,0,0,0,320,0,0
18000,KENTUCKY,ADAIR,15,0,0,0,0,0,0,0,15,0,0
18010,KENTUCKY,ALLEN,20,0,0,0,0,0,0,0,19,0,0
18020,KENTUCKY,ANDERSON,18,"10,473",48.49,"10,472",48.48,0,0,0,17,0,0
18030,KENTUCKY,BALLARD,12,0,0,0,0,0,0,0,12,0,0
18040,KENTUCKY,BARREN,50,"13,480",22.47,"13,480",22.47,0,0,0,50,0,0
18050,KENTUCKY,BATH,10,0,0,0,0,0,0,0,10,0,0
18060,KENTUCKY,BELL,37,0,0,0,0,0,0,0,36,0,0
18070,KENTUCKY,BOONE,100,"64,324",53.6,"64,324",53.6,0,0,0,97,0,0
18080,KENTUCKY,BOURBON,21,531,2.11,531,2.11,0,0,0,21,0,0
18090,KENTUCKY,BOYD,58,"41,017",58.93,"41,017",58.93,0,0,0,55,0,0
18100,KENTUCKY,BOYLE,33,0,0,0,0,0,0,0,32,0,0
18110,KENTUCKY,BRACKEN,9,0,0,0,0,0,0,0,9,0,0
18120,KENTUCKY,BREATHITT,17,"10,106",49.54,"10,106",49.54,0,0,0,17,0,0
18130,KENTUCKY,BRECKINRIDGE,12,0,0,0,0,0,0,0,11,0,0
18140,KENTUCKY,BULLITT,39,433,0.93,434,0.93,0,0,0,37,0,0
18150,KENTUCKY,BUTLER,4,0,0,0,0,0,0,0,4,0,0
18160,KENTUCKY,CALDWELL,12,0,0,0,0,0,0,0,11,0,0
18170,KENTUCKY,CALLOWAY,33,"17,202",43.44,"17,202",43.44,0,0,0,31,0,0
18180,KENTUCKY,CAMPBELL,84,"12,452",12.35,"12,452",12.35,0,0,0,79,0,0
18190,KENTUCKY,CARLISLE,5,0,0,0,0,0,0,0,5,0,0
18191,KENTUCKY,CARROLL,10,0,0,0,0,0,0,0,9,0,0
18210,KENTUCKY,CARTER,20,266,1.11,266,1.11,0,0,0,18,0,0
18220,KENTUCKY,CASEY,11,0,0,0,0,0,0,0,10,0,0
18230,KENTUCKY,CHRISTIAN,97,0,0,0,0,0,0,0,91,0,0
18240,KENTUCKY,CLARK,34,"1,268",3.11,"1,267",3.11,0,0,0,31,0,0
18250,KENTUCKY,CLAY,22,0,0,0,0,0,0,0,21,0,0
18260,KENTUCKY,CLINTON,10,0,0,0,0,0,0,0,10,0,0
18270,KENTUCKY,CRITTENDEN,3,0,0,0,0,0,0,0,3,0,0
18271,KENTUCKY,CUMBERLAND,3,"5,334",148.17,"5,334",148.17,0,0,0,3,0,0
18290,KENTUCKY,DAVIESS,98,"7,367",6.26,"7,366",6.26,0,0,0,95,0,0
18291,KENTUCKY,EDMONSON,2,0,0,0,0,0,0,0,2,0,0
18310,KENTUCKY,ELLIOTT,13,"7,337",47.03,"7,337",47.03,0,0,0,13,0,0
18320,KENTUCKY,ESTILL,15,0,0,0,0,0,0,0,14,0,0
18330,KENTUCKY,FAYETTE,301,"23,100",6.4,"23,100",6.4,0,0,0,275,0,0
18340,KENTUCKY,FLEMING,18,0,0,0,0,0,0,0,17,0,0
18350,KENTUCKY,FLOYD,54,0,0,0,0,0,0,0,53,0,0
18360,KENTUCKY,FRANKLIN,67,"21,071",26.21,"21,071",26.21,0,0,0,63,0,0
18361,KENTUCKY,FULTON,14,0,0,0,0,0,0,0,14,0,0
18362,KENTUCKY,GALLATIN,18,0,0,0,0,0,0,0,18,0,0
18390,KENTUCKY,GARRARD,11,0,0,0,0,0,0,0,10,0,0
18400,KENTUCKY,GRANT,36,"9,998",23.14,"9,999",23.15,0,0,0,34,0,0
18410,KENTUCKY,GRAVES,47,"2,670",4.73,"2,671",4.74,0,0,0,47,0,0
18420,KENTUCKY,GRAYSON,25,"3,235",10.78,"3,235",10.78,0,0,0,24,0,0
18421,KENTUCKY,GREEN,9,0,0,0,0,0,0,0,9,0,0
18440,KENTUCKY,GREENUP,60,"4,106",5.7,"4,107",5.7,0,0,0,59,0,0
18450,KENTUCKY,HANCOCK,4,0,0,0,0,0,0,0,2,0,0
18460,KENTUCKY,HARDIN,124,"14,062",9.45,"14,062",9.45,0,0,0,122,0,0
18470,KENTUCKY,HARLAN,34,"8,061",19.76,"8,060",19.75,0,0,0,34,0,0
18480,KENTUCKY,HARRISON,19,0,0,0,0,0,0,0,19,0,0
18490,KENTUCKY,HART,15,0,0,0,0,0,0,0,15,0,0
18500,KENTUCKY,HENDERSON,56,0,0,0,0,0,0,0,54,0,0
18510,KENTUCKY,HENRY,19,"3,853",16.9,"3,853",16.9,0,0,0,19,0,0
18511,KENTUCKY,HICKMAN,5,0,0,0,0,0,0,0,5,0,0
18530,KENTUCKY,HOPKINS,79,"2,247",2.37,"2,247",2.37,0,0,0,76,0,0
18540,KENTUCKY,JACKSON,18,"7,222",33.44,"7,222",33.44,0,0,0,17,0,0
18550,KENTUCKY,JEFFERSON,1198,"113,587",7.9,"113,587",7.9,0,0,0,"1,131",0,0
18560,KENTUCKY,JESSAMINE,30,"2,535",7.04,"2,535",7.04,0,0,0,27,0,0
18570,KENTUCKY,JOHNSON,42,0,0,0,0,0,0,0,38,0,0
18580,KENTUCKY,KENTON,176,"22,021",10.43,"22,021",10.43,0,0,0,164,0,0
18590,KENTUCKY,KNOTT,14,0,0,0,0,0,0,0,14,0,0
18600,KENTUCKY,KNOX,20,0,0,0,0,0,0,0,20,0,0
18610,KENTUCKY,LARUE,14,"1,093",6.51,"1,093",6.51,0,0,0,14,0,0
18620,KENTUCKY,LAUREL,52,"14,890",23.86,"14,889",23.86,0,0,0,49,0,0
18630,KENTUCKY,LAWRENCE,25,"1,171",3.9,"1,170",3.9,0,0,0,24,0,0
18640,KENTUCKY,LEE,6,0,0,0,0,0,0,0,6,0,0
18650,KENTUCKY,LESLIE,16,0,0,0,0,0,0,0,14,0,0
18660,KENTUCKY,LETCHER,20,"8,045",33.52,"8,046",33.53,0,0,0,19,0,0
18670,KENTUCKY,LEWIS,18,531,2.46,531,2.46,0,0,0,16,0,0
18680,KENTUCKY,LINCOLN,25,"9,648",32.16,"9,647",32.16,0,0,0,24,0,0
18690,KENTUCKY,LIVINGSTON,5,780,13,780,13,0,0,0,5,0,0
18700,KENTUCKY,LOGAN,33,619,1.56,619,1.56,0,0,0,31,0,0
18710,KENTUCKY,LYON,6,0,0,0,0,0,0,0,6,0,0
18720,KENTUCKY,MC CRACKEN,91,"31,023",28.41,"31,023",28.41,0,0,0,90,0,0
18730,KENTUCKY,MC CREARY,11,0,0,0,0,0,0,0,11,0,0
18740,KENTUCKY,MC LEAN,10,0,0,0,0,0,0,0,9,0,0
18750,KENTUCKY,MADISON,73,"59,007",67.36,"59,008",67.36,0,0,0,70,0,0
18760,KENTUCKY,MAGOFFIN,10,0,0,0,0,0,0,0,10,0,0
18770,KENTUCKY,MARION,35,"3,983",9.48,"3,983",9.48,0,0,0,33,0,0
18780,KENTUCKY,MARSHALL,22,"1,171",4.44,"1,171",4.44,0,0,0,20,0,0
18790,KENTUCKY,MARTIN,12,0,0,0,0,0,0,0,12,0,0
18800,KENTUCKY,MASON,37,"8,572",19.31,"8,571",19.3,0,0,0,35,0,0
