AGED -- REPRICING ADJUSTMENTS TO THE 2009-2013 REIMBURSEMENT DATA FOR FEE-FOR-SERVICE DURABLE MEDICAL EQUIPMENT,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART B REIMBURSEMENT,,,,,,,
02170,ALASKA                   ,MATANUSKA-SUSITNA,0,0,0,0,0,,,
02180,ALASKA                   ,NOME,0,0,0,0,0,,,
02190,ALASKA                   ,OUTER KETCHIKAN DIVISION,0,0,0,0,0,,,
02200,ALASKA                   ,PRINCE OF WALES DIVISION,0,0,0,0,0,,,
02210,ALASKA                   ,SEWARD,-742,-810,-741,-88,-100,,,
02220,ALASKA                   ,SITKA,0,0,0,0,0,,,
02230,ALASKA                   ,SKAGWAY,0,0,0,0,0,,,
02240,ALASKA                   ,SOUTHEAST FAIRBANKS,0,0,0,0,0,,,
02250,ALASKA                   ,UPPER YUKON DIVISION,0,0,0,0,0,,,
02260,ALASKA                   ,VALDEZ-CHITNA-WHITIER DIVISION,0,0,0,0,0,,,
02270,ALASKA                   ,WADE HAMPTON,0,0,0,0,0,,,
02280,ALASKA                   ,WRANGELL-PETERSBURG CENSUS AREA,0,0,0,0,0,,,
02290,ALASKA                   ,YUKON-KOYUKUK,0,0,0,0,0,,,
03000,ARIZONA                  ,APACHE,-614,-370,-598,"-1,778",-458,,,
03010,ARIZONA                  ,COCHISE,"-1,848",-572,"-1,552",-837,-841,,,
03020,ARIZONA                  ,COCONINO,-244,0,-408,-434,0,,,
03030,ARIZONA                  ,GILA,-914,-662,"-1,621","-2,929",-908,,,
03040,ARIZONA                  ,GRAHAM,-37,-68,0,-407,-411,,,
03050,ARIZONA                  ,GREENLEE,0,-963,-549,0,0,,,
03055,ARIZONA                  ,LA PAZ,-702,-204,-764,-358,0,,,
03060,ARIZONA                  ,MARICOPA,"-7,645,860","-7,939,627","-8,566,469","-9,265,828","-4,525,931",,,
03070,ARIZONA                  ,MOHAVE,-664,-935,"-1,033",-876,-381,,,
03080,ARIZONA                  ,NAVAJO,-174,-325,-193,-522,-169,,,
03090,ARIZONA                  ,PIMA,"-2,560,301","-2,579,430","-2,783,806","-2,967,712","-1,352,063",,,
03100,ARIZONA                  ,PINAL,"-515,097","-772,809","-848,046","-955,248","-477,137",,,
03110,ARIZONA                  ,SANTA CRUZ,"-3,322","-5,533","-1,958","-1,363",-788,,,
03120,ARIZONA                  ,YAVAPAI,-13,-61,"-2,412",-684,-109,,,
03130,ARIZONA                  ,YUMA,-755,-617,-924,-906,-456,,,
04000,ARKANSAS                 ,ARKANSAS,-140,0,0,0,0,,,
04010,ARKANSAS                 ,ASHLEY,-42,0,0,-599,-147,,,
