DISABLED -- REPRICING ADJUSTMENTS TO THE 2009-2013 HOME HEALTH  REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,,,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,ADJUSTMENT TO PART B REIMBURSEMENT,,,,,,,,,,,,,,,,,,
01300,ALABAMA                  ,GENEVA,"-5,096","-4,001","-4,619","-4,199","2,393","-7,462","-3,860","-3,812","-3,462","2,687",,,,,,,,,,,,,,
01310,ALABAMA                  ,GREENE,"-4,178","-7,086","-7,141","-10,534","-7,507","-13,534","-14,172","-14,964","-15,345","-13,199",,,,,,,,,,,,,,
01320,ALABAMA                  ,HALE,"-1,197","-4,429","-5,302","-3,595","-1,537","-1,713","-4,838","-5,771","-3,413","-1,078",,,,,,,,,,,,,,
01330,ALABAMA                  ,HENRY,"-2,651","-2,405","-2,380","-1,802","2,472","-4,119","-3,875","-2,540","-2,152","1,485",,,,,,,,,,,,,,
01340,ALABAMA                  ,HOUSTON,"-18,037","-15,279","-14,169","-13,808","12,334","-15,262","-12,390","-14,950","-13,152","12,992",,,,,,,,,,,,,,
01350,ALABAMA                  ,JACKSON,"-13,784","-12,715","-13,867","-11,010","-5,309","-30,675","-19,673","-17,874","-15,416","-8,070",,,,,,,,,,,,,,
01360,ALABAMA                  ,JEFFERSON,"-91,742","-52,853","-62,272","-42,721","-40,393","-108,190","-69,863","-76,834","-39,975","-42,029",,,,,,,,,,,,,,
01370,ALABAMA                  ,LAMAR,"-4,144","-2,826","-3,944","-3,287","-1,253","-9,574","-8,005","-6,313","-5,830","-2,588",,,,,,,,,,,,,,
01380,ALABAMA                  ,LAUDERDALE,"-11,524","-20,051","-20,996","-7,278","8,620","-17,641","-31,952","-41,490","-10,129","10,993",,,,,,,,,,,,,,
01390,ALABAMA                  ,LAWRENCE,"-10,945","-13,875","-8,563","-4,176","-3,155","-19,237","-18,900","-16,437","-9,303","-7,212",,,,,,,,,,,,,,
01400,ALABAMA                  ,LEE,"10,387","-1,785","26,666","5,752","24,556","15,789","-2,193","21,343","5,337","17,883",,,,,,,,,,,,,,
01410,ALABAMA                  ,LIMESTONE,"-13,314","-11,498","-12,338","-7,109","-1,814","-19,789","-17,143","-23,332","-15,178","-2,647",,,,,,,,,,,,,,
01420,ALABAMA                  ,LOWNDES,"-3,175","-2,582","-2,845","-1,853",-373,"-4,547","-4,767","-4,503","-2,107",-738,,,,,,,,,,,,,,
01430,ALABAMA                  ,MACON,"-3,914","-2,822","-3,005","-2,800","-1,218","-1,554","-4,365","-2,936","-2,760","-1,713",,,,,,,,,,,,,,
01440,ALABAMA                  ,MADISON,"-27,639","-28,219","-45,035","-32,482","-6,031","-28,817","-45,994","-51,082","-38,570","-5,837",,,,,,,,,,,,,,
01450,ALABAMA                  ,MARENGO,"-7,684","-4,800","-4,383","-2,870","-2,278","-6,357","-5,089","-4,670","-4,190","-2,414",,,,,,,,,,,,,,
01460,ALABAMA                  ,MARION,"-11,275","-7,979","-7,907","-4,911","-3,949","-12,541","-9,388","-13,664","-7,796","-4,857",,,,,,,,,,,,,,
01470,ALABAMA                  ,MARSHALL,"-27,431","-18,442","-21,138","-10,849","-7,600","-47,891","-30,256","-36,971","-31,769","-16,083",,,,,,,,,,,,,,
